Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,71620
1630535077216590,Regione Liguria,Regione Liguria,26108
178362315106,European Parliament,European Parliament,18631
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,15845
252306033154,Matteo Salvini,Lega - Salvini Premier,11615
40433567307,UNICEF Italia,UNICEF Italia,11293
73493613024,ActionAid Italia,ActionAid Italia,11093
39993728498,Amnesty International - Italia,Amnesty International - Italia,10678
1020725961324733,Eraldo Ciangherotti,Eraldo Ciangherotti,10134
107898832590939,European Commission,European Commission,9661
576664002355828,CIWF Italia,CIWF Italia,7005
103827764737718,mascherine.it,mascherine.it,6459
35346524498,Greenpeace Italia,Greenpeace Italia,6453
1950201935211394,Andrea Carratù - Presidente Municipio 1 Centro Est,Andrea Carratù - Canditato al Consiglio Regionale Liguria,6449
1994549320790542,Luca Garibaldi,Luca Garibaldi,6324
183047736356,EMERGENCY,EMERGENCY,6270
419479784925812,Andrea Costa,Andrea Costa,6026
111908827274624,Ferruccio Sansa,Ferruccio Sansa,5690
1410474395723679,Petizioni.it,Petizioni.it,5438
693492780985618,HSI/Italia,HSI/Italia,5421
77034286895,Partito Democratico,Partito Democratico,4657
355710427861591,Fratelli d'Italia,Fratelli d'Italia,4578
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,4511
150200761667597,Oxfam Italia,Oxfam Italia,4196
164370404088711,Cif,Unilever,3934
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,3728
101448244980924,Cambiamo con Toti Presidente - Liguria,Comitato Giovanni Toti Liguria,3684
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,3655
113335124914,Matteo Renzi,Italia Viva,3529
479212098810360,Angelo Ciocca,Angelo Ciocca,3512
114942710217000,Anna Pettene,Anna Pettene,3497
429555680551934,Genova3000,Genova3000,3203
100964541456650,Will media,Will Media,3183
37616066366,Gino Strada,EMERGENCY,3183
291380024325396,Brando Benifei,Brando Benifei,3150
88997912868,WWF Italia,WWF Italia,3100
635426593771612,Ocean Words,Rio Mare,3065
116716651695782,Silvio Berlusconi,Silvio Berlusconi,3015
331513123718905,Sprite,Coca-Cola,2933
112564603472833,Cambiamo con Toti,Cambiamo con Toti,2890
106074641185205,Marta Brusoni,Marta Brusoni,2866
182120865170178,Gianluigi Paragone,Gianluigi Paragone,2755
177154693174901,Juri Michelucci,Juri MIchelucci,2681
106626487721376,Amazon Europe,Amazon Europe,2666
100717421797752,Medic Shop+,MedicShop,2440
1410474395723679,Petizioni.it,Silvano Facchinetti,2419
1486718904933717,Compagnia di San Paolo,Compagnia di San Paolo,2414
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,2411
186041014771695,LINES,LINES,2373
2277006945674817,Fabrizia Pecunia,Fabrizia Pecunia,2264
1419354464978596,Giovanni Toti,Giovanni Toti,2211
1419354464978596,Giovanni Toti,Giovanni TOTI Liguria,2207
156149777783739,Facebook app,Facebook,2166
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,2143
1015853455157037,Acea Gruppo,Acea,2137
146169045979888,Anna Maria Bernini,Anna Maria Bernini,2131
574838652991176,Roberto Arboscello,Roberto Arboscello,2041
131887960826264,Carlo Calenda,Azione,2001
105036941316860,Brunello Brunetto,Brunello Brunetto,1996
359144898219068,Gianmarco Medusei,Gianmarco Medusei,1908
1000392486681830,Italia Viva,Italia Viva,1725
117266648305733,LifeGate,LifeGate,1724
195548473824552,Associazione Diplomatici,Associazione Diplomatici,1715
40433567307,UNICEF Italia,These ads ran without a disclaimer,1694
623847078064207,Caterina Avanza,Partito Democratico - Caterina Avanza,1615
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,1615
289752771388757,Culligan Italiana,Culligan Italiana,1591
554943434517746,Carte D'Or,Unilever,1555
103550781272093,Goodmorning Genova,Il Cesto,1497
219959136006485,Elena PUTTI per la Liguria,Elena Putti per la Liguria,1494
126210297412918,Vaccarezza In Regione,Angelo Vaccarezza,1491
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,1490
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,1473
661243440591428,Raffaella Paita,Raffaella Paita,1453
