Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,453209
178362315106,European Parliament,European Parliament,105600
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,96709
40433567307,UNICEF Italia,UNICEF Italia,78703
73493613024,ActionAid Italia,ActionAid Italia,63800
39993728498,Amnesty International - Italia,Amnesty International - Italia,50286
107898832590939,European Commission,European Commission,49362
183047736356,EMERGENCY,EMERGENCY,43320
35346524498,Greenpeace Italia,Greenpeace Italia,35756
103827764737718,mascherine.it,mascherine.it,35608
252306033154,Matteo Salvini,Lega - Salvini Premier,30487
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,30247
576664002355828,CIWF Italia,CIWF Italia,27284
313559438694166,VIDAS - Assistenza ai Malati inguaribili,VIDAS - Assistenza ai Malati inguaribili,26803
153904631400191,Comune di Milano,Comune di Milano,26074
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,25399
693492780985618,HSI/Italia,HSI/Italia,24933
164370404088711,Cif,Unilever,23168
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,22476
37616066366,Gino Strada,EMERGENCY,20249
479212098810360,Angelo Ciocca,Angelo Ciocca,19929
1410474395723679,Petizioni.it,Petizioni.it,19884
88997912868,WWF Italia,WWF Italia,19604
331513123718905,Sprite,Coca-Cola,19094
635426593771612,Ocean Words,Rio Mare,17920
150200761667597,Oxfam Italia,Oxfam Italia,17360
116716651695782,Silvio Berlusconi,Silvio Berlusconi,16490
77034286895,Partito Democratico,Partito Democratico,16236
156922821011409,Timberland,PHD Media,16231
186041014771695,LINES,LINES,14585
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,14447
195548473824552,Associazione Diplomatici,Associazione Diplomatici,14072
106626487721376,Amazon Europe,Amazon Europe,13991
117266648305733,LifeGate,LifeGate,12979
100964541456650,Will media,Will Media,12830
100717421797752,Medic Shop+,MedicShop,12065
40433567307,UNICEF Italia,These ads ran without a disclaimer,11549
1525666877712653,Coca-Cola,Coca-Cola,11487
182120865170178,Gianluigi Paragone,Gianluigi Paragone,11254
1015853455157037,Acea Gruppo,Acea,11233
113335124914,Matteo Renzi,Italia Viva,10814
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,10746
131887960826264,Carlo Calenda,Azione,10275
156149777783739,Facebook app,Facebook,10086
1410474395723679,Petizioni.it,Silvano Facchinetti,9913
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,9787
1725281434468286,Patagonia,Patagonia,9698
360133591158746,zeroCO2,zeroCO2,8898
291380024325396,Brando Benifei,Brando Benifei,8788
289752771388757,Culligan Italiana,Culligan Italiana,8486
554943434517746,Carte D'Or,Unilever,8342
16995627251,Mulino Bianco,Mulino Bianco,8330
299584710061488,WeWorld Onlus,WeWorld Onlus,8263
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,7909
146169045979888,Anna Maria Bernini,Anna Maria Bernini,7895
1450593071894311,Bussolini Design,Bussolini Design,7754
241937025884890,Colgate Italia,Colgate Italia,7682
91261353336,Terre des Hommes Italia,Terre des Hommes Italia,7635
635426593771612,Ocean Words,These ads ran without a disclaimer,7497
623847078064207,Caterina Avanza,Partito Democratico - Caterina Avanza,7495
1638510526420491,Refugees Welcome Italia,Refugees Welcome Italia,7451
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,7280
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,7036
1220083278166465,My KAI,Unilever,6645
136888059662453,Mani Tese Ong Onlus,Mani Tese Ong Onlus,6514
324659087936362,CarClinic,CAR CLINIC SRL,6496
38919827644,Giorgia Meloni,Fratelli d'Italia,6330
355710427861591,Fratelli d'Italia,Fratelli d'Italia,6152
160476923996021,Assolombarda,Assolombarda,6127
581029945275796,Rexpira - Consulenti del debito,Rexpira - Consulenti del debito,6002
171795872872353,ISPI - Istituto per gli studi di politica internazionale,ISPI - Istituto per gli studi di politica internazionale,5986
116035116868358,Maskproof,Maskproof®,5972
46590675335,Save the Children Italia,These ads ran without a disclaimer,5925
287752571419453,GianMarco Senna,Gianmarco Senna,5731
164071063643585,LILT Milano Monza Brianza,Lega Tumori Lilt Milano,5572
53347533412,LAV,LAV,5490
1773694896182795,VD,Videodrome,5429
1168815166600773,Fab,Fab,5325
175046706411,easyJet,These ads ran without a disclaimer,5321
112352038802143,Giuliano Pisapia,Giuliano Pisapia,5000
1197558557023437,Capitan Findus,Findus Italia,4961
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle,4839
113071918732530,Animal Equality Italia,Animal Equality Italia,4742
77034286895,Partito Democratico,These ads ran without a disclaimer,4672
452089201549004,Samuele Vegna,Samuele Vegna,4609
394832128017774,Alessandro Panza,Alessandro Panza,4595
108341445894,Enel Group,Enel Group,4561
118713758151850,UNHCR Italia - Agenzia ONU per i Rifugiati,These ads ran without a disclaimer,4543
406187203142799,Luciano Nobili,Luciano Nobili,4519
1657214567845698,BPER Banca,BPER Banca,4517
2340174086227422,Avvocato Nicola Clerici,Nicola Clerici,4346
113335124914,Matteo Renzi,Comitati Ritorno al Futuro - Azione Civile - Italia Viva,4294
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,4281
167777223281448,Coop Lombardia,Coop Lombardia,4272
218608508571231,Case Italia,These ads ran without a disclaimer,4073
179873022148540,SHARE NOW Italia,These ads ran without a disclaimer,4063
421539548423434,SOS Rifugiati,These ads ran without a disclaimer,3993
437240109669063,Autonomi e Partite Iva - Eugenio Filograna,These ads ran without a disclaimer,3989
155619044465389,Lara Comi,Lara Comi,3975
2009806149306205,CPIC,These ads ran without a disclaimer,3963
104652392900508,Deputati PD,Deputati PD,3953
46284336597,Eau Thermale Avène,Eau Thermale Avène,3810
459381904121368,Pietro Bussolati,Pietro Bussolati,3778
66158008231,Lega del Filo d'Oro - ONLUS,Lega del Filo d'Oro - ONLUS,3770
343584756259146,Al fianco delle Donne,Amref Health Africa - Italia,3740
412209525481643,Gianna Gancia,These ads ran without a disclaimer,3684
264869596888019,Roberto Di Stefano,Roberto Di Stefano,3679
667483386685540,Silvia Sardone,Silvia Sardone,3550
1741324072750563,ListaGialla #Palazzi2020,Lista Gialla - Comitato #Palazzi2020,3487
517836524946630,Humana Italia,Humana Italia,3413
542186902560698,Unione Buddhista Italiana,Unione Buddhista Italiana,3401
48677844864,Amref Health Africa - Italia,These ads ran without a disclaimer,3371
519219611453854,Patrizia Toia,Patrizia Ferma Francesca Toia,3336
1999551673592698,Michele Gubitosa,Michele Gubitosa,3276
100103075241780,Fondazione Laps,Fondazione Laps,3245
108341445894,Enel Group,These ads ran without a disclaimer,3233
362494797700891,Federica Picchi,Federica Picchi,3232
900360899999206,Aquafarma,These ads ran without a disclaimer,3229
101221479103,Fondazione Progetto Arca Onlus,Fondazione Progetto Arca Onlus,3224
115912616911241,Iovotosi,MoVimento 5 Stelle Camera,3212
109491080460389,Bambine Non Spose,WeWorld Onlus,3194
315849382340059,Giulio Gambino,TPI,3136
118713758151850,UNHCR Italia - Agenzia ONU per i Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,3096
73493613024,ActionAid Italia,These ads ran without a disclaimer,3079
191521651334240,Mattia Mor,Mattia Mor,2999
166632883384309,Italmark,Italmark,2990
142983109068196,Irene Tinagli,Siamo Europei,2987
203065183038056,Edizioni Centro Studi Erickson,Edizioni Centro Studi Erickson,2979
217810366941,Left,Left,2979
