Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,68646
178362315106,European Parliament,European Parliament,17557
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,13965
40433567307,UNICEF Italia,UNICEF Italia,10448
73493613024,ActionAid Italia,ActionAid Italia,10251
252306033154,Matteo Salvini,Lega - Salvini Premier,9757
611753595511201,Maurizio Mangialardi,Maurizio Mangialardi,9145
107898832590939,European Commission,European Commission,8493
39993728498,Amnesty International - Italia,Amnesty International - Italia,7581
355710427861591,Fratelli d'Italia,Fratelli d'Italia,6065
900360899999206,Aquafarma,These ads ran without a disclaimer,6041
103827764737718,mascherine.it,mascherine.it,5542
77034286895,Partito Democratico,Partito Democratico,5522
35346524498,Greenpeace Italia,Greenpeace Italia,5384
183047736356,EMERGENCY,EMERGENCY,4895
405508233235205,Mauro Coltorti,Mauro Coltorti,4615
261094107246789,Mirco Carloni,Mirco Carloni,4515
576664002355828,CIWF Italia,CIWF Italia,4096
164370404088711,Cif,Unilever,4074
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,3656
356058874186,Roberto Cherubini Consigliere Comunale a Macerata,Roberto Cherubini,3640
1127871950567900,Gian Mario Mercorelli,Comitato Elettorale Gianni Mercorelli Presidente,3528
1410474395723679,Petizioni.it,Petizioni.it,3416
1424622941177163,Renato Claudio Minardi,Renato Claudio Minardi,3193
693492780985618,HSI/Italia,HSI/Italia,3164
116210281724529,Roberto Bruni,Roberto Bruni,3028
245714635483299,Andrea Agostini,Andrea Agostini,2854
331513123718905,Sprite,Coca-Cola,2844
635426593771612,Ocean Words,Rio Mare,2833
102620324887581,Daniele Tagliolini,Daniele Tagliolini,2751
150200761667597,Oxfam Italia,Oxfam Italia,2703
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,2701
85310441156,Luca Serfilippi,Luca Serfilippi,2634
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,2604
37616066366,Gino Strada,EMERGENCY,2515
88997912868,WWF Italia,WWF Italia,2509
106626487721376,Amazon Europe,Amazon Europe,2469
583087849038697,Paolo D'Erasmo,Paolo D'Erasmo,2460
100964541456650,Will media,Will Media,2446
113335124914,Matteo Renzi,Italia Viva,2229
103799821163593,Forza Italia Marche,Forza Italia Marche,2169
186041014771695,LINES,LINES,2167
104811667974531,Sandro Parcaroli Sindaco di Macerata,Sandro Parcaroli,2148
1015853455157037,Acea Gruppo,Acea,1965
131887960826264,Carlo Calenda,Azione,1962
226141335305486,Fabrizio Ciarapica - il Sindaco di Civitanova per la Regione Marche,Fabrizio Ciarapica,1954
182120865170178,Gianluigi Paragone,Gianluigi Paragone,1931
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,1926
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,1891
195548473824552,Associazione Diplomatici,Associazione Diplomatici,1857
107186017324900,Andrea Assenti,Andrea Assenti,1791
156149777783739,Facebook app,Facebook,1762
849374628460021,Gianluca Carrabs,Gianluca Carrabs,1758
100717421797752,Medic Shop+,MedicShop,1738
104555644443795,Dipende da Noi,Paola Maria Petrucci,1723
1410474395723679,Petizioni.it,Silvano Facchinetti,1711
208046335427,Coop Alleanza 3.0,Chiara Trojsi,1693
410948282333561,Davide Delvecchio,Davide Delvecchio,1609
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,1608
847478305345069,Studio Legale Agostini,Andrea Agostini,1576
554943434517746,Carte D'Or,Unilever,1535
289752771388757,Culligan Italiana,Culligan Italiana,1437
1525666877712653,Coca-Cola,Coca-Cola,1427
148958281816720,Dino Latini,Latini Dino,1408
71464689337,Saturnino Di Ruscio,Di Ruscio,1407
146169045979888,Anna Maria Bernini,Anna Maria Bernini,1370
117266648305733,LifeGate,LifeGate,1365
142657295914359,Centro Commerciale Girasole,Centro Commerciale Girasole,1362
40433567307,UNICEF Italia,These ads ran without a disclaimer,1359
172265396249029,Forza Italia,Forza Italia,1325
111993090605648,Carlo Pesaresi,Marcello Mariani,1319
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle,1316
116716651695782,Silvio Berlusconi,Silvio Berlusconi,1312
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,1290
100995726643415,Fabio Urbinati,Fabio Urbinati,1244
137738009630186,Francesco Acquaroli,Francesco Acquaroli,1230
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,1206
77034286895,Partito Democratico,These ads ran without a disclaimer,1193
1784479085192675,Luciana Mosconi - Piccolo Negozio della Pasta,Luciana Mosconi - La Signora delle Tagliatelle,1192
360133591158746,zeroCO2,zeroCO2,1184
635426593771612,Ocean Words,These ads ran without a disclaimer,1171
241937025884890,Colgate Italia,Colgate Italia,1166
1515443168766121,Elena Leonardi,Elena Leonardi,1163
1000392486681830,Italia Viva,Italia Viva,1149
103720941442328,Giovanni Lanciotti Regionali 2020,Giovanni Lanciotti,1104
38919827644,Giorgia Meloni,Fratelli d'Italia,1104
100370938446263,Moreno Bellesi,Moreno Bellesi,1096
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,1089
1773694896182795,VD,Videodrome,1086
