Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,10547
178362315106,European Parliament,European Parliament,3082
73493613024,ActionAid Italia,ActionAid Italia,2164
107898832590939,European Commission,European Commission,1831
40433567307,UNICEF Italia,UNICEF Italia,1814
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,1759
289752771388757,Culligan Italiana,Culligan Italiana,1547
103827764737718,mascherine.it,mascherine.it,1017
39993728498,Amnesty International - Italia,Amnesty International - Italia,923
164370404088711,Cif,Unilever,894
77034286895,Partito Democratico,Partito Democratico,789
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,703
252306033154,Matteo Salvini,Lega - Salvini Premier,684
35346524498,Greenpeace Italia,Greenpeace Italia,669
40645773554,Aldo Patriciello,Aldo Patriciello,653
116716651695782,Silvio Berlusconi,Silvio Berlusconi,641
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,621
183047736356,EMERGENCY,EMERGENCY,599
106626487721376,Amazon Europe,Amazon Europe,595
331513123718905,Sprite,Coca-Cola,595
100964541456650,Will media,Will Media,583
1410474395723679,Petizioni.it,Petizioni.it,558
635426593771612,Ocean Words,Rio Mare,529
576664002355828,CIWF Italia,CIWF Italia,506
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,451
1582931588587085,Stefano Buono,Stefano Buono,448
186041014771695,LINES,LINES,439
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,432
1618719834925589,Caterina Cerroni,Caterina Cerroni,410
1015853455157037,Acea Gruppo,Acea,404
156149777783739,Facebook app,Facebook,385
150200761667597,Oxfam Italia,Oxfam Italia,381
113335124914,Matteo Renzi,Italia Viva,381
693492780985618,HSI/Italia,HSI/Italia,369
146169045979888,Anna Maria Bernini,Anna Maria Bernini,364
34987266938,Raffaele Fitto,Raffaele Fitto,353
131887960826264,Carlo Calenda,Azione,351
554943434517746,Carte D'Or,Unilever,347
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,336
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,335
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,331
1696526097259375,Stefano Testa,Stefano Testa,328
282561469358404,Franco Rocco,These ads ran without a disclaimer,314
182120865170178,Gianluigi Paragone,Gianluigi Paragone,311
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle,306
201484606557114,Fotovoltaico per Te,These ads ran without a disclaimer,303
1525666877712653,Coca-Cola,Coca-Cola,301
88997912868,WWF Italia,WWF Italia,296
1657214567845698,BPER Banca,BPER Banca,281
195548473824552,Associazione Diplomatici,Associazione Diplomatici,271
195608604364774,Maria Domenica D'Alessandro,These ads ran without a disclaimer,266
37616066366,Gino Strada,EMERGENCY,255
100717421797752,Medic Shop+,MedicShop,254
955643344543213,Sindacato Asset,These ads ran without a disclaimer,249
635426593771612,Ocean Words,These ads ran without a disclaimer,237
1410474395723679,Petizioni.it,Silvano Facchinetti,236
355710427861591,Fratelli d'Italia,Fratelli d'Italia,226
241937025884890,Colgate Italia,Colgate Italia,222
115811281824270,Riserva Moac,Paolo Alessandrini,211
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,209
1773694896182795,VD,Videodrome,202
117266648305733,LifeGate,LifeGate,198
1999551673592698,Michele Gubitosa,Michele Gubitosa,195
299584710061488,WeWorld Onlus,WeWorld Onlus,193
53388213256,Vincenzo De Luca,De Luca,192
1220083278166465,My KAI,Unilever,192
