Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,164378
178362315106,European Parliament,European Parliament,45403
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,35723
40433567307,UNICEF Italia,UNICEF Italia,27786
73493613024,ActionAid Italia,ActionAid Italia,25499
1735684256653359,Roberto Rosso,Roberto Rosso,22134
107898832590939,European Commission,European Commission,21980
39993728498,Amnesty International - Italia,Amnesty International - Italia,20720
158131564841105,Giorgio Maria Bergesio,Giorgio Maria Bergesio,14582
35346524498,Greenpeace Italia,Greenpeace Italia,14196
183047736356,EMERGENCY,EMERGENCY,13978
103827764737718,mascherine.it,mascherine.it,13867
576664002355828,CIWF Italia,CIWF Italia,12828
252306033154,Matteo Salvini,Lega - Salvini Premier,11764
164370404088711,Cif,Unilever,10086
693492780985618,HSI/Italia,HSI/Italia,9871
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,9424
1410474395723679,Petizioni.it,Petizioni.it,9396
1486718904933717,Compagnia di San Paolo,Compagnia di San Paolo,8579
77034286895,Partito Democratico,Partito Democratico,7997
479212098810360,Angelo Ciocca,Angelo Ciocca,7680
150200761667597,Oxfam Italia,Oxfam Italia,7637
331513123718905,Sprite,Coca-Cola,7478
116716651695782,Silvio Berlusconi,Silvio Berlusconi,7458
635426593771612,Ocean Words,Rio Mare,7259
88997912868,WWF Italia,WWF Italia,6891
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,6848
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,6790
37616066366,Gino Strada,EMERGENCY,6783
100964541456650,Will media,Will Media,6147
1622448358006503,Di Vittorio Cooperativa edilizia a proprietà indivisa,These ads ran without a disclaimer,6146
186041014771695,LINES,LINES,5975
106626487721376,Amazon Europe,Amazon Europe,5972
195548473824552,Associazione Diplomatici,Associazione Diplomatici,5726
1015853455157037,Acea Gruppo,Acea,5015
113335124914,Matteo Renzi,Italia Viva,4946
182120865170178,Gianluigi Paragone,Gianluigi Paragone,4844
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,4800
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,4786
1410474395723679,Petizioni.it,Silvano Facchinetti,4780
156149777783739,Facebook app,Facebook,4607
100717421797752,Medic Shop+,MedicShop,4563
156922821011409,Timberland,PHD Media,4448
1391061901114543,Alberto Cirio,RedAbissi,4417
131887960826264,Carlo Calenda,Azione,4269
1638510526420491,Refugees Welcome Italia,Refugees Welcome Italia,4192
1525666877712653,Coca-Cola,Coca-Cola,4088
291380024325396,Brando Benifei,Brando Benifei,4006
40433567307,UNICEF Italia,These ads ran without a disclaimer,3870
554943434517746,Carte D'Or,Unilever,3671
360133591158746,zeroCO2,zeroCO2,3606
117266648305733,LifeGate,LifeGate,3585
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,3463
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,3382
117972564948594,Algida,Unilever,3366
146169045979888,Anna Maria Bernini,Anna Maria Bernini,3357
44296617275,Diego Sarno,Diego Sarno,3305
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,3251
623847078064207,Caterina Avanza,Partito Democratico - Caterina Avanza,3247
241937025884890,Colgate Italia,Colgate Italia,3210
289752771388757,Culligan Italiana,Culligan Italiana,3169
619956731519414,Marco Grimaldi,Marco Grimaldi,3137
635426593771612,Ocean Words,These ads ran without a disclaimer,3118
172265396249029,Forza Italia,Forza Italia,3116
40186632839,Agostino Ghiglia,These ads ran without a disclaimer,2924
394832128017774,Alessandro Panza,Alessandro Panza,2887
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,2884
564565783664645,Nespresso,Nespresso,2804
1773694896182795,VD,Videodrome,2641
299584710061488,WeWorld Onlus,WeWorld Onlus,2581
2340174086227422,Avvocato Nicola Clerici,Nicola Clerici,2508
53347533412,LAV,LAV,2495
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,2446
116035116868358,Maskproof,Maskproof®,2425
1220083278166465,My KAI,Unilever,2367
355710427861591,Fratelli d'Italia,Fratelli d'Italia,2315
38919827644,Giorgia Meloni,Fratelli d'Italia,2282
