Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,78316
178362315106,European Parliament,European Parliament,18775
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,15429
73493613024,ActionAid Italia,ActionAid Italia,14541
40433567307,UNICEF Italia,UNICEF Italia,12021
900360899999206,Aquafarma,These ads ran without a disclaimer,11881
39993728498,Amnesty International - Italia,Amnesty International - Italia,10929
107898832590939,European Commission,European Commission,9279
1498137667076406,Michele Pais,Michele Pais,7033
103827764737718,mascherine.it,mascherine.it,6739
35346524498,Greenpeace Italia,Greenpeace Italia,5980
183047736356,EMERGENCY,EMERGENCY,5352
1410474395723679,Petizioni.it,Petizioni.it,5276
164370404088711,Cif,Unilever,5074
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,5066
77034286895,Partito Democratico,Partito Democratico,4619
576664002355828,CIWF Italia,CIWF Italia,4233
156149777783739,Facebook app,Facebook,4159
100964541456650,Will media,Will Media,4016
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,3873
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,3793
252306033154,Matteo Salvini,Lega - Salvini Premier,3780
150200761667597,Oxfam Italia,Oxfam Italia,3771
106626487721376,Amazon Europe,Amazon Europe,3641
693492780985618,HSI/Italia,HSI/Italia,3443
635426593771612,Ocean Words,Rio Mare,3192
116716651695782,Silvio Berlusconi,Silvio Berlusconi,3107
331513123718905,Sprite,Coca-Cola,3064
478676238917576,Paolo Truzzu Sindaco,Paolo Truzzu,2954
37616066366,Gino Strada,EMERGENCY,2654
182120865170178,Gianluigi Paragone,Gianluigi Paragone,2647
625209554243352,Manuel Alivesi,Manuel Alivesi,2600
186041014771695,LINES,LINES,2556
1410474395723679,Petizioni.it,Silvano Facchinetti,2406
382859661811602,Confindustria Nautica,These ads ran without a disclaimer,2348
1015853455157037,Acea Gruppo,Acea,2311
113804762009156,Riformatori Sardi - Liberaldemocratici,Riformatori Sardi - Liberaldemocratici,2214
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,2167
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,2164
554943434517746,Carte D'Or,Unilever,2163
100717421797752,Medic Shop+,MedicShop,2135
88997912868,WWF Italia,WWF Italia,2129
131887960826264,Carlo Calenda,Azione,2029
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,1999
201484606557114,Fotovoltaico per Te,These ads ran without a disclaimer,1930
146169045979888,Anna Maria Bernini,Anna Maria Bernini,1891
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,1878
113335124914,Matteo Renzi,Italia Viva,1757
1525666877712653,Coca-Cola,Coca-Cola,1726
299584710061488,WeWorld Onlus,WeWorld Onlus,1707
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle,1700
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,1682
40433567307,UNICEF Italia,These ads ran without a disclaimer,1613
117266648305733,LifeGate,LifeGate,1562
195548473824552,Associazione Diplomatici,Associazione Diplomatici,1467
1220083278166465,My KAI,Unilever,1445
1657214567845698,BPER Banca,BPER Banca,1403
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,1398
635426593771612,Ocean Words,These ads ran without a disclaimer,1349
1773694896182795,VD,Videodrome,1346
77034286895,Partito Democratico,These ads ran without a disclaimer,1303
241937025884890,Colgate Italia,Colgate Italia,1285
