Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,180558
178362315106,European Parliament,European Parliament,62373
73493613024,ActionAid Italia,ActionAid Italia,41955
107898832590939,European Commission,European Commission,38690
40433567307,UNICEF Italia,UNICEF Italia,30300
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,28986
39993728498,Amnesty International - Italia,Amnesty International - Italia,21434
164370404088711,Cif,Unilever,18043
77034286895,Partito Democratico,Partito Democratico,14737
252306033154,Matteo Salvini,Lega - Salvini Premier,12504
116716651695782,Silvio Berlusconi,Silvio Berlusconi,12242
35346524498,Greenpeace Italia,Greenpeace Italia,12093
331513123718905,Sprite,Coca-Cola,11758
1410474395723679,Petizioni.it,Petizioni.it,11450
103827764737718,mascherine.it,mascherine.it,11416
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,11414
106626487721376,Amazon Europe,Amazon Europe,10440
635426593771612,Ocean Words,Rio Mare,10440
100964541456650,Will media,Will Media,10232
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,9869
186041014771695,LINES,LINES,8976
183047736356,EMERGENCY,EMERGENCY,8927
576664002355828,CIWF Italia,CIWF Italia,8829
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,8534
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,8448
581029945275796,Rexpira - Consulenti del debito,Rexpira - Consulenti del debito,8185
156149777783739,Facebook app,Facebook,8122
146169045979888,Anna Maria Bernini,Anna Maria Bernini,7849
1015853455157037,Acea Gruppo,Acea,7675
150200761667597,Oxfam Italia,Oxfam Italia,7190
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,7163
554943434517746,Carte D'Or,Unilever,7101
113335124914,Matteo Renzi,Italia Viva,6909
182120865170178,Gianluigi Paragone,Gianluigi Paragone,6873
693492780985618,HSI/Italia,HSI/Italia,6749
131887960826264,Carlo Calenda,Azione,6592
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle,6410
1525666877712653,Coca-Cola,Coca-Cola,6218
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,5842
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,5767
1638510526420491,Refugees Welcome Italia,Refugees Welcome Italia,5624
201484606557114,Fotovoltaico per Te,These ads ran without a disclaimer,5404
955643344543213,Sindacato Asset,These ads ran without a disclaimer,5372
195548473824552,Associazione Diplomatici,Associazione Diplomatici,5229
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,5147
2050353221878553,Regione Siciliana,Regione Siciliana,4984
635426593771612,Ocean Words,These ads ran without a disclaimer,4842
1657214567845698,BPER Banca,BPER Banca,4837
88997912868,WWF Italia,WWF Italia,4830
1410474395723679,Petizioni.it,Silvano Facchinetti,4722
1999551673592698,Michele Gubitosa,Michele Gubitosa,4565
241937025884890,Colgate Italia,Colgate Italia,4539
2797201316986482,Annalisa Tardino,Annalisa Tardino,4481
579273989239487,100 per Augusta,100 per Augusta,4411
355710427861591,Fratelli d'Italia,Fratelli d'Italia,4340
492569564129501,Matilde Montaudo,Matilde Ada Montaudo,4316
1220083278166465,My KAI,Unilever,4173
299584710061488,WeWorld Onlus,WeWorld Onlus,4101
37616066366,Gino Strada,EMERGENCY,3682
1773694896182795,VD,Videodrome,3622
1197558557023437,Capitan Findus,Findus Italia,3549
1950051888380307,Virginia Puzzolo,Virginia Puzzolo,3346
102913007801451,Il Riformista,Il Riformista Romeo Editore,3315
115912616911241,Iovotosi,MoVimento 5 Stelle Camera,3315
77034286895,Partito Democratico,These ads ran without a disclaimer,3290
40433567307,UNICEF Italia,These ads ran without a disclaimer,3270
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle Camera,3253
38919827644,Giorgia Meloni,Fratelli d'Italia,3252
172265396249029,Forza Italia,These ads ran without a disclaimer,3223
117266648305733,LifeGate,LifeGate,3189
100717421797752,Medic Shop+,MedicShop,2962
113071918732530,Animal Equality Italia,Animal Equality Italia,2952
112359970226293,Carmelo Pullara,Antonio Palumbo,2934
406187203142799,Luciano Nobili,Luciano Nobili,2875
656848937718109,Michela Giuffrida,Michela Giuffrida,2720
376113702438564,Levissima,These ads ran without a disclaimer,2694
172265396249029,Forza Italia,Forza Italia,2689
171795872872353,ISPI - Istituto per gli studi di politica internazionale,ISPI - Istituto per gli studi di politica internazionale,2665
1168815166600773,Fab,Fab,2647
208046335427,Coop Alleanza 3.0,Chiara Trojsi,2632
113335124914,Matteo Renzi,Comitati Ritorno al Futuro - Azione Civile - Italia Viva,2597
91261353336,Terre des Hommes Italia,Terre des Hommes Italia,2559
437240109669063,Autonomi e Partite Iva - Eugenio Filograna,These ads ran without a disclaimer,2539
421539548423434,SOS Rifugiati,These ads ran without a disclaimer,2515
570007629863789,IlSicilia.it,IlSicilia.it,2506
109491080460389,Bambine Non Spose,WeWorld Onlus,2484
343584756259146,Al fianco delle Donne,Amref Health Africa - Italia,2450
360133591158746,zeroCO2,zeroCO2,2430
16995627251,Mulino Bianco,Mulino Bianco,2411
