Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,39068
178362315106,European Parliament,European Parliament,9857
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,8466
103827764737718,mascherine.it,mascherine.it,6717
40433567307,UNICEF Italia,UNICEF Italia,5761
107898832590939,European Commission,European Commission,5218
73493613024,ActionAid Italia,ActionAid Italia,5203
1420517681335669,Alessandro Dal Ri,Alessandro Dal Ri,4223
39993728498,Amnesty International - Italia,Amnesty International - Italia,4217
728779727219243,Andrea Merler,Andrea Merler,4068
1560429730868291,Herbert Dorfmann,Herbert Dorfmann,3933
104260031292530,Marcello Carli,Marcello Carli,3893
100756891466230,Franco Ianeselli,Franco Ianeselli,3651
35346524498,Greenpeace Italia,Greenpeace Italia,3259
183047736356,EMERGENCY,EMERGENCY,3110
112915743678121,Paolo Piccoli,Paolo Piccoli,3084
316756562307471,Lega Salvini AltoAdige Südtirol,Lega Salvini AltoAdige,3003
1552735984977254,Forum Prävention - Prevenzione,Forum Prävention - Prevenzione,2901
576664002355828,CIWF Italia,CIWF Italia,2858
900360899999206,Aquafarma,These ads ran without a disclaimer,2478
204493693449796,Matteo Gazzini,Matteo Gazzini,2470
840785932926956,Renate Holzeisen,Team Köllensperger,2277
103840098081846,Roberto Zanin,Roberto Zanin,2089
252306033154,Matteo Salvini,Lega - Salvini Premier,2015
1410474395723679,Petizioni.it,Petizioni.it,1916
164370404088711,Cif,Unilever,1906
693492780985618,HSI/Italia,HSI/Italia,1869
1258835734218209,Michaela Biancofiore,Michaela Biancofiore,1867
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,1856
331513123718905,Sprite,Coca-Cola,1801
618777048545635,Team K Bolzano-Bozen,Team K,1779
635426593771612,Ocean Words,Rio Mare,1769
150200761667597,Oxfam Italia,Oxfam Italia,1677
100717421797752,Medic Shop+,MedicShop,1618
37616066366,Gino Strada,EMERGENCY,1549
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,1508
88997912868,WWF Italia,WWF Italia,1491
186041014771695,LINES,LINES,1472
1451345288320470,Michele Dallapiccola Consigliere,Michele Dallapiccola,1441
105323631233875,Roberto Sani,Roberto Sani,1416
106626487721376,Amazon Europe,Amazon Europe,1342
195548473824552,Associazione Diplomatici,Associazione Diplomatici,1203
77034286895,Partito Democratico,Partito Democratico,1166
136473041144879,Emiliano Bertoldi - Insieme per Trento,Emiliano Bertoldi,1157
677517202289877,Partito Democratico Alto Adige-Südtirol,Partito Democratico Alto Adige-Südtirol,1137
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,1096
104151188099532,ViviitaliaTv,Gianfranco Merlin,1049
1577182715869355,Für Sterzing Wipptal,FÜR STERZING WIPPTAL,1033
1015853455157037,Acea Gruppo,Acea,1017
102930257948973,Valerio Lavorgna,Valerio Lavorgna,1014
120825249464087,Cristian Zanetti - Fratelli d'Italia,Cristian Zanetti,1004
100964541456650,Will media,Will Media,995
283008005549934,Alessandro Huber,Alessandro Huber,984
526588834198316,assipro.bz,Nils Reddig,946
1410474395723679,Petizioni.it,Silvano Facchinetti,931
257660925693,Eurac Research,Eurac Research,908
40433567307,UNICEF Italia,These ads ran without a disclaimer,905
106824484267812,Dario Dal Medico,Dario Dal Medico,898
114035443728671,Gianni.Jacucci,Gianni Jacucci,852
389585871653842,Massimiliano Santini,Massimiliano Ghelfi,851
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,848
338238743191322,Handelskammer Bozen - Camera di commercio di Bolzano - Ciamena dl Comerz,Handelskammer Bozen - Camera di commercio di Bolzano - Ciamena dl Comerz,840
116035116868358,Maskproof,Maskproof®,836
101683094966261,Massimiliano Mazzarella,Massimiliano Mazzarella,790
131887960826264,Carlo Calenda,Siamo Europei,784
360133591158746,zeroCO2,zeroCO2,783
156149777783739,Facebook app,Facebook,783
1525666877712653,Coca-Cola,Coca-Cola,779
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,777
131114510401942,Barfuss.it,Barfuss.it,759
182120865170178,Gianluigi Paragone,Gianluigi Paragone,750
101927734532989,Luigi Campestrini,Luigi Campestrini,739
106098661204801,Francesco Dellagiacoma,Francesco Dellagiacoma,714
635426593771612,Ocean Words,These ads ran without a disclaimer,713
113335124914,Matteo Renzi,Italia Viva,707
241937025884890,Colgate Italia,Colgate Italia,703
131887960826264,Carlo Calenda,Azione,702
115834959855187,Andreas Fernandez,Andreas Fernandez,695
685008214918317,AGIRE per il Trentino,Claudio Cia,684
881025231939905,Alleanza per Merano,Alleanza Per Merano,677
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,652
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,641
101151874798490,Civica Olivaia,Michele Tosi,639
1615025222078086,Verdi Bolzano/Grüne Bozen,Verdi Grüne Verc,629
554943434517746,Carte D'Or,Unilever,607
124810064240963,Land Südtirol,Autonome Provinz Bozen,603
105885064366305,Adalberto Mosaner,Antonio Maresca,592
779347678751107,Paul Köllensperger,Team K,576
