Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,178934
178362315106,European Parliament,European Parliament,43765
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,37523
113335124914,Matteo Renzi,Italia Viva,37472
265286813594330,Eugenio Giani,Eugenio Giani,33638
252306033154,Matteo Salvini,Lega - Salvini Premier,29570
40433567307,UNICEF Italia,UNICEF Italia,28095
73493613024,ActionAid Italia,ActionAid Italia,25853
257113927825642,Susanna Ceccardi,Lega - Salvini Premier,22587
39993728498,Amnesty International - Italia,Amnesty International - Italia,21575
107898832590939,European Commission,European Commission,21152
77034286895,Partito Democratico,Partito Democratico,16706
183047736356,EMERGENCY,EMERGENCY,15424
35346524498,Greenpeace Italia,Greenpeace Italia,14380
103827764737718,mascherine.it,mascherine.it,14318
518342558190046,Antonio Mazzeo,Antonio Mazzeo,12291
576664002355828,CIWF Italia,CIWF Italia,12150
642055949745828,Barbara Cagnacci,Barbara Cagnacci,11855
504752809973116,Federica Benifei,Federica Benifei,11204
589561931727676,Rosario Brillante PER Sinistra Civica Ecologista,Rosario Brillante,11014
101306541691682,Daniele Lorenzini,Daniele Lorenzini,10807
436787103743094,Chiara Tenerini - Cecina,Chiara Tenerini,10580
104831561327740,Barbara Frosini,Barbara Frosini,10415
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,10029
164370404088711,Cif,Unilever,9934
150200761667597,Oxfam Italia,Oxfam Italia,9817
106983654061295,Simone Bartoli,Simone Bartoli,9694
693492780985618,HSI/Italia,HSI/Italia,9558
464256556936524,Iacopo Melio,Iacopo Melio,9543
110810344022853,Francesco Micheli,Francesco Micheli,9508
1410474395723679,Petizioni.it,Petizioni.it,9048
1562198404057623,Informatore,Informatore,7886
1393257504323165,Alessandra Nardini,Alessandra Nardini,7664
37616066366,Gino Strada,EMERGENCY,7523
274729132548218,Marco Stella,Marco Stella,7458
88997912868,WWF Italia,WWF Italia,7317
635426593771612,Ocean Words,Rio Mare,6992
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,6976
331513123718905,Sprite,Coca-Cola,6821
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,6398
355710427861591,Fratelli d'Italia,Fratelli d'Italia,6193
307409299288429,Alberto Veronesi,Alberto Veronesi,6166
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,6134
106626487721376,Amazon Europe,Amazon Europe,6102
100964541456650,Will media,Will Media,5814
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,5384
186041014771695,LINES,LINES,5309
754405021286882,Ilaria Bugetti,Ilaria Bugetti,5263
131887960826264,Carlo Calenda,Azione,4864
595781924435546,Andrea Vannucci,Andrea Vannucci,4760
156149777783739,Facebook app,Facebook,4712
1015853455157037,Acea Gruppo,Acea,4640
362494797700891,Federica Picchi,Federica Picchi,4579
195548473824552,Associazione Diplomatici,Associazione Diplomatici,4559
1410474395723679,Petizioni.it,Silvano Facchinetti,4443
100717421797752,Medic Shop+,MedicShop,4398
182120865170178,Gianluigi Paragone,Gianluigi Paragone,4364
967216356650920,Paesaggi d'Acqua,Paesaggi d'Acqua,4354
102969511337009,Luciano Ralli,Luciano Ralli,4139
40433567307,UNICEF Italia,These ads ran without a disclaimer,3991
1443420129231727,Francesco Ferrari Sindaco,These ads ran without a disclaimer,3945
230235480357105,Lorenzo Gasperini - LEGA,Lorenzo Gasperini,3916
241424056063716,Nicola Danti,Nicola Danti,3884
44353765035,Leonardo Marras,Leonardo Marras,3857
289752771388757,Culligan Italiana,Culligan Italiana,3847
554943434517746,Carte D'Or,Unilever,3821
2420422918189960,Marcella Amadio,Marcella Amadio,3785
1525666877712653,Coca-Cola,Coca-Cola,3658
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,3539
346470846072706,Lorenzo Chiriatti,These ads ran without a disclaimer,3497
156922821011409,Timberland,PHD Media,3490
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,3455
530261173820767,Regione Toscana,Regione Toscana,3387
77034286895,Partito Democratico,These ads ran without a disclaimer,3381
186617118886135,Giovanni Gandolfo Fi,These ads ran without a disclaimer,3371
336645373620956,Paolo Amato - Candidato Lega Regione Toscana,Emanuele Cocollini,3357
360133591158746,zeroCO2,zeroCO2,3316
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,3268
285621544926546,Massimiliano Pescini,Comitato Elettorale Massimiliano Pescini,3238
146169045979888,Anna Maria Bernini,Anna Maria Bernini,3235
1000392486681830,Italia Viva,Italia Viva,3201
117266648305733,LifeGate,LifeGate,3118
113920240439599,Francesca Ceccatelli,Francesca  Ceccatelli,3106
172265396249029,Forza Italia,Forza Italia,3058
635426593771612,Ocean Words,These ads ran without a disclaimer,2988
145437958954905,Simona Bonafè,Simona Bonafè,2987
241937025884890,Colgate Italia,Colgate Italia,2975
113335124914,Matteo Renzi,Comitati Ritorno al Futuro - Azione Civile - Italia Viva,2933
