Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,38505
252306033154,Matteo Salvini,Lega - Salvini Premier,19549
2246312045617558,Daniele Carissimi,Daniele Carissimi,10813
178362315106,European Parliament,European Parliament,10178
1909557985721897,Donatella Tesei,Donatella Tesei,8735
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,7294
105210504206179,Paola Fioroni - Vicepresidente Assemblea Legislativa Regione Umbria,Paola Fioroni,6659
73493613024,ActionAid Italia,ActionAid Italia,6428
40433567307,UNICEF Italia,UNICEF Italia,6031
107898832590939,European Commission,European Commission,5069
1515009958746863,Coop Centro Italia,Coop Centro Italia,4556
101022711305833,Paola Agabiti Urbani,Paola Agabiti Urbani,4424
39993728498,Amnesty International - Italia,Amnesty International - Italia,4383
317033212339928,Michela Sciurpa,"Michela Sciurpa tramite mandatario elettorale Gian Luca Laurenzi, nato a Perugia il 21.09.1964 LRNGLC64P21G478O con nomina ed accettazione depositata il data 09.04.2019 alla Corte d’Appello di Perugia",4287
103827764737718,mascherine.it,mascherine.it,4054
77034286895,Partito Democratico,Partito Democratico,3319
126222422109591,Michele Bettarelli,Michele Bettarelli,3056
35346524498,Greenpeace Italia,Greenpeace Italia,2844
183047736356,EMERGENCY,EMERGENCY,2834
109701487090309,Tommaso Bori,Tommaso Bori,2812
106769777463191,Michele Fioroni,Michele Fioroni,2674
164370404088711,Cif,Unilever,2468
576664002355828,CIWF Italia,CIWF Italia,2336
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,2222
1410474395723679,Petizioni.it,Petizioni.it,1876
42425772121,Stefano Pastorelli,Stefano Pastorelli,1819
693492780985618,HSI/Italia,HSI/Italia,1767
104290060974654,Vincenzo Bianconi,Eleonora Verdolini,1746
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,1674
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,1667
150200761667597,Oxfam Italia,Oxfam Italia,1622
272379720320278,Stefano Zuccarini Sindaco,Stefano Zuccarini,1587
331513123718905,Sprite,Coca-Cola,1577
106626487721376,Amazon Europe,Amazon Europe,1563
635426593771612,Ocean Words,Rio Mare,1559
107549563981689,Giulio Villani - Cambiamo l’Umbria,Comitato Promotore Giulio Villani,1530
105455877499515,Andrea Fora,Andrea Fora,1527
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,1506
2517806175110151,Thomas De Luca,Thomas De Luca,1447
100964541456650,Will media,Will Media,1433
309967263225914,Europa Verde Umbria,Federazione Verdi,1413
102018231204346,Riconquistare l'Italia - Umbria,FSI - Fronte Sovranista Italiano,1384
37616066366,Gino Strada,EMERGENCY,1382
88997912868,WWF Italia,WWF Italia,1376
635335283545677,Giampietro Angelini,These ads ran without a disclaimer,1328
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,1326
113335124914,Matteo Renzi,Italia Viva,1303
38919827644,Giorgia Meloni,Fratelli d'Italia,1292
106864447386460,Massimo Bartoli - Umbria Civica,Massimo Carcani Bartoli,1289
2296269550654817,Riccardo Meloni,Riccardo Meloni,1281
401132446975687,Luca Briziarelli,Luca Briziarelli,1269
186041014771695,LINES,LINES,1248
156149777783739,Facebook app,Facebook,1216
1015853455157037,Acea Gruppo,Acea,1216
131887960826264,Carlo Calenda,Azione,1203
900360899999206,Aquafarma,These ads ran without a disclaimer,1173
100344018043076,Cristian Brutti,Michele Buratti,1165
182120865170178,Gianluigi Paragone,Gianluigi Paragone,1142
355710427861591,Fratelli d'Italia,Fratelli d'Italia,1115
885045775219511,Enrico Melasecche,Nicolò Melasecche,1112
100712044676045,Maria Elisabetta Mascio,Riccardo Passagrilli,1012
195548473824552,Associazione Diplomatici,Associazione Diplomatici,1012
187732718643961,Simona Meloni - Vicepresidente Assemblea Legislativa Regione Umbria,Luca Dini,1009
100717421797752,Medic Shop+,MedicShop,988
180922252680305,Francesca Tizi,These ads ran without a disclaimer,958
632686940488385,Francesco Forlin per Perugia,Francesco Forlin,931
2408453165855171,Luciano Pizzoni,Luciano Pizzoni Sindaco,905
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,904
554943434517746,Carte D'Or,Unilever,904
415633215912334,Roberto Morroni,Roberto Morroni,901
1410474395723679,Petizioni.it,Silvano Facchinetti,901
1566456283621768,Alessia Raponi,Alessia Raponi,897
146169045979888,Anna Maria Bernini,Anna Maria Bernini,882
1525666877712653,Coca-Cola,Coca-Cola,872
698227893967880,Riccardo Polli - Lega Foligno,Riccardo Polli,867
77034286895,Partito Democratico,These ads ran without a disclaimer,846
172265396249029,Forza Italia,Forza Italia,842
116716651695782,Silvio Berlusconi,Silvio Berlusconi,813
117266648305733,LifeGate,LifeGate,805
323754838347028,Emanuele Fiorini - Consigliere Comunale,Emanuele Fiorini,796
40433567307,UNICEF Italia,These ads ran without a disclaimer,791
2510702738963818,Sabrina Di Cola - Bianconi per l'Umbria Patto Civico,Andrea Sisti,788
201484606557114,Fotovoltaico per Te,Fotovoltaico per Te,784
180329672596502,Fratelli d'Italia Senato,Fratelli d'Italia Senato,782
150733802443681,Filippo Ugolini,Filippo Ugolini,754
201850267001765,Damocle Magrelli - Cascia Domani,Damocle Magrelli,745
103187174423024,Maurita Passaquieti,Michele Buratti,736
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,735
241424056063716,Nicola Danti,Nicola Danti,720
432523620830705,Patrizia Angeli - Lega,Patrizia Angeli,713
123176749084828,Edoardo Gentili.,Edoardo Gentili,712
632686940488385,Francesco Forlin per Perugia,These ads ran without a disclaimer,707
635426593771612,Ocean Words,These ads ran without a disclaimer,690
360133591158746,zeroCO2,zeroCO2,672
241937025884890,Colgate Italia,Colgate Italia,671
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,658
1984152801840519,Fiammetta Modena,Fiammetta Modena,655
2408453165855171,Luciano Pizzoni,These ads ran without a disclaimer,644
174457180812,MoVimento 5 Stelle,MoVimento 5 Stelle,644
393037280875657,Europe in my region,These ads ran without a disclaimer,641
977482079125273,Michela Giuliani - Lega Foligno,Michela Giuliani,637
1773694896182795,VD,Videodrome,626
113335124914,Matteo Renzi,Comitati Ritorno al Futuro - Azione Civile - Italia Viva,622
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,616
406187203142799,Luciano Nobili,Luciano Nobili,616
293132704609649,Elena Proietti - Assessore Comune Terni,Elena Proietti,609
102011231194568,Daniele Nicchi,Leonardo Semplici mandatario elettorale di Daniele Nicchi,601
2246312045617558,Daniele Carissimi,These ads ran without a disclaimer,596
1220083278166465,My KAI,Unilever,591
106940634048027,Valeria Cardinali,Valeria Cardinali,589
749848185059253,Emanuele Prisco,Emanuele Prisco,587
1657214567845698,BPER Banca,BPER Banca,583
1174383546076988,Baldinelli Angelo,Angelo Baldinelli,575
715083442242859,Francesca Peppucci,Francesca Peppucci,568
200291670004326,Omphalos LGBTI,Omphalos LGBTI,567
405956940133035,Sosventurini,Antonfrancesco Venturini,566
299584710061488,WeWorld Onlus,WeWorld Onlus,561
446584129111637,Paola Lungarotti Sindaco,These ads ran without a disclaimer,556
789343757815712,Andrea Sacripanti,These ads ran without a disclaimer,534
363952323736997,Movimento 5 Stelle Gubbio,Rodolfo Rughi,532
201484606557114,Fotovoltaico per Te,These ads ran without a disclaimer,530
104652392900508,Deputati PD,Deputati PD,511
1718838531535765,Camilla Laureti,Camilla Laureti,498
1197558557023437,Capitan Findus,Findus Italia,497
350578751706133,Fratelli d'Italia Umbria,Fratelli d'Italia Umbria,493
53347533412,LAV,LAV,481
113678006682995,Fabio Andrea Petrini - pagina dell'attività politica,Fabio Andrea Petrini,475
107889169248373,Marcia PerugiAssisi,Marcia PerugiAssisi,474
171795872872353,ISPI - Istituto per gli studi di politica internazionale,ISPI - Istituto per gli studi di politica internazionale,472
500318426668610,Stefano Lucidi,Stefano Lucidi,472
955643344543213,Sindacato Asset,These ads ran without a disclaimer,468
141019746076225,Sorgenia,Sorgenia,467
597700853974508,SiAmo Montefalco,Luca Preziosi,460
137385725576,Stefano Ansideri,Giacomo Fioroni,454
421539548423434,SOS Rifugiati,These ads ran without a disclaimer,452
113071918732530,Animal Equality Italia,Animal Equality Italia,452
1909557985721897,Donatella Tesei,These ads ran without a disclaimer,443
46590675335,Save the Children Italia,These ads ran without a disclaimer,443
131887960826264,Carlo Calenda,Siamo Europei,443
506531149512596,Antonio Tajani,Antonio Tajani,440
116035116868358,Maskproof,Maskproof®,435
115912616911241,Iovotosi,MoVimento 5 Stelle Camera,435
362494797700891,Federica Picchi,Federica Picchi,431
1999551673592698,Michele Gubitosa,Michele Gubitosa,428
431444097284756,Virginio Caparvi,Virginio Caparvi,404
38056594839,Biagioli Errico,These ads ran without a disclaimer,404
103261267749076,Cristina Celini_VOTA,Cristina Celini,401
2199335096814949,La Nuova Stagione,These ads ran without a disclaimer,400
200291670004326,Omphalos LGBTI,These ads ran without a disclaimer,400
107031897373174,Luca Gammaitoni,Luca Gammaitoni,399
407002316098521,Giacomo Leonelli,Giacomo Leonelli,398
2334936960070037,Foligno 2030,These ads ran without a disclaimer,396
109124290780727,Protectia,Luca Magnani,386
315849382340059,Giulio Gambino,TPI,382
437240109669063,Autonomi e Partite Iva - Eugenio Filograna,These ads ran without a disclaimer,382
343584756259146,Al fianco delle Donne,Amref Health Africa - Italia,378
106642087407414,Laura Pernazza,Laura Pernazza,378
200071823906683,Emma Pavanelli,Emma Pavanelli,377
1168815166600773,Fab,Fab,376
91261353336,Terre des Hommes Italia,Terre des Hommes Italia,368
1000392486681830,Italia Viva,Italia Viva,367
136888059662453,Mani Tese Ong Onlus,Mani Tese Ong Onlus,364
1492488504332032,Lega Umbria - Terni,Lega Umbria - Terni,364
376113702438564,Levissima,These ads ran without a disclaimer,362
290721534331298,Anna Ascani,Anna Ascani,362
372890306466700,Amici e sostenitori forze dell'ordine,These ads ran without a disclaimer,360
109491080460389,Bambine Non Spose,WeWorld Onlus,359
1450593071894311,Bussolini Design,Bussolini Design,354
48677844864,Amref Health Africa - Italia,These ads ran without a disclaimer,352
124351562296952,Marialaura Tufi Candidata al Consiglio Regionale,Marialaura Tufi,349
1583213175233477,Jacopo Alberti,JACOPO ALBERTI,345
1725281434468286,Patagonia,Patagonia,344
310213819129991,Forza Italia Umbria,Vincenzo Strino,343
963373667373045,Raffaella Bonsangue,"Giuseppe Mangano, mandatario elettorale Avv. Raffaella Bonsangue",341
237113069824607,Andrea Romizi,These ads ran without a disclaimer,340
203065183038056,Edizioni Centro Studi Erickson,Edizioni Centro Studi Erickson,338
437240109669063,Autonomi e Partite Iva - Eugenio Filograna,Eugenio Filograna,333
517836524946630,Humana Italia,Humana Italia,328
100943241302034,marcelli_daniele,Daniele Marcelli,327
145437958954905,Simona Bonafè,Simona Bonafè,325
313559438694166,VIDAS - Assistenza ai Malati inguaribili,VIDAS - Assistenza ai Malati inguaribili,323
963634253669103,Donatella Porzi,Donatella Porzi,323
46284336597,Eau Thermale Avène,Eau Thermale Avène,320
106834684049147,Antonio Di Cintio - Consigliere Comunale,Antonio Dicintio,316
102913007801451,Il Riformista,Il Riformista Romeo Editore,315
180275292801010,Fratelli d'Italia Camera,Gruppo Parlamentare della Camera dei Deputati "Fratelli D'Italia",314
542186902560698,Unione Buddhista Italiana,Unione Buddhista Italiana,314
117833439613784,Pietro Bellini - Elezioni regionali Umbria,Luca Rotili,313
118591018251602,Senatori PD,Senatori PD,311
118713758151850,UNHCR Italia - Agenzia ONU per i Rifugiati,These ads ran without a disclaimer,310
432523620830705,Patrizia Angeli - Lega,These ads ran without a disclaimer,309
153867014792181,La Voce del Territorio Umbro,Andrea Sonaglia,309
438647399606160,Catia Degli Esposti Consigliere Comunale,Catia Degli Esposti,308
217810366941,Left,Left,306
102769371451340,Civici per,Civici per,305
503567226377662,Centro Narconon "Il Gabbiano",These ads ran without a disclaimer,304
350016089053142,New Tech is Coming,These ads ran without a disclaimer,304
657831660949139,Purina FELIX,These ads ran without a disclaimer,301
100375901377419,Sauro Cristofani Candidato PD,Sauro Cristofani,300
500318426668610,Stefano Lucidi,These ads ran without a disclaimer,300
126662574668084,Più Europa,Più Europa,295
16995627251,Mulino Bianco,Mulino Bianco,293
407002316098521,Giacomo Leonelli,These ads ran without a disclaimer,293
850277085309106,Luca Valigi - Lega Perugia,These ads ran without a disclaimer,289
277302535941109,Gaspert Italia,Gaspert Italia Srl,289
100103075241780,Fondazione Laps,Fondazione Laps,288
127100637444463,VELUX,VELUX,288
415633215912334,Roberto Morroni,These ads ran without a disclaimer,288
1986354791491604,Filippo Sargentini - Candidato Amministrative Perugia 2019,These ads ran without a disclaimer,283
33327548320,Croce Rossa Italiana - Italian Red Cross,Croce Rossa Italiana - Italian Red Cross,282
134845253246587,Giovanni Guidi,These ads ran without a disclaimer,282
455750777797919,Farmacie UniClub,Farmacie UniClub,276
