Page ID,Page Name,Disclaimer,Amount Spent (EUR)
35346524498,Greenpeace Italia,Greenpeace Italia,≤100
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,≤100
46590675335,Save the Children Italia,Save the Children Italia,≤100
408051832613962,Cornetto,Unilever,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
33327548320,Croce Rossa Italiana - Italian Red Cross,Croce Rossa Italiana - Italian Red Cross,≤100
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,≤100
142589879147197,Europa Verde - Verdi,Federazione Verdi,≤100
195548473824552,Associazione Diplomatici,Associazione Diplomatici,≤100
73493613024,ActionAid Italia,These ads ran without a disclaimer,≤100
554943434517746,Carte D'Or,Unilever,≤100
635426593771612,Ocean Words,Rio Mare,≤100
464256556936524,Iacopo Melio,These ads ran without a disclaimer,≤100
107898832590939,European Commission,European Commission,≤100
331513123718905,Sprite,Coca-Cola,≤100
465447943628428,Escapologia Fiscale,Vittorio Gualtieri,≤100
1168815166600773,Fab,Fab,≤100
360133591158746,zeroCO2,zeroCO2,≤100
16995627251,Mulino Bianco,Mulino Bianco,≤100
178362315106,European Parliament,European Parliament,≤100
150200761667597,Oxfam Italia,These ads ran without a disclaimer,≤100
2280145882302852,WITHU,WITHU,≤100
164370404088711,Cif,Unilever,≤100
146169045979888,Anna Maria Bernini,Anna Maria Bernini,≤100
186041014771695,LINES,LINES,≤100
289518708781,AIESEC Italia,AIESEC Italia,≤100
265554166810598,BWT Italia,These ads ran without a disclaimer,≤100
102969511337009,Luciano Ralli,Luciano Ralli,≤100
368614197344926,oscar_mannone,Oscar Mannone,≤100
2245319259013529,Epoxy Paul Designer,These ads ran without a disclaimer,≤100
2359332724090383,M. Setti,These ads ran without a disclaimer,≤100
2246312045617558,Daniele Carissimi,Daniele Carissimi,≤100
362494797700891,Federica Picchi,Federica Picchi,≤100
263891677826490,Earthsider,These ads ran without a disclaimer,≤100
786277998397958,La Sinistra Livorno,These ads ran without a disclaimer,≤100
174478206566341,Fabrizio Marrazzo,Fabrizio Marrazzo,≤100
190417011163052,Fials Bologna,These ads ran without a disclaimer,≤100
126578555602,Skuola.net,Skuola.net,≤100
570306666809450,alessandrobertacchi,ABenergie,≤100
84853317780,Fondazione BCFN,Fondazione BCFN,≤100
814567265246458,Frida,These ads ran without a disclaimer,≤100
686689721540002,Volt Italia,Volt Italia,≤100
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,≤100
179082995487557,SOS Villaggi dei Bambini - Italia,SOS Villaggi dei Bambini - Italia,≤100
374864503051856,fredxdallas,Francesco  Dalla,≤100
1994549320790542,Luca Garibaldi,These ads ran without a disclaimer,≤100
267617064117828,Plastic Free,Plastic Free Odv Onlus,≤100
120798074831,Roger & Melicos - Energy specialist,These ads ran without a disclaimer,≤100
306885342758777,ALI Artisti Liguri Indipendenti,These ads ran without a disclaimer,≤100
1725281434468286,Patagonia,Patagonia,≤100
105177394197288,Giovanni Pasqual,These ads ran without a disclaimer,≤100
241937025884890,Colgate Italia,Colgate Italia,≤100
303430967017741,Andrea Romiti,These ads ran without a disclaimer,≤100
53388213256,Vincenzo De Luca,De Luca,≤100
1515009958746863,Coop Centro Italia,Coop Centro Italia,≤100
441812505843728,Corepla,Corepla,≤100
100387133404972,Gay Center,Gay Center,≤100
390355251115590,Angelo Di Lena,These ads ran without a disclaimer,≤100
1415914408713380,Scherma Trentina,These ads ran without a disclaimer,≤100
493299597821737,Più Europa Marche,These ads ran without a disclaimer,≤100
739725912814476,Torrefazione San Giorgio Caffe',These ads ran without a disclaimer,≤100
332942743999224,Stefania consigliera YR,These ads ran without a disclaimer,≤100
469492360107052,Luxoro,These ads ran without a disclaimer,≤100
383127045850689,Green_Genius,These ads ran without a disclaimer,≤100
338892353198553,Francesco Baldelli,Francesco Baldelli,≤100
2365400433517833,becontatto,becontatto.com,≤100
104541717602747,Liberiamo L'Italia-Caserta,These ads ran without a disclaimer,≤100
722774414552479,Gaetano Vilnò,These ads ran without a disclaimer,≤100
546614152178992,Mayor Pelekas Monastery,These ads ran without a disclaimer,≤100
585677098575764,Storie dall’altro Mondo,Francesca Napoli,≤100
2784228028261677,Il Blog di Ranieri Renato,These ads ran without a disclaimer,≤100
320851183286,Qatar Foundation,These ads ran without a disclaimer,≤100
203197030603239,8 Billion Trees,These ads ran without a disclaimer,≤100
