Page ID,Page Name,Disclaimer,Amount Spent (EUR)
46590675335,Save the Children Italia,Save the Children Italia,164284
178362315106,European Parliament,European Parliament,52260
65737832194,Medici Senza Frontiere,Medici Senza Frontiere,34727
40433567307,UNICEF Italia,UNICEF Italia,24981
107898832590939,European Commission,European Commission,23719
73493613024,ActionAid Italia,ActionAid Italia,21926
39993728498,Amnesty International - Italia,Amnesty International - Italia,19287
252306033154,Matteo Salvini,Lega - Salvini Premier,19183
35346524498,Greenpeace Italia,Greenpeace Italia,15550
355710427861591,Fratelli d'Italia,Fratelli d'Italia,13983
103827764737718,mascherine.it,mascherine.it,13325
183047736356,EMERGENCY,EMERGENCY,13161
576664002355828,CIWF Italia,CIWF Italia,12562
164370404088711,Cif,Unilever,10528
163927824248716,Alex Bazzaro,Alex Bazzaro,10209
105697815298,Andrea Zanoni,Andrea Zanoni,9818
900360899999206,Aquafarma,These ads ran without a disclaimer,9241
693492780985618,HSI/Italia,HSI/Italia,8971
1410474395723679,Petizioni.it,Petizioni.it,8789
331513123718905,Sprite,Coca-Cola,8629
635426593771612,Ocean Words,Rio Mare,8328
48677844864,Amref Health Africa - Italia,Amref Health Africa - Italia,8225
77034286895,Partito Democratico,Partito Democratico,8201
782926968463176,Luigi Brugnaro,Luigi Brugnaro,7404
88997912868,WWF Italia,WWF Italia,7219
150200761667597,Oxfam Italia,Oxfam Italia,7004
186041014771695,LINES,LINES,6868
37616066366,Gino Strada,EMERGENCY,6657
106626487721376,Amazon Europe,Amazon Europe,6489
421539548423434,SOS Rifugiati,UNHCR Italia - Agenzia ONU per i Rifugiati,6472
100964541456650,Will media,Will Media,6428
104506307670829,Piumestrepiuvenezia,Matteo Pogliani,6155
195548473824552,Associazione Diplomatici,Associazione Diplomatici,6095
182120865170178,Gianluigi Paragone,Gianluigi Paragone,5952
154399214606489,Fondazione Grigioni per il Morbo di Parkinson,These ads ran without a disclaimer,5751
1015853455157037,Acea Gruppo,Acea,5541
213526792349118,Venetex.net,Circuito Venetex,5399
108377564287280,Lista Luigi Brugnaro Sindaco,Luigi Brugnaro,5121
681584765633453,Il Veneto che vogliamo,Il Veneto che Vogliamo,4845
113335124914,Matteo Renzi,Italia Viva,4716
131887960826264,Carlo Calenda,Azione,4681
1410474395723679,Petizioni.it,Silvano Facchinetti,4663
113335124914,Matteo Renzi,Comitati Ritorno al Futuro,4614
1468995900001859,Pier Paolo Baretta,Pier Paolo Baretta,4559
887405791294493,Scuola Greco Pittella,Scuola Greco Pittella,4444
131887960826264,Carlo Calenda,Siamo Europei,4394
334460156577100,Sboarina Sindaco,Federico Sboarina,4359
721483264601661,Antonio Guadagnini,Antonio Guadagnini,4346
111698260596405,Pietro Bean,Pietro Bean,4290
248612615697451,Enoch Soranzo,Enoch Soranzo,4289
100717421797752,Medic Shop+,MedicShop,4280
156149777783739,Facebook app,Facebook,4227
324659087936362,CarClinic,CAR CLINIC SRL,4151
478212418874107,Achille Variati,Achille Variati,4137
1525666877712653,Coca-Cola,Coca-Cola,4123
1388200324533711,Arturo Lorenzoni,Arturo Lorenzoni,4059
1666753083633286,Elisa De Berti,Elisa De Berti,3927
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,3925
144252722411260,Giacomo Possamai,Giacomo Possamai,3918
445235400057,Commissione europea – Rappresentanza in Italia,Commissione europea – Rappresentanza in Italia,3813
409107345847573,Alberto Villanova,Alberto Villanova,3729
204493693449796,Matteo Gazzini,Matteo Gazzini,3716
102252658184250,Elisa La Paglia,Elisa La Paglia,3706
554943434517746,Carte D'Or,Unilever,3654
270311810048060,Sergio Giordani,Sergio Giordani,3590
635426593771612,Ocean Words,These ads ran without a disclaimer,3548
146169045979888,Anna Maria Bernini,Anna Maria Bernini,3521
241937025884890,Colgate Italia,Colgate Italia,3469
360133591158746,zeroCO2,zeroCO2,3433
40433567307,UNICEF Italia,These ads ran without a disclaimer,3376
389585871653842,Massimiliano Santini,Massimiliano Ghelfi,3227
289752771388757,Culligan Italiana,Culligan Italiana,3124
112025000250888,Enrico Corsi,Happy Brain S.r.l.,3034
38919827644,Giorgia Meloni,Fratelli d'Italia,2983
117266648305733,LifeGate,LifeGate,2934
1403129109978499,Anna Maria Bigon,Anna Maria Bigon,2863
1773694896182795,VD,Videodrome,2857
132707500076838,Il Fatto Quotidiano,Il Fatto Quotidiano,2811
208046335427,Coop Alleanza 3.0,Chiara Trojsi,2797
107788709735129,TG Plus Treviso,Luca Marton,2745
