Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
160851767470,Viktoras Uspaskich,Viktoras Uspaskich,60576,135
178362315106,European Parliament,European Parliament,56470,870
1732022290384006,Nogrid,Sun Investment Group,38758,223
264116120225,Darbo partija,Darbo partija,38506,320
460195401047293,Enefit Lietuva,Enefit Lietuva,35841,427
190209177745566,Lietuvos valstiečių ir žaliųjų sąjunga,Lietuvos valstiečių ir žaliųjų sąjunga,27588,190
202360056491831,Lietuvos socialdemokratų partija - LSDP,Lietuvos socialdemokratų partija - LSDP,25730,583
198988713464683,Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD),TS-LKD,24710,329
81004804444,Liberalai,Liberalai,19490,622
1557796401104405,Mykolas Majauskas,Mykolas Majauskas,17521,144
169414316438308,Waldemar Tomaszewski / Valdemar Tomaševski,AWPL-ZCHR,15447,53
393195034595433,Laisvės partija,Laisvės partija,13611,128
76783564232,Europos Komisijos atstovybė Lietuvoje,Europos Komisijos atstovybė Lietuvoje,12430,232
107898832590939,European Commission,European Commission,12370,257
198404080183024,Swedbank Lietuvoje,Swedbank Lietuvoje,11153,196
1739968129576961,Mindaugas Puidokas,Puidokas Mindaugas,10906,410
128572499128,LRT,LRT,10847,471
93535661889,TV3 televizija,TV3 televizija,9793,414
18276748821,Antanas Guoga,Lietuvos Centro Partijos rinkimų sąskaita,8455,33
287613331259579,M.G.Maksimalietis,M.G.Maksimalietis,8255,276
163564217762927,Minfo,Gabrilavicius Marius,7942,735
40711908859,15min,15min,7174,194
176464169358846,Lygių galimybių kontrolieriaus tarnyba,Lygių galimybių kontrolieriaus tarnyba,6009,26
684534791927883,Gitanas Nausėda,Gitanas Nausėda,5820,101
393195034595433,Laisvės partija,Laisvės partijos rinkiminė sąskaita,5510,268
160851767470,Viktoras Uspaskich,Darbo partija,5021,31
100382426702032,Gediminas Jaunius,Gediminas Jaunius,4681,189
1651554231738028,Vytenis Andriukaitis,Vytenis Andriukaitis,4621,49
251631124915712,Lietuva - visų,Mindaugas Bertulis,4582,49
174772099242581,Viktoras Fiodorovas,Darbo partija,4520,76
111530930306854,Nacionalinis susivienijimas,Politinė partija "Nacionalinis susivienijimas",3983,40
642423342820570,Lietuvos Naujienų Agentūra - LNA,Gabrilavicius Marius,3790,278
1083343381737877,Auga,Auga,3756,80
113898923729796,"Vaidas Navickas, kandidatas į Seimą",Vaidas Navickas,3702,245
115760389854341,Saulės bendruomenė,Sun Investment Group,3679,73
232641654089767,Prof. dr. Vigilijus Jukna,Vigilijus Jukna,3644,103
102834291457199,Žaliuojudėl_,Lietuvos žaliųjų partija - #TikraiŽali,3592,169
265079287510957,Marijus Velička,Marijus Velička,3539,22
886204424824329,Sėdmaišiai,Januskeviciute Ugne,3491,82
112418023462235,Missing Protection Lithuania,GlaxoSmithKline Lietuva,3348,2
1052857804792527,Asta Kubilienė LR Seimo narė,Lietuvos valstiečių ir žaliųjų sąjunga,3340,46
100263748441271,Lukas Savickas,Lietuvos valstiečių ir žaliųjų sąjunga,3262,19
169414316438308,Waldemar Tomaszewski / Valdemar Tomaševski,Zacharevic Raimund,3200,4
1456981657903291,SAVY,SAVY,3137,6
275183052822052,Elektrum Lietuva,Elektrum Lietuva,3109,159
150259975018869,Zuokas,LLS (liberalai),3000,4
630229464086126,Lindström,Lindström,2949,46
102161476501915,Centro partija - tautininkai,Centro Partija - Tautininkai,2947,66
101083895050385,Sign It Europe,These ads ran without a disclaimer,2900,22
185802948122130,Ieva Kačinskaitė-Urbonienė,Ieva Kačinskaitė-Urbonienė,2887,47
112212930266818,Stasys Jakeliūnas,Stasys Jakeliūnas,2740,7
993853767374212,Lemiamas šuolis,Rinkimų komitetas "Lemiamas šuolis",2736,26
105924376125620,Lietuvos žmogaus teisių centras,Lietuvos žmogaus teisių centras,2655,33
257186392196,STOP THE TRAFFIK,STOP THE TRAFFIK with Facebook ad credits,2642,42
271985683154034,Paulius Zaviša / LVŽS / Nr. 66,Lietuvos valstiečių ir žaliųjų sąjunga,2620,28
1309289869219156,Monika Ošmianskienė,Monika Ošmianskienė,2529,46
46321397670,Telia Lietuva,Telia Lietuva,2499,16
2462724830412190,Tavo Balsas Gali,Lietuvos valstiečių ir žaliųjų sąjunga,2499,74
2214495192154107,Už Ingridą,Ingrida Šimonytė,2483,66
1055624527858410,Artūras Skardžius,Artūras Skardžius,2336,36
300771660032648,Lietuvos žaliųjų partija - #TikraiŽali,Lietuvos žaliųjų partija,2314,81
102479811317997,Laisvė ir Teisingumas,Laisvė ir Teisingumas,2227,19
48034275355,EPP - European People's Party,EPP - European People's Party,2205,49
107927550729313,Remigijus Lapinskas,Lietuvos žaliųjų partija,2144,45
305608429284,EU Environment,EU Environment,2143,40
141366725876424,European Greens,European Greens,2097,8
180428492164818,Zigmantas Balčytis,LSDDP,2013,16
153707501325987,Lietuvos Respublikos vyriausioji rinkimų komisija,Lietuvos Respublikos vyriausioji rinkimų komisija,2000,5
155075304519795,Vytautas Gapšys,Vytautas Gapšys,1999,24
232584276910920,Andrius Bagdonas,Andrius Bagdonas,1962,57
147547541961576,Council of the European Union,Council of the European Union,1930,237
367514320081417,Tauragės rajono savivaldybė,Tauragės rajono savivaldybės administracija,1925,87
714037302069759,Vytautas Kernagis,Vytautas Kernagis,1923,38
814777171988967,Saulius Skvernelis,Lieuvos valstiečių ir žaliųjų sąjunga,1902,10
188014250186,Europos Parlamento biuras Lietuvoje,Europos Parlamento biuras Lietuvoje,1820,71
103955137957045,Paulius Lukševičius,Lukševičius Paulius,1817,37
943242549103105,Simas Galdikas,Simas Galdikas,1799,14
1075882205769447,Andrius Vyšniauskas,Andrius Vyšniauskas,1775,47
325717728193112,ŽMONĖS Cinema,ŽMONĖS Cinema,1700,15
206075496069598,Moterų Informacijos Centras,Moterų Informacijos Centras,1639,250
763068560724258,Karolina Štelmokaitė,LVŽS,1615,27
1732022290384006,Nogrid,Ads,1613,50
103890101165552,Sąjūdis prieš Astravo AE,Asociacija "Sąjūdis prieš Astravo AE",1605,25
281301978736736,Agnė Bilotaitė,Open Agency,1590,7
111168630600242,Vytautas Tamošiūnas,Vytautas Tamošiūnas,1572,45
602524153225555,Mindaugas Tarnauskas,Laisvės partija,1537,43
104379651211259,Morgana Danielė,Morgana Daniele,1521,23
1613614545533263,"Norvegija, Islandija ir Lichtenšteinas Lietuvai",Soma agency,1510,4
153503721991788,Lietuvos socialdemokratų darbo partija,LSDDP,1503,52
1381759555183525,Laurynas Kasčiūnas,Kasčiūnas Laurynas,1447,29
102287801400019,Jurgis Razma,Jurgis Razma,1432,5
106724180893862,Rasa Juknevičienė,Rasa Jukneviciene,1419,16
106953477435247,Juozas Olekas,EP S&D frakcijos Lietuvos delegacija,1403,60
291572615059,Linas Jonauskas,Linas Jonauskas,1373,11
151962321499506,DELFI.lt,DELFI.lt,1336,274
131053915282,Žmogaus teisių stebėjimo institutas,Žmogaus teisių stebėjimo institutas,1335,21
100807188278895,Algirdas Pieniuta,Algirdas Pieniuta,1311,15
348727065213388,Arminas Mockevičius,Lietuvos valstiečių ir žaliųjų sąjunga,1222,28
107238627331188,Rinkis Gyvenimą,Budginas Deividas,1216,14
448461775178435,Julius SABATAUSKAS,Julius Sabatauskas,1216,33
2214495192154107,Už Ingridą,Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD),1196,12
101529508323497,Valerijus Simulik,Arturas Orlauskas,1160,19
113433363748695,Paulė Kuzmickienė,Paulė Kuzmickienė,1143,22
106463124415092,Aleksej Persijanov,Aleksej Persijanov,1133,40
102544011589830,Romualdas Vaitkus,Lietuvos Respublikos liberalų sąjūdžio rinkiminės sąskaitos,1128,40
311023601960,Laima Andrikienė,Robertas Šapalas,1122,39
278347486039292,Urban Earth Lovers Lietuva,These ads ran without a disclaimer,1095,2
337391493109248,LVŽS Kaunas,Lietuvos valstiečių ir žaliųjų sąjunga,1086,15
2214495192154107,Už Ingridą,These ads ran without a disclaimer,1078,254
729627343834501,Kialo,These ads ran without a disclaimer,1066,322
113819303740915,Vytas Lužys,Vytas Lužys,1034,22
429195173763802,Užsienio reikalų ministerija,Užsienio reikalų ministerija,1027,6
110938727353956,Aleksandras Nemunaitis,Politinė partija "Nacionalinis susivienijimas",1026,30
100291228399179,Raminta Popovienė,Raminta Popovienė,1008,29
943920815656380,Laisvos visuomenės institutas,Laisvos visuomenės institutas,1004,74
106480181018338,Edmundas Pupinis,Edmundas Pupinis,1001,28
106222374637021,Daugiau balanso,Lygių galimybių kontrolieriaus tarnyba,1000,6
284654218292373,ŽMONĖS,ŽMONĖS,994,42
113109543874161,Liutauras Gudžinskas,Liutauras Gudžinskas,988,45
108374414290601,Algirdas Stončaitis,Lietuvos valstiečių ir žaliųjų sąjunga (396698867734969),980,5
110943557353903,Matas Maldeikis,Matas Maldeikis,971,15
108061027746198,Dėmesio pietinei Klaipėdai,Open Agency,966,28
103414948145212,Radvilė Morkūnaitė-Mikulėnienė,Radvilė Morkūnaitė-Mikulėnienė,946,21
616358459047664,Jonas Talmantas,Jonas Talmantas LSDP,930,8
104153571613220,Maldos akcija už šeimą - visuomenės ir valstybės pagrindą,Maldos akcija už šeimą - visuomenės ir valstybės pagrindą,926,28
100277411827252,Jolanta Butkevičienė,Jolanta Butkevičienė,919,15
108317180961588,Jūratė Zailskienė,Jūratė Zailskienė LSDP,909,7
790530451326497,Tomas Vytautas Raskevičius,Tomas Vytautas Raskevičius,901,19
107726411040673,Valentinas Pečininas,Apmokėjo Krikščionių Sąjunga,900,1
1760394054190401,LSDP Trakai,Kęstutis Vilkauskas LSDP,899,10
103244998165052,Vytautas Sinica,Politinė partija Nacionalinis susivienijimas,885,12
187271597954726,Mantas Adomėnas,Mantas Adomėnas,885,43
76783564232,Europos Komisijos atstovybė Lietuvoje,Integrity PR,850,9
111530930306854,Nacionalinis susivienijimas,Kuriama politinė partija "Nacionalinis susivienijimas",846,26
107154597286816,Vilma Galdikė Page,Lietuvos valstiečių ir žaliųjų sąjunga,837,7
348669076008,Шустер online,These ads ran without a disclaimer,824,1
102274638202346,Valentinas Beržiūnas,Lietuvos valstiečių ir žaliųjų sąjunga,820,49
101795274521913,Audrius Petrošius,Audrius Petrošius,817,27
110788692474,UAB "Investra",Investra,813,94
101795274521913,Audrius Petrošius,Open Agency,810,36
198988713464683,Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD),These ads ran without a disclaimer,808,10
360645950622621,Dainius Kreivys,Dainius Kreivys,807,18
114477840305873,Justas Džiugelis,Justas Džiugelis,802,93
366156960783601,Ugnius Kiguolis,Ugnius Kiguolis,800,9
111048810318084,Giedrius Alasevičius,Giedrius Alasevičius,788,16
619973094764250,Naglis Puteikis,Puteikis Naglis,784,14
300470320617792,LR Seimo narys Aidas Gedvilas,Aidas Gedvilas,782,32
357771241521827,Alina Adomaityte,Alina Adomaitytė,781,31
460195401047293,Enefit Lietuva,These ads ran without a disclaimer,775,19
619973094764250,Naglis Puteikis,Centro Partija - Tautininkai,774,10
18276748821,Antanas Guoga,Antanas Guoga,767,5
321912278142247,Arūnas Barbšys,Arūnas Barbšys,763,18
295192850816956,Finansų bitė verslui,These ads ran without a disclaimer,761,13
530620843630609,Tomas Tomilinas - naujienos,Tomilinas Tomas,753,26
106761397803724,Giedrius Bindza,Giedrius Bindza,750,4
299880230478868,Eternia Solar Lietuva,Eternia solar,749,18
28312410177,World Food Programme,These ads ran without a disclaimer,748,24
100820501731996,Romandas Žiubrys,Lietuvos valstiečių ir žaliųjų sąjunga,747,12
103244998165052,Vytautas Sinica,Vytautas Sinica,745,22
105574054647608,Dovilas Petkus,Dovilas Petkus,743,19
114210850433472,Kazys Starkevičius,Kazys Starkevičius,742,17
237934590922181,Laima Nagienė,Lietuvos valstiečių ir žaliųjų sąjunga,740,21
334338600540343,Laima Mogenienė,Lietuvos valstiečių ir žaliųjų sąjunga,735,67
112212930266818,Stasys Jakeliūnas,Stasys Jakeliūnas,725,3
100382426702032,Gediminas Jaunius,Laura Ignatovičiūtė,719,3
111036350687556,Vaida Baranovė,Vaida Baranovė,719,32
160386577395511,Darius Razmislevičius,Darius Razmislevičius,709,24
111410118181,TS-LKD Kaunas,Open Agency,706,1
603641173407274,Dovydas Kaminskas,Dovydas Kaminskas,662,19
287613331259579,M.G.Maksimalietis,These ads ran without a disclaimer,661,32
106601410807622,Lietuvos Žaliųjų Partija Kelmės ir Šilalės skyrius,Lietuvos žaliųjų partija,660,11
76783564232,Europos Komisijos atstovybė Lietuvoje,These ads ran without a disclaimer,659,14
159942330779210,Žaliosios politikos institutas,Žaliosios politikos institutas,656,15
109876303946084,Tadas Prajara,Tadas Prajara,653,8
458551247900215,Arvydas Juozaitis,Arvydas Juozaitis,652,10
2253323068219474,Darius Petrošius,Darius Petrošius,648,13
107898832590939,European Commission,These ads ran without a disclaimer,646,13
619973094764250,Naglis Puteikis,Centro partija - Tautininkai,644,13
637616993532457,Laimis Bikauskas Nr. 93 LVŽS,Lietuvos valstiečių ir žaliųjų sąjunga,643,9
1775188329436844,Egidijus Papečkys,Egidijus Papečkys,640,1
2455107328042506,Vitalijus Šeršniovas,Vitalijus Šeršniovas,636,5
1554709478144624,Koalicija "Už laisvę augti",Liberalai,629,41
2162254673825112,Už Joną Gudauską,Jonas Gudauskas,629,37
103043308183132,Violeta Boreikienė Page,Violeta Boreikienė LSDP,625,5
247645185348731,Vytautas Juozapaitis,Vytautas Juozapaitis,623,20
1020115564681330,Vaidas Venckus Neringa,Vaidas Venckus,621,22
426786290694180,Darius Pietaris,Darius Pietaris,617,109
348857818489874,Audronius Ažubalis,Ažubalis Audronius,615,31
448711945161881,Kauno socialdemokratai,Kauno socialdemokratai,607,33
530620843630609,Tomas Tomilinas - naujienos,Lietuvos valstiečių ir žaliųjų sąjunga,606,24
280148095651601,Gyvenimas per brangus,Gyvenimas per brangus,599,35
110911210513614,Ignas Vaškelis,Lietuvos socialdemokratų partija,598,16
527351247377965,European Committee of the Regions,European Committee of the Regions,584,113
1377750872539036,Aušrinė Armonaitė,Aušrinė Armonaitė,580,17
375874369235702,Gintas Jasiulionis,Gintas Jasiulionis,576,7
226610742021825,Jonas Varkalys,Jonas Varkalys,568,11
166001730163862,Pro Patria,Pro Patria,566,14
666697733748899,Dovilas Petkus,Petkus Dovilas,560,5
425995794181223,Monika Navickienė,Monika Navickienė,559,12
102161476501915,Centro partija - tautininkai,These ads ran without a disclaimer,552,3
114208490307435,Audrius Kazlauskas,Audrius Kazlauskas,548,25
730896940396026,Eugenijus Jovaiša,Lietuvos valstiečių ir žaliųjų sąjunga,548,8
145187766195921,Mano pensija,LIPFA,543,11
18276748821,Antanas Guoga,These ads ran without a disclaimer,543,3
795932553757574,TS - LKD Klaipėda,Open Agency,540,2
1266535153386545,Rimantas Dagys,Dagys Rimantas Jonas,539,69
2144450085772571,"Lino Kojalos knyga Baltieji rūmai ir Lietuva: Bushas, Obama, Trumpas..?",Kojala Linas,537,21
669552519886235,Vytautas Bakas,Vytautas Bakas,529,33
163103797066256,Verslo žinios,Verslo Žinios,527,8
103062721207795,Vidmantas Norvaišas,Vidmantas Norvaišas,526,14
112418023462235,Missing Protection Lithuania,These ads ran without a disclaimer,517,2
221292842061953,Love my country,These ads ran without a disclaimer,515,145
334338600540343,Laima Mogenienė,LVŽS partija (EP rinkimų sąskaita),512,44
512970782444355,Jurgita Šiugždinienė,Jurgita Šiugždinienė,511,30
116193833543092,Vytautas Stanslovas,Open Agency,499,8
774715412615389,Rasa Petrauskienė,Rasa Petrauskienė,487,14
114132657081331,Vytenis Škarnulis Jr.,Vytenis Škarnulis,482,1
118967168247334,Salonas "Ispaniškos plytelės",UAB Legionas,479,20
2033949783516769,SBA grupė,These ads ran without a disclaimer,475,12
104262848065771,Vytautas Mitalas,Vytautas Mitalas,472,11
232853047075826,Giedrius Surplys,Lietuvos valstiečių ir žaliųjų sąjunga,469,30
117016060204892,Apie pneumokoką kaip pirmokui,MSD,468,6
