Page ID,Page Name,Disclaimer,Amount Spent (EUR)
160851767470,Viktoras Uspaskich,Viktoras Uspaskich,12468
178362315106,European Parliament,European Parliament,12156
1732022290384006,Nogrid,Sun Investment Group,8354
460195401047293,Enefit Lietuva,Enefit Lietuva,7449
264116120225,Darbo partija,Darbo partija,6922
190209177745566,Lietuvos valstiečių ir žaliųjų sąjunga,Lietuvos valstiečių ir žaliųjų sąjunga,6327
198988713464683,Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD),TS-LKD,5313
202360056491831,Lietuvos socialdemokratų partija - LSDP,Lietuvos socialdemokratų partija - LSDP,4744
1739968129576961,Mindaugas Puidokas,Puidokas Mindaugas,4002
1557796401104405,Mykolas Majauskas,Mykolas Majauskas,3337
393195034595433,Laisvės partija,Laisvės partija,3245
174772099242581,Viktoras Fiodorovas,Darbo partija,3244
81004804444,Liberalai,Liberalai,2872
107898832590939,European Commission,European Commission,2813
76783564232,Europos Komisijos atstovybė Lietuvoje,Europos Komisijos atstovybė Lietuvoje,2495
128572499128,LRT,LRT,2275
169414316438308,Waldemar Tomaszewski / Valdemar Tomaševski,AWPL-ZCHR,2211
198404080183024,Swedbank Lietuvoje,Swedbank Lietuvoje,2076
18276748821,Antanas Guoga,Lietuvos Centro Partijos rinkimų sąskaita,1912
93535661889,TV3 televizija,TV3 televizija,1876
163564217762927,Minfo,Gabrilavicius Marius,1688
103955137957045,Paulius Lukševičius,Lukševičius Paulius,1676
40711908859,15min,15min,1602
287613331259579,M.G.Maksimalietis,M.G.Maksimalietis,1542
393195034595433,Laisvės partija,Laisvės partijos rinkiminė sąskaita,1448
107927550729313,Remigijus Lapinskas,Lietuvos žaliųjų partija,1364
684534791927883,Gitanas Nausėda,Gitanas Nausėda,1359
176464169358846,Lygių galimybių kontrolieriaus tarnyba,Lygių galimybių kontrolieriaus tarnyba,1138
1083343381737877,Auga,Auga,1028
102834291457199,Žaliuojudėl_,Lietuvos žaliųjų partija - #TikraiŽali,982
100291228399179,Raminta Popovienė,Raminta Popovienė,971
251631124915712,Lietuva - visų,Mindaugas Bertulis,907
886204424824329,Sėdmaišiai,Januskeviciute Ugne,879
160851767470,Viktoras Uspaskich,Darbo partija,851
111530930306854,Nacionalinis susivienijimas,Politinė partija "Nacionalinis susivienijimas",808
642423342820570,Lietuvos Naujienų Agentūra - LNA,Gabrilavicius Marius,783
630229464086126,Lindström,Lindström,782
115760389854341,Saulės bendruomenė,Sun Investment Group,759
111410118181,TS-LKD Kaunas,Open Agency,706
1456981657903291,SAVY,SAVY,696
187271597954726,Mantas Adomėnas,Mantas Adomėnas,689
993853767374212,Lemiamas šuolis,Rinkimų komitetas "Lemiamas šuolis",682
1651554231738028,Vytenis Andriukaitis,Vytenis Andriukaitis,676
112418023462235,Missing Protection Lithuania,GlaxoSmithKline Lietuva,668
160386577395511,Darius Razmislevičius,Darius Razmislevičius,652
232641654089767,Prof. dr. Vigilijus Jukna,Vigilijus Jukna,625
113898923729796,"Vaidas Navickas, kandidatas į Seimą",Vaidas Navickas,614
105924376125620,Lietuvos žmogaus teisių centras,Lietuvos žmogaus teisių centras,602
275183052822052,Elektrum Lietuva,Elektrum Lietuva,602
448711945161881,Kauno socialdemokratai,Kauno socialdemokratai,597
257186392196,STOP THE TRAFFIK,STOP THE TRAFFIK with Facebook ad credits,581
112212930266818,Stasys Jakeliūnas,Stasys Jakeliūnas,573
103043308183132,Violeta Boreikienė Page,Violeta Boreikienė LSDP,561
337391493109248,LVŽS Kaunas,Lietuvos valstiečių ir žaliųjų sąjunga,552
141366725876424,European Greens,European Greens,547
150259975018869,Zuokas,LLS (liberalai),536
46321397670,Telia Lietuva,Telia Lietuva,533
169414316438308,Waldemar Tomaszewski / Valdemar Tomaševski,Zacharevic Raimund,531
2214495192154107,Už Ingridą,Ingrida Šimonytė,531
114210850433472,Kazys Starkevičius,Kazys Starkevičius,522
512970782444355,Jurgita Šiugždinienė,Jurgita Šiugždinienė,511
247645185348731,Vytautas Juozapaitis,Vytautas Juozapaitis,507
814777171988967,Saulius Skvernelis,Lieuvos valstiečių ir žaliųjų sąjunga,503
305608429284,EU Environment,EU Environment,500
300771660032648,Lietuvos žaliųjų partija - #TikraiŽali,Lietuvos žaliųjų partija,479
100382426702032,Gediminas Jaunius,Gediminas Jaunius,475
102161476501915,Centro partija - tautininkai,Centro Partija - Tautininkai,463
102479811317997,Laisvė ir Teisingumas,Laisvė ir Teisingumas,462
271985683154034,Paulius Zaviša / LVŽS / Nr. 66,Lietuvos valstiečių ir žaliųjų sąjunga,438
188014250186,Europos Parlamento biuras Lietuvoje,Europos Parlamento biuras Lietuvoje,429
312983092825274,Žilvinas Galimovas,Galimovas Žilvinas,414
111168630600242,Vytautas Tamošiūnas,Vytautas Tamošiūnas,413
100263748441271,Lukas Savickas,Lietuvos valstiečių ir žaliųjų sąjunga,403
325717728193112,ŽMONĖS Cinema,ŽMONĖS Cinema,397
147547541961576,Council of the European Union,Council of the European Union,395
153707501325987,Lietuvos Respublikos vyriausioji rinkimų komisija,Lietuvos Respublikos vyriausioji rinkimų komisija,394
1613614545533263,"Norvegija, Islandija ir Lichtenšteinas Lietuvai",Soma agency,393
232584276910920,Andrius Bagdonas,Andrius Bagdonas,392
174772099242581,Viktoras Fiodorovas,Viktoras Fiodorovas,377
1052857804792527,Asta Kubilienė LR Seimo narė,Lietuvos valstiečių ir žaliųjų sąjunga,369
101009145053869,Vitalijus Jaroščenka,Vitalijus Jaroscenka,362
334338600540343,Laima Mogenienė,Lietuvos valstiečių ir žaliųjų sąjunga,355
763068560724258,Karolina Štelmokaitė,LVŽS,350
407084806326229,Gintarė Skaistė,Skaiste Gintare,349
1732022290384006,Nogrid,Ads,336
153503721991788,Lietuvos socialdemokratų darbo partija,LSDDP,333
1309289869219156,Monika Ošmianskienė,Monika Ošmianskienė,330
108317180961588,Jūratė Zailskienė,Jūratė Zailskienė LSDP,326
281301978736736,Agnė Bilotaitė,Open Agency,317
101083895050385,Sign It Europe,These ads ran without a disclaimer,316
151962321499506,DELFI.lt,DELFI.lt,301
