Page ID,Page Name,Disclaimer,Amount Spent (EUR)
160851767470,Viktoras Uspaskich,Viktoras Uspaskich,7556
178362315106,European Parliament,European Parliament,6610
1732022290384006,Nogrid,Sun Investment Group,5278
460195401047293,Enefit Lietuva,Enefit Lietuva,4748
264116120225,Darbo partija,Darbo partija,4567
190209177745566,Lietuvos valstiečių ir žaliųjų sąjunga,Lietuvos valstiečių ir žaliųjų sąjunga,3556
202360056491831,Lietuvos socialdemokratų partija - LSDP,Lietuvos socialdemokratų partija - LSDP,3093
198988713464683,Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD),TS-LKD,2838
2462724830412190,Tavo Balsas Gali,Lietuvos valstiečių ir žaliųjų sąjunga,2494
81004804444,Liberalai,Liberalai,2393
180428492164818,Zigmantas Balčytis,LSDDP,1970
943242549103105,Simas Galdikas,Simas Galdikas,1799
169414316438308,Waldemar Tomaszewski / Valdemar Tomaševski,AWPL-ZCHR,1738
76783564232,Europos Komisijos atstovybė Lietuvoje,Europos Komisijos atstovybė Lietuvoje,1683
393195034595433,Laisvės partija,Laisvės partija,1487
198404080183024,Swedbank Lietuvoje,Swedbank Lietuvoje,1457
107898832590939,European Commission,European Commission,1452
128572499128,LRT,LRT,1326
93535661889,TV3 televizija,TV3 televizija,1147
1557796401104405,Mykolas Majauskas,Mykolas Majauskas,1107
1739968129576961,Mindaugas Puidokas,Puidokas Mindaugas,1088
163564217762927,Minfo,Gabrilavicius Marius,1048
18276748821,Antanas Guoga,Lietuvos Centro Partijos rinkimų sąskaita,947
108061027746198,Dėmesio pietinei Klaipėdai,Open Agency,942
287613331259579,M.G.Maksimalietis,M.G.Maksimalietis,934
101795274521913,Audrius Petrošius,Open Agency,810
393195034595433,Laisvės partija,Laisvės partijos rinkiminė sąskaita,810
602524153225555,Mindaugas Tarnauskas,Laisvės partija,805
40711908859,15min,15min,782
106761397803724,Giedrius Bindza,Giedrius Bindza,750
100820501731996,Romandas Žiubrys,Lietuvos valstiečių ir žaliųjų sąjunga,746
684534791927883,Gitanas Nausėda,Gitanas Nausėda,745
176464169358846,Lygių galimybių kontrolieriaus tarnyba,Lygių galimybių kontrolieriaus tarnyba,743
101795274521913,Audrius Petrošius,Audrius Petrošius,704
357771241521827,Alina Adomaityte,Alina Adomaitytė,676
619973094764250,Naglis Puteikis,Puteikis Naglis,605
1020115564681330,Vaidas Venckus Neringa,Vaidas Venckus,599
886204424824329,Sėdmaišiai,Januskeviciute Ugne,594
251631124915712,Lietuva - visų,Mindaugas Bertulis,563
160851767470,Viktoras Uspaskich,Darbo partija,552
795932553757574,TS - LKD Klaipėda,Open Agency,540
102161476501915,Centro partija - tautininkai,Centro Partija - Tautininkai,521
102834291457199,Žaliuojudėl_,Lietuvos žaliųjų partija - #TikraiŽali,519
321912278142247,Arūnas Barbšys,Arūnas Barbšys,495
1083343381737877,Auga,Auga,494
630229464086126,Lindström,Lindström,491
642423342820570,Lietuvos Naujienų Agentūra - LNA,Gabrilavicius Marius,485
993853767374212,Lemiamas šuolis,Rinkimų komitetas "Lemiamas šuolis",480
115760389854341,Saulės bendruomenė,Sun Investment Group,477
1651554231738028,Vytenis Andriukaitis,Vytenis Andriukaitis,470
105342634614884,Mindaugas Skritulskas,Mindaugas Skritulskas,458
2214495192154107,Už Ingridą,Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD),410
112418023462235,Missing Protection Lithuania,GlaxoSmithKline Lietuva,394
