Page ID,Page Name,Disclaimer,Amount Spent (EUR)
160851767470,Viktoras Uspaskich,Viktoras Uspaskich,4552
178362315106,European Parliament,European Parliament,3866
264116120225,Darbo partija,Darbo partija,2658
1732022290384006,Nogrid,Sun Investment Group,2498
190209177745566,Lietuvos valstiečių ir žaliųjų sąjunga,Lietuvos valstiečių ir žaliųjų sąjunga,2269
460195401047293,Enefit Lietuva,Enefit Lietuva,2253
202360056491831,Lietuvos socialdemokratų partija - LSDP,Lietuvos socialdemokratų partija - LSDP,2166
198988713464683,Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD),TS-LKD,1501
81004804444,Liberalai,Liberalai,963
107898832590939,European Commission,European Commission,908
107726411040673,Valentinas Pečininas,Apmokėjo Krikščionių Sąjunga,900
128572499128,LRT,LRT,799
93535661889,TV3 televizija,TV3 televizija,761
76783564232,Europos Komisijos atstovybė Lietuvoje,Europos Komisijos atstovybė Lietuvoje,756
163564217762927,Minfo,Gabrilavicius Marius,719
1739968129576961,Mindaugas Puidokas,Puidokas Mindaugas,713
1557796401104405,Mykolas Majauskas,Mykolas Majauskas,711
169414316438308,Waldemar Tomaszewski / Valdemar Tomaševski,AWPL-ZCHR,690
393195034595433,Laisvės partija,Laisvės partija,637
1554709478144624,Koalicija "Už laisvę augti",Liberalai,629
198404080183024,Swedbank Lietuvoje,Swedbank Lietuvoje,600
18276748821,Antanas Guoga,Lietuvos Centro Partijos rinkimų sąskaita,579
287613331259579,M.G.Maksimalietis,M.G.Maksimalietis,568
111530930306854,Nacionalinis susivienijimas,Politinė partija "Nacionalinis susivienijimas",483
1651554231738028,Vytenis Andriukaitis,Vytenis Andriukaitis,458
176464169358846,Lygių galimybių kontrolieriaus tarnyba,Lygių galimybių kontrolieriaus tarnyba,431
40711908859,15min,15min,429
684534791927883,Gitanas Nausėda,Gitanas Nausėda,400
393195034595433,Laisvės partija,Laisvės partijos rinkiminė sąskaita,390
251631124915712,Lietuva - visų,Mindaugas Bertulis,385
1083343381737877,Auga,Auga,347
642423342820570,Lietuvos Naujienų Agentūra - LNA,Gabrilavicius Marius,326
110722630749240,Irmantas Tarvydis,Liberalai,316
814777171988967,Saulius Skvernelis,Lieuvos valstiečių ir žaliųjų sąjunga,298
579270432750752,Deimantė Laumytė,Lietuvos Respublikos liberalų sąjūdis,274
275183052822052,Elektrum Lietuva,Elektrum Lietuva,267
886204424824329,Sėdmaišiai,Januskeviciute Ugne,263
102161476501915,Centro partija - tautininkai,Centro Partija - Tautininkai,258
112418023462235,Missing Protection Lithuania,GlaxoSmithKline Lietuva,257
160851767470,Viktoras Uspaskich,Darbo partija,249
1456981657903291,SAVY,SAVY,245
113898923729796,"Vaidas Navickas, kandidatas į Seimą",Vaidas Navickas,242
105437284630259,Jonas Jarutis,Lietuvos valstiečių ir žaliųjų sąjunga,239
115760389854341,Saulės bendruomenė,Sun Investment Group,238
206075496069598,Moterų Informacijos Centras,Moterų Informacijos Centras,231
112212930266818,Stasys Jakeliūnas,Stasys Jakeliūnas,225
104903867821771,Vidmantas Kanopa,Vidmantas Kanopa LSDP,221
1554709478144624,Koalicija "Už laisvę augti",Armalis Arūnas,218
