Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
21710789873,déi gréng,déi gréng,26918,230
178362315106,European Parliament,European Parliament,17553,817
115916035102253,ADR  - Alternativ Demokratesch Reformpartei,ADR,13840,120
67370457805,Greenpeace Luxembourg,Greenpeace Luxembourg,11889,458
47216059667,LSAP,Lëtzebuerger Sozialistesch Aarbechterpartei,10376,178
2139886662711123,Marc Goergen - Député,Marc Goergen,9612,310
183148710560,Piraten Lëtzebuerg,Piraten.lu,8853,170
280875378609326,DP - Demokratesch Partei,DP - Demokratesch Partei,8516,130
228954330894550,Ministère du Logement,Ministère du Logement,8443,87
141480992729926,Piraten Bezierk Osten,These ads ran without a disclaimer,7973,34
257533034328600,Commission européenne au Luxembourg,Commission européenne au Luxembourg,6293,52
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Ministère de l'Égalité entre les femmes et les hommes,5294,20
2403585623242400,Ministère de l'Intérieur Luxembourg,Ministère de l'Intérieur Luxembourg,5266,73
256099791072227,Amnesty International Luxembourg,Amnesty International Luxembourg,5041,71
56016549775,CSV,CSV,5025,131
1933096830349891,Reporter,Reporter,4649,187
122469380546,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,4079,8
602299559907363,Médecins du Monde Luxembourg,Médecins du Monde Luxembourg,4000,23
1527472604152597,Mouvement Ecologique,Mouvement Ecologique,3755,85
120444648033670,déi Lénk,déi Lénk,3686,56
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,\tMinistère de l'Égalité entre les femmes et les hommes,3542,11
186850465279206,ADR Norden,ADR Norden,3453,28
127971680591205,Lëtzebuerger Journal,Lëtzebuerger Journal,3265,98
183148710560,Piraten Lëtzebuerg,These ads ran without a disclaimer,3261,111
197451906960613,déi jonk gréng,Déi jonk gréng,2810,129
586599721528737,Résilux SA,These ads ran without a disclaimer,2512,2
124910447379,Tageblatt,Tageblatt,2509,186
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,2434,16
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,2374,45
107898832590939,European Commission,European Commission,2135,218
330385120505103,CGFP - Confédération Générale de la Fonction Publique,These ads ran without a disclaimer,1827,6
889354561125041,Wee2050 / Nee2015,Wee2050 / Nee2015,1820,70
155913575037227,Mischel Sylvie,Sylvie Suzette Renee Mischel,1769,17
659368007411223,Piraten Bezierk Süden,These ads ran without a disclaimer,1652,76
128091485223,Médecins Sans Frontières - Luxembourg,Médecins Sans Frontières - Luxembourg,1615,16
240727092670506,Ministère de la Santé Luxembourg,Ministère de la Santé Luxembourg,1561,18
2139886662711123,Marc Goergen - Député,These ads ran without a disclaimer,1553,99
1505184473073824,Give Us A Voice Lëtzebuerg,These ads ran without a disclaimer,1505,6
106781054009320,Ministère de la Protection des consommateurs,Ministère de la Protection des consommateurs - Gouvernement luxembourgeois,1459,4
1942749669370373,Sven Clement,Sven Clement,1435,53
134811725640,Musée national d'histoire naturelle Luxembourg - natur musée,Musée national d'histoire naturelle Luxembourg - natur musée,1365,40
67370457805,Greenpeace Luxembourg,These ads ran without a disclaimer,1315,85
174116812644146,Luxembourg Times,Luxembourg Times,1256,32
141096935941189,JDL Jonk Demokraten,Jonk Demokraten,1104,15
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Ministère de l'Égalité entre les femmes et les hommes,1046,45
1729908247232994,"Ministère des Affaires étrangères et européennes, Luxembourg","Ministère des Affaires étrangères et européennes, Luxembourg",1000,3
249564578568772,FGFC,Marco Thomé,978,16
120634585355666,LuXembourg - Let's make it happen,Comité de coordination Inspiring Luxembourg,900,1
147547541961576,Council of the European Union,Council of the European Union,899,235
112307726963681,Ministère du Travail Luxembourg,Ministère du Travail Luxembourg,890,5
102729744534687,Lëtz Rise Up,Sandrine Gashonga,875,31
102901634883882,Centre de Réhabilitation du Château de Colpach,Fondation Emile Mayrisch - Croix Rouge a.s.b.l,868,18
106781054009320,Ministère de la Protection des consommateurs,Ministère de la Protection des consommateurs,851,2
124205267649571,"ADRenalin, déi jonk adr","adrenalin, déi jonk ADR",810,12
424210494343953,Raiffeisen,Banque Raiffeisen,803,75
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,MEGA,800,16
100247478088205,Chantal Gary,déi gréng,798,21
240727092670506,Ministère de la Santé Luxembourg,These ads ran without a disclaimer,772,6
146960838664019,Parlement européen au Luxembourg,Parlement européen au Luxembourg,766,26
305608429284,EU Environment,EU Environment,766,73
14917572726,Mudam Luxembourg Museum,Mudam Luxembourg Museum,736,56
1644989722460863,Ministère de l'Économie,Ministère de l'Économie,700,6
235829416883581,Déi Konservativ,Joe Thein,695,27
507298809422511,Creos Luxembourg,Creos Luxembourg,690,8
935879559933300,Michel Lemaire,Michel Lemaire,649,7
117976314897543,Frères des Hommes Luxembourg,fdh Luxembourg,642,39
235829416883581,Déi Konservativ,These ads ran without a disclaimer,613,10
313294426192409,Stéphanie Empain,déi gréng,611,14
330385120505103,CGFP - Confédération Générale de la Fonction Publique,CGFP,608,4
202251189875008,Luxembourg Pride,Rosa Lëtzebuerg ASBL,603,15
292372631374678,LËT'Z SAY NO,Conseil national des Femmes du Luxembourg,601,5
766459183561998,Volt Luxembourg,Volt Luxembourg,587,24
102845381787757,DP - Fraktioun,DP-Fraktioun,575,14
361665277356388,CELL - Transition hub in Luxembourg,Norbert Josef Aloyse Schneider,548,26
381136158750775,Paul Galles,Paul Galles,512,42
1404458223105541,Marc ANGEL,Marc Angel,502,10
957084077655670,Foyer,Foyer S.A.,500,4
494284087327520,Piratepartei Bezierk Norden,These ads ran without a disclaimer,489,43
141366725876424,European Greens,European Greens,487,14
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,463,68
28312410177,World Food Programme,These ads ran without a disclaimer,451,23
141096935941189,JDL Jonk Demokraten,These ads ran without a disclaimer,433,5
976698325770666,Dr. med. Hani Oweira,These ads ran without a disclaimer,407,1
1635877273225433,Pirate Gemeng Munneref,These ads ran without a disclaimer,396,26
478925882144199,myenergy,These ads ran without a disclaimer,386,3
862425847225262,LISER - Luxembourg Institute of Socio-Economic Research,Luxembourg Institute of Socio-Economic Research,385,8
583798828359922,Secondhand4KIDS Kasecha Ettelbruck,Triana Esperanza Hilgersom,371,23
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Filipe Dos Santos Oliveira,370,9
102523877772289,François Benoy,déi gréng,354,8
234678520217447,"Ministère de l'Agriculture, de la Viticulture et du Développement rural",101STUDIOS,352,7
155913575037227,Mischel Sylvie,These ads ran without a disclaimer,342,4
1933096830349891,Reporter,These ads ran without a disclaimer,322,13
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,317,121
106781054009320,Ministère de la Protection des consommateurs,These ads ran without a disclaimer,309,1
441313569220539,Charles Goerens,Kevin Schoos,308,14
939738696158447,Chargy,Creos Luxembourg,300,3
338630389482201,Luxemburger Wort,Luxemburger Wort,300,13
181924628560212,SumOfUs,These ads ran without a disclaimer,286,2
450522351807266,CARE Luxembourg Asbl,Frédéric Haupert,276,31
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Ministère de l'Égalité entre Femmes et Hommes,263,5
112235777007810,klyme,Nicolas Robert Georges Hentgen,258,7
390962737619967,Piraten Gemeng Péiteng,These ads ran without a disclaimer,257,26
143237373145276,Marc Spautz,These ads ran without a disclaimer,254,8
1573291612962183,ANIL,Anne-Marie Hanff,250,31
544194668967361,Piraten Gemeng Déifferdeng,These ads ran without a disclaimer,248,21
612615252203041,Ville de Dudelange,These ads ran without a disclaimer,241,2
590715168017939,Martine Hansen,CSV,240,7
291062361740576,Eco-Vert,These ads ran without a disclaimer,228,2
141480992729926,Piraten Bezierk Osten,Frères Daniel,227,4
