Page ID,Page Name,Disclaimer,Amount Spent (EUR)
21710789873,déi gréng,déi gréng,2639
115916035102253,ADR  - Alternativ Demokratesch Reformpartei,ADR,1499
178362315106,European Parliament,European Parliament,1475
183148710560,Piraten Lëtzebuerg,Piraten.lu,980
280875378609326,DP - Demokratesch Partei,DP - Demokratesch Partei,883
2139886662711123,Marc Goergen - Député,Marc Goergen,851
47216059667,LSAP,Lëtzebuerger Sozialistesch Aarbechterpartei,842
228954330894550,Ministère du Logement,Ministère du Logement,805
67370457805,Greenpeace Luxembourg,Greenpeace Luxembourg,787
141480992729926,Piraten Bezierk Osten,These ads ran without a disclaimer,779
257533034328600,Commission européenne au Luxembourg,Commission européenne au Luxembourg,615
2403585623242400,Ministère de l'Intérieur Luxembourg,Ministère de l'Intérieur Luxembourg,569
186850465279206,ADR Norden,ADR Norden,532
313294426192409,Stéphanie Empain,déi gréng,508
1933096830349891,Reporter,Reporter,481
56016549775,CSV,CSV,476
183148710560,Piraten Lëtzebuerg,These ads ran without a disclaimer,397
494284087327520,Piratepartei Bezierk Norden,These ads ran without a disclaimer,383
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Ministère de l'Égalité entre les femmes et les hommes,340
127971680591205,Lëtzebuerger Journal,Lëtzebuerger Journal,339
122469380546,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,313
256099791072227,Amnesty International Luxembourg,Amnesty International Luxembourg,289
1527472604152597,Mouvement Ecologique,Mouvement Ecologique,288
124910447379,Tageblatt,Tageblatt,275
602299559907363,Médecins du Monde Luxembourg,Médecins du Monde Luxembourg,272
120444648033670,déi Lénk,déi Lénk,265
889354561125041,Wee2050 / Nee2015,Wee2050 / Nee2015,261
197451906960613,déi jonk gréng,Déi jonk gréng,256
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,\tMinistère de l'Égalité entre les femmes et les hommes,244
330385120505103,CGFP - Confédération Générale de la Fonction Publique,These ads ran without a disclaimer,241
107898832590939,European Commission,European Commission,235
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,191
155913575037227,Mischel Sylvie,Sylvie Suzette Renee Mischel,178
1942749669370373,Sven Clement,Sven Clement,169
106781054009320,Ministère de la Protection des consommateurs,Ministère de la Protection des consommateurs - Gouvernement luxembourgeois,162
2139886662711123,Marc Goergen - Député,These ads ran without a disclaimer,149
586599721528737,Résilux SA,These ads ran without a disclaimer,147
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,132
128091485223,Médecins Sans Frontières - Luxembourg,Médecins Sans Frontières - Luxembourg,128
424210494343953,Raiffeisen,Banque Raiffeisen,121
124205267649571,"ADRenalin, déi jonk adr","adrenalin, déi jonk ADR",114
249564578568772,FGFC,Marco Thomé,114
240727092670506,Ministère de la Santé Luxembourg,Ministère de la Santé Luxembourg,112
1505184473073824,Give Us A Voice Lëtzebuerg,These ads ran without a disclaimer,110
590715168017939,Martine Hansen,CSV,109
141096935941189,JDL Jonk Demokraten,Jonk Demokraten,101
462665857488803,Vesali Amir,Amir Vesali,≤100
134811725640,Musée national d'histoire naturelle Luxembourg - natur musée,Musée national d'histoire naturelle Luxembourg - natur musée,≤100
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Ministère de l'Égalité entre les femmes et les hommes,≤100
935879559933300,Michel Lemaire,Michel Lemaire,≤100
240727092670506,Ministère de la Santé Luxembourg,These ads ran without a disclaimer,≤100
106781054009320,Ministère de la Protection des consommateurs,Ministère de la Protection des consommateurs,≤100
305608429284,EU Environment,EU Environment,≤100
112307726963681,Ministère du Travail Luxembourg,Ministère du Travail Luxembourg,≤100
102845381787757,DP - Fraktioun,DP-Fraktioun,≤100
67370457805,Greenpeace Luxembourg,These ads ran without a disclaimer,≤100
538923149597473,Votum Klima,These ads ran without a disclaimer,≤100
659368007411223,Piraten Bezierk Süden,These ads ran without a disclaimer,≤100
507298809422511,Creos Luxembourg,Creos Luxembourg,≤100
235829416883581,Déi Konservativ,These ads ran without a disclaimer,≤100
146960838664019,Parlement européen au Luxembourg,Parlement européen au Luxembourg,≤100
583798828359922,Secondhand4KIDS Kasecha Ettelbruck,Triana Esperanza Hilgersom,≤100
1635877273225433,Pirate Gemeng Munneref,These ads ran without a disclaimer,≤100
102901634883882,Centre de Réhabilitation du Château de Colpach,Fondation Emile Mayrisch - Croix Rouge a.s.b.l,≤100
381136158750775,Paul Galles,Paul Galles,≤100
120634585355666,LuXembourg - Let's make it happen,Comité de coordination Inspiring Luxembourg,≤100
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,MEGA,≤100
102729744534687,Lëtz Rise Up,Sandrine Gashonga,≤100
235829416883581,Déi Konservativ,Joe Thein,≤100
1729908247232994,"Ministère des Affaires étrangères et européennes, Luxembourg","Ministère des Affaires étrangères et européennes, Luxembourg",≤100
202251189875008,Luxembourg Pride,Rosa Lëtzebuerg ASBL,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
111361840207408,Piraten Grevenmacher,These ads ran without a disclaimer,≤100
478925882144199,myenergy,These ads ran without a disclaimer,≤100
939738696158447,Chargy,Creos Luxembourg,≤100
141096935941189,JDL Jonk Demokraten,These ads ran without a disclaimer,≤100
330385120505103,CGFP - Confédération Générale de la Fonction Publique,CGFP,≤100
862425847225262,LISER - Luxembourg Institute of Socio-Economic Research,Luxembourg Institute of Socio-Economic Research,≤100
174116812644146,Luxembourg Times,Luxembourg Times,≤100
1404458223105541,Marc ANGEL,Marc Angel,≤100
1741186706147215,MMTP: Ministère de la Mobilité et des Travaux publics,101Studios,≤100
14917572726,Mudam Luxembourg Museum,Mudam Luxembourg Museum,≤100
106781054009320,Ministère de la Protection des consommateurs,These ads ran without a disclaimer,≤100
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Filipe Dos Santos Oliveira,≤100
133967696651305,DP-Norden,DP-Norden,≤100
441313569220539,Charles Goerens,Kevin Schoos,≤100
117976314897543,Frères des Hommes Luxembourg,fdh Luxembourg,≤100
338630389482201,Luxemburger Wort,Luxemburger Wort,≤100
1573291612962183,ANIL,Anne-Marie Hanff,≤100
1933096830349891,Reporter,These ads ran without a disclaimer,≤100
112235777007810,klyme,Nicolas Robert Georges Hentgen,≤100
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Ministère de l'Égalité entre Femmes et Hommes,≤100
155913575037227,Mischel Sylvie,These ads ran without a disclaimer,≤100
766459183561998,Volt Luxembourg,Volt Luxembourg,≤100
141366725876424,European Greens,European Greens,≤100
143237373145276,Marc Spautz,These ads ran without a disclaimer,≤100
141480992729926,Piraten Bezierk Osten,Frères Daniel,≤100
64281432571,JSL,Amir Vesali,≤100
102523877772289,François Benoy,déi gréng,≤100
361665277356388,CELL - Transition hub in Luxembourg,Norbert Josef Aloyse Schneider,≤100
957084077655670,Foyer,Foyer S.A.,≤100
502788950262785,Frank Diderich,Frank Diderich,≤100
233432826842224,Plooschter Projet,These ads ran without a disclaimer,≤100
107063500775615,Partei,Jeff Cigrand,≤100
292372631374678,LËT'Z SAY NO,Conseil national des Femmes du Luxembourg,≤100
