Page ID,Page Name,Disclaimer,Amount Spent (EUR)
21710789873,déi gréng,déi gréng,22946
178362315106,European Parliament,European Parliament,15261
115916035102253,ADR  - Alternativ Demokratesch Reformpartei,ADR,11609
67370457805,Greenpeace Luxembourg,Greenpeace Luxembourg,10689
47216059667,LSAP,Lëtzebuerger Sozialistesch Aarbechterpartei,9060
2139886662711123,Marc Goergen - Député,Marc Goergen,8369
183148710560,Piraten Lëtzebuerg,Piraten.lu,7410
228954330894550,Ministère du Logement,Ministère du Logement,7170
280875378609326,DP - Demokratesch Partei,DP - Demokratesch Partei,7104
141480992729926,Piraten Bezierk Osten,These ads ran without a disclaimer,6777
257533034328600,Commission européenne au Luxembourg,Commission européenne au Luxembourg,5332
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,Ministère de l'Égalité entre les femmes et les hommes,4763
256099791072227,Amnesty International Luxembourg,Amnesty International Luxembourg,4577
2403585623242400,Ministère de l'Intérieur Luxembourg,Ministère de l'Intérieur Luxembourg,4312
56016549775,CSV,CSV,4289
1933096830349891,Reporter,Reporter,3860
122469380546,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,3624
602299559907363,Médecins du Monde Luxembourg,Médecins du Monde Luxembourg,3581
1527472604152597,Mouvement Ecologique,Mouvement Ecologique,3325
120444648033670,déi Lénk,déi Lénk,3276
182515489178270,Ministère de l'Égalité entre les femmes et les hommes - Luxembourg,\tMinistère de l'Égalité entre les femmes et les hommes,3124
186850465279206,ADR Norden,ADR Norden,2686
127971680591205,Lëtzebuerger Journal,Lëtzebuerger Journal,2658
183148710560,Piraten Lëtzebuerg,These ads ran without a disclaimer,2656
197451906960613,déi jonk gréng,Déi jonk gréng,2428
586599721528737,Résilux SA,These ads ran without a disclaimer,2304
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,2159
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,2132
124910447379,Tageblatt,Tageblatt,2071
107898832590939,European Commission,European Commission,1780
659368007411223,Piraten Bezierk Süden,These ads ran without a disclaimer,1547
155913575037227,Mischel Sylvie,Sylvie Suzette Renee Mischel,1492
330385120505103,CGFP - Confédération Générale de la Fonction Publique,These ads ran without a disclaimer,1464
889354561125041,Wee2050 / Nee2015,Wee2050 / Nee2015,1448
128091485223,Médecins Sans Frontières - Luxembourg,Médecins Sans Frontières - Luxembourg,1425
240727092670506,Ministère de la Santé Luxembourg,Ministère de la Santé Luxembourg,1390
