Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
595950207185585,Jaunā konservatīvā partija,Jaunā konservatīvā partija,31803,376
178362315106,European Parliament,European Parliament,29978,852
184096511636333,PROGRESĪVIE,PROGRESĪVIE,11040,599
545693602214498,Русский союз Латвии,Latvijas Krievu savienība,9430,38
164326166970895,Jaunā Vienotība,Partiju apvienība “Jaunā Vienotība”,9055,311
601458446716365,Attīstībai/Par Progresīvie,Partiju apvienība Attīstībai/Par! Progresīvie,9054,61
524714174238878,Finanšu ministrija,Finanšu ministrija,7894,29
176171459061779,RUS TVNET,TVNET,7719,1596
146554932048229,Delfi.lv,Delfi.lv,7650,263
1895782043985643,ZZS,ZZS,6382,91
1839476629666269,Raivis Dzintars,Nacionālā apvienība,5818,75
837296389667198,Par Cilvēcīgu Latviju,Politiskā partija "KPV LV",5061,129
201013056601771,SOS bērnu ciemati Latvijā,SOS bērnu ciemati Latvijā,4780,23
731540813660862,Krišjānis Feldmans,Jaunā konservatīvā partija,4577,88
212485185449074,Nils Ušakovs - Нил Ушаков,"Nils Ušakovs, MEP, Socialists & Democrats Group",4216,345
106048957658612,Oļegs Burovs - Олег Буров,Partija Gods kalpot Rīgai,4152,122
113834627035779,Dzīva Rīga,Nacionālā apvienība un Latvijas Reģionu apvienība,4090,44
1554765974735742,Press.lv,Press.lv,3835,530
236758520084700,Centrālā vēlēšanu komisija,Centrālā vēlēšanu komisija,3816,45
107898832590939,European Commission,European Commission,3775,213
293471557450692,Valērijs Petrovs \ Валерий Петров,Валерий Петров,3452,29
508959865842254,Roberts Zīle,Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK",3369,21
142254092456168,TVNET,TVNET,3042,1861
158021020892930,Apollo.lv,TVNET,2945,1041
603479506715383,Dmitrijs Golubevs,Dmitrijs Golubevs,2907,26
380325297593,Eiropas Parlaments Latvijā,Eiropas Parlaments Latvijā,2845,46
534110743707105,Ansis Pūpols,Ansis Pūpols,2759,28
601458446716365,Attīstībai/Par Progresīvie,"Attīstībai/Par!, Progresīvie",2657,34
451539485388808,Jānis Lāčplēsis,Latgales Partija,2477,88
1335196376559627,Juris Jurašs,Jaunā konservatīvā partija,2455,11
258324037638921,Latgales Partija,Latgales Partija,2327,89
634097313600056,Attīstībai / Par,partiju apvienība "Attīstībai/Par!",2288,65
118130241644848,Nacionālā apvienība,Nacionālā apvienība,2244,24
470923236652482,Mārtiņš Staķis Rīgai,Partiju apvienība "Attīstībai/Par!",2233,25
261928170652349,Edgars Tavars,Zaļo un zemnieku savienība (ZZS),2199,23
496837527004594,Latvijas attīstībai,partija "Latvijas attīstībai",2183,93
587293021433280,Mamikins.lv,Andrejs Mamikins,2088,17
114089470140575,Jānis Patmalnieks,Jānis Patmalnieks,2007,33
531548457213796,Viktors Valainis,Zaļo un Zemnieku savienība,1952,23
345732198859561,Vilnis Ķirsis,Jaunā Vienotība,1885,32
246477898857961,Skaties.lv,Skaties.lv,1872,103
123850427644696,Grani - источник проверенных новостей,SIA Mediastrims,1855,125
215486111795023,Swedbank Latvia,Jānis Keisis,1789,18
1753687044724099,Saskaņa Rīga,SDP "Saskaņa",1758,38
246018588766742,Re:Baltica,Re:Baltica,1656,35
109687464098900,mebelukalns.lv,These ads ran without a disclaimer,1599,4
984665731564266,Valdis Dombrovskis,Valdis Dombrovskis,1570,172
1813086558946660,Kustība Par,Kustība "Par!",1553,181
1854321788195516,Pēteris Apinis,Zaļo un Zemnieku savienība,1496,32
345347539390006,Ijabs Ivars,partiju apvienība "Attīstībai/Par!",1465,28
1777067839274759,Ralfs Nemiro,Politiskā partija "KPV LV",1437,31
106505309437949,Latvian Institute of International Affairs,Latvian Institute of International Affairs,1349,86
305608429284,EU Environment,EU Environment,1331,32
215486111795023,Swedbank Latvia,Media House SIA,1323,8
141366725876424,European Greens,European Greens,1309,10
528938250934694,Jaunā konservatīvā partija - Rīga,Jaunā konservatīvā partija,1118,32
215486111795023,Swedbank Latvia,Media House,1100,10
470923236652482,Mārtiņš Staķis Rīgai,partija "Latvijas attīstībai",1068,11
236758520084700,Centrālā vēlēšanu komisija,These ads ran without a disclaimer,1059,10
102062354889119,Jānis Vitenbergs,Politiskā partija "KPV LV",1003,25
109414924138562,Test12,Artūrs Detlavs,1003,19
1982109711813991,Jānis Butāns,Jānis Butāns,991,68
545693602214498,Русский союз Латвии,These ads ran without a disclaimer,961,8
1921193498149435,Andrejs Elksniņš - Андрей Элксниньш,Andrejs Elksniņš - Андрей Элксниньш,942,77
534110743707105,Ansis Pūpols,These ads ran without a disclaimer,937,11
185497885323119,Eiropas Komisijas pārstāvniecība Latvijā,Eiropas Komisijas pārstāvniecība Latvijā,914,43
560822223989381,European Christian Political Movement,European Christian Political Movement,909,4
203733280310341,Gatis Eglītis,Jaunā konservatīvā partija,889,9
613326625787047,Sandis Ģirģens,Politiskā partija KPV LV,863,19
112871037101924,Альтернативное Медиа • Alternatīvā Media,Biedrība "Pareiza Lieta",844,8
920864307986258,Latvijas Cilvēktiesību komiteja Латвийский комитет по правам человека LHRC,Aleksandrs Kuzmins,838,41
2214339072152669,Inese Ikstena 13. Saeimas deputāte,Ikstena Inese,831,16
684155212037953,Alternative,Politiskā partija "Alternative",770,9
118575516612684,Guntars Dzenis,Guntars Dzenis,759,6
107411980839996,Miroslavs Kodis,PROGRESĪVIE,753,27
245252925843233,Latvijas Radio 1,Latvijas Radio 1,731,39
114008315836144,Русский союз Латвии Даугавпилс,Алексей Васильев,721,43
212485185449074,Nils Ušakovs - Нил Ушаков,These ads ran without a disclaimer,694,10
148459041863432,Baltic News Network,Baltic News Network,685,44
114850276987089,Александр Ливчак,Aleksandrs Livchaks,680,15
378991322688846,Jaunā konservatīvā partija - Andis Kudors,Jaunā konservatīvā partija,653,6
147547541961576,Council of the European Union,Council of the European Union,651,233
28312410177,World Food Programme,These ads ran without a disclaimer,641,23
106509557957460,Klik - un pasaule atveras,TVNET,618,321
572280056136785,LSM,LSM,611,29
261512817691958,Your Move,Jānis Kreilis,589,23
2201010720133365,Antoņina Ņenaševa,PROGRESĪVIE,559,20
111599520617573,Dairis Kandelis,Dairis Kandelis,550,46
