Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,12387
595950207185585,Jaunā konservatīvā partija,Jaunā konservatīvā partija,5396
601458446716365,Attīstībai/Par Progresīvie,Partiju apvienība Attīstībai/Par! Progresīvie,2828
164326166970895,Jaunā Vienotība,Partiju apvienība “Jaunā Vienotība”,2284
508959865842254,Roberts Zīle,Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK",2157
545693602214498,Русский союз Латвии,Latvijas Krievu savienība,1657
380325297593,Eiropas Parlaments Latvijā,Eiropas Parlaments Latvijā,1552
534110743707105,Ansis Pūpols,Ansis Pūpols,1515
524714174238878,Finanšu ministrija,Finanšu ministrija,1433
837296389667198,Par Cilvēcīgu Latviju,Politiskā partija "KPV LV",1429
184096511636333,PROGRESĪVIE,PROGRESĪVIE,1391
236758520084700,Centrālā vēlēšanu komisija,Centrālā vēlēšanu komisija,1238
587293021433280,Mamikins.lv,Andrejs Mamikins,1213
146554932048229,Delfi.lv,Delfi.lv,1127
603479506715383,Dmitrijs Golubevs,Dmitrijs Golubevs,1080
107898832590939,European Commission,European Commission,1060
141366725876424,European Greens,European Greens,870
601458446716365,Attīstībai/Par Progresīvie,"Attīstībai/Par!, Progresīvie",856
731540813660862,Krišjānis Feldmans,Jaunā konservatīvā partija,843
305608429284,EU Environment,EU Environment,821
1839476629666269,Raivis Dzintars,Nacionālā apvienība,820
176171459061779,RUS TVNET,TVNET,651
345347539390006,Ijabs Ivars,partiju apvienība "Attīstībai/Par!",597
236758520084700,Centrālā vēlēšanu komisija,These ads ran without a disclaimer,595
984665731564266,Valdis Dombrovskis,Valdis Dombrovskis,559
1554765974735742,Press.lv,Press.lv,554
2214339072152669,Inese Ikstena 13. Saeimas deputāte,Ikstena Inese,550
212485185449074,Nils Ušakovs - Нил Ушаков,"Nils Ušakovs, MEP, Socialists & Democrats Group",542
560822223989381,European Christian Political Movement,European Christian Political Movement,525
634097313600056,Attīstībai / Par,partiju apvienība "Attīstībai/Par!",520
201013056601771,SOS bērnu ciemati Latvijā,SOS bērnu ciemati Latvijā,498
113834627035779,Dzīva Rīga,Nacionālā apvienība un Latvijas Reģionu apvienība,486
212485185449074,Nils Ušakovs - Нил Ушаков,These ads ran without a disclaimer,484
470923236652482,Mārtiņš Staķis Rīgai,partija "Latvijas attīstībai",451
158021020892930,Apollo.lv,TVNET,427
142254092456168,TVNET,TVNET,411
378991322688846,Jaunā konservatīvā partija - Andis Kudors,Jaunā konservatīvā partija,396
524714174238878,Finanšu ministrija,Latvijas Republikas Finanšu ministrija,353
246477898857961,Skaties.lv,Skaties.lv,319
185497885323119,Eiropas Komisijas pārstāvniecība Latvijā,Eiropas Komisijas pārstāvniecība Latvijā,315
400861240278635,Edvards Smiltēns LV,These ads ran without a disclaimer,314
1335196376559627,Juris Jurašs,Jaunā konservatīvā partija,312
684155212037953,Alternative,Politiskā partija "Alternative",308
246018588766742,Re:Baltica,Re:Baltica,297
329580341010027,Jānis Grasbergs,Jānis Grasbergs,294
534110743707105,Ansis Pūpols,These ads ran without a disclaimer,292
112871037101924,Альтернативное Медиа • Alternatīvā Media,Biedrība "Pareiza Lieta",284
1777067839274759,Ralfs Nemiro,Politiskā partija "KPV LV",284
545693602214498,Русский союз Латвии,These ads ran without a disclaimer,279
1813086558946660,Kustība Par,Kustība "Par!",279
470923236652482,Mārtiņš Staķis Rīgai,Partiju apvienība "Attīstībai/Par!",277
109687464098900,mebelukalns.lv,These ads ran without a disclaimer,272
118130241644848,Nacionālā apvienība,Nacionālā apvienība,263
496837527004594,Latvijas attīstībai,partija "Latvijas attīstībai",256
203733280310341,Gatis Eglītis,Jaunā konservatīvā partija,255
1895782043985643,ZZS,ZZS,249
960297957323800,Rihards Kols,Rihards Kols,248
245261032767933,Beata Jonite,Jonite Beata,247
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,243
541229793055345,Aleksejs Loskutovs,Aleksejs Loskutovs,241
215486111795023,Swedbank Latvia,Jānis Keisis,237
1753687044724099,Saskaņa Rīga,SDP "Saskaņa",229
293471557450692,Valērijs Petrovs \ Валерий Петров,Валерий Петров,219
729627343834501,Kialo,These ads ran without a disclaimer,219
595950207185585,Jaunā konservatīvā partija,These ads ran without a disclaimer,215
293471557450692,Valērijs Petrovs \ Валерий Петров,These ads ran without a disclaimer,193
215486111795023,Swedbank Latvia,Media House SIA,185
585560904809361,Nacionālā apvienība Liepājā,Nacionālā apvienība,184
102062354889119,Jānis Vitenbergs,Politiskā partija "KPV LV",182
106505309437949,Latvian Institute of International Affairs,Latvian Institute of International Affairs,181
1894003374059413,Ēriks Pucens,Politiskā partija KPV LV,180
779811265442970,Inese Vaidere,Vaidere Inese,164
100210195292480,PROGRESĪVIE Jūrmalā,PROGRESĪVIE,159
115279710344788,Laiks attīstībai un pārmaiņām Jūrmalā,partija "Latvijas attīstībai",157
245252925843233,Latvijas Radio 1,Latvijas Radio 1,150
184096511636333,PROGRESĪVIE,These ads ran without a disclaimer,144
557368648087077,Baiba Rubesa,Partiju apvienība Attīstībai/Par!,140
634097313600056,Attīstībai / Par,These ads ran without a disclaimer,133
215486111795023,Swedbank Latvia,Media House,132
528938250934694,Jaunā konservatīvā partija - Rīga,Jaunā konservatīvā partija,130
