Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,2566
451539485388808,Jānis Lāčplēsis,Latgales Partija,2477
258324037638921,Latgales Partija,Latgales Partija,2324
123850427644696,Grani - источник проверенных новостей,SIA Mediastrims,1841
176171459061779,RUS TVNET,TVNET,1795
595950207185585,Jaunā konservatīvā partija,Jaunā konservatīvā partija,1543
545693602214498,Русский союз Латвии,Latvijas Krievu savienība,1245
524714174238878,Finanšu ministrija,Finanšu ministrija,1129
1921193498149435,Andrejs Elksniņš - Андрей Элксниньш,Andrejs Elksniņš - Андрей Элксниньш,881
114008315836144,Русский союз Латвии Даугавпилс,Алексей Васильев,708
114850276987089,Александр Ливчак,Aleksandrs Livchaks,680
212485185449074,Nils Ušakovs - Нил Ушаков,"Nils Ušakovs, MEP, Socialists & Democrats Group",668
146554932048229,Delfi.lv,Delfi.lv,581
164326166970895,Jaunā Vienotība,Partiju apvienība “Jaunā Vienotība”,578
1554765974735742,Press.lv,Press.lv,506
107898832590939,European Commission,European Commission,377
102739201631244,Александр Ильин,Александр Ильин - Aleksandrs Iljins,320
587293021433280,Mamikins.lv,Andrejs Mamikins,303
142254092456168,TVNET,TVNET,297
158021020892930,Apollo.lv,TVNET,286
184096511636333,PROGRESĪVIE,PROGRESĪVIE,286
236758520084700,Centrālā vēlēšanu komisija,Centrālā vēlēšanu komisija,277
1839476629666269,Raivis Dzintars,Nacionālā apvienība,249
731540813660862,Krišjānis Feldmans,Jaunā konservatīvā partija,239
201013056601771,SOS bērnu ciemati Latvijā,SOS bērnu ciemati Latvijā,236
508959865842254,Roberts Zīle,Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK",232
837296389667198,Par Cilvēcīgu Latviju,Politiskā partija "KPV LV",226
2046010662286926,Satiksme Alter,Romans Savickis,222
380325297593,Eiropas Parlaments Latvijā,Eiropas Parlaments Latvijā,211
336922204327649,PROGRESĪVIE Rēzeknē,PROGRESĪVIE,210
534110743707105,Ansis Pūpols,Ansis Pūpols,208
293471557450692,Valērijs Petrovs \ Валерий Петров,Валерий Петров,197
545693602214498,Русский союз Латвии,These ads ran without a disclaimer,188
109687464098900,mebelukalns.lv,These ads ran without a disclaimer,184
984665731564266,Valdis Dombrovskis,Valdis Dombrovskis,181
215486111795023,Swedbank Latvia,Jānis Keisis,163
246477898857961,Skaties.lv,Skaties.lv,161
603479506715383,Dmitrijs Golubevs,Dmitrijs Golubevs,152
246018588766742,Re:Baltica,Re:Baltica,136
236758520084700,Centrālā vēlēšanu komisija,These ads ran without a disclaimer,119
305608429284,EU Environment,EU Environment,114
215486111795023,Swedbank Latvia,Media House SIA,112
1921193498149435,Andrejs Elksniņš - Андрей Элксниньш,These ads ran without a disclaimer,108
634097313600056,Attīstībai / Par,partiju apvienība "Attīstībai/Par!",104
560822223989381,European Christian Political Movement,European Christian Political Movement,≤100
345347539390006,Ijabs Ivars,partiju apvienība "Attīstībai/Par!",≤100
534110743707105,Ansis Pūpols,These ads ran without a disclaimer,≤100
549948942006132,Jaunā konservatīvā partija - Latgale,Jaunā konservatīvā partija,≤100
541229793055345,Aleksejs Loskutovs,Aleksejs Loskutovs,≤100
185497885323119,Eiropas Komisijas pārstāvniecība Latvijā,Eiropas Komisijas pārstāvniecība Latvijā,≤100
215486111795023,Swedbank Latvia,Media House,≤100
378413922184688,Baltic News Network RUS,Baltic News Network,≤100
102062354889119,Jānis Vitenbergs,Politiskā partija "KPV LV",≤100
141366725876424,European Greens,European Greens,≤100
112871037101924,Альтернативное Медиа • Alternatīvā Media,Biedrība "Pareiza Lieta",≤100
106505309437949,Latvian Institute of International Affairs,Latvian Institute of International Affairs,≤100
106509557957460,Klik - un pasaule atveras,TVNET,≤100
613326625787047,Sandis Ģirģens,Politiskā partija KPV LV,≤100
123850427644696,Grani - источник проверенных новостей,These ads ran without a disclaimer,≤100
378991322688846,Jaunā konservatīvā partija - Andis Kudors,Jaunā konservatīvā partija,≤100
108652292534913,Латвийское радио 4,Latvijas Radio,≤100
106533287880479,Fair Latvia,Александр Баранов,≤100
112602520649839,Алексей Блажевич - Aleksejs Blaževičs,SIA Mediastrims,≤100
179753402089010,Ahhaa,These ads ran without a disclaimer,≤100
109393087856362,Andris Vaivods,Partija Latvijas Attīstībai,≤100
2214339072152669,Inese Ikstena 13. Saeimas deputāte,Ikstena Inese,≤100
203733280310341,Gatis Eglītis,Jaunā konservatīvā partija,≤100
110695040404389,This Unusual Nature,These ads ran without a disclaimer,≤100
601458446716365,Attīstībai/Par Progresīvie,Partiju apvienība Attīstībai/Par! Progresīvie,≤100
293471557450692,Valērijs Petrovs \ Валерий Петров,These ads ran without a disclaimer,≤100
111877875608583,DELNA - Sabiedrība par atklātību,Liene Gatere,≤100
549948942006132,Jaunā konservatīvā partija - Latgale,These ads ran without a disclaimer,≤100
1982109711813991,Jānis Butāns,Jānis Butāns,≤100
400861240278635,Edvards Smiltēns LV,These ads ran without a disclaimer,≤100
960297957323800,Rihards Kols,Rihards Kols,≤100
531548457213796,Viktors Valainis,Valainis Viktors,≤100
215486111795023,Swedbank Latvia,These ads ran without a disclaimer,≤100
140748273458660,Vjačeslavs Dombrovskis - Вячеслав Домбровский,Vjačeslavs Dombrovskis - Вячеслав Домбровский,≤100
572280056136785,LSM,LSM,≤100
104015921734110,Lauris Pastars,Partija Latvijas Attīstībai,≤100
831485113704995,Vides aizsardzības un reģionālās attīstības ministrija,These ads ran without a disclaimer,≤100
299548920458849,Indexo,These ads ran without a disclaimer,≤100
2246107578840730,Vēja enerģijas asociācija,MM&A | Hill+Knowlton Strategies,≤100
1813086558946660,Kustība Par,Kustība "Par!",≤100
167472573272165,Mindvalley на русском,These ads ran without a disclaimer,≤100
496837527004594,Latvijas attīstībai,partija "Latvijas attīstībai",≤100
1321498177962712,Latvijas Republikas Patentu valde,Latvijas Republikas Patentu valde,≤100
245252925843233,Latvijas Radio 1,Latvijas Radio 1,≤100
148459041863432,Baltic News Network,Baltic News Network,≤100
524714174238878,Finanšu ministrija,Latvijas Republikas Finanšu ministrija,≤100
109035414229320,Александр Мирский,These ads ran without a disclaimer,≤100
281355625885168,MamaPapa Forum Riga,SIA Business Education Plus,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
660016677346773,Zaļā brīvība,Zaļā brīvība,≤100
117059818306039,Latvijas Radio,Latvijas Radio,≤100
1335196376559627,Juris Jurašs,Jaunā konservatīvā partija,≤100
118130241644848,Nacionālā apvienība,Nacionālā apvienība,≤100
349473209503536,Tālis Korlašs,Partija Latvijas Attīstībai,≤100
518862558163654,Izglītības un zinātnes ministrija,Izglītības un zinātnes ministrija,≤100
779811265442970,Inese Vaidere,Vaidere Inese,≤100
406327029385499,Latvijas Pilsoniskā alianse/ Civic Alliance - Latvia,Latvijas Pilsoniskā alianse,≤100
137027629677971,BNN-News,Baltic News Network,≤100
557368648087077,Baiba Rubesa,Partiju apvienība Attīstībai/Par!,≤100
595950207185585,Jaunā konservatīvā partija,These ads ran without a disclaimer,≤100
515364485204880,RETV,These ads ran without a disclaimer,≤100
102210778429469,Jaunie konservatīvie Daugavpilī,Jaunā konservatīvā partija,≤100
813512572019394,Latvijas Banka,Latvijas Banka,≤100
214404992468220,Jaunā konservatīvā partija - Balvi,Jaunā konservatīvā partija,≤100
1764718630423929,Ministru kabinets / Government of Latvia,Deep White,≤100
178362315106,European Parliament,These ads ran without a disclaimer,≤100
457295401368264,Jaunā konservatīvā partija - Alūksne,Jaunā konservatīvā partija,≤100
205652776225439,Krišjānis Liepiņš,Krišjānis Liepiņš,≤100
2046010662286926,Satiksme Alter,These ads ran without a disclaimer,≤100
102973244420620,lat.press.lv,LAT.PRESS.lv,≤100
190992343324,BBC News Russian,These ads ran without a disclaimer,≤100
104117027726385,Ekylo,These ads ran without a disclaimer,≤100
241795669493185,Friedrich-Ebert-Stiftung Baltic States,Friedrich-Ebert-Stiftung Baltic States,≤100
734850510281109,Depozīta Iepakojuma Operators,Grizzly Riga,≤100
258324037638921,Latgales Partija,These ads ran without a disclaimer,≤100
176171459061779,RUS TVNET,These ads ran without a disclaimer,≤100
961977793878943,Birste,Rapid Media,≤100
1086674038184163,Agnese Villere,Jaunā konservatīvā partija,≤100
446952386112096,Dainis Grabovskis,These ads ran without a disclaimer,≤100
109750310362242,Romans Savickis,Romans Savickis,≤100
111745073914944,Lienīte Caune ZZS,Lienīte Caune,≤100
109448464159431,Viltvārdis,Lato Lapsa,≤100
734619389955201,Latvijas vēlētāju forums,Eduards Snepsts,≤100
267323527070904,Jānis Bordāns,Jaunā konservatīvā partija,≤100
112666133508088,Yoga Good Vibes,These ads ran without a disclaimer,≤100
804761919903731,Aldis Blumbergs,These ads ran without a disclaimer,≤100
414381482703957,Zanda Kalniņa-Lukaševica,Kalniņa-Lukaševica Zanda,≤100
987857981232902,Sarunu festivāls LAMPA,Sarunu festivāls LAMPA,≤100
103381114416493,Suitu parlaments,Grigorijs Rozentāls,≤100
112094753869678,Nestle Latvija,SIA Inspired,≤100
123545735704017,Nature And Man,These ads ran without a disclaimer,≤100
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,≤100
184096511636333,PROGRESĪVIE,These ads ran without a disclaimer,≤100
172250589629610,Rus.LSM.lv,These ads ran without a disclaimer,≤100
118410130076032,Dod pieci,Latvijas Radio,≤100
634097313600056,Attīstībai / Par,These ads ran without a disclaimer,≤100
148514755192040,Riga Business School,Media House,≤100
362421854149107,Konservatīvā jaunatne,Jaunā konservatīvā partija,≤100
587293021433280,Mamikins.lv,These ads ran without a disclaimer,≤100
212485185449074,Nils Ušakovs - Нил Ушаков,"Nils Ušakovs, MEP, Socialists&Democrats Group",≤100
101934384752171,Konstantins Čekušins • Константин Чекушин,Konstantin Chekushin,≤100
524714174238878,Finanšu ministrija,These ads ran without a disclaimer,≤100
1379604382300280,Latvijas Reģionu Apvienība,Latvijas Reģionu apvienība,≤100
1893097087626986,Sandis Riekstiņš,Jaunā konservatīvā partija,≤100
470923236652482,Mārtiņš Staķis Rīgai,Partiju apvienība "Attīstībai/Par!",≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
1546798075534920,Atbalsts uzņēmējiem,Ekonomikas ministrija,≤100
1582184165128247,Latvijas Dabas fonds,Latvijas Dabas fonds,≤100
106533287880479,Fair Latvia,These ads ran without a disclaimer,≤100
1777067839274759,Ralfs Nemiro,Politiskā partija "KPV LV",≤100
103691404931513,Dbrain,These ads ran without a disclaimer,≤100
426270891055179,MuurikkaLatvia,Jānis Indāns,≤100
277072169475754,Xiaomi Latvia,These ads ran without a disclaimer,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
210173669115529,Наш Даугавпилс,These ads ran without a disclaimer,≤100
1615196031839724,bb.lv latviski,These ads ran without a disclaimer,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
329580341010027,Jānis Grasbergs,Jānis Grasbergs,≤100
122074554119,EU Social,These ads ran without a disclaimer,≤100
309947189183470,Alise Plus RADIO,These ads ran without a disclaimer,≤100
1660706864216893,США по-pусски - U.S. Department of State,These ads ran without a disclaimer,≤100
443086983136679,Dzīvesbiedri,Kaspars Zalitis,≤100
345347539390006,Ijabs Ivars,Ijabs Ivars,≤100
146748317149,Association of LGBT and their friends Mozaika,LGBT un viņu draugu apvienība MOZAĪKA,≤100
391993894271687,ERGO,These ads ran without a disclaimer,≤100
104645180914544,Сбор подписей,These ads ran without a disclaimer,≤100
109734447174236,Bussines,These ads ran without a disclaimer,≤100
831485113704995,Vides aizsardzības un reģionālās attīstības ministrija,Vides aizsardzības un reģionālās attīstības ministrija,≤100
241593645936782,Evelatus,These ads ran without a disclaimer,≤100
212485185449074,Nils Ušakovs - Нил Ушаков,SDP "Saskaņa",≤100
103085384781587,Advance,These ads ran without a disclaimer,≤100
371622190052683,Ilze Indriksone,Ilze Indriksone,≤100
235220853567408,Janis Dombrava,Janis Dombrava,≤100
318123608272216,Kniga.lv Polaris книжный магазин,These ads ran without a disclaimer,≤100
110752262946048,Crypterium,These ads ran without a disclaimer,≤100
780440992099262,Andris Morozovs,These ads ran without a disclaimer,≤100
984665731564266,Valdis Dombrovskis,These ads ran without a disclaimer,≤100
138715766194177,Rimi Latvija,Rimi Latvija,≤100
415090035368188,Latvijas Zaļā partija,These ads ran without a disclaimer,≤100
106427867424681,Our Solar System - Astronomy,These ads ran without a disclaimer,≤100
414343628595672,Water Shows Production,These ads ran without a disclaimer,≤100
2201010720133365,Antoņina Ņenaševa,PROGRESĪVIE,≤100
351365901647856,Reima,These ads ran without a disclaimer,≤100
1404923176410685,Armands Krauze,Armands Krauze,≤100
185497885323119,Eiropas Komisijas pārstāvniecība Latvijā,Braučs Dāvis,≤100
100804438429055,AlfaGive,These ads ran without a disclaimer,≤100
335814573629639,PPA "Latviešu Nacionālisti",PPA "Latviešu Nacionālisti",≤100
107523611025833,Pardrošību.lv,Kārlis Apalups,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
1894003374059413,Ēriks Pucens,Politiskā partija KPV LV,≤100
101083895050385,Sign It Europe,These ads ran without a disclaimer,≤100
103230686391678,www.ir.lv,www.ir.lv,≤100
1914095018847287,Aivars Geidāns,These ads ran without a disclaimer,≤100
103884181020976,Naudas Likumi,TVNET,≤100
153321011470555,Elektrum,These ads ran without a disclaimer,≤100
619185358591194,Freedom of life,These ads ran without a disclaimer,≤100
146955527905,EU Civil Protection & Humanitarian Aid - ECHO,These ads ran without a disclaimer,≤100
832298706889408,111%,These ads ran without a disclaimer,≤100
106637700794771,Autosluz,These ads ran without a disclaimer,≤100
379171999249415,Ekonomikas ministrija,Ekonomikas ministrija,≤100
108662537444589,InvestExpert,These ads ran without a disclaimer,≤100
169709889752394,Eiropas Savienības māja,Eiropas Savienības māja,≤100
418209064906648,Dzīvnieku brīvība,Dzīvnieku brīvība,≤100
130343027617922,Rihards Eigims Рихард Эйгим,These ads ran without a disclaimer,≤100
2333251183615170,Premium Credit,These ads ran without a disclaimer,≤100
114089470140575,Jānis Patmalnieks,Jānis Patmalnieks,≤100
