Page ID,Page Name,Disclaimer,Amount Spent (EUR)
595950207185585,Jaunā konservatīvā partija,Jaunā konservatīvā partija,18889
184096511636333,PROGRESĪVIE,PROGRESĪVIE,8281
178362315106,European Parliament,European Parliament,6635
1895782043985643,ZZS,ZZS,5993
545693602214498,Русский союз Латвии,Latvijas Krievu savienība,5768
601458446716365,Attīstībai/Par Progresīvie,Partiju apvienība Attīstībai/Par! Progresīvie,5653
176171459061779,RUS TVNET,TVNET,4546
146554932048229,Delfi.lv,Delfi.lv,4068
106048957658612,Oļegs Burovs - Олег Буров,Partija Gods kalpot Rīgai,4013
164326166970895,Jaunā Vienotība,Partiju apvienība “Jaunā Vienotība”,3647
201013056601771,SOS bērnu ciemati Latvijā,SOS bērnu ciemati Latvijā,3383
113834627035779,Dzīva Rīga,Nacionālā apvienība un Latvijas Reģionu apvienība,3359
1839476629666269,Raivis Dzintars,Nacionālā apvienība,3335
524714174238878,Finanšu ministrija,Finanšu ministrija,3257
293471557450692,Valērijs Petrovs \ Валерий Петров,Валерий Петров,2733
1554765974735742,Press.lv,Press.lv,2485
731540813660862,Krišjānis Feldmans,Jaunā konservatīvā partija,2329
261928170652349,Edgars Tavars,Zaļo un zemnieku savienība (ZZS),2094
212485185449074,Nils Ušakovs - Нил Ушаков,"Nils Ušakovs, MEP, Socialists & Democrats Group",2062
1335196376559627,Juris Jurašs,Jaunā konservatīvā partija,1925
837296389667198,Par Cilvēcīgu Latviju,Politiskā partija "KPV LV",1902
531548457213796,Viktors Valainis,Zaļo un Zemnieku savienība,1854
470923236652482,Mārtiņš Staķis Rīgai,Partiju apvienība "Attīstībai/Par!",1847
345732198859561,Vilnis Ķirsis,Jaunā Vienotība,1835
114089470140575,Jānis Patmalnieks,Jānis Patmalnieks,1798
601458446716365,Attīstībai/Par Progresīvie,"Attīstībai/Par!, Progresīvie",1738
118130241644848,Nacionālā apvienība,Nacionālā apvienība,1652
142254092456168,TVNET,TVNET,1510
158021020892930,Apollo.lv,TVNET,1473
1753687044724099,Saskaņa Rīga,SDP "Saskaņa",1465
1854321788195516,Pēteris Apinis,Zaļo un Zemnieku savienība,1447
496837527004594,Latvijas attīstībai,partija "Latvijas attīstībai",1430
236758520084700,Centrālā vēlēšanu komisija,Centrālā vēlēšanu komisija,1391
634097313600056,Attīstībai / Par,partiju apvienība "Attīstībai/Par!",1163
107898832590939,European Commission,European Commission,1124
215486111795023,Swedbank Latvia,Jānis Keisis,1030
1813086558946660,Kustība Par,Kustība "Par!",990
109414924138562,Test12,Artūrs Detlavs,940
528938250934694,Jaunā konservatīvā partija - Rīga,Jaunā konservatīvā partija,932
106505309437949,Latvian Institute of International Affairs,Latvian Institute of International Affairs,855
246477898857961,Skaties.lv,Skaties.lv,849
109687464098900,mebelukalns.lv,These ads ran without a disclaimer,829
920864307986258,Latvijas Cilvēktiesību komiteja Латвийский комитет по правам человека LHRC,Aleksandrs Kuzmins,815
118575516612684,Guntars Dzenis,Guntars Dzenis,750
215486111795023,Swedbank Latvia,Media House SIA,733
1777067839274759,Ralfs Nemiro,Politiskā partija "KPV LV",710
107411980839996,Miroslavs Kodis,PROGRESĪVIE,699
215486111795023,Swedbank Latvia,Media House,694
603479506715383,Dmitrijs Golubevs,Dmitrijs Golubevs,694
246018588766742,Re:Baltica,Re:Baltica,670
1982109711813991,Jānis Butāns,Jānis Butāns,641
28312410177,World Food Programme,These ads ran without a disclaimer,513
2201010720133365,Antoņina Ņenaševa,PROGRESĪVIE,483
613326625787047,Sandis Ģirģens,Politiskā partija KPV LV,479
102062354889119,Jānis Vitenbergs,Politiskā partija "KPV LV",466
824483801054996,Inese Andersone,Inese Andersone,459
684155212037953,Alternative,Politiskā partija "Alternative",430
148459041863432,Baltic News Network,Baltic News Network,424
112871037101924,Альтернативное Медиа • Alternatīvā Media,Biedrība "Pareiza Lieta",416
111599520617573,Dairis Kandelis,Dairis Kandelis,408
275097769630619,Aleksejs Roslikovs  •  Алексей Росликов,Aleksejs Roslikovs,406
1913139562057994,Santa Survila,Santa Survila,405
127034762208860,Любовь Жданова - Ļubova Ždanova,Lubova Zhdanova,398
147547541961576,Council of the European Union,Council of the European Union,393
756780604662679,Laima Geikina Rīga,Laima Geikina,385
102301911556133,Linda Ozola,Jaunā konservatīvā partija,364
734850510281109,Depozīta Iepakojuma Operators,Grizzly Riga,359
1925055850861507,Viesturs Kleinbergs,PROGRESĪVIE,355
203733280310341,Gatis Eglītis,Jaunā konservatīvā partija,355
380325297593,Eiropas Parlaments Latvijā,Eiropas Parlaments Latvijā,351
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,344
261512817691958,Your Move,Jānis Kreilis,341
545693602214498,Русский союз Латвии,These ads ran without a disclaimer,340
987857981232902,Sarunu festivāls LAMPA,Sarunu festivāls LAMPA,340
167472573272165,Mindvalley на русском,These ads ran without a disclaimer,331
241795669493185,Friedrich-Ebert-Stiftung Baltic States,Friedrich-Ebert-Stiftung Baltic States,328
223694908315152,Edgars Jēkabsons,Jekabsons Edgars,327
117059818306039,Latvijas Radio,Latvijas Radio,324
572280056136785,LSM,LSM,320
245252925843233,Latvijas Radio 1,Latvijas Radio 1,296
531548457213796,Viktors Valainis,Valainis Viktors,294
224478401760186,Jānis Eglīts,Nacionālā apvienība,294
470923236652482,Mārtiņš Staķis Rīgai,partija "Latvijas attīstībai",293
407906906215292,Gatis Zamurs,Gatis Zamurs,290
2246107578840730,Vēja enerģijas asociācija,MM&A | Hill+Knowlton Strategies,264
185497885323119,Eiropas Komisijas pārstāvniecība Latvijā,Eiropas Komisijas pārstāvniecība Latvijā,258
109754670393414,Boriss Donnikovs,Boriss Donnikovs,255
111877875608583,DELNA - Sabiedrība par atklātību,Liene Gatere,253
101095184970597,Boriss Rozentāls,Boriss Kaigorodovs,250
106509557957460,Klik - un pasaule atveras,TVNET,245
114577320288923,Mihails Simvulidi,PROGRESĪVIE,243
534110743707105,Ansis Pūpols,These ads ran without a disclaimer,235
299548920458849,Indexo,These ads ran without a disclaimer,234
137027629677971,BNN-News,Baltic News Network,234
106533287880479,Fair Latvia,Александр Баранов,227
2040637416168001,TV Pirmā Rīga,Muksimovs Oskars,227
589303271713931,Kaspars Spunde,Kaspars Spunde,226
110695040404389,This Unusual Nature,These ads ran without a disclaimer,225
215486111795023,Swedbank Latvia,These ads ran without a disclaimer,225
378413922184688,Baltic News Network RUS,Baltic News Network,216
179753402089010,Ahhaa,These ads ran without a disclaimer,215
408849479961258,Andris Bačkurs Rīgai,partija "Latvijas attīstībai",210
144183615753139,Guntis Stirna,Guntis Stirna,207
281355625885168,MamaPapa Forum Riga,SIA Business Education Plus,205
2043276165687220,Partija Izaugsme,Partija IZAUGSME,205
345347539390006,Ijabs Ivars,partiju apvienība "Attīstībai/Par!",200
108639724248731,Ieva Feldmane-Volmslija,Ieva Feldmane-Walmsley,199
111745073914944,Lienīte Caune ZZS,Lienīte Caune,198
813512572019394,Latvijas Banka,Latvijas Banka,195
831485113704995,Vides aizsardzības un reģionālās attīstības ministrija,Vides aizsardzības un reģionālās attīstības ministrija,188
205652776225439,Krišjānis Liepiņš,Krišjānis Liepiņš,184
660016677346773,Zaļā brīvība,Zaļā brīvība,182
107060277762123,Deniss Čerkovskis Rīgai,Deniss Čerkovskis,181
212485185449074,Nils Ušakovs - Нил Ушаков,These ads ran without a disclaimer,178
518862558163654,Izglītības un zinātnes ministrija,Izglītības un zinātnes ministrija,171
240966039259839,Slush,These ads ran without a disclaimer,170
112666133508088,Yoga Good Vibes,These ads ran without a disclaimer,169
751478525017040,Jaunie konservatīvie Ķekavā un Baldonē,Jaunā konservatīvā partija,169
108652292534913,Латвийское радио 4,Latvijas Radio,166
203197030603239,8 Billion Trees,These ads ran without a disclaimer,165
306486866800975,Anita Muižniece,Jaunā konservatīvā partija,160
408849479961258,Andris Bačkurs Rīgai,Andris Bačkurs,159
1707369279476362,Pilsēta cilvēkiem,Pilsēta cilvēkiem,152
241593645936782,Evelatus,These ads ran without a disclaimer,152
101788961629483,Edgars Arkliņš,Edgars Arkliņš,152
748919365482681,Честь служить Риге,Partija Gods kalpot Rīgai,150
118410130076032,Dod pieci,Latvijas Radio,146
190928984415830,Jaunā Teika,These ads ran without a disclaimer,146
1796864363962753,Olafs Pulks,Olafs Pulks,145
104117027726385,Ekylo,These ads ran without a disclaimer,144
114521630302729,Nina Linde ZZS,Nina Linde,138
605865909843963,Antipolitikānis,Janis Vinters,137
140748273458660,Vjačeslavs Dombrovskis - Вячеслав Домбровский,Vjačeslavs Dombrovskis - Вячеслав Домбровский,136
177035059364249,L.Ērenpreiss,Lauris Ērenpreiss,136
1483917634995539,Nespresso Latvija,These ads ran without a disclaimer,131
214509971977412,Gods kalpot Rīgai,Partija Gods kalpot Rīgai,130
734619389955201,Latvijas vēlētāju forums,These ads ran without a disclaimer,129
223203911046829,db.lv,db.lv,127
527351247377965,European Committee of the Regions,European Committee of the Regions,126
2388354714741824,EcoInnova,These ads ran without a disclaimer,121
108662537444589,InvestExpert,These ads ran without a disclaimer,119
104251741341926,Реставрация Памятника Освободителям Риги / Uzvaras pieminekļa restaurācija,Biedrība "Pareiza Lieta",118
548620615540452,Plastify,Rudolfs Skuja,117
102973244420620,lat.press.lv,LAT.PRESS.lv,116
655400601175001,Edvards Ratnieks,Nacionālā apvienība,116
190992343324,BBC News Russian,These ads ran without a disclaimer,113
113841456986251,Agnese Logina,PROGRESĪVIE,112
587293021433280,Mamikins.lv,Andrejs Mamikins,111
267323527070904,Jānis Bordāns,Jaunā konservatīvā partija,111
913261285420965,Skanste,These ads ran without a disclaimer,110
734619389955201,Latvijas vēlētāju forums,Eduards Snepsts,109
831485113704995,Vides aizsardzības un reģionālās attīstības ministrija,These ads ran without a disclaimer,108
961977793878943,Birste,Rapid Media,106
1511718935524712,Vācijas vēstniecība Rīgā-Deutsche Botschaft Riga,These ads ran without a disclaimer,≤100
1582184165128247,Latvijas Dabas fonds,Latvijas Dabas fonds,≤100
293471557450692,Valērijs Petrovs \ Валерий Петров,These ads ran without a disclaimer,≤100
362421854149107,Konservatīvā jaunatne,Jaunā konservatīvā partija,≤100
103381114416493,Suitu parlaments,Grigorijs Rozentāls,≤100
110752262946048,Crypterium,These ads ran without a disclaimer,≤100
135382249939496,Piche,These ads ran without a disclaimer,≤100
1603675809906463,RTU Design Factory,Rīgas Tehniskā universitāte,≤100
157252641338,OANDA,These ads ran without a disclaimer,≤100
212485185449074,Nils Ušakovs - Нил Ушаков,"Nils Ušakovs, MEP, Socialists&Democrats Group",≤100
113538360386290,Māris Kalējs Rīgai,Partija IZAUGSME,≤100
443086983136679,Dzīvesbiedri,Kaspars Zalitis,≤100
1321498177962712,Latvijas Republikas Patentu valde,Latvijas Republikas Patentu valde,≤100
116206531782887,Wise,These ads ran without a disclaimer,≤100
470923236652482,Mārtiņš Staķis Rīgai,Martins Stakis,≤100
109035414229320,Александр Мирский,These ads ran without a disclaimer,≤100
103694164751765,Sindija Bokāne par jauniešiem un Rīgu,Sindija Bokāne,≤100
832298706889408,111%,These ads ran without a disclaimer,≤100
123545735704017,Nature And Man,These ads ran without a disclaimer,≤100
103691404931513,Dbrain,These ads ran without a disclaimer,≤100
109448464159431,Viltvārdis,Lato Lapsa,≤100
109242457518285,Gatis Trūps/Restartē Rīgu,Gatis Trūps,≤100
2276075052646163,Santas Skropstas,These ads ran without a disclaimer,≤100
128048127265711,Satori,Satori,≤100
406327029385499,Latvijas Pilsoniskā alianse/ Civic Alliance - Latvia,Latvijas Pilsoniskā alianse,≤100
178362315106,European Parliament,These ads ran without a disclaimer,≤100
109754670393414,Boriss Donnikovs,These ads ran without a disclaimer,≤100
106637700794771,Autosluz,These ads ran without a disclaimer,≤100
1764718630423929,Ministru kabinets / Government of Latvia,Deep White,≤100
101083895050385,Sign It Europe,These ads ran without a disclaimer,≤100
508959865842254,Roberts Zīle,Roberts Zīle,≤100
103230686391678,www.ir.lv,www.ir.lv,≤100
126060760828576,24Bottles,These ads ran without a disclaimer,≤100
111658128847068,Amnesty International,These ads ran without a disclaimer,≤100
107523611025833,Pardrošību.lv,Kārlis Apalups,≤100
112094753869678,Nestle Latvija,SIA Inspired,≤100
101872688217669,Baiba Bļodniece,These ads ran without a disclaimer,≤100
148514755192040,Riga Business School,Media House,≤100
1921193498149435,Andrejs Elksniņš - Андрей Элксниньш,These ads ran without a disclaimer,≤100
1988510838145628,Edgars Ikstens,Edgars Ikstens,≤100
359751921283995,Mārtiņš Šteins Saeimā,Mārtiņš Šteins,≤100
103757207743454,Igors Kļaviņš,PROGRESĪVIE,≤100
371622190052683,Ilze Indriksone,Ilze Indriksone,≤100
345347539390006,Ijabs Ivars,Ijabs Ivars,≤100
101994815232373,Jaunie konservatīvie Jūrmalā,Jaunā konservatīvā partija,≤100
102389457864860,Treehuggers Bracelets,These ads ran without a disclaimer,≤100
109242457518285,Gatis Trūps/Restartē Rīgu,Politisko partiju apvienība Attīstībai/Par!,≤100
823558797998275,Jaunatnes organizācija "Protests",Jaunatnes organizācija "Protests",≤100
2333251183615170,Premium Credit,These ads ran without a disclaimer,≤100
1456516717932002,NATO Strategic Communications Centre of Excellence,NATO Strategic Communications Centre of Excellence,≤100
183991599215496,META Advisory Latvia,Ieva Grīnberga,≤100
1893097087626986,Sandis Riekstiņš,Jaunā konservatīvā partija,≤100
101934384752171,Konstantins Čekušins • Константин Чекушин,Konstantin Chekushin,≤100
426270891055179,MuurikkaLatvia,Jānis Indāns,≤100
277072169475754,Xiaomi Latvia,These ads ran without a disclaimer,≤100
318123608272216,Kniga.lv Polaris книжный магазин,These ads ran without a disclaimer,≤100
108888727326313,Latvijas Alus Darītāji,Grizzly Riga,≤100
3345430138901039,Neklusē,Biedrība Neklusē,≤100
585656728567769,Ilze Krēsliņa,partija "Latvijas attīstībai",≤100
113472937137722,Dāvis M. Daugavietis,Davis Martins Daugavietis,≤100
107411980839996,Miroslavs Kodis,Miroslavs Kodis,≤100
105495161279355,Igors Meļņikovs,Igors Melnikovs,≤100
281731782877,XEvents,These ads ran without a disclaimer,≤100
100804438429055,AlfaGive,These ads ran without a disclaimer,≤100
116706926839633,Braindom,These ads ran without a disclaimer,≤100
103884181020976,Naudas Likumi,TVNET,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
109472097166067,Yoga Zea,These ads ran without a disclaimer,≤100
1546798075534920,Atbalsts uzņēmējiem,Ekonomikas ministrija,≤100
400701880658181,Kaspars Gabaliņš-Briška,These ads ran without a disclaimer,≤100
780440992099262,Andris Morozovs,These ads ran without a disclaimer,≤100
1404923176410685,Armands Krauze,Armands Krauze,≤100
306406456745061,Fridays For Future Latvia,Fridays for Future Latvia,≤100
457295401368264,Jaunā konservatīvā partija - Alūksne,Jaunā konservatīvā partija,≤100
1533230256924257,Etergo,These ads ran without a disclaimer,≤100
496837527004594,Latvijas attīstībai,partiju apvienība "Attīstībai/Par!",≤100
235220853567408,Janis Dombrava,Janis Dombrava,≤100
100310198700335,Stāsti par kapitālismu,Andris Šuvajevs,≤100
101095184970597,Boriss Rozentāls,PROGRESĪVIE,≤100
351365901647856,Reima,These ads ran without a disclaimer,≤100
514797845974377,Rīgas Menedžmenta Koledža,These ads ran without a disclaimer,≤100
147547541961576,Council of the European Union,These ads ran without a disclaimer,≤100
112600277101486,Angelika Krūmiņa,Partija IZAUGSME,≤100
0,Instagram User 4137295924,These ads ran without a disclaimer,≤100
1894003374059413,Ēriks Pucens,Politiskā partija KPV LV,≤100
106533287880479,Fair Latvia,These ads ran without a disclaimer,≤100
144183615753139,Guntis Stirna,These ads ran without a disclaimer,≤100
1784026298591672,Enefit Latvija,These ads ran without a disclaimer,≤100
1921193498149435,Andrejs Elksniņš - Андрей Элксниньш,Andrejs Elksniņš - Андрей Элксниньш,≤100
232235720264707,Rīga.lv,Rīga.lv,≤100
283545858468328,Biedrība "Latvijas Ceļu būvētājs",Biedrība "Latvijas ceļu būvētājs",≤100
1950395945188571,Mārtiņš Kossovičs,PROGRESĪVIE,≤100
524714174238878,Finanšu ministrija,These ads ran without a disclaimer,≤100
2132604150351339,Profectus,Domnīca Profectus,≤100
103085384781587,Advance,These ads ran without a disclaimer,≤100
279932505408280,Jurmala Golf Club & Hotel,These ads ran without a disclaimer,≤100
112765103967677,Latvijas lūši,Janis Vinters,≤100
101651185117921,Agris Bojārs Saulkrastu novadam,Agris Bojārs,≤100
119283008140727,Pela Case,These ads ran without a disclaimer,≤100
109734447174236,Bussines,These ads ran without a disclaimer,≤100
106427867424681,Our Solar System - Astronomy,These ads ran without a disclaimer,≤100
1660706864216893,США по-pусски - U.S. Department of State,These ads ran without a disclaimer,≤100
1615196031839724,bb.lv latviski,These ads ran without a disclaimer,≤100
153321011470555,Elektrum,These ads ran without a disclaimer,≤100
562378543780840,King Kong Co.,These ads ran without a disclaimer,≤100
293446767654354,Sandris Bergmanis / Сандрис Бергманис,These ads ran without a disclaimer,≤100
106971900737894,The United Arab Emirates Nation Brand,These ads ran without a disclaimer,≤100
104936484603449,pikniKarba,Dace Skuca,≤100
418209064906648,Dzīvnieku brīvība,Dzīvnieku brīvība,≤100
123850427644696,Grani - источник проверенных новостей,These ads ran without a disclaimer,≤100
180815911958489,RTU - Rīgas Tehniskā universitāte,Media House,≤100
1953264244781887,Edmunds Cepurītis,PROGRESĪVIE,≤100
1950395945188571,Mārtiņš Kossovičs,Mārtiņš Kossovičs,≤100
126665274065379,Politiskā partija Nacionālā Savienība "Taisnīgums",Nacionālā Savienība TAISNĪGUMS partija,≤100
215486111795023,Swedbank Latvia,TVNET,≤100
138715766194177,Rimi Latvija,Rimi Latvija,≤100
111198647250406,Ervīns Gribuška,Jaunā konservatīvā partija,≤100
115594725636071,Zero Waste Latvija,Zero Waste Latvija,≤100
176171459061779,RUS TVNET,These ads ran without a disclaimer,≤100
1470597813212092,"Uģis ROTBERGS, dabas advokāts",Rotbergs Ugis,≤100
706065659455197,Senator mēbeles pēc pasūtījuma,These ads ran without a disclaimer,≤100
805870702808320,VISMA.lv,These ads ran without a disclaimer,≤100
391993894271687,ERGO,These ads ran without a disclaimer,≤100
2214339072152669,Inese Ikstena 13. Saeimas deputāte,Ikstena Inese,≤100
111877875608583,DELNA - Sabiedrība par atklātību,Inese Taurina,≤100
595950207185585,Jaunā konservatīvā partija,These ads ran without a disclaimer,≤100
104645180914544,Сбор подписей,These ads ran without a disclaimer,≤100
619185358591194,Freedom of life,These ads ran without a disclaimer,≤100
1040487469355385,TripActions,These ads ran without a disclaimer,≤100
329580341010027,Jānis Grasbergs,Jānis Grasbergs,≤100
185907804839717,Biznesa augstskola Turība,These ads ran without a disclaimer,≤100
180815911958489,RTU - Rīgas Tehniskā universitāte,These ads ran without a disclaimer,≤100
494996144640797,Monk Island,Monk Island,≤100
2399587516775022,Rīgas Centra attīstības biedrība,Toms Krilovs,≤100
108763814387417,11 humans,These ads ran without a disclaimer,≤100
184096511636333,PROGRESĪVIE,These ads ran without a disclaimer,≤100
