Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,3617
595950207185585,Jaunā konservatīvā partija,Jaunā konservatīvā partija,3340
164326166970895,Jaunā Vienotība,Partiju apvienība “Jaunā Vienotība”,1264
524714174238878,Finanšu ministrija,Finanšu ministrija,1067
146554932048229,Delfi.lv,Delfi.lv,1009
837296389667198,Par Cilvēcīgu Latviju,Politiskā partija "KPV LV",1000
1839476629666269,Raivis Dzintars,Nacionālā apvienība,767
184096511636333,PROGRESĪVIE,PROGRESĪVIE,655
603479506715383,Dmitrijs Golubevs,Dmitrijs Golubevs,643
107898832590939,European Commission,European Commission,603
731540813660862,Krišjānis Feldmans,Jaunā konservatīvā partija,572
212485185449074,Nils Ušakovs - Нил Ушаков,"Nils Ušakovs, MEP, Socialists & Democrats Group",491
236758520084700,Centrālā vēlēšanu komisija,Centrālā vēlēšanu komisija,452
601458446716365,Attīstībai/Par Progresīvie,Partiju apvienība Attīstībai/Par! Progresīvie,446
142254092456168,TVNET,TVNET,416
201013056601771,SOS bērnu ciemati Latvijā,SOS bērnu ciemati Latvijā,416
158021020892930,Apollo.lv,TVNET,399
984665731564266,Valdis Dombrovskis,Valdis Dombrovskis,397
102671391494977,Jānis Baiks,Jānis Baiks,378
508959865842254,Roberts Zīle,Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK",376
345347539390006,Ijabs Ivars,partiju apvienība "Attīstībai/Par!",371
496837527004594,Latvijas attīstībai,partija "Latvijas attīstībai",336
1777067839274759,Ralfs Nemiro,Politiskā partija "KPV LV",332
534110743707105,Ansis Pūpols,Ansis Pūpols,321
380325297593,Eiropas Parlaments Latvijā,Eiropas Parlaments Latvijā,316
545693602214498,Русский союз Латвии,Latvijas Krievu savienība,304
246018588766742,Re:Baltica,Re:Baltica,302
246477898857961,Skaties.lv,Skaties.lv,299
470923236652482,Mārtiņš Staķis Rīgai,partija "Latvijas attīstībai",297
634097313600056,Attīstībai / Par,partiju apvienība "Attīstībai/Par!",291
176171459061779,RUS TVNET,TVNET,266
100577918513018,Vidzemes partija Cēsu novadam,Vidzemes partija Cēsu novadam,228
113834627035779,Dzīva Rīga,Nacionālā apvienība un Latvijas Reģionu apvienība,213
103935181361765,Nākotnes Smiltene - Rauna - Ape,PROGRESĪVIE,208
587293021433280,Mamikins.lv,Andrejs Mamikins,208
118130241644848,Nacionālā apvienība,Nacionālā apvienība,201
115890180264893,Saulkrastu novada attīstībai,Latvijas Attīstībai,192
215486111795023,Swedbank Latvia,Jānis Keisis,181
1554765974735742,Press.lv,Press.lv,170
1813086558946660,Kustība Par,Kustība "Par!",168
245252925843233,Latvijas Radio 1,Latvijas Radio 1,163
109687464098900,mebelukalns.lv,These ads ran without a disclaimer,160
293471557450692,Valērijs Petrovs \ Валерий Петров,Валерий Петров,157
305608429284,EU Environment,EU Environment,151
215486111795023,Swedbank Latvia,Media House SIA,151
102062354889119,Jānis Vitenbergs,Politiskā partija "KPV LV",147
106505309437949,Latvian Institute of International Affairs,Latvian Institute of International Affairs,145
141366725876424,European Greens,European Greens,143
1283283615092437,Modris Jaunups,Partija Latvijas Attīstībai,135
261512817691958,Your Move,Jānis Kreilis,133
1335196376559627,Juris Jurašs,Jaunā konservatīvā partija,132
105937848125170,Elīna Stapulone,Partija Latvijas Attīstībai,130
1895782043985643,ZZS,ZZS,130
109787584482353,Latvijas attīstībai / Vidzemes partija Ogres novadam,Partija Latvijas Attīstībai,128
111491477643840,Cēsu novads PAR,Kustība "Par!",128
236758520084700,Centrālā vēlēšanu komisija,These ads ran without a disclaimer,127
1982109711813991,Jānis Butāns,Jānis Butāns,127
203733280310341,Gatis Eglītis,Jaunā konservatīvā partija,120
534110743707105,Ansis Pūpols,These ads ran without a disclaimer,113
185497885323119,Eiropas Komisijas pārstāvniecība Latvijā,Eiropas Komisijas pārstāvniecība Latvijā,111
106509557957460,Klik - un pasaule atveras,TVNET,110
215486111795023,Swedbank Latvia,Media House,109
329580341010027,Jānis Grasbergs,Jānis Grasbergs,107
613326625787047,Sandis Ģirģens,Politiskā partija KPV LV,104
560822223989381,European Christian Political Movement,European Christian Political Movement,104
101478998507929,PROGRESĪVIE Siguldas novadā,PROGRESĪVIE,≤100
1010050165739760,NA Valmieras novada nodaļa,Nacionālā apvienība,≤100
111877875608583,DELNA - Sabiedrība par atklātību,Liene Gatere,≤100
115890180264893,Saulkrastu novada attīstībai,Artūrs Ancāns,≤100
114089470140575,Jānis Patmalnieks,Jānis Patmalnieks,≤100
572280056136785,LSM,LSM,≤100
2214339072152669,Inese Ikstena 13. Saeimas deputāte,Ikstena Inese,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
245261032767933,Beata Jonite,Jonite Beata,≤100
541229793055345,Aleksejs Loskutovs,Aleksejs Loskutovs,≤100
557368648087077,Baiba Rubesa,Partiju apvienība Attīstībai/Par!,≤100
756780604662679,Laima Geikina Rīga,Laima Geikina,≤100
148459041863432,Baltic News Network,Baltic News Network,≤100
470923236652482,Mārtiņš Staķis Rīgai,Partiju apvienība "Attīstībai/Par!",≤100
106945194205562,Jaunie konservatīvie Ādažos un Carnikavā,Jaunā konservatīvā partija,≤100
378991322688846,Jaunā konservatīvā partija - Andis Kudors,Jaunā konservatīvā partija,≤100
457295401368264,Jaunā konservatīvā partija - Alūksne,Jaunā konservatīvā partija,≤100
2246107578840730,Vēja enerģijas asociācija,MM&A | Hill+Knowlton Strategies,≤100
400861240278635,Edvards Smiltēns LV,These ads ran without a disclaimer,≤100
543584772332974,ru.Focus.lv,These ads ran without a disclaimer,≤100
362421854149107,Konservatīvā jaunatne,Jaunā konservatīvā partija,≤100
359751921283995,Mārtiņš Šteins Saeimā,Mārtiņš Šteins,≤100
299548920458849,Indexo,These ads ran without a disclaimer,≤100
100281341915719,Normunds Mazūrs,Partija Latvijas Attīstībai,≤100
1753687044724099,Saskaņa Rīga,SDP "Saskaņa",≤100
601458446716365,Attīstībai/Par Progresīvie,"Attīstībai/Par!, Progresīvie",≤100
1483917634995539,Nespresso Latvija,These ads ran without a disclaimer,≤100
1914095018847287,Aivars Geidāns,These ads ran without a disclaimer,≤100
987857981232902,Sarunu festivāls LAMPA,Sarunu festivāls LAMPA,≤100
545693602214498,Русский союз Латвии,These ads ran without a disclaimer,≤100
118410130076032,Dod pieci,Latvijas Radio,≤100
531548457213796,Viktors Valainis,Valainis Viktors,≤100
1913139562057994,Santa Survila,Santa Survila,≤100
111745073914944,Lienīte Caune ZZS,Lienīte Caune,≤100
960297957323800,Rihards Kols,Rihards Kols,≤100
528938250934694,Jaunā konservatīvā partija - Rīga,Jaunā konservatīvā partija,≤100
1764718630423929,Ministru kabinets / Government of Latvia,Deep White,≤100
813631282320758,Jānis Sadovņikovs,partija "Latvijas attīstībai",≤100
100479301937908,Ropažu novada attīstībai,Partija Latvijas Attīstībai,≤100
1582184165128247,Latvijas Dabas fonds,Latvijas Dabas fonds,≤100
518862558163654,Izglītības un zinātnes ministrija,Izglītības un zinātnes ministrija,≤100
112666133508088,Yoga Good Vibes,These ads ran without a disclaimer,≤100
215486111795023,Swedbank Latvia,These ads ran without a disclaimer,≤100
524714174238878,Finanšu ministrija,Latvijas Republikas Finanšu ministrija,≤100
1010050165739760,NA Valmieras novada nodaļa,Grasbergs Jānis,≤100
660016677346773,Zaļā brīvība,Zaļā brīvība,≤100
205652776225439,Krišjānis Liepiņš,Krišjānis Liepiņš,≤100
267323527070904,Jānis Bordāns,Jaunā konservatīvā partija,≤100
179753402089010,Ahhaa,These ads ran without a disclaimer,≤100
112871037101924,Альтернативное Медиа • Alternatīvā Media,Biedrība "Pareiza Lieta",≤100
595950207185585,Jaunā konservatīvā partija,These ads ran without a disclaimer,≤100
100871362048484,Gita Mūrniece,Partija Latvijas Attīstībai,≤100
734619389955201,Latvijas vēlētāju forums,Eduards Snepsts,≤100
406327029385499,Latvijas Pilsoniskā alianse/ Civic Alliance - Latvia,Latvijas Pilsoniskā alianse,≤100
100627146655306,Memory Water,These ads ran without a disclaimer,≤100
779811265442970,Inese Vaidere,Vaidere Inese,≤100
2168881306658684,Oligarhi Spēle,These ads ran without a disclaimer,≤100
813512572019394,Latvijas Banka,Latvijas Banka,≤100
961977793878943,Birste,Rapid Media,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
101934384752171,Konstantins Čekušins • Константин Чекушин,Konstantin Chekushin,≤100
137027629677971,BNN-News,Baltic News Network,≤100
103350595140487,PROGRESĪVIE jaunajā Cēsu novadā,PROGRESĪVIE,≤100
1504445909783270,Labklājības ministrija,These ads ran without a disclaimer,≤100
773797506103713,Kaspars Ģirģens,Ģirģens Kaspars,≤100
212485185449074,Nils Ušakovs - Нил Ушаков,These ads ran without a disclaimer,≤100
104117027726385,Ekylo,These ads ran without a disclaimer,≤100
146554932048229,Delfi.lv,These ads ran without a disclaimer,≤100
1470597813212092,"Uģis ROTBERGS, dabas advokāts",Rotbergs Ugis,≤100
684155212037953,Alternative,Politiskā partija "Alternative",≤100
184096511636333,PROGRESĪVIE,These ads ran without a disclaimer,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
178362315106,European Parliament,These ads ran without a disclaimer,≤100
106048957658612,Oļegs Burovs - Олег Буров,Partija Gods kalpot Rīgai,≤100
734850510281109,Depozīta Iepakojuma Operators,Grizzly Riga,≤100
102973244420620,lat.press.lv,LAT.PRESS.lv,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,≤100
