Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
735396419870282,MaltaGov,MaltaGov,32979,135
159249234115841,Partit Nazzjonalista,Partit Nazzjonalista,32729,54
178362315106,European Parliament,European Parliament,24770,850
1442808799090985,Adrian Delia,Partit Nazzjonalista,14257,309
215890091811957,Chris Fearne,Chris Fearne,8798,72
193035580892638,David Casa,David Casa,7979,126
1343072129119715,Robert Abela,Robert Abela,7956,139
406824526101449,Roberta Metsola,Roberta Metsola,7834,315
537789116260209,Alfred Sant,Alfred Sant,7520,146
151496594943131,Ian Borg,Ian Borg,7399,75
1442808799090985,Adrian Delia,Adrian  Delia,6833,218
480288348662981,The Malta Independent,Malta Independent,6648,1274
1700937210129433,Lovin Malta,Lovin Malta,5958,72
208847592959887,Bernard Grech,Bernard Grech,5712,157
212468218793878,Cyrus Engerer,Cyrus Engerer,5317,199
117406495021568,Francis Zammit Dimech,Francis Zammit Dimech,4875,216
397851683596055,Konrad Mizzi,Konrad Mizzi,4854,103
113095853899600,Medik Store Malta,Medik Store Malta,4719,57
63887949740,Joseph Muscat,Partit Laburista,4410,10
107898832590939,European Commission,European Commission,4331,206
117411152994609,Brexit - Be Prepared,Brexit Be Prepared,3603,69
241512229256662,Rosianne Cutajar,Rosianne Cutajar,3560,46
180083672068356,MEUSAC,Maüro Abëla,3537,68
446487702156732,Roselyn Borg Knight,Roselyn Borg,3376,126
119400288227788,Clyde Puli,Clyde Micheal Puli,3280,89
958347047640309,Clifton Grima,Clifton Grima,3028,141
433245190070343,Dr Joseph M Sammut,Joe Sammut,3024,20
144274229676499,Common Sense,Peter Mercieca,2936,559
319990751846343,Hekhane Web Online,These ads ran without a disclaimer,2684,8
351618118844864,LaburistiPożittivi,Stephen Borg,2633,191
87072433962,Aaron Farrugia,Aaron Farrugia,2622,29
116353271736965,European Parliament in Malta / Il-Parlament Ewropew f'Malta,European Parliament Office in Malta,2385,33
506829903185337,Doctors for Choice Malta,Doctors for Choice Malta,2351,23
1040577706078198,Dr Michael Briguglio - Sociologist,Michael Briguglio,2322,225
159249234115841,Partit Nazzjonalista,These ads ran without a disclaimer,2317,6
1456808057941797,Clyde Caruana,Clyde Caruana,2307,13
1911257335785088,David Stellini,David Stellini,1974,16
656955664383156,Alex Agius Saliba,Alex Agius Saliba,1947,82
578649719470540,Ray Abela,Raymond Abela,1901,22
433761360724117,Falzon Janice - Deputy Mayor - Marsaskala LC,These ads ran without a disclaimer,1888,22
407332443157920,Tech.mt,Tech.mt,1736,23
180083672068356,MEUSAC,meusac,1668,14
281304529063880,KPMG Learning Academy,KPMG in Malta,1636,23
397851683596055,Konrad Mizzi,These ads ran without a disclaimer,1603,3
373727439735340,Occupy Justice Malta,Occupy Justice Malta,1511,41
317238445597,Visit Malta,These ads ran without a disclaimer,1403,10
2123200014472283,Robert Micallef for MEP,Robert James Bugeja,1391,55
194067214711435,4MALTA,4MALTA,1322,31
63887949740,Joseph Muscat,These ads ran without a disclaimer,1259,3
312887412236411,Ralph Puli: Kunsillier PN f'Hal Qormi,Ralph Puli,1216,105
263881160919130,Peter Agius,Peter Agius,1192,62
337620233111013,Josianne Cutajar,These ads ran without a disclaimer,1151,22
1399942566977195,Roderick Galdes,Roderick Galdes,1150,24
390414881037182,Alex Muscat,Alex Muscat,1146,26
453723928015129,Malta Chamber of SMEs,Malta Chamber of SMEs,1131,12
2224889257597303,Newsbook Front Page,Newsbook.com.mt,1083,66
141366725876424,European Greens,European Greens,1073,7
114688353235284,Studiomorning,These ads ran without a disclaimer,1027,1
147547541961576,Council of the European Union,Council of the European Union,1006,234
193035580892638,David Casa,These ads ran without a disclaimer,989,14
118206712183521,Keith Tanti,Keith,946,16
137236009675929,Friends of the Earth Malta,Friends of the Earth Malta,944,48
635470623452048,Kitchen Concepts,These ads ran without a disclaimer,918,1
166617437361908,Josef Caruana,Josef Caruana,861,26
690417757823946,Lorna Vassallo,Lorna Vassallo,841,9
206414479408668,SOS Malta,Claudia Taylor East,813,53
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,786,11
305608429284,EU Environment,EU Environment,764,83
28312410177,World Food Programme,These ads ran without a disclaimer,762,22
162461360451180,Partit Laburista,Partit Laburista,751,29
1951750911601102,Voice For Choice - L-għażla tagħha,Doctors for Choice Malta,744,15
1930216103678232,riformi,Government of Malta,737,1
410157219370162,Dr. Anthony Buttigieg,Buttigieg Anthony Emanuel,737,27
418820864845546,Dario Vella,Dario Vella,737,33
419720918816570,Goes travelz,These ads ran without a disclaimer,732,3
290132764760376,Clayton Bartolo,Clayton Bartolo,712,73
277980849002904,Miriam Dalli,Miriam Dalli,681,98
373310483474389,Chris Deguara,These ads ran without a disclaimer,673,26
381424722583691,Martin Cauchi Inglott II,Martin Cauchi Inglott,630,11
729627343834501,Kialo,These ads ran without a disclaimer,615,317
182685608490046,Perit Toni Bezzina,Anthony K A Toni Bezzina,609,168
