Page ID,Page Name,Disclaimer,Amount Spent (EUR)
159249234115841,Partit Nazzjonalista,Partit Nazzjonalista,20554
735396419870282,MaltaGov,MaltaGov,17314
178362315106,European Parliament,European Parliament,14095
1442808799090985,Adrian Delia,Partit Nazzjonalista,7615
193035580892638,David Casa,David Casa,4857
406824526101449,Roberta Metsola,Roberta Metsola,4634
537789116260209,Alfred Sant,Alfred Sant,4334
215890091811957,Chris Fearne,Chris Fearne,4029
480288348662981,The Malta Independent,Malta Independent,3769
1442808799090985,Adrian Delia,Adrian  Delia,3749
1343072129119715,Robert Abela,Robert Abela,3639
151496594943131,Ian Borg,Ian Borg,3509
1700937210129433,Lovin Malta,Lovin Malta,3393
117406495021568,Francis Zammit Dimech,Francis Zammit Dimech,3118
63887949740,Joseph Muscat,Partit Laburista,2849
212468218793878,Cyrus Engerer,Cyrus Engerer,2820
208847592959887,Bernard Grech,Bernard Grech,2698
397851683596055,Konrad Mizzi,Konrad Mizzi,2679
113095853899600,Medik Store Malta,Medik Store Malta,2397
119400288227788,Clyde Puli,Clyde Micheal Puli,2218
107898832590939,European Commission,European Commission,2203
446487702156732,Roselyn Borg Knight,Roselyn Borg,1956
958347047640309,Clifton Grima,Clifton Grima,1890
241512229256662,Rosianne Cutajar,Rosianne Cutajar,1844
180083672068356,MEUSAC,Maüro Abëla,1783
433245190070343,Dr Joseph M Sammut,Joe Sammut,1724
319990751846343,Hekhane Web Online,These ads ran without a disclaimer,1649
144274229676499,Common Sense,Peter Mercieca,1636
117411152994609,Brexit - Be Prepared,Brexit Be Prepared,1613
87072433962,Aaron Farrugia,Aaron Farrugia,1512
159249234115841,Partit Nazzjonalista,These ads ran without a disclaimer,1496
1040577706078198,Dr Michael Briguglio - Sociologist,Michael Briguglio,1446
116353271736965,European Parliament in Malta / Il-Parlament Ewropew f'Malta,European Parliament Office in Malta,1289
506829903185337,Doctors for Choice Malta,Doctors for Choice Malta,1262
351618118844864,LaburistiPożittivi,Stephen Borg,1206
656955664383156,Alex Agius Saliba,Alex Agius Saliba,1030
397851683596055,Konrad Mizzi,These ads ran without a disclaimer,1022
1911257335785088,David Stellini,David Stellini,1019
281304529063880,KPMG Learning Academy,KPMG in Malta,978
