Page ID,Page Name,Disclaimer,Amount Spent (EUR)
735396419870282,MaltaGov,MaltaGov,2349
159249234115841,Partit Nazzjonalista,Partit Nazzjonalista,2206
178362315106,European Parliament,European Parliament,1852
1442808799090985,Adrian Delia,Partit Nazzjonalista,1578
1911257335785088,David Stellini,David Stellini,718
193035580892638,David Casa,David Casa,702
215890091811957,Chris Fearne,Chris Fearne,656
406824526101449,Roberta Metsola,Roberta Metsola,597
1343072129119715,Robert Abela,Robert Abela,585
208847592959887,Bernard Grech,Bernard Grech,554
537789116260209,Alfred Sant,Alfred Sant,531
480288348662981,The Malta Independent,Malta Independent,521
151496594943131,Ian Borg,Ian Borg,517
1442808799090985,Adrian Delia,Adrian  Delia,417
212468218793878,Cyrus Engerer,Cyrus Engerer,410
1700937210129433,Lovin Malta,Lovin Malta,408
107898832590939,European Commission,European Commission,359
337620233111013,Josianne Cutajar,These ads ran without a disclaimer,355
117406495021568,Francis Zammit Dimech,Francis Zammit Dimech,352
453723928015129,Malta Chamber of SMEs,Malta Chamber of SMEs,337
63887949740,Joseph Muscat,Partit Laburista,331
397851683596055,Konrad Mizzi,Konrad Mizzi,309
117411152994609,Brexit - Be Prepared,Brexit Be Prepared,294
180083672068356,MEUSAC,meusac,262
180083672068356,MEUSAC,Maüro Abëla,250
116353271736965,European Parliament in Malta / Il-Parlament Ewropew f'Malta,European Parliament Office in Malta,237
433245190070343,Dr Joseph M Sammut,Joe Sammut,236
241512229256662,Rosianne Cutajar,Rosianne Cutajar,235
193035580892638,David Casa,These ads ran without a disclaimer,229
446487702156732,Roselyn Borg Knight,Roselyn Borg,221
113095853899600,Medik Store Malta,Medik Store Malta,196
319990751846343,Hekhane Web Online,These ads ran without a disclaimer,165
1456808057941797,Clyde Caruana,Clyde Caruana,165
1040577706078198,Dr Michael Briguglio - Sociologist,Michael Briguglio,163
506829903185337,Doctors for Choice Malta,Doctors for Choice Malta,160
958347047640309,Clifton Grima,Clifton Grima,150
263881160919130,Peter Agius,Peter Agius,148
87072433962,Aaron Farrugia,Aaron Farrugia,147
351618118844864,LaburistiPożittivi,Stephen Borg,146
656955664383156,Alex Agius Saliba,Alex Agius Saliba,143
119400288227788,Clyde Puli,Clyde Micheal Puli,142
159249234115841,Partit Nazzjonalista,These ads ran without a disclaimer,139
144274229676499,Common Sense,Peter Mercieca,130
407332443157920,Tech.mt,Tech.mt,126
373727439735340,Occupy Justice Malta,Occupy Justice Malta,117
325758517614182,Kevin Cauchi - Ghajnsielem,Kevin Cauchi,109
63887949740,Joseph Muscat,These ads ran without a disclaimer,107
1417638468449319,Clint Camilleri,Clint Camilleri,106
578649719470540,Ray Abela,Raymond Abela,≤100
2224889257597303,Newsbook Front Page,Newsbook.com.mt,≤100
1399942566977195,Roderick Galdes,Roderick Galdes,≤100
2123200014472283,Robert Micallef for MEP,Robert James Bugeja,≤100
317238445597,Visit Malta,These ads ran without a disclaimer,≤100
397851683596055,Konrad Mizzi,These ads ran without a disclaimer,≤100
390414881037182,Alex Muscat,Alex Muscat,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
141366725876424,European Greens,European Greens,≤100
194067214711435,4MALTA,4MALTA,≤100
361934417981005,Joseph Buttigieg,These ads ran without a disclaimer,≤100
114688353235284,Studiomorning,These ads ran without a disclaimer,≤100
281304529063880,KPMG Learning Academy,KPMG in Malta,≤100
433761360724117,Falzon Janice - Deputy Mayor - Marsaskala LC,These ads ran without a disclaimer,≤100
118206712183521,Keith Tanti,Keith,≤100
635470623452048,Kitchen Concepts,These ads ran without a disclaimer,≤100
135283117104230,Human Rights Directorate,Annalise Desira,≤100
166617437361908,Josef Caruana,Josef Caruana,≤100
137236009675929,Friends of the Earth Malta,Friends of the Earth Malta,≤100
305608429284,EU Environment,EU Environment,≤100
361934417981005,Joseph Buttigieg,Joseph Buttigieg,≤100
277980849002904,Miriam Dalli,Miriam Dalli,≤100
690417757823946,Lorna Vassallo,Lorna Vassallo,≤100
1951750911601102,Voice For Choice - L-għażla tagħha,Doctors for Choice Malta,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
162461360451180,Partit Laburista,Partit Laburista,≤100
290132764760376,Clayton Bartolo,Clayton Bartolo,≤100
419720918816570,Goes travelz,These ads ran without a disclaimer,≤100
866898943405952,KulturaMalta,KulturaMalta,≤100
656955664383156,Alex Agius Saliba,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
410157219370162,Dr. Anthony Buttigieg,Buttigieg Anthony Emanuel,≤100
1930216103678232,riformi,Government of Malta,≤100
458318884361628,Frank Psaila,Frank Psaila,≤100
381424722583691,Martin Cauchi Inglott II,Martin Cauchi Inglott,≤100
206414479408668,SOS Malta,Claudia Taylor East,≤100
128646400494521,Planning Authority,Planning Authority,≤100
312887412236411,Ralph Puli: Kunsillier PN f'Hal Qormi,Ralph Puli,≤100
270802657201040,Brian Azzopardi,These ads ran without a disclaimer,≤100
2042464896061121,Justin Anastasi,Justin Paul Anastasi,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
350105925081605,Newsbook.com.mt,Newsbook.com.mt,≤100
201139016692218,Daniel Attard,Daniel Attard,≤100
263881160919130,Peter Agius,These ads ran without a disclaimer,≤100
435404653282308,The Malta Chamber,"The Malta Chamber of Commerce, Enterprise and Industry",≤100
212468218793878,Cyrus Engerer,These ads ran without a disclaimer,≤100
607391652607909,Vaccines Today,These ads ran without a disclaimer,≤100
560822223989381,European Christian Political Movement,European Christian Political Movement,≤100
254570114649806,KNŻ - Kunsill Nazzjonali taż-Żgħażagħ,KNŻ - Kunsill Nazzjonali taż-Żgħażagħ,≤100
553957061374411,Albert Buttigieg,Albert Buttigieg,≤100
1006969672715108,Ian Castaldi Paris,Lovin Malta,≤100
506829903185337,Doctors for Choice Malta,These ads ran without a disclaimer,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
962042630582450,Live Communications for Malta and Gozo.,Stephen Florian,≤100
101948514879068,Investigative Journalism for Malta,Victor Borg,≤100
642559889500480,Daniel Attard,These ads ran without a disclaimer,≤100
290329184871610,Noel Cassar,Noel Caesar,≤100
2658589594157095,Horeca Malta,Mailbox,≤100
2171614669626227,George Vella,These ads ran without a disclaimer,≤100
116353271736965,European Parliament in Malta / Il-Parlament Ewropew f'Malta,These ads ran without a disclaimer,≤100
117406495021568,Francis Zammit Dimech,These ads ran without a disclaimer,≤100
1125945327534590,Errol Cutajar,Errol Cutajar,≤100
1006969672715108,Ian Castaldi Paris,Ian Castaldi Paris,≤100
361092834465191,Repubblika,These ads ran without a disclaimer,≤100
208847592959887,Bernard Grech,These ads ran without a disclaimer,≤100
578267982580443,Johann Grech,These ads ran without a disclaimer,≤100
1423096917943323,The Alfred Mizzi Foundation,The Alfred Mizzi Foundation,≤100
151496594943131,Ian Borg,These ads ran without a disclaimer,≤100
1667798806848667,Herman Farrugia,These ads ran without a disclaimer,≤100
735396419870282,MaltaGov,These ads ran without a disclaimer,≤100
309359272432391,ADPD,Alternattiva Demokratika - The Green Party,≤100
122770477891114,Chris Said,Said Christopher,≤100
202808526976518,Infrastructure Malta,Infrastructure Malta,≤100
539347289876986,Go Tec Globalized,These ads ran without a disclaimer,≤100
108016007632265,Katya De Giovanni,Katya De Giovanni,≤100
101511231469801,Slaven Micallef,These ads ran without a disclaimer,≤100
149809275605377,Vote16+,These ads ran without a disclaimer,≤100
1683577911708021,Volt Malta,Volt Malta,≤100
366906900097269,Ryan Callus,Ryan Callus,≤100
241512229256662,Rosianne Cutajar,These ads ran without a disclaimer,≤100
203197030603239,8 Billion Trees,These ads ran without a disclaimer,≤100
314107445765412,Ivan Castillo,Ivan Castillo,≤100
100164765041410,finanzi,These ads ran without a disclaimer,≤100
2348335638559952,Chris Bonett,Christian Paul Bonett,≤100
901167396713466,Manuel Delia,These ads ran without a disclaimer,≤100
485570778145314,Charles Bonello,Charles Bonello,≤100
40870184668,FŻL - Forum Żgħażagħ Laburisti,FŻL - Forum Żgħażagħ Laburisti,≤100
119400288227788,Clyde Puli,These ads ran without a disclaimer,≤100
839942429396928,Briiz,Briiz,≤100
231187780287250,Mark Anthony Sammut,Mark Anthony Sammut,≤100
215890091811957,Chris Fearne,These ads ran without a disclaimer,≤100
208843695919509,Carm Mifsud Bonnici,These ads ran without a disclaimer,≤100
207317455970691,Aldo Busuttil,Aldo Busuttil,≤100
118206712183521,Keith Tanti,These ads ran without a disclaimer,≤100
2286824898201285,Water - Be The Change,These ads ran without a disclaimer,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
389073271181262,EU Funds Malta,EU Funds,≤100
102966474756562,Fondi Ewropej,These ads ran without a disclaimer,≤100
185852885338199,Notmyagreement,Grixti Dario,≤100
102329635073756,Joseph Grech,Joseph Grech,≤100
181379916072401,PD Martin Cauchi Inglott,These ads ran without a disclaimer,≤100
519983634699152,Gabriel Micallef,Gabriel Micallef,≤100
2036112743268961,CDE News,These ads ran without a disclaimer,≤100
104830741414076,The Island.mt,The Island,≤100
111658128847068,Amnesty International,These ads ran without a disclaimer,≤100
290132764760376,Clayton Bartolo,Kearon Bruno,≤100
162702787116992,Earth Garden,These ads ran without a disclaimer,≤100
2134769826797857,Anton Debono,These ads ran without a disclaimer,≤100
1911257335785088,David Stellini,These ads ran without a disclaimer,≤100
239063562820183,Gift of Life Malta,These ads ran without a disclaimer,≤100
1198556280321936,Martin Cauchi Inglott,Martin Cauchi Inglot,≤100
194179617289088,Beppe Fenech Adami,These ads ran without a disclaimer,≤100
103782984308921,Blogz Available,These ads ran without a disclaimer,≤100
1343072129119715,Robert Abela,These ads ran without a disclaimer,≤100
1990838864506831,Anja Goder,Anja Goder,≤100
375909309470462,Joseph Ellis,These ads ran without a disclaimer,≤100
310113712382001,Frank Salt Real Estate,Nick Bilocca,≤100
446487702156732,Roselyn Borg Knight,These ads ran without a disclaimer,≤100
292293830844024,BirdLife Malta,Mark Sultana,≤100
236517837179567,Frederick Aquilina,These ads ran without a disclaimer,≤100
639605909439300,MITA,These ads ran without a disclaimer,≤100
373310483474389,Chris Deguara,These ads ran without a disclaimer,≤100
290132764760376,Clayton Bartolo,These ads ran without a disclaimer,≤100
142764992538983,Christian Micallef,These ads ran without a disclaimer,≤100
411450196264363,Titan Power+,These ads ran without a disclaimer,≤100
178362315106,European Parliament,These ads ran without a disclaimer,≤100
2292226091046029,Omar E. Arab,These ads ran without a disclaimer,≤100
338711896237245,Anthony Chircop - Sliema Mayor,These ads ran without a disclaimer,≤100
1024305577762812,Malta Family Law Blog,Robert Thake,≤100
418820864845546,Dario Vella,Dario Vella,≤100
87072433962,Aaron Farrugia,These ads ran without a disclaimer,≤100
289569618166195,Luke Caruana,Alternattiva Demokratika - The Green Party,≤100
244715312774043,Malta Qabel Kollox,These ads ran without a disclaimer,≤100
718028451554921,Transport Malta,These ads ran without a disclaimer,≤100
256633338596868,Charmaine St John,These ads ran without a disclaimer,≤100
235240306667037,Kopin Malta,Kopin Malta,≤100
562243087210860,Graziella Attard Previ - Sliema Deputy Mayor - General Election Candidate,Graziella Attard Previ,≤100
110298813928985,Bartolo J Ivan,Ivan Bartolo,≤100
506829903185337,Doctors for Choice Malta,Jamie Grech,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
1417638468449319,Clint Camilleri,These ads ran without a disclaimer,≤100
169080930225029,Noyah Spiteri Hammett,These ads ran without a disclaimer,≤100
