Page ID,Page Name,Disclaimer,Amount Spent (EUR)
735396419870282,MaltaGov,MaltaGov,3880
178362315106,European Parliament,European Parliament,1926
215890091811957,Chris Fearne,Chris Fearne,1063
1442808799090985,Adrian Delia,Adrian  Delia,996
1343072129119715,Robert Abela,Robert Abela,868
406824526101449,Roberta Metsola,Roberta Metsola,775
113095853899600,Medik Store Malta,Medik Store Malta,735
1442808799090985,Adrian Delia,Partit Nazzjonalista,734
208847592959887,Bernard Grech,Bernard Grech,727
480288348662981,The Malta Independent,Malta Independent,687
418820864845546,Dario Vella,Dario Vella,621
151496594943131,Ian Borg,Ian Borg,614
117411152994609,Brexit - Be Prepared,Brexit Be Prepared,573
180083672068356,MEUSAC,Maüro Abëla,521
1700937210129433,Lovin Malta,Lovin Malta,519
107898832590939,European Commission,European Commission,502
241512229256662,Rosianne Cutajar,Rosianne Cutajar,479
144274229676499,Common Sense,Peter Mercieca,351
314107445765412,Ivan Castillo,Ivan Castillo,347
506829903185337,Doctors for Choice Malta,Doctors for Choice Malta,342
958347047640309,Clifton Grima,Clifton Grima,290
1456808057941797,Clyde Caruana,Clyde Caruana,279
351618118844864,LaburistiPożittivi,Stephen Borg,260
281304529063880,KPMG Learning Academy,KPMG in Malta,258
407332443157920,Tech.mt,Tech.mt,254
446487702156732,Roselyn Borg Knight,Roselyn Borg,254
317238445597,Visit Malta,These ads ran without a disclaimer,237
87072433962,Aaron Farrugia,Aaron Farrugia,229
180083672068356,MEUSAC,meusac,213
119400288227788,Clyde Puli,Clyde Micheal Puli,201
519983634699152,Gabriel Micallef,Gabriel Micallef,199
373727439735340,Occupy Justice Malta,Occupy Justice Malta,178
578649719470540,Ray Abela,Raymond Abela,165
2224889257597303,Newsbook Front Page,Newsbook.com.mt,163
519983634699152,Gabriel Micallef,Gabriel Micallef,158
147547541961576,Council of the European Union,Council of the European Union,150
397851683596055,Konrad Mizzi,Konrad Mizzi,147
635470623452048,Kitchen Concepts,These ads ran without a disclaimer,137
453723928015129,Malta Chamber of SMEs,Malta Chamber of SMEs,135
1399942566977195,Roderick Galdes,Roderick Galdes,129
390414881037182,Alex Muscat,Alex Muscat,125
28312410177,World Food Programme,These ads ran without a disclaimer,118
194067214711435,4MALTA,4MALTA,113
118206712183521,Keith Tanti,Keith,≤100
1951750911601102,Voice For Choice - L-għażla tagħha,Doctors for Choice Malta,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
206414479408668,SOS Malta,Claudia Taylor East,≤100
1930216103678232,riformi,Government of Malta,≤100
290132764760376,Clayton Bartolo,Clayton Bartolo,≤100
562243087210860,Graziella Attard Previ - Sliema Deputy Mayor - General Election Candidate,Graziella Attard Previ,≤100
162461360451180,Partit Laburista,Partit Laburista,≤100
128646400494521,Planning Authority,Planning Authority,≤100
435404653282308,The Malta Chamber,"The Malta Chamber of Commerce, Enterprise and Industry",≤100
116353271736965,European Parliament in Malta / Il-Parlament Ewropew f'Malta,European Parliament Office in Malta,≤100
239063562820183,Gift of Life Malta,These ads ran without a disclaimer,≤100
2042464896061121,Justin Anastasi,Justin Paul Anastasi,≤100
506829903185337,Doctors for Choice Malta,These ads ran without a disclaimer,≤100
866898943405952,KulturaMalta,KulturaMalta,≤100
254570114649806,KNŻ - Kunsill Nazzjonali taż-Żgħażagħ,KNŻ - Kunsill Nazzjonali taż-Żgħażagħ,≤100
2658589594157095,Horeca Malta,Mailbox,≤100
182685608490046,Perit Toni Bezzina,Anthony K A Toni Bezzina,≤100
553957061374411,Albert Buttigieg,Albert Buttigieg,≤100
295310111175191,Romilda B. Zarb - Sindku u kandidata ghall-Elezzjoni Generali,These ads ran without a disclaimer,≤100
1006969672715108,Ian Castaldi Paris,Lovin Malta,≤100
