Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
428670174395114,Vattenfall Nederland,Vattenfall Nederland,1385874,2395
120034538112114,Stichting Vluchteling,Stichting Vluchteling,729825,4645
288295911466,Greenpeace Nederland,Greenpeace Nederland,702263,8557
57729029960,Amnesty International Nederland,Amnesty International Nederland,675183,5650
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie -FVD,671853,863
320374518118,CDA,CDA,649229,7593
52985377549,D66,D66,420543,2234
121264564551002,VVD,VVD,396435,6754
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,302922,4279
115289021825188,Oxfam Novib,Oxfam Novib,294262,3850
159449970751999,Save the Children Nederland,Save the Children Nederland,277060,1622
128393027527,SP,SP,266340,850
178362315106,European Parliament,European Parliament,255196,884
93833638834,Plan International Nederland,Plan International Nederland,210664,1778
447218628670592,UNHCR Nederland,UNHCR Nederland,193917,643
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport","Ministerie van Volksgezondheid, Welzijn en Sport",181725,72
175740570505,GroenLinks,GroenLinks,175075,888
139858509373289,UNICEF Nederland,Unicef Nederland,158551,1066
117483088313381,CIWF Nederland,CIWF Nederland,155492,753
2018408465106868,Wopke Hoekstra,CDA,155185,2844
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),154452,4866
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,122159,65
83439828234,Milieudefensie,Milieudefensie,121927,876
328663274675248,Voor 14,Voor 14,109007,509
146644665960101,Volt Nederland,Volt Nederland,97673,1310
349312760804,World Vision Nederland,World Vision NL,96726,3449
1961817983830023,Consumentenkeuzehulp.nl,Consumentenkeuzehulp,90629,614
102287806490622,Partij voor de Dieren,Partij voor de Dieren,90187,158
488054904564547,ifaw,Stichting IFAW,87795,2065
133687759997528,ASN Bank,ASN Bank,86821,341
687496011309020,Jesse Klaver,GroenLinks,84927,147
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,81558,728
100717511317223,Iedereen doet wat,Rijksoverheid,78124,62
115289021825188,Oxfam Novib,These ads ran without a disclaimer,76720,109
120184871378246,Aidsfonds,Aidsfonds,76708,796
1830425247191865,Cordaid,Cordaid,66509,155
106020448037192,JA21,JA21.nl,65539,101
115027651906533,Wakker Dier,Wakker Dier,63589,784
159156314210762,Nationaal Comité 4 en 5 mei,Nationaal Comité 4 en 5 mei,58380,48
212261272123,3FM,3FM,51054,220
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,50358,1320
