Page ID,Page Name,Disclaimer,Amount Spent (EUR)
161145654049306,Minister Xiomara Maduro,Minister Xiomara Maduro,1502
1407065656179729,Minister Dangui Oduber,These ads ran without a disclaimer,798
657729514402361,Daphne Lejuez,These ads ran without a disclaimer,325
1758228064392718,Fundacion Gobernacion di Calidad Aruba,Fundacion Gobernacion di Calidad Aruba,204
1455576181163891,"Minister di Finansa, Asuntonan Economico y Cultura mr. Xiomara Ruiz-Maduro",These ads ran without a disclaimer,173
108409526428514,RAIZ ARUBA,RAIZ ARUBA,117
1008237082551950,Guillfred Besaril,Guillfred Besaril,109
101750145212438,Democracia 21,These ads ran without a disclaimer,≤100
1630892023894778,FCVR Fundacion Contra Violencia Relacional,These ads ran without a disclaimer,≤100
130678557630320,Gabinete Wever-Croes,These ads ran without a disclaimer,≤100
306636499855629,MedCare Clinic,These ads ran without a disclaimer,≤100
1630892023894778,FCVR Fundacion Contra Violencia Relacional,FCVR Fundacion Contra Violencia Relacional,≤100
255132168323915,Rocco Tjon,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
102807789866157,Elvis Tjin Asjoe Page,These ads ran without a disclaimer,≤100
482012968546601,Setty - Louisette Christiaans Yarzagaray,These ads ran without a disclaimer,≤100
108409526428514,RAIZ ARUBA,These ads ran without a disclaimer,≤100
1602696133278123,Global Shapers Oranjestad,These ads ran without a disclaimer,≤100
2248831305340155,Clean Green Solar Machine,These ads ran without a disclaimer,≤100
183700801802134,Minister Glenbert F. Croes,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
103992097804124,"Yello, We Know Local",These ads ran without a disclaimer,≤100
223346551443492,Stichting Parkietenbos Aruba,These ads ran without a disclaimer,≤100
165004157332215,EWA: Learn English,These ads ran without a disclaimer,≤100
634854576665481,Arubiano,These ads ran without a disclaimer,≤100
100895034795910,InternationalModel/Sonise,These ads ran without a disclaimer,≤100
112022650386354,Comerciante Uni Aruba,These ads ran without a disclaimer,≤100
169416916578642,Urgent Care Aruba,These ads ran without a disclaimer,≤100
601791049842077,Casi Nobo,These ads ran without a disclaimer,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
310349372452192,Women Talk,These ads ran without a disclaimer,≤100
1410552612558553,Emil Lee,Emil Lee,≤100
209549862444742,Bon Dia Aruba,These ads ran without a disclaimer,≤100
1037978886333090,Hendrik Tevreden,These ads ran without a disclaimer,≤100
343432049749778,Aruba.TV,These ads ran without a disclaimer,≤100
117822698813720,Ricardo Croes,These ads ran without a disclaimer,≤100
101176814872722,Global Pride 2020,These ads ran without a disclaimer,≤100
101678608250014,Fundacommandeursbaai,These ads ran without a disclaimer,≤100
112505607191654,Anti Corruption Aruba,These ads ran without a disclaimer,≤100
419770444803389,EDUMAX Training & Consultancy,These ads ran without a disclaimer,≤100
143805629001433,Bvn_tv,These ads ran without a disclaimer,≤100
1713671075544193,Samen Kerk in Nederland - SKIN,Samen Kerk in Nederland (SKIN),≤100
119521334736694,LionsDive Beach Resort Curaçao,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
130678557630320,Gabinete Wever-Croes,Minister Xiomara Maduro,≤100
110061351221,Digicel,These ads ran without a disclaimer,≤100
205305166540457,SFX Aruba,These ads ran without a disclaimer,≤100
440902859280970,GodSaidManSaid,These ads ran without a disclaimer,≤100
824110414271095,Lain Garcia Calvo,These ads ran without a disclaimer,≤100
378862118826343,Save Alto Vista,These ads ran without a disclaimer,≤100
2326059400957631,Zero Waste Aruba,These ads ran without a disclaimer,≤100
712741452408479,E Conoflok,These ads ran without a disclaimer,≤100
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100
113043443574947,Incineration Awareness,These ads ran without a disclaimer,≤100
104119094729598,Parkietenbos Stories,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
108445097260176,The Zero Waste Spot,These ads ran without a disclaimer,≤100
109914793845437,The Wezard Show,These ads ran without a disclaimer,≤100
187367894948069,Dive Curacao,These ads ran without a disclaimer,≤100
110761450675052,Bo Informado,These ads ran without a disclaimer,≤100
687589164666184,MasterClass,These ads ran without a disclaimer,≤100
486030985076571,Dellanire Maduro,These ads ran without a disclaimer,≤100
1621130651445571,BENU Pharmacy Aruba,These ads ran without a disclaimer,≤100
864420347017905,"Gwendell Mercelina, Jr.",These ads ran without a disclaimer,≤100
398799110143354,Lev Haolam - Supporting Israel,These ads ran without a disclaimer,≤100
103135724788479,topfundmanager,These ads ran without a disclaimer,≤100
492323860970384,Joe Brien,These ads ran without a disclaimer,≤100
480305829018059,Badland Brawl,These ads ran without a disclaimer,≤100
407352373379308,Atardi,These ads ran without a disclaimer,≤100
900947140051100,Fundacion Fiestas Patrias Peruanos na Aruba,These ads ran without a disclaimer,≤100
511114482584403,Quaintrelle Aruba,These ads ran without a disclaimer,≤100
2142795889166864,tratatucabello,These ads ran without a disclaimer,≤100
676692975786082,Fun Games For Free,These ads ran without a disclaimer,≤100
340795069385826,Paradera Party Center,These ads ran without a disclaimer,≤100
137528501663,Domestika,These ads ran without a disclaimer,≤100
328771631175563,"Breeze: mood journal, diary",These ads ran without a disclaimer,≤100
903559049725754,Bati Bleki,These ads ran without a disclaimer,≤100
253635411315081,Luis Abinader,These ads ran without a disclaimer,≤100
911617278849035,Save More Aruba,These ads ran without a disclaimer,≤100
114561533787177,Vikash Supersad,These ads ran without a disclaimer,≤100
1635736753328236,Fortrade Online Trading,These ads ran without a disclaimer,≤100
392947834152064,Kingstoon,These ads ran without a disclaimer,≤100
110658457315245,Solar LED Stair Lights - Boundery,These ads ran without a disclaimer,≤100
1073809942749113,GForce Movement,These ads ran without a disclaimer,≤100
857287714288855,The Church of Jesus Christ of Latter-day Saints - Caribbean,These ads ran without a disclaimer,≤100
981459292020896,Futura,These ads ran without a disclaimer,≤100
1693789177522109,Fundacion Respeta Mi,These ads ran without a disclaimer,≤100
937141836494786,Social Media Matters Curacao,These ads ran without a disclaimer,≤100
148402291938216,Granitt og Betongvare AS,These ads ran without a disclaimer,≤100
100934001317695,Stevan Jaramillo,These ads ran without a disclaimer,≤100
1878320149136407,Rise of Empires: Ice and Fire,These ads ran without a disclaimer,≤100
