Page ID,Page Name,Disclaimer,Amount Spent (EUR)
155474094960656,Tweede Kamerverkiezing CN 2021,Caribbean Legacy,974
102807789866157,Elvis Tjin Asjoe Page,These ads ran without a disclaimer,251
10150111330480434,Piratenpartij [NL],Piratenpartij [NL],≤100
113056892048017,VIP Diving,These ads ran without a disclaimer,≤100
1080709138711241,Groen Rechts,partijgroenrechts,≤100
248053672571245,A Plastic Free Bonaire,These ads ran without a disclaimer,≤100
1544659105822988,Island Council Elections 2020,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
218262164940110,Pensioenfonds Caribisch Nederland (PCN),These ads ran without a disclaimer,≤100
102287806490622,Partij voor de Dieren,Partij voor de Dieren,≤100
1410552612558553,Emil Lee,Emil Lee,≤100
350063285605302,St. Kitts Nevis Riddim,These ads ran without a disclaimer,≤100
873148779417275,GroenLinks Lutty van den Berg,Ludmilla Van Den Berg,≤100
243499296538335,StraightUp SKN,These ads ran without a disclaimer,≤100
143805629001433,Bvn_tv,These ads ran without a disclaimer,≤100
105122614294503,Conrad Richardson,Caroline Van Oost,≤100
103992097804124,"Yello, We Know Local",These ads ran without a disclaimer,≤100
105122614294503,Conrad Richardson,Conrad Richardson,≤100
120751185970,Digicel,These ads ran without a disclaimer,≤100
187367894948069,Dive Curacao,These ads ran without a disclaimer,≤100
119521334736694,LionsDive Beach Resort Curaçao,These ads ran without a disclaimer,≤100
558219981362140,MyStraw Company,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
101750145212438,Democracia 21,These ads ran without a disclaimer,≤100
864420347017905,"Gwendell Mercelina, Jr.",These ads ran without a disclaimer,≤100
101176814872722,Global Pride 2020,These ads ran without a disclaimer,≤100
137528501663,Domestika,These ads ran without a disclaimer,≤100
398799110143354,Lev Haolam - Supporting Israel,These ads ran without a disclaimer,≤100
551158678560402,Epimonia,These ads ran without a disclaimer,≤100
115366836686423,RegrowAustralia,These ads ran without a disclaimer,≤100
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100
687589164666184,MasterClass,These ads ran without a disclaimer,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
8002590959,Rainforest Action Network,These ads ran without a disclaimer,≤100
937141836494786,Social Media Matters Curacao,These ads ran without a disclaimer,≤100
440902859280970,GodSaidManSaid,These ads ran without a disclaimer,≤100
101328828591341,Harmoninie A,These ads ran without a disclaimer,≤100
110658457315245,Solar LED Stair Lights - Boundery,These ads ran without a disclaimer,≤100
