Page ID,Page Name,Disclaimer,Amount Spent (EUR)
120802704732060,Elsa Rozendal,Elsa Rozendal,5599
117977750048740,KUMUN,KUMUN,4143
113624260429636,Fundashon Akshon Awor,Akshon Awor,2228
1750719895217050,PAR: Partido Alternativa Real,Partido Alternativa Real,1409
110607607487006,Partido Mavis,Mavis Albertina,904
117977750048740,KUMUN,Kumun,816
111688108845205,Partido MAN,Jowenny Troeman,774
352027571624415,Zita Jesus-Leito,Kimberly Crisan Altagracia Ascencion,715
856637827808520,Rennox Calmes,Rennox Calmes,601
117977750048740,KUMUN,These ads ran without a disclaimer,597
100400488618281,Partido Union i Progreso,Partido Union i Progreso,505
1567971453464069,Suzy Camelia-Römer,Axel Pikero,454
1679685722115068,Lesa hopi bon,These ads ran without a disclaimer,418
111688108845205,Partido MAN,Partido MAN,363
190014188153607,Steven Martina,Partido MAN,359
687311364796298,Kenneth Gijsbertha - Minister di Finansa,These ads ran without a disclaimer,274
1067178736669138,PIN - Partido Inovashon Nashonal,Axel Pikero,255
101501808048603,MAVIS ALBERTINA,Mavis Albertina,240
123717349606707,Eunice Martis PAR,These ads ran without a disclaimer,164
184852683623,Partido Nashonal di Pueblo - PNP,These ads ran without a disclaimer,136
120802704732060,Elsa Rozendal,These ads ran without a disclaimer,127
100973398718791,Tyrone de Palm,Tasha De Palm,126
178207716396849,Igualdat Kòrsou,These ads ran without a disclaimer,118
403726569817422,Jowenny F Troeman,Jowenny Troeman,111
106578788133905,Anthony Weber,These ads ran without a disclaimer,109
119403856648086,Nehomar Mateo,Nehomar Mateo,105
111688108845205,Partido MAN,These ads ran without a disclaimer,≤100
343406786954295,Tercy Ignatia,Valentina Blanco,≤100
102807789866157,Elvis Tjin Asjoe Page,These ads ran without a disclaimer,≤100
102501398467538,Lysaira Ortela,Lysa Ortela,≤100
1950072788555965,Kenneth Martis di PIN,Kenneth Russell Erastus Martis,≤100
1674998749274462,Caleb Michael Pour,These ads ran without a disclaimer,≤100
856637827808520,Rennox Calmes,These ads ran without a disclaimer,≤100
1853912748023440,Kaya Kaya Party,These ads ran without a disclaimer,≤100
473612526141358,Giselle Mc William,These ads ran without a disclaimer,≤100
172729107814418,Ahmed Khatib #15 MAN,Dennis Chirino,≤100
183377712165171,Giorgio Broos,Giorgio Broos,≤100
106465761281398,Shandell G. Matrono,These ads ran without a disclaimer,≤100
1042123472572759,Jason Vic,These ads ran without a disclaimer,≤100
823956857950597,Partido KEM,These ads ran without a disclaimer,≤100
100932958636144,Carlson Manuel,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
129012707184616,Gobièrnu di Kòrsou,These ads ran without a disclaimer,≤100
998693636926631,Math Solutions,These ads ran without a disclaimer,≤100
121479904591933,GreenTown Curacao,These ads ran without a disclaimer,≤100
802262043497190,AWOR TA BASTA,These ads ran without a disclaimer,≤100
105876331549635,Roy Bottse Partido MAN #24,These ads ran without a disclaimer,≤100
363687310497262,Korsou Solidario i Duradero,These ads ran without a disclaimer,≤100
205794360109,Omundo,These ads ran without a disclaimer,≤100
168983660364693,Stop Blackface,These ads ran without a disclaimer,≤100
161145654049306,Minister Xiomara Maduro,Minister Xiomara Maduro,≤100
102211628624566,henny_reinilia,These ads ran without a disclaimer,≤100
819854508087850,CX PAY,These ads ran without a disclaimer,≤100
261404897211423,Autocity BV,These ads ran without a disclaimer,≤100
104730798291066,Gwendel Doorson,These ads ran without a disclaimer,≤100
1067178736669138,PIN - Partido Inovashon Nashonal,These ads ran without a disclaimer,≤100
294578621011026,Gale  Harry,These ads ran without a disclaimer,≤100
103690898353743,Mr. Drs. Javier Silvania,These ads ran without a disclaimer,≤100
1850319478574192,Curaçao Times,These ads ran without a disclaimer,≤100
0,Instagram User 99574961,These ads ran without a disclaimer,≤100
1862656927347932,Christopher Maduro,These ads ran without a disclaimer,≤100
355563418316641,HUNTU ku Minister Presidènt,These ads ran without a disclaimer,≤100
109130367900028,Dr. Yves "Payo" Schoop,These ads ran without a disclaimer,≤100
103481721604395,Un Bos. Un Pueblo.,Un Bos. Un Pueblo.,≤100
1410552612558553,Emil Lee,Emil Lee,≤100
110263537310398,Elekshon Korsou 2021,Brendan Cachemir,≤100
203319253034974,Erik Jan Koedijk: social media cyber security,These ads ran without a disclaimer,≤100
107428607879933,Steven Croes,These ads ran without a disclaimer,≤100
732500906911530,Armin Konket,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
864420347017905,"Gwendell Mercelina, Jr.",These ads ran without a disclaimer,≤100
842531392530629,Kousa Promé,These ads ran without a disclaimer,≤100
846213555427466,Workspot Curaçao,These ads ran without a disclaimer,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
125428872185549,Athly Maria,These ads ran without a disclaimer,≤100
371802893305027,Cidaon,These ads ran without a disclaimer,≤100
101176814872722,Global Pride 2020,These ads ran without a disclaimer,≤100
104436914649687,VISHON,These ads ran without a disclaimer,≤100
109130367900028,Dr. Yves "Payo" Schoop,Jowenny Troeman,≤100
1713671075544193,Samen Kerk in Nederland - SKIN,Samen Kerk in Nederland (SKIN),≤100
101750145212438,Democracia 21,These ads ran without a disclaimer,≤100
143805629001433,Bvn_tv,These ads ran without a disclaimer,≤100
105853258152961,Dwight Isebia,These ads ran without a disclaimer,≤100
101175878611721,Norman 'Nooi' Girigorie #11 PNP,These ads ran without a disclaimer,≤100
381357745853766,Miles Mercera,These ads ran without a disclaimer,≤100
338124070178811,i.amchanis,These ads ran without a disclaimer,≤100
440902859280970,GodSaidManSaid,These ads ran without a disclaimer,≤100
104617068315747,Marla flaviana Borgschot,These ads ran without a disclaimer,≤100
100559961955585,Dearly Ta Informa,These ads ran without a disclaimer,≤100
735490153474320,D.S. Educational Coaching,These ads ran without a disclaimer,≤100
103083057772056,Educate ur Self,These ads ran without a disclaimer,≤100
101647718582241,Efren Candelaria,Efren Candelaria,≤100
100812908231507,Curacao Vibez,These ads ran without a disclaimer,≤100
165004157332215,EWA: Learn English,These ads ran without a disclaimer,≤100
