Page ID,Page Name,Disclaimer,Amount Spent (EUR)
428670174395114,Vattenfall Nederland,Vattenfall Nederland,43387
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie -FVD,25630
320374518118,CDA,CDA,18984
288295911466,Greenpeace Nederland,Greenpeace Nederland,18068
57729029960,Amnesty International Nederland,Amnesty International Nederland,15056
120034538112114,Stichting Vluchteling,Stichting Vluchteling,13464
52985377549,D66,D66,12973
121264564551002,VVD,VVD,11506
128393027527,SP,SP,10014
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,8426
115289021825188,Oxfam Novib,Oxfam Novib,8281
178362315106,European Parliament,European Parliament,7881
159449970751999,Save the Children Nederland,Save the Children Nederland,7496
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),6512
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport","Ministerie van Volksgezondheid, Welzijn en Sport",5766
93833638834,Plan International Nederland,Plan International Nederland,5311
1961817983830023,Consumentenkeuzehulp.nl,Consumentenkeuzehulp,4850
2018408465106868,Wopke Hoekstra,CDA,4843
139858509373289,UNICEF Nederland,Unicef Nederland,4457
117483088313381,CIWF Nederland,CIWF Nederland,4318
328663274675248,Voor 14,Voor 14,3479
175740570505,GroenLinks,GroenLinks,3461
83439828234,Milieudefensie,Milieudefensie,3315
447218628670592,UNHCR Nederland,UNHCR Nederland,3179
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,3129
349312760804,World Vision Nederland,World Vision NL,2722
1830425247191865,Cordaid,Cordaid,2607
100717511317223,Iedereen doet wat,Rijksoverheid,2464
102287806490622,Partij voor de Dieren,Partij voor de Dieren,2413
106020448037192,JA21,JA21.nl,2362
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,2322
133687759997528,ASN Bank,ASN Bank,2314
120184871378246,Aidsfonds,Aidsfonds,2240
115289021825188,Oxfam Novib,These ads ran without a disclaimer,2140
488054904564547,ifaw,Stichting IFAW,2118
146644665960101,Volt Nederland,Volt Nederland,2111
687496011309020,Jesse Klaver,GroenLinks,2062
1530277467215488,VVD Drenthe,VVD,2009
212261272123,3FM,3FM,1906
115027651906533,Wakker Dier,Wakker Dier,1839
