Page ID,Page Name,Disclaimer,Amount Spent (EUR)
428670174395114,Vattenfall Nederland,Vattenfall Nederland,57364
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie -FVD,32154
288295911466,Greenpeace Nederland,Greenpeace Nederland,26003
57729029960,Amnesty International Nederland,Amnesty International Nederland,23459
120034538112114,Stichting Vluchteling,Stichting Vluchteling,22202
320374518118,CDA,CDA,21085
52985377549,D66,D66,16286
121264564551002,VVD,VVD,12793
115289021825188,Oxfam Novib,Oxfam Novib,11789
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,11661
128393027527,SP,SP,11495
159449970751999,Save the Children Nederland,Save the Children Nederland,10733
178362315106,European Parliament,European Parliament,10098
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),8966
93833638834,Plan International Nederland,Plan International Nederland,7346
2018408465106868,Wopke Hoekstra,CDA,6574
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport","Ministerie van Volksgezondheid, Welzijn en Sport",6428
117483088313381,CIWF Nederland,CIWF Nederland,6310
1961817983830023,Consumentenkeuzehulp.nl,Consumentenkeuzehulp,6101
139858509373289,UNICEF Nederland,Unicef Nederland,5828
175740570505,GroenLinks,GroenLinks,5288
447218628670592,UNHCR Nederland,UNHCR Nederland,5216
83439828234,Milieudefensie,Milieudefensie,4943
328663274675248,Voor 14,Voor 14,4679
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,4298
349312760804,World Vision Nederland,World Vision NL,3913
102287806490622,Partij voor de Dieren,Partij voor de Dieren,3787
146644665960101,Volt Nederland,Volt Nederland,3244
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,3220
180532465311930,Rode Kruis,Rode Kruis,3129
488054904564547,ifaw,Stichting IFAW,3126
1830425247191865,Cordaid,Cordaid,3071
687496011309020,Jesse Klaver,GroenLinks,3013
133687759997528,ASN Bank,ASN Bank,2976
100717511317223,Iedereen doet wat,Rijksoverheid,2974
115289021825188,Oxfam Novib,These ads ran without a disclaimer,2894
106020448037192,JA21,JA21.nl,2874
120184871378246,Aidsfonds,Aidsfonds,2682
115027651906533,Wakker Dier,Wakker Dier,2466
1598361623791979,Harry van der Molen,CDA,2441
143716979054755,Lucille Werner,CDA,2434
147772805659767,Gert-Jan Segers,ChristenUnie,2356
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,2316
159156314210762,Nationaal Comité 4 en 5 mei,Nationaal Comité 4 en 5 mei,2256
121719834601889,FNV Vakbond,FNV Vakbond,2149
212261272123,3FM,3FM,2054
160001040736183,Fairtrade Nederland,Fairtrade Nederland,2038
177508708941577,Milieu Centraal,Milieu Centraal,1885
178362315106,European Parliament,These ads ran without a disclaimer,1838
1409007399336866,BNNVARA,BNNVARA,1800
338750440106782,BBB Boerburgerbeweging,BoerBurgerBeweging,1799
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,1782
201751609836046,Dokters van de Wereld (NL),Dokters van de Wereld (NL),1680
370877480281746,Diesel Emissions Justice Foundation,These ads ran without a disclaimer,1660
309518469167921,Kinderfonds MAMAS,Kinderfonds MAMAS,1649
1853495178284518,MBRC,MBRC,1642
717249231795539,BIJ1,BIJ1,1629
130133230331245,Wereld Natuur Fonds - WWF,Wereld Natuur Fonds - WWF,1586
194041757291378,PAX,PAX,1578
844559615710915,Lilian Marijnissen,SP,1572
107679567418588,Vollediggroen.nl,Vollediggroen.nl,1554
170725579702314,ActionAid Nederland,ActionAid,1546
128160633899802,Stichting De Noordzee,Stichting De Noordzee,1541
176804439190262,College voor de Rechten van de Mens,College voor de Rechten van de Mens,1520
206592029351928,ABN AMRO,ABN AMRO,1503
147683725284795,Mercy Ships Holland,Mercy Ships Holland,1429
297779776717,KPN,KPN,1361
211661062254003,ChristenUnie,ChristenUnie,1281
111622410196045,State of Youth,KidsRights with Facebook ad credits,1273
125663380814227,Libertaire Partij - LP,Libertaire Partij - LP,1225
305608429284,EU Environment,EU Environment,1162
1637965639787416,Nacht van de Vluchteling,Nacht van de Vluchteling,1089
148404651881567,VNO-NCW,These ads ran without a disclaimer,1085
531554406865407,Lipton Ice Tea,Lipton Ice Tea,1065
269793629749221,ZOA,ZOA,1047
847935418599549,Nationale Wetenschapsagenda,Nationale Wetenschapsagenda,1021
106321547980706,Sneltest.nl,NJ Travel BV,949
202247686455791,KRO-NCRV,KRO-NCRV,920
170140703064042,Max Wonen,These ads ran without a disclaimer,870
103331578113619,Omroep Groen,Omroep Groen,855
141689092670478,Open Doors,Open Doors,854
264564577356897,De Goede Zaak,DeGoedeZaak,837
112425480553798,The Privacy Collective NL,The Privacy Collective,815
196118303833398,NRC,These ads ran without a disclaimer,802
711257992346674,Pointer KRO-NCRV,Pointer KRO-NCRV,796
150580708294362,AD.nl,AD.nl,788
1550088745275913,DENK,DENK,769
379837259062033,Thierry Baudet,Thierry Baudet,761
101319338499920,PCRTest.nl,NJ Travel BV,755
399762680079935,Mastercard,Mastercard,749
353474172552,War Child Holland,War Child Holland,745
107898832590939,European Commission,European Commission,741
726281677519881,Facebook app,Facebook,732
481539345557642,JONG,Vereniging voor Jonge Politiek in Nederland,731
172726782754343,Edukans,Edukans,730
162631597133914,Dierenbescherming,Dierenbescherming,729
193307084068597,WNL,These ads ran without a disclaimer,722
263935850440177,Vandebron,These ads ran without a disclaimer,686
103244341131787,GO Realisme & Daadkracht,GO,680
105516159523693,Wilde Ganzen,Wilde Ganzen,672
245579158353,Giro555,Giro555,663
347623668624706,50PLUSpartij,ZH i.o.v. 50PLUS,642
802045420187585,Opzoeknaarrendement.nl,Opzoeknaarrendement.nl,634
112246298811452,Jonge Socialisten in de PvdA,Jonge Socialisten in de PvdA,634
416038355464651,Habtamu de Hoop,Partij van de Arbeid (PvdA),629
105516159523693,Wilde Ganzen,These ads ran without a disclaimer,595
212529958771436,VELUX,VELUX,593
200969413280005,Shell,These ads ran without a disclaimer,591
141366725876424,European Greens,European Greens,575
104937521634354,Watmagnu,"Ministerie van Volksgezondheid, Welzijn en Sport",569
147006749798,Ben & Jerry's,Unilever Nederland B.V.,564
114824741963035,Kom over en help,St. Kom over en help,562
578319302259182,ENGIE Energie Nederland,These ads ran without a disclaimer,557
38957713985,VPRO,VPRO,554
143913725639896,WOMEN Inc.,WOMEN Inc.,550
102099948102088,Maskr,Maskr,548
969158383214898,Wybren van Haga,Van Haga,524
428670174395114,Vattenfall Nederland,These ads ran without a disclaimer,514
1705660683039799,Raymond Knops,CDA,513
124282324250399,Klaas Dijkhoff,VVD,513
113072077160368,Consuwise,consuwise.nl,513
122620689140585,Ongehoord Nederland,Ongehoord Nederland,507
122498317789637,Libelle,DPG Media,507
100428112069846,Psst,Stichting Psst,484
200254747130034,Patagonia,Patagonia,482
433611050005553,SGP,SGP,468
167638236597192,EenVandaag,EenVandaag,461
145580068834607,Veteranendag,Veteranendag,454
112530232090434,NPO,NPO,433
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport",These ads ran without a disclaimer,423
642523009289303,Woonbond,Woonbond,422
268288036539711,HospitaalBroeders,HospitaalBroeders,416
105339817717917,Gezin in Gevaar,Stichting Civitas Christiana,413
164448196903465,Simavi,Simavi,411
1853495178284518,MBRC,These ads ran without a disclaimer,411
166171703430115,Argos,Argos,407
783282565123892,Cultuur onder Vuur,Stichting Civitas Christiana,405
147006749798,Ben & Jerry's,These ads ran without a disclaimer,404
198486356863605,Longfonds,Longfonds,399
270788920480,Europees Parlement Nederland,Europees Parlement Nederland,395
497854107276090,Solease Zonnepanelen,These ads ran without a disclaimer,392
294407831236821,Lelylijn,Lelylijn,388
118754531489898,Artsen zonder Grenzen,Artsen zonder Grenzen Nederland,386
280888908702707,Stichting leerKRACHT,Stichting leerKRACHT,378
200256353823316,Cycle for Plan,Plan International Nederland,378
100112178513271,CASsummit2021,These ads ran without a disclaimer,377
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,377
268776409835328,GSA Netwerk,COC Nederland,372
128869313810652,Eerlijke Geldwijzer,Eerlijke Geldwijzer,370
984274581639504,Algemene Onderwijsbond,Algemene Onderwijsbond,364
106535794288642,Skyworld in your hands,These ads ran without a disclaimer,360
436101979807727,Pointer (KRO-NCRV),De Monitor KRO-NCRV,357
2282333235129671,Code Oranje,Code Oranje,355
434609543403499,Oatly,Oatly,354
361691628003200,Warming Up,Stichting Impact Makers,347
187867417914875,Greenchoice,These ads ran without a disclaimer,347
223021227715006,Makelaardij Hoekstra,Makelaardij Hoekstra,346
156571571036057,Natuur & Milieu,Natuur & Milieu,346
104392777921014,WorldWatchers_Nederland,These ads ran without a disclaimer,344
596966847464585,HappySoaps,These ads ran without a disclaimer,338
1714641885505076,Zootje Geregeld,Milieu Centraal,337
109781030519393,Pensioenverlies,Bee Interactive,330
132272050127848,de Volkskrant,de Volkskrant,329
110540418715,VIER VOETERS,These ads ran without a disclaimer,324
102689673106543,Belvilla,These ads ran without a disclaimer,319
210064882534707,KNCV Tuberculosefonds,KNCV Tuberculosefonds,314
512252945544565,asr,These ads ran without a disclaimer,313
403772503084759,Rijksdienst voor Ondernemend Nederland - RVO,Rijksdienst voor Ondernemend Nederland - RVO,308
218119402341534,Shampoo Bars Nederland,These ads ran without a disclaimer,293
104392777921014,WorldWatchers_Nederland,WorldWatchers,286
333939901218,Het Parool,Het Parool,283
464562260997665,NOW,Joey Spreeuwenberg,281
130133230331245,Wereld Natuur Fonds - WWF,These ads ran without a disclaimer,279
455793745240639,Go. Green. Easy,Rabobank,278
208578955894331,Bas Eickhout,GroenLinks,278
200567513290560,Postcode Loterij,Unicef Nederland,276
436101979807727,Pointer (KRO-NCRV),These ads ran without a disclaimer,276
141870556078,KWF Kankerbestrijding / Dutch Cancer Society,KWF Kankerbestrijding / Dutch Cancer Society,275
447218628670592,UNHCR Nederland,Sasha Lukasik,274
105341021533696,Jan Cees Vogelaar,LMV Media Group,267
338722872830080,NTR,NTR,267
347623668624706,50PLUSpartij,Zoekhelden B.V.,267
971443309666536,VVD Tytsjerksteradiel,Sjaak Hoekstra,267
181375052003138,Blendle,These ads ran without a disclaimer,263
1380397158956994,Stichting Bootvluchteling,Stichting Bootvluchteling,257
57729029960,Amnesty International Nederland,These ads ran without a disclaimer,254
159156314210762,Nationaal Comité 4 en 5 mei,These ads ran without a disclaimer,254
823537391322678,Henk Jan Ormel,CDA,253
34880713930,ACN - Kerk in Nood,Kerk in Nood Nederland,243
192692240869852,Groasis,Groasis,243
245644432148792,ING Nederland,These ads ran without a disclaimer,243
183747651651348,Hivos,Hivos,241
115077391879906,"Ministerie van Onderwijs, Cultuur en Wetenschap","Ministerie van Onderwijs, Cultuur en Wetenschap",236
609816282477420,Forum voor Democratie -FVD,These ads ran without a disclaimer,234
1501788100127143,Jonge Klimaatbeweging,Jonge Klimaatbeweging,229
133720236695807,Werken voor Nederland,Werken voor Nederland,229
159449970751999,Save the Children Nederland,These ads ran without a disclaimer,229
320374518118,CDA,These ads ran without a disclaimer,228
196678880377286,International Justice Mission,International Justice Mission,222
189236901116604,easyJet,These ads ran without a disclaimer,221
111834750560059,NLBeter,Nederland Beter,221
196908516995945,Volvo Car Nederland,Volvo Car Nederland,221
115027651906533,Wakker Dier,Stichting Wakker Dier,220
137299353547880,Missie Energie,KVGN,219
193307084068597,WNL,WNL,218
201751609836046,Dokters van de Wereld (NL),These ads ran without a disclaimer,216
196118303833398,NRC,NRC,215
100455310014019,Solidaridad,Solidaridad,214
103219178489070,Klimaatalarm,WeDigital,214
380115249263134,Opzoeknaarzonnepanelen.nl,opzoeknaarzonnepanelen.nl,214
165625476919894,CNV Vakmensen,CNV Vakmensen,213
287380574636835,De Stentor,DPG Media,212
126052760507,Mama Cash,Mama Cash,210
404247949634770,CARE Nederland,CARE Nederland,207
353021651500970,Nestlé,Nestlé,206
143330162379668,Oxxio,These ads ran without a disclaimer,201
235995615357,NTR Wetenschap,NTR,200
790841021006963,Mona Keijzer,CDA,200
499125670146491,Augeo,Augeo Foundation,198
222029491143966,Free Press Unlimited,Free Press Unlimited,198
135642563196256,"CDJA, CDA-jongeren",CDJA,195
160464877301633,Waddenvereniging,Waddenvereniging,192
153357044722038,Jonge Democraten,Jonge Democraten,191
105023282868133,Simyo,Simyo,188
111472788936772,Naturalis,Naturalis Biodiversity Center,186
444504516075907,Shell,Shell,185
106491429483582,SDOK,SDOK,184
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,183
347623668624706,50PLUSpartij,VLG,183
105061501209763,Gekleurdemondkapjes.nl,Gekleurde Mondkapjes,182
101675885089320,Coöperatie Laatste Wil,These ads ran without a disclaimer,181
298674423522362,SodaStream Nederland,These ads ran without a disclaimer,178
244496714142,Humanistisch Verbond,Humanistisch Verbond,177
192600774817587,CDA Harlingen,CDA Harlingen,177
120235394673887,Tijdschrift,These ads ran without a disclaimer,176
1829461253986395,FYGI - Happy Recruiters,FYGI - Happy Recruiters,175
371014006815988,Unilever Benelux,Unilever,173
221292842061953,Love my country,These ads ran without a disclaimer,172
254918764596191,Lodewijk Asscher,Partij van de Arbeid (PvdA),171
100291500469490,Gijs van Dijk,Partij van de Arbeid (PvdA),171
100310298568268,Frederik Jansen,Forum voor Democratie -FVD,170
106085081224870,Sigrid Kaag,D66,170
640413262653563,Fossielvrij NL,Fossielvrij NL,170
244496714142,Humanistisch Verbond,cStrong,169
1443518785699143,Elke Stem Telt,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,161
478022368897483,The Ocean Cleanup,The Ocean Cleanup,161
163150044373800,Nieuwsblad Noordoost-Friesland,NDC mediagroep,159
