Page ID,Page Name,Disclaimer,Amount Spent (EUR)
428670174395114,Vattenfall Nederland,Vattenfall Nederland,90185
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie -FVD,51303
320374518118,CDA,CDA,51209
288295911466,Greenpeace Nederland,Greenpeace Nederland,40178
57729029960,Amnesty International Nederland,Amnesty International Nederland,32511
52985377549,D66,D66,28426
120034538112114,Stichting Vluchteling,Stichting Vluchteling,26406
121264564551002,VVD,VVD,23907
128393027527,SP,SP,21345
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,19511
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport","Ministerie van Volksgezondheid, Welzijn en Sport",19155
115289021825188,Oxfam Novib,Oxfam Novib,18035
2018408465106868,Wopke Hoekstra,CDA,17577
178362315106,European Parliament,European Parliament,17485
159449970751999,Save the Children Nederland,Save the Children Nederland,15566
1961817983830023,Consumentenkeuzehulp.nl,Consumentenkeuzehulp,11666
222002188405093,Silvio Erkens,Silvio Erkens,11625
93833638834,Plan International Nederland,Plan International Nederland,10802
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),10777
117483088313381,CIWF Nederland,CIWF Nederland,10309
139858509373289,UNICEF Nederland,Unicef Nederland,9923
175740570505,GroenLinks,GroenLinks,8858
447218628670592,UNHCR Nederland,UNHCR Nederland,7995
328663274675248,Voor 14,Voor 14,7786
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,7660
825800654145354,Martijn van Helvert,CDA,7351
83439828234,Milieudefensie,Milieudefensie,6684
384101518433208,Waterklaar,InovaMedia B.V.,5927
687496011309020,Jesse Klaver,GroenLinks,5342
115289021825188,Oxfam Novib,These ads ran without a disclaimer,5324
100717511317223,Iedereen doet wat,Rijksoverheid,5195
488054904564547,ifaw,Stichting IFAW,5107
133687759997528,ASN Bank,ASN Bank,5047
1830425247191865,Cordaid,Cordaid,5028
106020448037192,JA21,JA21.nl,4876
102287806490622,Partij voor de Dieren,Partij voor de Dieren,4872
146644665960101,Volt Nederland,Volt Nederland,4749
120184871378246,Aidsfonds,Aidsfonds,4573
349312760804,World Vision Nederland,World Vision NL,4458
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,4229
143716979054755,Lucille Werner,CDA,4194
115027651906533,Wakker Dier,Wakker Dier,4144
101147471988851,Jasper Kuntzelaers,PvdA Limburg,3986
159156314210762,Nationaal Comité 4 en 5 mei,Nationaal Comité 4 en 5 mei,3777
121719834601889,FNV Vakbond,FNV Vakbond,3439
160001040736183,Fairtrade Nederland,Fairtrade Nederland,3355
178362315106,European Parliament,These ads ran without a disclaimer,3326
844559615710915,Lilian Marijnissen,SP,3265
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,3124
212261272123,3FM,3FM,3119
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,2962
1862580210628899,Mustafa Amhaouch,CDA,2802
1409007399336866,BNNVARA,BNNVARA,2710
1853495178284518,MBRC,MBRC,2657
177508708941577,Milieu Centraal,Milieu Centraal,2635
176804439190262,College voor de Rechten van de Mens,College voor de Rechten van de Mens,2589
130133230331245,Wereld Natuur Fonds - WWF,Wereld Natuur Fonds - WWF,2458
194041757291378,PAX,PAX,2436
717249231795539,BIJ1,BIJ1,2404
107679567418588,Vollediggroen.nl,Vollediggroen.nl,2355
201751609836046,Dokters van de Wereld (NL),Dokters van de Wereld (NL),2353
180532465311930,Rode Kruis,Rode Kruis,2316
297779776717,KPN,KPN,2291
111622410196045,State of Youth,KidsRights with Facebook ad credits,2264
