Page ID,Page Name,Disclaimer,Amount Spent (EUR)
428670174395114,Vattenfall Nederland,Vattenfall Nederland,247843
120034538112114,Stichting Vluchteling,Stichting Vluchteling,192629
57729029960,Amnesty International Nederland,Amnesty International Nederland,155403
288295911466,Greenpeace Nederland,Greenpeace Nederland,153906
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie -FVD,93344
320374518118,CDA,CDA,75642
52985377549,D66,D66,70759
115289021825188,Oxfam Novib,Oxfam Novib,65631
121264564551002,VVD,VVD,63635
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,57630
159449970751999,Save the Children Nederland,Save the Children Nederland,53407
447218628670592,UNHCR Nederland,UNHCR Nederland,49245
93833638834,Plan International Nederland,Plan International Nederland,45928
178362315106,European Parliament,European Parliament,42031
175740570505,GroenLinks,GroenLinks,38707
128393027527,SP,SP,35876
117483088313381,CIWF Nederland,CIWF Nederland,31729
139858509373289,UNICEF Nederland,Unicef Nederland,28408
83439828234,Milieudefensie,Milieudefensie,25455
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport","Ministerie van Volksgezondheid, Welzijn en Sport",24803
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),23262
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,20991
102287806490622,Partij voor de Dieren,Partij voor de Dieren,20406
328663274675248,Voor 14,Voor 14,19858
146644665960101,Volt Nederland,Volt Nederland,19123
488054904564547,ifaw,Stichting IFAW,18473
349312760804,World Vision Nederland,World Vision NL,16991
133687759997528,ASN Bank,ASN Bank,16959
248022541905667,Gemeente Amsterdam,Gemeente Amsterdam,16864
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,16607
115289021825188,Oxfam Novib,These ads ran without a disclaimer,16192
687496011309020,Jesse Klaver,GroenLinks,15995
120184871378246,Aidsfonds,Aidsfonds,14531
100717511317223,Iedereen doet wat,Rijksoverheid,12962
2018408465106868,Wopke Hoekstra,CDA,11952
1961817983830023,Consumentenkeuzehulp.nl,Consumentenkeuzehulp,11741
201751609836046,Dokters van de Wereld (NL),Dokters van de Wereld (NL),11731
115027651906533,Wakker Dier,Wakker Dier,11447
180532465311930,Rode Kruis,Rode Kruis,10162
1830425247191865,Cordaid,Cordaid,9953
434609543403499,Oatly,Oatly,9786
159156314210762,Nationaal Comité 4 en 5 mei,Nationaal Comité 4 en 5 mei,9707
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,9701
106020448037192,JA21,JA21.nl,9009
1853495178284518,MBRC,MBRC,8563
178362315106,European Parliament,These ads ran without a disclaimer,8539
130133230331245,Wereld Natuur Fonds - WWF,Wereld Natuur Fonds - WWF,8442
194041757291378,PAX,PAX,8315
196118303833398,NRC,These ads ran without a disclaimer,8289
1409007399336866,BNNVARA,BNNVARA,8094
170725579702314,ActionAid Nederland,ActionAid,8038
726281677519881,Facebook app,Facebook,8026
111622410196045,State of Youth,KidsRights with Facebook ad credits,7630
212261272123,3FM,3FM,7368
717249231795539,BIJ1,BIJ1,7208
309518469167921,Kinderfonds MAMAS,Kinderfonds MAMAS,7064
1550088745275913,DENK,DENK,7027
297779776717,KPN,KPN,6995
160001040736183,Fairtrade Nederland,Fairtrade Nederland,6896
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,6837
121719834601889,FNV Vakbond,FNV Vakbond,6821
200256353823316,Cycle for Plan,Plan International Nederland,6769
103331578113619,Omroep Groen,Omroep Groen,6642
176804439190262,College voor de Rechten van de Mens,College voor de Rechten van de Mens,6505
177508708941577,Milieu Centraal,Milieu Centraal,6273
206592029351928,ABN AMRO,ABN AMRO,5986
107679567418588,Vollediggroen.nl,Vollediggroen.nl,5984
245579158353,Giro555,Giro555,5509
353474172552,War Child Holland,War Child Holland,5109
112425480553798,The Privacy Collective NL,The Privacy Collective,5037
125663380814227,Libertaire Partij - LP,Libertaire Partij - LP,4842
305608429284,EU Environment,EU Environment,4802
128160633899802,Stichting De Noordzee,Stichting De Noordzee,4625
531554406865407,Lipton Ice Tea,Lipton Ice Tea,4511
1637965639787416,Nacht van de Vluchteling,Nacht van de Vluchteling,4502
1829461253986395,FYGI - Happy Recruiters,FYGI - Happy Recruiters,4475
844559615710915,Lilian Marijnissen,SP,4412
847935418599549,Nationale Wetenschapsagenda,Nationale Wetenschapsagenda,4336
152313778157632,De Amsterdamse VVD,de Amsterdamse VVD,4188
802045420187585,Opzoeknaarrendement.nl,Opzoeknaarrendement.nl,4120
143716979054755,Lucille Werner,CDA,4070
642523009289303,Woonbond,Woonbond,4063
324639927731493,Duurzaam020,Gemeente Amsterdam,4012
147683725284795,Mercy Ships Holland,Mercy Ships Holland,3969
264564577356897,De Goede Zaak,DeGoedeZaak,3853
147772805659767,Gert-Jan Segers,ChristenUnie,3835
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,3620
93325661430,Joods Cultureel Kwartier,Joods Cultureel Kwartier,3606
200254747130034,Patagonia,Patagonia,3579
170140703064042,Max Wonen,These ads ran without a disclaimer,3514
399762680079935,Mastercard,Mastercard,3447
380115249263134,Opzoeknaarzonnepanelen.nl,opzoeknaarzonnepanelen.nl,3343
193307084068597,WNL,These ads ran without a disclaimer,3309
118754531489898,Artsen zonder Grenzen,Artsen zonder Grenzen Nederland,3291
143913725639896,WOMEN Inc.,WOMEN Inc.,3281
57729029960,Amnesty International Nederland,These ads ran without a disclaimer,3221
