Page ID,Page Name,Disclaimer,Amount Spent (EUR)
428670174395114,Vattenfall Nederland,Vattenfall Nederland,184094
320374518118,CDA,CDA,108817
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie -FVD,100762
288295911466,Greenpeace Nederland,Greenpeace Nederland,90554
57729029960,Amnesty International Nederland,Amnesty International Nederland,75050
120034538112114,Stichting Vluchteling,Stichting Vluchteling,74534
121264564551002,VVD,VVD,65111
52985377549,D66,D66,58936
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,39948
128393027527,SP,SP,38633
115289021825188,Oxfam Novib,Oxfam Novib,35844
178362315106,European Parliament,European Parliament,35790
159449970751999,Save the Children Nederland,Save the Children Nederland,33030
2018408465106868,Wopke Hoekstra,CDA,28789
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport","Ministerie van Volksgezondheid, Welzijn en Sport",28093
93833638834,Plan International Nederland,Plan International Nederland,24590
139858509373289,UNICEF Nederland,Unicef Nederland,21114
175740570505,GroenLinks,GroenLinks,20920
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),20729
447218628670592,UNHCR Nederland,UNHCR Nederland,20478
117483088313381,CIWF Nederland,CIWF Nederland,18620
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,17524
328663274675248,Voor 14,Voor 14,14676
83439828234,Milieudefensie,Milieudefensie,14573
1961817983830023,Consumentenkeuzehulp.nl,Consumentenkeuzehulp,13942
146644665960101,Volt Nederland,Volt Nederland,13701
133687759997528,ASN Bank,ASN Bank,11424
488054904564547,ifaw,Stichting IFAW,11306
102287806490622,Partij voor de Dieren,Partij voor de Dieren,11250
100717511317223,Iedereen doet wat,Rijksoverheid,11144
687496011309020,Jesse Klaver,GroenLinks,10834
349312760804,World Vision Nederland,World Vision NL,10165
120184871378246,Aidsfonds,Aidsfonds,9991
115289021825188,Oxfam Novib,These ads ran without a disclaimer,9643
106020448037192,JA21,JA21.nl,9300
1830425247191865,Cordaid,Cordaid,9145
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,9083
115027651906533,Wakker Dier,Wakker Dier,8764
159156314210762,Nationaal Comité 4 en 5 mei,Nationaal Comité 4 en 5 mei,8562
143716979054755,Lucille Werner,CDA,8347
291034160913952,Gemeente 's-Hertogenbosch,Gemeente 's-Hertogenbosch,8094
212261272123,3FM,3FM,7627
178362315106,European Parliament,These ads ran without a disclaimer,7155
160001040736183,Fairtrade Nederland,Fairtrade Nederland,6340
147710335240518,Eindhovens Dagblad,DPG Media,6083
1853495178284518,MBRC,MBRC,6054
1409007399336866,BNNVARA,BNNVARA,6050
130133230331245,Wereld Natuur Fonds - WWF,Wereld Natuur Fonds - WWF,6014
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,5948
164165566951558,Brabants Dagblad,Brabants Dagblad,5941
229810283742087,BN DeStem,DPG Media,5702
180532465311930,Rode Kruis,Rode Kruis,5660
844559615710915,Lilian Marijnissen,SP,5380
176804439190262,College voor de Rechten van de Mens,College voor de Rechten van de Mens,5334
309518469167921,Kinderfonds MAMAS,Kinderfonds MAMAS,5286
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,5282
121719834601889,FNV Vakbond,FNV Vakbond,5177
380115249263134,Opzoeknaarzonnepanelen.nl,opzoeknaarzonnepanelen.nl,5173
297779776717,KPN,KPN,5014
717249231795539,BIJ1,BIJ1,4946
111622410196045,State of Youth,KidsRights with Facebook ad credits,4863
170725579702314,ActionAid Nederland,ActionAid,4850
194041757291378,PAX,PAX,4741
305608429284,EU Environment,EU Environment,4717
206592029351928,ABN AMRO,ABN AMRO,4671
177508708941577,Milieu Centraal,Milieu Centraal,4596
1041897309271361,Thierry Aartsen,Thierry Aartsen,4496
201751609836046,Dokters van de Wereld (NL),Dokters van de Wereld (NL),4298
107679567418588,Vollediggroen.nl,Vollediggroen.nl,4079
531554406865407,Lipton Ice Tea,Lipton Ice Tea,4064
370877480281746,Diesel Emissions Justice Foundation,These ads ran without a disclaimer,4021
112425480553798,The Privacy Collective NL,The Privacy Collective,3869
1550088745275913,DENK,DENK,3865
125663380814227,Libertaire Partij - LP,Libertaire Partij - LP,3707
726281677519881,Facebook app,Facebook,3585
170140703064042,Max Wonen,These ads ran without a disclaimer,3554
1637965639787416,Nacht van de Vluchteling,Nacht van de Vluchteling,3537
338750440106782,BBB Boerburgerbeweging,BoerBurgerBeweging,3519
196118303833398,NRC,These ads ran without a disclaimer,3374
164165566951558,Brabants Dagblad,These ads ran without a disclaimer,3311
847935418599549,Nationale Wetenschapsagenda,Nationale Wetenschapsagenda,3100
103331578113619,Omroep Groen,Omroep Groen,2986
802045420187585,Opzoeknaarrendement.nl,Opzoeknaarrendement.nl,2976
148404651881567,VNO-NCW,These ads ran without a disclaimer,2910
128160633899802,Stichting De Noordzee,Stichting De Noordzee,2855
399762680079935,Mastercard,Mastercard,2823
245579158353,Giro555,Giro555,2679
642523009289303,Woonbond,Woonbond,2632
193307084068597,WNL,These ads ran without a disclaimer,2592
202247686455791,KRO-NCRV,KRO-NCRV,2493
1791229601140644,René Peters,CDA,2459
106321547980706,Sneltest.nl,NJ Travel BV,2404
200256353823316,Cycle for Plan,Plan International Nederland,2370
353474172552,War Child Holland,War Child Holland,2347
101319338499920,PCRTest.nl,NJ Travel BV,2292
147683725284795,Mercy Ships Holland,Mercy Ships Holland,2290
1705660683039799,Raymond Knops,CDA,2287
113072077160368,Consuwise,consuwise.nl,2285
124282324250399,Klaas Dijkhoff,VVD,2238
264564577356897,De Goede Zaak,DeGoedeZaak,2233
147006749798,Ben & Jerry's,Unilever Nederland B.V.,2206
147772805659767,Gert-Jan Segers,ChristenUnie,2202
481539345557642,JONG,Vereniging voor Jonge Politiek in Nederland,2200
100428112069846,Psst,Stichting Psst,2197
103244341131787,GO Realisme & Daadkracht,GO,2138
112246298811452,Jonge Socialisten in de PvdA,Jonge Socialisten in de PvdA,2112
428670174395114,Vattenfall Nederland,These ads ran without a disclaimer,2079
162631597133914,Dierenbescherming,Dierenbescherming,2077
379837259062033,Thierry Baudet,Thierry Baudet,2052
172726782754343,Edukans,Edukans,2047
2301184920146129,Tom Berendsen,These ads ran without a disclaimer,2041
627201893971363,Pvda Den Bosch,PvdA Den Bosch,2031
143913725639896,WOMEN Inc.,WOMEN Inc.,1994
1829461253986395,FYGI - Happy Recruiters,FYGI - Happy Recruiters,1982
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,1979
105516159523693,Wilde Ganzen,These ads ran without a disclaimer,1928
509675125832784,Pieter Paul Slikker - PvdA 073,PvdA Den Bosch,1922
107898832590939,European Commission,European Commission,1914
200969413280005,Shell,These ads ran without a disclaimer,1900
104937521634354,Watmagnu,"Ministerie van Volksgezondheid, Welzijn en Sport",1878
711257992346674,Pointer KRO-NCRV,Pointer KRO-NCRV,1841
102099948102088,Maskr,Maskr,1818
263935850440177,Vandebron,These ads ran without a disclaimer,1793
347623668624706,50PLUSpartij,ZH i.o.v. 50PLUS,1792
1853495178284518,MBRC,These ads ran without a disclaimer,1752
104392777921014,WorldWatchers_Nederland,These ads ran without a disclaimer,1729
156571571036057,Natuur & Milieu,Natuur & Milieu,1726
288700097949818,Mijn Stem,Citisens,1709
2282333235129671,Code Oranje,Code Oranje,1655
212529958771436,VELUX,VELUX,1618
200254747130034,Patagonia,Patagonia,1531
211661062254003,ChristenUnie,ChristenUnie,1496
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport",These ads ran without a disclaimer,1488
100112178513271,CASsummit2021,These ads ran without a disclaimer,1461
197418300270414,Enexis Netbeheer,Enexis Netbeheer,1458
38957713985,VPRO,VPRO,1434
141689092670478,Open Doors,Open Doors,1422
270788920480,Europees Parlement Nederland,Europees Parlement Nederland,1404
578319302259182,ENGIE Energie Nederland,These ads ran without a disclaimer,1399
167638236597192,EenVandaag,EenVandaag,1363
104392777921014,WorldWatchers_Nederland,WorldWatchers,1351
969158383214898,Wybren van Haga,Van Haga,1348
133720236695807,Werken voor Nederland,Werken voor Nederland,1343
122498317789637,Libelle,DPG Media,1340
280888908702707,Stichting leerKRACHT,Stichting leerKRACHT,1322
106535794288642,Skyworld in your hands,These ads ran without a disclaimer,1318
132272050127848,de Volkskrant,de Volkskrant,1314
105516159523693,Wilde Ganzen,Wilde Ganzen,1308
141366725876424,European Greens,European Greens,1303
102689673106543,Belvilla,These ads ran without a disclaimer,1286
130133230331245,Wereld Natuur Fonds - WWF,These ads ran without a disclaimer,1277
1345685305522860,D66 Oisterwijk,D66,1276
115077391879906,"Ministerie van Onderwijs, Cultuur en Wetenschap","Ministerie van Onderwijs, Cultuur en Wetenschap",1211
118754531489898,Artsen zonder Grenzen,Artsen zonder Grenzen Nederland,1199
122620689140585,Ongehoord Nederland,Ongehoord Nederland,1196
