Page ID,Page Name,Disclaimer,Amount Spent (EUR)
149871595805434,MP Rolando Brison,Rolando Brison,491
1410552612558553,Emil Lee,Emil Lee,281
570166756411901,Governor of Sint Maarten,These ads ran without a disclaimer,169
586492434792043,National Alliance St. Maarten,Malaika Dorane,120
149871595805434,MP Rolando Brison,These ads ran without a disclaimer,≤100
109875560552473,MP Grisha Heyliger-Marten,These ads ran without a disclaimer,≤100
106213647526577,Cornelis Merx,Kalia Klomp,≤100
350063285605302,St. Kitts Nevis Riddim,These ads ran without a disclaimer,≤100
105122614294503,Conrad Richardson,Caroline Van Oost,≤100
243499296538335,StraightUp SKN,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
1410552612558553,Emil Lee,Sky Media,≤100
105122614294503,Conrad Richardson,Conrad Richardson,≤100
586492434792043,National Alliance St. Maarten,Alvin Prescod,≤100
18438998892,UWI St. Augustine,These ads ran without a disclaimer,≤100
1221051754579606,Stuart Johnson,These ads ran without a disclaimer,≤100
1036848456364001,Rodolphe E.  Samuel,These ads ran without a disclaimer,≤100
1770932296533002,StMaartenNews.com,These ads ran without a disclaimer,≤100
280958825943964,Freegan Food Foundation,These ads ran without a disclaimer,≤100
322792735496,Antilles Realty Sint Maarten Real Estate,These ads ran without a disclaimer,≤100
104645107605799,Republic Bank,These ads ran without a disclaimer,≤100
147587492527835,Kingsway SXM,These ads ran without a disclaimer,≤100
287950591724722,The Johnny Caker,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
101176814872722,Global Pride 2020,These ads ran without a disclaimer,≤100
1259800324032905,Michael O. Somersall,These ads ran without a disclaimer,≤100
352856465157049,Meadowlands B.V.,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
421192607946537,Hon. Jonel Powell,These ads ran without a disclaimer,≤100
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100
102807789866157,Elvis Tjin Asjoe Page,These ads ran without a disclaimer,≤100
454108601346144,MH Boutique / Moncada Hispania,These ads ran without a disclaimer,≤100
835297780161757,The Finger Fairy,These ads ran without a disclaimer,≤100
187367894948069,Dive Curacao,These ads ran without a disclaimer,≤100
475401892514188,Anguilla Progressive Movement - APM,These ads ran without a disclaimer,≤100
687589164666184,MasterClass,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
440902859280970,GodSaidManSaid,These ads ran without a disclaimer,≤100
492323860970384,Joe Brien,These ads ran without a disclaimer,≤100
480305829018059,Badland Brawl,These ads ran without a disclaimer,≤100
253635411315081,Luis Abinader,These ads ran without a disclaimer,≤100
434351157296796,Rainbow Caribbean,These ads ran without a disclaimer,≤100
328771631175563,"Breeze: mood journal, diary",These ads ran without a disclaimer,≤100
1635736753328236,Fortrade Online Trading,These ads ran without a disclaimer,≤100
392947834152064,Kingstoon,These ads ran without a disclaimer,≤100
82973758730,Catholic Distance University,These ads ran without a disclaimer,≤100
662356070897853,Annick Pétrus,These ads ran without a disclaimer,≤100
676692975786082,Fun Games For Free,These ads ran without a disclaimer,≤100
1878320149136407,Rise of Empires: Ice and Fire,These ads ran without a disclaimer,≤100
1775886395883264,Romain J Laville USP #7,These ads ran without a disclaimer,≤100
165004157332215,EWA: Learn English,These ads ran without a disclaimer,≤100
398799110143354,Lev Haolam - Supporting Israel,These ads ran without a disclaimer,≤100
110658457315245,Solar LED Stair Lights - Boundery,These ads ran without a disclaimer,≤100
425288720819056,Patrick Grayham,These ads ran without a disclaimer,≤100
2133370100034168,Gadgets Go,These ads ran without a disclaimer,≤100
190010265716,Cisco Networking Academy,These ads ran without a disclaimer,≤100
841230545913536,Steven Kotler,These ads ran without a disclaimer,≤100
933310850194959,Israel Alliance,These ads ran without a disclaimer,≤100
832298706889408,111%,These ads ran without a disclaimer,≤100
551158678560402,Epimonia,These ads ran without a disclaimer,≤100
771947142920359,IReader,These ads ran without a disclaimer,≤100
153371894688575,World Bank,These ads ran without a disclaimer,≤100
427810900693420,MF Fire,These ads ran without a disclaimer,≤100
1571665889723775,721 News,These ads ran without a disclaimer,≤100
103281437722631,Adelys Olivares,These ads ran without a disclaimer,≤100
179909338740,LaDonnis,These ads ran without a disclaimer,≤100
109845107083417,Bravo novel,These ads ran without a disclaimer,≤100
115366836686423,RegrowAustralia,These ads ran without a disclaimer,≤100
248986568895243,Speechify,These ads ran without a disclaimer,≤100
100466264657702,Giantef,These ads ran without a disclaimer,≤100
114140323475263,penuin.now,These ads ran without a disclaimer,≤100
106500651067526,Zeebanda TV,These ads ran without a disclaimer,≤100
123476174412250,Doris Kearns Goodwin,These ads ran without a disclaimer,≤100
