Page ID,Page Name,Disclaimer,Amount Spent (EUR)
428670174395114,Vattenfall Nederland,Vattenfall Nederland,82279
120034538112114,Stichting Vluchteling,Stichting Vluchteling,79730
57729029960,Amnesty International Nederland,Amnesty International Nederland,60706
288295911466,Greenpeace Nederland,Greenpeace Nederland,58338
320374518118,CDA,CDA,51800
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie -FVD,36827
121264564551002,VVD,VVD,31057
52985377549,D66,D66,29478
115289021825188,Oxfam Novib,Oxfam Novib,24977
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,22857
159449970751999,Save the Children Nederland,Save the Children Nederland,20929
447218628670592,UNHCR Nederland,UNHCR Nederland,18349
178362315106,European Parliament,European Parliament,16361
2018408465106868,Wopke Hoekstra,CDA,16213
93833638834,Plan International Nederland,Plan International Nederland,15770
175740570505,GroenLinks,GroenLinks,15510
128393027527,SP,SP,13774
139858509373289,UNICEF Nederland,Unicef Nederland,12077
117483088313381,CIWF Nederland,CIWF Nederland,11778
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport","Ministerie van Volksgezondheid, Welzijn en Sport",11087
83439828234,Milieudefensie,Milieudefensie,10892
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,9055
349312760804,World Vision Nederland,World Vision NL,8995
146644665960101,Volt Nederland,Volt Nederland,8793
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),8739
687496011309020,Jesse Klaver,GroenLinks,7785
102287806490622,Partij voor de Dieren,Partij voor de Dieren,7062
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,7015
488054904564547,ifaw,Stichting IFAW,6989
328663274675248,Voor 14,Voor 14,6974
232299273461028,Gemeente Utrecht,Gemeente Utrecht,6104
133687759997528,ASN Bank,ASN Bank,5986
120184871378246,Aidsfonds,Aidsfonds,5854
339053470139582,Watt Nou,Frisse Blikken,5622
115289021825188,Oxfam Novib,These ads ran without a disclaimer,5476
1961817983830023,Consumentenkeuzehulp.nl,Consumentenkeuzehulp,4965
143716979054755,Lucille Werner,CDA,4946
434609543403499,Oatly,Oatly,4827
100717511317223,Iedereen doet wat,Rijksoverheid,4661
115027651906533,Wakker Dier,Wakker Dier,4497
180532465311930,Rode Kruis,Rode Kruis,4348
159156314210762,Nationaal Comité 4 en 5 mei,Nationaal Comité 4 en 5 mei,3871
130133230331245,Wereld Natuur Fonds - WWF,Wereld Natuur Fonds - WWF,3810
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,3763
309518469167921,Kinderfonds MAMAS,Kinderfonds MAMAS,3739
288700097949818,Mijn Stem,Citisens,3736
147772805659767,Gert-Jan Segers,ChristenUnie,3710
1853495178284518,MBRC,MBRC,3665
106020448037192,JA21,JA21.nl,3601
1830425247191865,Cordaid,Cordaid,3560
1409007399336866,BNNVARA,BNNVARA,3520
212261272123,3FM,3FM,3427
178362315106,European Parliament,These ads ran without a disclaimer,3420
111622410196045,State of Youth,KidsRights with Facebook ad credits,3341
201751609836046,Dokters van de Wereld (NL),Dokters van de Wereld (NL),3281
103331578113619,Omroep Groen,Omroep Groen,3243
170725579702314,ActionAid Nederland,ActionAid,3240
194041757291378,PAX,PAX,3158
1550088745275913,DENK,DENK,3144
196118303833398,NRC,These ads ran without a disclaimer,3120
147683725284795,Mercy Ships Holland,Mercy Ships Holland,2660
160001040736183,Fairtrade Nederland,Fairtrade Nederland,2628
121719834601889,FNV Vakbond,FNV Vakbond,2578
297779776717,KPN,KPN,2573
177508708941577,Milieu Centraal,Milieu Centraal,2565
176804439190262,College voor de Rechten van de Mens,College voor de Rechten van de Mens,2558
206592029351928,ABN AMRO,ABN AMRO,2461
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,2421
211661062254003,ChristenUnie,ChristenUnie,2335
717249231795539,BIJ1,BIJ1,2330
200256353823316,Cycle for Plan,Plan International Nederland,2214
245579158353,Giro555,Giro555,2212
1637965639787416,Nacht van de Vluchteling,Nacht van de Vluchteling,2157
305608429284,EU Environment,EU Environment,2079
847935418599549,Nationale Wetenschapsagenda,Nationale Wetenschapsagenda,2003
353474172552,War Child Holland,War Child Holland,1899
726281677519881,Facebook app,Facebook,1892
1829461253986395,FYGI - Happy Recruiters,FYGI - Happy Recruiters,1872
112425480553798,The Privacy Collective NL,The Privacy Collective,1833
531554406865407,Lipton Ice Tea,Lipton Ice Tea,1788
125663380814227,Libertaire Partij - LP,Libertaire Partij - LP,1774
141689092670478,Open Doors,Open Doors,1726
269793629749221,ZOA,ZOA,1609
272033265993,D66 Utrecht,D66,1603
128160633899802,Stichting De Noordzee,Stichting De Noordzee,1591
844559615710915,Lilian Marijnissen,SP,1581
170140703064042,Max Wonen,These ads ran without a disclaimer,1548
187487384609320,Bever,Bever,1498
642523009289303,Woonbond,Woonbond,1476
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,1473
338750440106782,BBB Boerburgerbeweging,BoerBurgerBeweging,1447
264564577356897,De Goede Zaak,DeGoedeZaak,1364
802045420187585,Opzoeknaarrendement.nl,Opzoeknaarrendement.nl,1363
370877480281746,Diesel Emissions Justice Foundation,These ads ran without a disclaimer,1322
143913725639896,WOMEN Inc.,WOMEN Inc.,1258
162631597133914,Dierenbescherming,Dierenbescherming,1248
202247686455791,KRO-NCRV,KRO-NCRV,1238
263935850440177,Vandebron,These ads ran without a disclaimer,1201
126052760507,Mama Cash,Mama Cash,1198
193307084068597,WNL,These ads ran without a disclaimer,1198
105516159523693,Wilde Ganzen,Wilde Ganzen,1190
172726782754343,Edukans,Edukans,1188
113072077160368,Consuwise,consuwise.nl,1176
1853495178284518,MBRC,These ads ran without a disclaimer,1161
481539345557642,JONG,Vereniging voor Jonge Politiek in Nederland,1159
150580708294362,AD.nl,AD.nl,1150
57729029960,Amnesty International Nederland,These ads ran without a disclaimer,1149
399762680079935,Mastercard,Mastercard,1141
200254747130034,Patagonia,Patagonia,1122
148404651881567,VNO-NCW,These ads ran without a disclaimer,1120
107898832590939,European Commission,European Commission,1118
107679567418588,Vollediggroen.nl,Vollediggroen.nl,1112
118754531489898,Artsen zonder Grenzen,Artsen zonder Grenzen Nederland,1112
270788920480,Europees Parlement Nederland,Europees Parlement Nederland,1094
