Page ID,Page Name,Disclaimer,Amount Spent (EUR)
428670174395114,Vattenfall Nederland,Vattenfall Nederland,26482
320374518118,CDA,CDA,20180
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie -FVD,16603
288295911466,Greenpeace Nederland,Greenpeace Nederland,14087
57729029960,Amnesty International Nederland,Amnesty International Nederland,11567
120034538112114,Stichting Vluchteling,Stichting Vluchteling,11363
52985377549,D66,D66,8859
121264564551002,VVD,VVD,7852
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,6363
115289021825188,Oxfam Novib,Oxfam Novib,6251
100720453432485,PZC,DPG Media,5994
178362315106,European Parliament,European Parliament,5778
159449970751999,Save the Children Nederland,Save the Children Nederland,5747
128393027527,SP,SP,5563
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport","Ministerie van Volksgezondheid, Welzijn en Sport",4118
93833638834,Plan International Nederland,Plan International Nederland,4038
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),3628
117483088313381,CIWF Nederland,CIWF Nederland,3458
139858509373289,UNICEF Nederland,Unicef Nederland,3100
175740570505,GroenLinks,GroenLinks,2864
447218628670592,UNHCR Nederland,UNHCR Nederland,2773
2018408465106868,Wopke Hoekstra,CDA,2651
759417477428801,PvdA Zeeland,Partij van de Arbeid,2479
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,2334
83439828234,Milieudefensie,Milieudefensie,2328
349312760804,World Vision Nederland,World Vision NL,2246
328663274675248,Voor 14,Voor 14,2226
488054904564547,ifaw,Stichting IFAW,1906
146644665960101,Volt Nederland,Volt Nederland,1730
133687759997528,ASN Bank,ASN Bank,1699
1830425247191865,Cordaid,Cordaid,1685
2409629832382391,YESC Young Energy Society Challenge,YESC,1673
338750440106782,BBB Boerburgerbeweging,BoerBurgerBeweging,1656
100717511317223,Iedereen doet wat,Rijksoverheid,1653
115289021825188,Oxfam Novib,These ads ran without a disclaimer,1653
102287806490622,Partij voor de Dieren,Partij voor de Dieren,1620
106020448037192,JA21,JA21.nl,1540
687496011309020,Jesse Klaver,GroenLinks,1526
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,1520
120184871378246,Aidsfonds,Aidsfonds,1489
115027651906533,Wakker Dier,Wakker Dier,1393
1961817983830023,Consumentenkeuzehulp.nl,Consumentenkeuzehulp,1374
212261272123,3FM,3FM,1279
159156314210762,Nationaal Comité 4 en 5 mei,Nationaal Comité 4 en 5 mei,1272
147772805659767,Gert-Jan Segers,ChristenUnie,1269
147683725284795,Mercy Ships Holland,Mercy Ships Holland,1166
160001040736183,Fairtrade Nederland,Fairtrade Nederland,1111
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,1079
1853495178284518,MBRC,MBRC,1071
121719834601889,FNV Vakbond,FNV Vakbond,1039
178362315106,European Parliament,These ads ran without a disclaimer,1024
143716979054755,Lucille Werner,CDA,1023
1412530858983763,PvdA Goes,Marco Eestermans,1007
128160633899802,Stichting De Noordzee,Stichting De Noordzee,975
177508708941577,Milieu Centraal,Milieu Centraal,959
380115249263134,Opzoeknaarzonnepanelen.nl,opzoeknaarzonnepanelen.nl,929
130133230331245,Wereld Natuur Fonds - WWF,Wereld Natuur Fonds - WWF,915
1409007399336866,BNNVARA,BNNVARA,890
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,868
1844392342447692,Joba van den Berg,CDA,863
180532465311930,Rode Kruis,Rode Kruis,863
309518469167921,Kinderfonds MAMAS,Kinderfonds MAMAS,857
327605354041024,CDA Zeeland,CDA Zeeland,832
194041757291378,PAX,PAX,828
717249231795539,BIJ1,BIJ1,823
201751609836046,Dokters van de Wereld (NL),Dokters van de Wereld (NL),822
206592029351928,ABN AMRO,ABN AMRO,805
101367535027394,Zeeuws Energieakkoord,Zeeuws Energieakkoord,795
176804439190262,College voor de Rechten van de Mens,College voor de Rechten van de Mens,779
141689092670478,Open Doors,Open Doors,773
170725579702314,ActionAid Nederland,ActionAid,750
844559615710915,Lilian Marijnissen,SP,737
297779776717,KPN,KPN,708
211661062254003,ChristenUnie,ChristenUnie,708
269793629749221,ZOA,ZOA,678
125663380814227,Libertaire Partij - LP,Libertaire Partij - LP,661
370877480281746,Diesel Emissions Justice Foundation,These ads ran without a disclaimer,656
111622410196045,State of Youth,KidsRights with Facebook ad credits,652
107679567418588,Vollediggroen.nl,Vollediggroen.nl,643
305608429284,EU Environment,EU Environment,631
531554406865407,Lipton Ice Tea,Lipton Ice Tea,596
