Page ID,Page Name,Disclaimer,Amount Spent (EUR)
428670174395114,Vattenfall Nederland,Vattenfall Nederland,286001
120034538112114,Stichting Vluchteling,Stichting Vluchteling,157096
57729029960,Amnesty International Nederland,Amnesty International Nederland,145754
288295911466,Greenpeace Nederland,Greenpeace Nederland,140231
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie -FVD,139332
320374518118,CDA,CDA,125712
52985377549,D66,D66,90197
121264564551002,VVD,VVD,86841
159449970751999,Save the Children Nederland,Save the Children Nederland,65094
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,64811
128393027527,SP,SP,59760
178362315106,European Parliament,European Parliament,55729
115289021825188,Oxfam Novib,Oxfam Novib,53440
447218628670592,UNHCR Nederland,UNHCR Nederland,48437
93833638834,Plan International Nederland,Plan International Nederland,47235
175740570505,GroenLinks,GroenLinks,39664
139858509373289,UNICEF Nederland,Unicef Nederland,35400
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport","Ministerie van Volksgezondheid, Welzijn en Sport",34309
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),31945
117483088313381,CIWF Nederland,CIWF Nederland,31908
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,26743
83439828234,Milieudefensie,Milieudefensie,23767
349312760804,World Vision Nederland,World Vision NL,22141
328663274675248,Voor 14,Voor 14,21728
2018408465106868,Wopke Hoekstra,CDA,20628
146644665960101,Volt Nederland,Volt Nederland,20613
133687759997528,ASN Bank,ASN Bank,20484
488054904564547,ifaw,Stichting IFAW,19589
687496011309020,Jesse Klaver,GroenLinks,18355
102287806490622,Partij voor de Dieren,Partij voor de Dieren,17588
100717511317223,Iedereen doet wat,Rijksoverheid,17577
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,17402
120184871378246,Aidsfonds,Aidsfonds,16842
115289021825188,Oxfam Novib,These ads ran without a disclaimer,15378
106020448037192,JA21,JA21.nl,15156
434609543403499,Oatly,Oatly,14506
1830425247191865,Cordaid,Cordaid,14387
115027651906533,Wakker Dier,Wakker Dier,13423
159156314210762,Nationaal Comité 4 en 5 mei,Nationaal Comité 4 en 5 mei,12637
1550088745275913,DENK,DENK,11907
178362315106,European Parliament,These ads ran without a disclaimer,11052
180532465311930,Rode Kruis,Rode Kruis,10990
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,10366
1853495178284518,MBRC,MBRC,9947
201751609836046,Dokters van de Wereld (NL),Dokters van de Wereld (NL),9790
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,9738
160001040736183,Fairtrade Nederland,Fairtrade Nederland,9733
130133230331245,Wereld Natuur Fonds - WWF,Wereld Natuur Fonds - WWF,9653
212261272123,3FM,3FM,9611
111622410196045,State of Youth,KidsRights with Facebook ad credits,9115
147772805659767,Gert-Jan Segers,ChristenUnie,9103
1409007399336866,BNNVARA,BNNVARA,9093
380115249263134,Opzoeknaarzonnepanelen.nl,opzoeknaarzonnepanelen.nl,9003
717249231795539,BIJ1,BIJ1,8949
170725579702314,ActionAid Nederland,ActionAid,8929
176804439190262,College voor de Rechten van de Mens,College voor de Rechten van de Mens,8908
121719834601889,FNV Vakbond,FNV Vakbond,8643
147683725284795,Mercy Ships Holland,Mercy Ships Holland,8617
309518469167921,Kinderfonds MAMAS,Kinderfonds MAMAS,8611
194041757291378,PAX,PAX,8457
2282333235129671,Code Oranje,Code Oranje,8447
297779776717,KPN,KPN,8442
726281677519881,Facebook app,Facebook,8243
359516964092417,This is The Hague,This is The Hague,8100
177508708941577,Milieu Centraal,Milieu Centraal,7928
206592029351928,ABN AMRO,ABN AMRO,7673
143716979054755,Lucille Werner,CDA,6933
844559615710915,Lilian Marijnissen,SP,6680
305608429284,EU Environment,EU Environment,6667
196118303833398,NRC,These ads ran without a disclaimer,6625
1961817983830023,Consumentenkeuzehulp.nl,Consumentenkeuzehulp,6334
112425480553798,The Privacy Collective NL,The Privacy Collective,6331
128160633899802,Stichting De Noordzee,Stichting De Noordzee,6255
1586038428202115,Siriz,Stichting Siriz,6188
103331578113619,Omroep Groen,Omroep Groen,6026
125663380814227,Libertaire Partij - LP,Libertaire Partij - LP,6022
531554406865407,Lipton Ice Tea,Lipton Ice Tea,5936
1637965639787416,Nacht van de Vluchteling,Nacht van de Vluchteling,5915
270788920480,Europees Parlement Nederland,Europees Parlement Nederland,5592
170140703064042,Max Wonen,These ads ran without a disclaimer,5423
847935418599549,Nationale Wetenschapsagenda,Nationale Wetenschapsagenda,5254
245579158353,Giro555,Giro555,5156
211661062254003,ChristenUnie,ChristenUnie,5042
141689092670478,Open Doors,Open Doors,4978
642523009289303,Woonbond,Woonbond,4968
802045420187585,Opzoeknaarrendement.nl,Opzoeknaarrendement.nl,4917
353474172552,War Child Holland,War Child Holland,4870
370877480281746,Diesel Emissions Justice Foundation,These ads ran without a disclaimer,4688
399762680079935,Mastercard,Mastercard,4665
269793629749221,ZOA,ZOA,4567
150580708294362,AD.nl,AD.nl,4183
107679567418588,Vollediggroen.nl,Vollediggroen.nl,4099
148404651881567,VNO-NCW,These ads ran without a disclaimer,4065
264564577356897,De Goede Zaak,DeGoedeZaak,4053
193307084068597,WNL,These ads ran without a disclaimer,4046
1829461253986395,FYGI - Happy Recruiters,FYGI - Happy Recruiters,3988
105516159523693,Wilde Ganzen,These ads ran without a disclaimer,3895
202247686455791,KRO-NCRV,KRO-NCRV,3867
200256353823316,Cycle for Plan,Plan International Nederland,3732
582747471885273,Gemeente Barendrecht,Gemeente Barendrecht,3722
200969413280005,Shell,These ads ran without a disclaimer,3633
100428112069846,Psst,Stichting Psst,3467
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,3456
112246298811452,Jonge Socialisten in de PvdA,Jonge Socialisten in de PvdA,3433
143913725639896,WOMEN Inc.,WOMEN Inc.,3430
162631597133914,Dierenbescherming,Dierenbescherming,3388
200254747130034,Patagonia,Patagonia,3357
481539345557642,JONG,Vereniging voor Jonge Politiek in Nederland,3258
147006749798,Ben & Jerry's,Unilever Nederland B.V.,3242
103244341131787,GO Realisme & Daadkracht,GO,3212
113072077160368,Consuwise,consuwise.nl,3211
711257992346674,Pointer KRO-NCRV,Pointer KRO-NCRV,3074
172726782754343,Edukans,Edukans,3070
1540653406196038,Vrienden van het Roomburgerpark,Stichting Vrienden van het Roomburgerpark,3057
428670174395114,Vattenfall Nederland,These ads ran without a disclaimer,2992
156571571036057,Natuur & Milieu,Natuur & Milieu,2933
102099948102088,Maskr,Maskr,2900
101319338499920,PCRTest.nl,NJ Travel BV,2886
105516159523693,Wilde Ganzen,Wilde Ganzen,2832
1853495178284518,MBRC,These ads ran without a disclaimer,2765
263935850440177,Vandebron,These ads ran without a disclaimer,2762
307318089299878,Daniel den Hoed Fonds,Daniel den Hoed Fonds,2758
379837259062033,Thierry Baudet,Thierry Baudet,2739
114824741963035,Kom over en help,St. Kom over en help,2724
474504335917213,Hart voor Den Haag,Hart voor Den Haag,2679
347623668624706,50PLUSpartij,ZH i.o.v. 50PLUS,2668
104937521634354,Watmagnu,"Ministerie van Volksgezondheid, Welzijn en Sport",2657
93325661430,Joods Cultureel Kwartier,Joods Cultureel Kwartier,2601
124282324250399,Klaas Dijkhoff,VVD,2518
250905165324207,Erasmus MC Foundation,Stichting Erasmus MC Foundation,2513
237429380031891,Chris van Dam,CDA,2497
106321547980706,Sneltest.nl,NJ Travel BV,2464
338750440106782,BBB Boerburgerbeweging,BoerBurgerBeweging,2433
413281425545742,PitPoint NL,These ads ran without a disclaimer,2379
195643057135775,Partij voor de Dieren Zuid-Holland,Partij voor de Dieren Zuid Holland,2360
126052760507,Mama Cash,Mama Cash,2350
133720236695807,Werken voor Nederland,Werken voor Nederland,2348
212529958771436,VELUX,VELUX,2345
280888908702707,Stichting leerKRACHT,Stichting leerKRACHT,2344
474504335917213,Hart voor Den Haag,Juliette Oden,2330
104392777921014,WorldWatchers_Nederland,These ads ran without a disclaimer,2323
38957713985,VPRO,VPRO,2319
141366725876424,European Greens,European Greens,2272
580705665372664,De Nederlandse Kluis,These ads ran without a disclaimer,2270
118754531489898,Artsen zonder Grenzen,Artsen zonder Grenzen Nederland,2255
194170320600024,"Ministerie van Volksgezondheid, Welzijn en Sport",These ads ran without a disclaimer,2214
268288036539711,HospitaalBroeders,HospitaalBroeders,2212
57729029960,Amnesty International Nederland,These ads ran without a disclaimer,2194
132272050127848,de Volkskrant,de Volkskrant,2186
447218628670592,UNHCR Nederland,Sasha Lukasik,2157
104392777921014,WorldWatchers_Nederland,WorldWatchers,2096
404247949634770,CARE Nederland,CARE Nederland,2095
102689673106543,Belvilla,These ads ran without a disclaimer,2093
578319302259182,ENGIE Energie Nederland,These ads ran without a disclaimer,2087
1438054859744079,NIDA,NIDA,2067
433611050005553,SGP,SGP,2022
1408087399224304,Gemeente Waddinxveen,Gemeente Waddinxveen,2012
100112178513271,CASsummit2021,These ads ran without a disclaimer,1991
128869313810652,Eerlijke Geldwijzer,Eerlijke Geldwijzer,1979
284142971975045,Gemeente Ridderkerk,Gemeente Ridderkerk,1952
122620689140585,Ongehoord Nederland,Ongehoord Nederland,1935
