Page ID,Page Name,Disclaimer,Amount Spent (PLN),Number of Ads in Library
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,1424245,367
178362315106,European Parliament,European Parliament,1372326,890
103979907641570,Edison Energia,These ads ran without a disclaimer,1257302,2030
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,943867,4686
176114889652,Kancelaria Premiera,Kancelaria Premiera,890401,230
107898832590939,European Commission,European Commission,516560,277
57544755889,Amnesty International Polska,Amnesty International Polska,510628,1810
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,497353,1350
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,405880,201
104884392877324,Alivia - Fundacja Onkologiczna,Alivia - Fundacja Onkologiczna,386939,1538
178362315106,European Parliament,These ads ran without a disclaimer,332954,54
109683628097,Reserved,These ads ran without a disclaimer,299947,1
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,244372,9
115883558423028,Volvo Car Poland,Volvo Car Poland,228754,53
528572717569139,Facebook app,Facebook,197280,5
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,188727,454
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,187880,386
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,186492,194
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,184792,223
350958838905984,Praca w Komisji Wyborczej,KW Kandydata na Prezydenta RP Stanisława Żółtka,181755,21
1227194230675141,Pratia,Monika Charuza,169651,226
83002766357,Siepomaga.pl,Siepomaga.pl,163983,117
137877409609952,Lewica,KW Sojusz Lewicy Demokratycznej,160633,83
102931488739,Platforma Obywatelska,Platforma Obywatelska,147991,224
282592881929497,Huel,These ads ran without a disclaimer,141401,7
102931488739,Platforma Obywatelska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,140774,518
65335771090,Rafał Trzaskowski,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,136675,156
250926873365,Komisja Europejska w Polsce,Komisja Europejska w Polsce,131042,28
91021863613,Szlachetna PACZKA,Szlachetna PACZKA,129944,718
1647982582133585,Małgorzata Kidawa-Błońska,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,121494,98
1647982582133585,Małgorzata Kidawa-Błońska,KKW Koalicja Obywatelska PO .N iPL Zieloni,119672,29
450454309024632,Ekopatrioci,WWF Polska,119388,128
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,118834,151
103733677761265,N Energia,N ENERGIA,110039,431
832320483579139,Vestra,Vestra,107533,157
63563473556,Gazeta Wyborcza,These ads ran without a disclaimer,106107,541
223507664353257,Robert Biedroń,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Roberta Biedronia,105709,155
103140061377835,Do Domu Wszystko,PMC,103384,606
475584852475176,Pozytron,Pozytron,95459,169
1683534065241470,OKO.press,OKO.press,94008,394
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,93178,85
111888203889045,Nie Głosuj Wybory 2020,Echo24,90680,9
2246647628925721,Wiosna Biedronia,KW Wiosna Roberta Biedronia,89361,58
142614625077,WWF Polska,WWF Polska,89083,194
219298606466,MamPrawoWiedziec.pl,MamPrawoWiedziec.pl,88313,45
107758219306090,OLX Polska,OLX Polska,88236,56
469702339755768,Paweł Tanajno,Paweł Jan Tanajno,87625,171
174590316460026,CONVERSE,CONVERSE,85580,56
133482470024453,Newsweek Polska,Newsweek Polska,85324,736
830561370356753,Czerkawski Odszkodowania Sp z oo,Czerkawski Odszkodowania Sp z oo,80454,25
109793703689436,Prawdziwa Polska,Prawdziwa Polska,79290,112
32104614789,Greenpeace Polska,Greenpeace Polska,77986,175
109549034124187,Dostępne Mieszkanie,HRE Think Tank Fundacja,76120,16
262228993842853,Lidl Polska,Lidl Polska,75573,47
305950706802,Uniwersytet SWPS,Uniwersytet SWPS,75484,137
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,74472,103
102931488739,Platforma Obywatelska,Platforma Obywatelska RP,73771,134
1227194230675141,Pratia,These ads ran without a disclaimer,73652,129
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,70787,56
261234447384286,Nabici we Franki,These ads ran without a disclaimer,63719,53
481798668902322,Fundacja Dobroczynna Serce Anioła,Fundacja Dobroczynna Serce Anioła,62677,129
176114889652,Kancelaria Premiera,These ads ran without a disclaimer,60054,66
110109212411292,VELUX,VELUX,60000,12
257593184447834,Władysław Kosiniak-Kamysz,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Władysława Kosiniaka-Kamysza,59293,67
15087023444,Nike,These ads ran without a disclaimer,58171,1
104330734389743,Wolnorynkowy.pl,Willa Anielin,57671,446
173086948664,Infor.pl,Infor.pl,56436,308
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,55484,56
732473396814232,Columbus Energy,These ads ran without a disclaimer,54228,81
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zielon,52908,25
