Page ID,Page Name,Disclaimer,Amount Spent (PLN)
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,139115
178362315106,European Parliament,European Parliament,132830
103979907641570,Edison Energia,These ads ran without a disclaimer,100109
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,85874
176114889652,Kancelaria Premiera,Kancelaria Premiera,71739
160341610647590,Łukasz Gibała,Łukasz Gibała,49213
57544755889,Amnesty International Polska,Amnesty International Polska,46232
107898832590939,European Commission,European Commission,43187
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,39576
857809167586212,Jakub Bocheński,KW Sojusz Lewicy Demokratycznej,32209
178362315106,European Parliament,These ads ran without a disclaimer,30793
104884392877324,Alivia - Fundacja Onkologiczna,Alivia - Fundacja Onkologiczna,29419
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,29409
109683628097,Reserved,These ads ran without a disclaimer,28888
1227194230675141,Pratia,Monika Charuza,26039
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,21447
115883558423028,Volvo Car Poland,Volvo Car Poland,18781
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,18188
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,17095
528572717569139,Facebook app,Facebook,16872
971833706177522,Kraków dla Mieszkańców,Kraków dla Mieszkańców,16745
282592881929497,Huel,These ads ran without a disclaimer,14895
137877409609952,Lewica,KW Sojusz Lewicy Demokratycznej,14793
350958838905984,Praca w Komisji Wyborczej,KW Kandydata na Prezydenta RP Stanisława Żółtka,14729
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,14434
83002766357,Siepomaga.pl,Siepomaga.pl,14128
483998452409690,Waytosale,www.waytosale.pl,14011
1647982582133585,Małgorzata Kidawa-Błońska,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,13935
91021863613,Szlachetna PACZKA,Szlachetna PACZKA,13692
1227194230675141,Pratia,These ads ran without a disclaimer,13424
450454309024632,Ekopatrioci,WWF Polska,13104
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,12762
376660699164364,Rafał Komarewicz,Rafał Komarewicz,12042
141990312513970,Paweł Kowal,KKW Koalicja Obywatelska PO .N iPL Zieloni,11897
65335771090,Rafał Trzaskowski,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,11849
250926873365,Komisja Europejska w Polsce,Komisja Europejska w Polsce,11325
102931488739,Platforma Obywatelska,Platforma Obywatelska,11057
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,9958
1100158536843507,Andrzej Gut-Mostowy,KW PRAWO I SPRAWIEDLIWOŚĆ,9843
111888203889045,Nie Głosuj Wybory 2020,Echo24,9530
831495030528894,Maciej Gdula,KW Sojusz Lewicy Demokratycznej,9491
1649507081981802,Create & Business - Pozyskiwanie i rozliczanie dotacji,Dorota Zofia Krajewska,9467
102931488739,Platforma Obywatelska,Platforma Obywatelska RP,9330
109223993792330,Andrzej Domański - profil publiczny,KKW Koalicja Obywatelska PO.N iPL Zieloni,9280
63563473556,Gazeta Wyborcza,These ads ran without a disclaimer,9270
219298606466,MamPrawoWiedziec.pl,MamPrawoWiedziec.pl,9208
223507664353257,Robert Biedroń,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Roberta Biedronia,8840
114790301907953,Jarosław Gowin,These ads ran without a disclaimer,8642
1647982582133585,Małgorzata Kidawa-Błońska,KKW Koalicja Obywatelska PO .N iPL Zieloni,8610
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,8456
174590316460026,CONVERSE,CONVERSE,8430
142614625077,WWF Polska,WWF Polska,8270
103733677761265,N Energia,N ENERGIA,8135
1683534065241470,OKO.press,OKO.press,8124
1100158536843507,Andrzej Gut-Mostowy,These ads ran without a disclaimer,8087
133482470024453,Newsweek Polska,Newsweek Polska,8073
475584852475176,Pozytron,Pozytron,7876
634178786679448,Aleksander Miszalski - Poseł na Sejm RP,KKW Koalicja Obywatelska PO .Ni PL Zieloni,7845
110252413934806,Kraków Pomaga,Kraków Pomaga,7832
103140061377835,Do Domu Wszystko,PMC,7742
2246647628925721,Wiosna Biedronia,KW Wiosna Roberta Biedronia,7734
109793703689436,Prawdziwa Polska,Prawdziwa Polska,7474
831495030528894,Maciej Gdula,KW Wiosna Roberta Biedronia,7302
305950706802,Uniwersytet SWPS,Uniwersytet SWPS,7257
107758219306090,OLX Polska,OLX Polska,7209
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,7133
971833706177522,Kraków dla Mieszkańców,These ads ran without a disclaimer,6869
32104614789,Greenpeace Polska,Greenpeace Polska,6864
732473396814232,Columbus Energy,These ads ran without a disclaimer,6792
