Page ID,Page Name,Disclaimer,Amount Spent (PLN)
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,131851
178362315106,European Parliament,European Parliament,117819
103979907641570,Edison Energia,These ads ran without a disclaimer,78224
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,77346
176114889652,Kancelaria Premiera,Kancelaria Premiera,60653
57544755889,Amnesty International Polska,Amnesty International Polska,49387
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,44882
107898832590939,European Commission,European Commission,41260
104884392877324,Alivia - Fundacja Onkologiczna,Alivia - Fundacja Onkologiczna,36761
102238234620423,Zmień piec,Wroclaw [Wroclove],35961
178362315106,European Parliament,These ads ran without a disclaimer,28848
185801044849040,Amazon Fulfillment Jobs,These ads ran without a disclaimer,26806
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,26105
109683628097,Reserved,These ads ran without a disclaimer,23220
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,22373
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,18727
115883558423028,Volvo Car Poland,Volvo Car Poland,18282
378891755591358,Cezary Przybylski - Marszałek Województwa Dolnośląskiego,Takie Studio,17574
528572717569139,Facebook app,Facebook,16686
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,14885
427996317730040,"Tymoteusz Myrda, Członek Zarządu Województwa Dolnośląskiego",Takie Studio,14751
282592881929497,Huel,These ads ran without a disclaimer,13823
83002766357,Siepomaga.pl,Siepomaga.pl,13654
137877409609952,Lewica,KW Sojusz Lewicy Demokratycznej,13362
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,12698
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,12507
1374526796141456,Wrocławski Budżet Obywatelski,Gmina Wrocław | Wydział Partycypacji Społecznej,11873
1647982582133585,Małgorzata Kidawa-Błońska,KKW Koalicja Obywatelska PO .N iPL Zieloni,11692
103733677761265,N Energia,N ENERGIA,11522
102931488739,Platforma Obywatelska,Platforma Obywatelska,11376
250926873365,Komisja Europejska w Polsce,Komisja Europejska w Polsce,11303
91021863613,Szlachetna PACZKA,Szlachetna PACZKA,11259
450454309024632,Ekopatrioci,WWF Polska,10966
350958838905984,Praca w Komisji Wyborczej,KW Kandydata na Prezydenta RP Stanisława Żółtka,10277
1235256026493430,EPG - Fotowoltaika dla Ciebie,These ads ran without a disclaimer,10152
169913419732194,Michał Jaros,Michał Jaros,10147
102931488739,Platforma Obywatelska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,9832
63563473556,Gazeta Wyborcza,These ads ran without a disclaimer,9642
475584852475176,Pozytron,Pozytron,9359
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,9308
169913419732194,Michał Jaros,KKW Koalicja Obywatelska PO .N iPL Zieloni,9246
103140061377835,Do Domu Wszystko,PMC,9241
2101744433422885,Marta Stożek,KW Sojusz Lewicy Demokratycznej,9238
427996317730040,"Tymoteusz Myrda, Członek Zarządu Województwa Dolnośląskiego",Komitet Wyborczy Wyborców Koalicja Bezpartyjni i Samorządowcy,9218
1917429285232776,Anna Sobolak Radna Rady Powiatu Wrocławskiego,KKW Koalicja Obywatelska PO .N iPL Zieloni,8936
223507664353257,Robert Biedroń,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Roberta Biedronia,8834
832320483579139,Vestra,Vestra,8721
1647982582133585,Małgorzata Kidawa-Błońska,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,8696
199739460042641,Zdrowie w stylu LUX MED,These ads ran without a disclaimer,8677
1683534065241470,OKO.press,OKO.press,8484
142614625077,WWF Polska,WWF Polska,8228
959387840744974,Bezpartyjni Samorządowcy,Fundacja Bezpartyjni i Samorządowcy,8188
478776192265585,Przemysław Czarnecki,KW Prawo i Sprawiedliwość,7806
104927096209232,Wyższa Szkoła Bankowa we Wrocławiu,Wyższa Szkoła Bankowa we Wrocławiu,7705
153829669753,INVICTA,These ads ran without a disclaimer,7555
107758219306090,OLX Polska,OLX Polska,7348
187752695320,Wroclaw [Wroclove],Wroclaw [Wroclove],7333
219298606466,MamPrawoWiedziec.pl,MamPrawoWiedziec.pl,7283
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,7189
32104614789,Greenpeace Polska,Greenpeace Polska,7163
2246647628925721,Wiosna Biedronia,KW Wiosna Roberta Biedronia,7151
305950706802,Uniwersytet SWPS,Uniwersytet SWPS,7106
830561370356753,Czerkawski Odszkodowania Sp z oo,Czerkawski Odszkodowania Sp z oo,7024
1782125158778273,WASTA - Odnawialne Źródła Energii,Piotr Tadeusz Wardęga,6881
