Page ID,Page Name,Disclaimer,Amount Spent (PLN)
103979907641570,Edison Energia,These ads ran without a disclaimer,59847
178362315106,European Parliament,European Parliament,33196
104442609633150,Lubuskie,Lubuskie,33066
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,31415
176114889652,Kancelaria Premiera,Kancelaria Premiera,22769
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,20637
107898832590939,European Commission,European Commission,15293
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,14056
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,14032
2215190752031133,Sven Zagała,KW Wiosna Roberta Biedronia,12717
104884392877324,Alivia - Fundacja Onkologiczna,Alivia - Fundacja Onkologiczna,12148
57544755889,Amnesty International Polska,Amnesty International Polska,11411
213564818806045,Marcin Jabłoński Zarząd Województwa Lubuskiego Koalicja Obywatelska,Marcin Artur Jabłoński,11398
178362315106,European Parliament,These ads ran without a disclaimer,8481
109683628097,Reserved,These ads ran without a disclaimer,7752
115883558423028,Volvo Car Poland,Volvo Car Poland,6737
605038106603214,Tomasz Aniśko - Poseł na Sejm RP,KKW Koalicja Obywatelska PO .N iPL Zieloni,6698
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,6605
1468635720112377,Bogusław Wontor,Bogusław Tadeusz Wontor,6317
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,5563
528572717569139,Facebook app,Facebook,5422
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,4880
103733677761265,N Energia,N ENERGIA,4713
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,4424
83002766357,Siepomaga.pl,Siepomaga.pl,4220
102931488739,Platforma Obywatelska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,4178
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,4116
137877409609952,Lewica,KW Sojusz Lewicy Demokratycznej,3888
102931488739,Platforma Obywatelska,Platforma Obywatelska,3876
832320483579139,Vestra,Vestra,3865
250926873365,Komisja Europejska w Polsce,Komisja Europejska w Polsce,3810
