Page ID,Page Name,Disclaimer,Amount Spent (PLN)
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,232572
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,226140
178362315106,European Parliament,European Parliament,212073
103979907641570,Edison Energia,These ads ran without a disclaimer,171953
176114889652,Kancelaria Premiera,Kancelaria Premiera,146016
57544755889,Amnesty International Polska,Amnesty International Polska,112765
107898832590939,European Commission,European Commission,67539
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,65733
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,63342
104884392877324,Alivia - Fundacja Onkologiczna,Alivia - Fundacja Onkologiczna,62143
178362315106,European Parliament,These ads ran without a disclaimer,54820
109683628097,Reserved,These ads ran without a disclaimer,54335
528572717569139,Facebook app,Facebook,45194
220402816269,Miasto Stołeczne Warszawa,Miasto Stołeczne Warszawa,42465
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,36228
102931488739,Platforma Obywatelska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,36203
282592881929497,Huel,These ads ran without a disclaimer,33982
115883558423028,Volvo Car Poland,Volvo Car Poland,32554
627318417784097,Biokinetica,Aleksander Marek Kiecana,31002
137877409609952,Lewica,KW Sojusz Lewicy Demokratycznej,30403
1647982582133585,Małgorzata Kidawa-Błońska,KKW Koalicja Obywatelska PO .N iPL Zieloni,27347
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,27265
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,27210
83002766357,Siepomaga.pl,Siepomaga.pl,27151
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,27122
228951150597089,Adam Bielan,KW PRAWO I SPRAWIEDLIWOŚĆ,26363
223507664353257,Robert Biedroń,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Roberta Biedronia,24142
1683534065241470,OKO.press,OKO.press,24088
134214926657042,Radosław Sikorski,Radosław Sikorski,23700
91021863613,Szlachetna PACZKA,Szlachetna PACZKA,23523
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,23212
63563473556,Gazeta Wyborcza,These ads ran without a disclaimer,22643
350958838905984,Praca w Komisji Wyborczej,KW Kandydata na Prezydenta RP Stanisława Żółtka,22631
450454309024632,Ekopatrioci,WWF Polska,22484
102931488739,Platforma Obywatelska,Platforma Obywatelska,22138
150412465290475,Kamila Gasiuk-Pihowicz,Kamila Gasiuk-PIhowicz KKW Koalicja Europejska PO PSL SLD .N Zieloni,21834
1227194230675141,Pratia,Monika Charuza,21254
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,20929
32104614789,Greenpeace Polska,Greenpeace Polska,20535
65335771090,Rafał Trzaskowski,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,19784
103140061377835,Do Domu Wszystko,PMC,19674
928240283878303,Konstanty Radziwiłł,KW PRAWO I SPRAWIEDLIWOŚĆ,19045
142614625077,WWF Polska,WWF Polska,18360
469702339755768,Paweł Tanajno,Paweł Jan Tanajno,17978
261234447384286,Nabici we Franki,These ads ran without a disclaimer,17831
163878463633817,Platforma Obywatelska Mazowsze,KKW Koalicja Obywatelska PO .N iPL Zieloni,17139
250926873365,Komisja Europejska w Polsce,Komisja Europejska w Polsce,17084
1647982582133585,Małgorzata Kidawa-Błońska,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,16998
103733677761265,N Energia,N ENERGIA,16366
153829669753,INVICTA,These ads ran without a disclaimer,15659
1579819912230855,Coca-Cola,Coca-Cola,15499
305950706802,Uniwersytet SWPS,Uniwersytet SWPS,15449
219298606466,MamPrawoWiedziec.pl,MamPrawoWiedziec.pl,15258
133482470024453,Newsweek Polska,Newsweek Polska,14990
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,14696
228951150597089,Adam Bielan,Biuro Posła do Parlamentu Europejskiego Adama Bielana,14641
1227194230675141,Pratia,These ads ran without a disclaimer,14601
145405785523396,Sage,These ads ran without a disclaimer,14592
141833139301,Krzysztof Bosak,Konfederacja KORWiN Braun Liroy Narodowcy,14268
2246647628925721,Wiosna Biedronia,KW Wiosna Roberta Biedronia,14262
111888203889045,Nie Głosuj Wybory 2020,Echo24,14220
109549034124187,Dostępne Mieszkanie,HRE Think Tank Fundacja,14149
392825617399575,wGospodarce.pl,wGospodarce.pl,13843
1619161438342114,Krzysztof Tchórzewski,KW PiS,13327
830561370356753,Czerkawski Odszkodowania Sp z oo,Czerkawski Odszkodowania Sp z oo,13310
226093617419783,"Medicover Hospital, Warsaw, Wilanow",These ads ran without a disclaimer,13146
1491476861156693,Marie Zélie,These ads ran without a disclaimer,13002
174590316460026,CONVERSE,CONVERSE,12881
693499534003775,Michał Boni,KKW Koalicja Europejska PO PSL SLD .N Zieloni,12736
107758219306090,OLX Polska,OLX Polska,12611
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,12256
475584852475176,Pozytron,Pozytron,12215
340914445999142,Państwowe Muzeum Etnograficzne,Państwowe Muzeum Etnograficzne,11969
383296170843,Puls Biznesu,Puls Biznesu,11649
102158341220030,Wolskie Rotundy,Wolskie Rotundy,11534
173086948664,Infor.pl,Infor.pl,11393
255100403945,Polityka,Polityka,11389
