Page ID,Page Name,Disclaimer,Amount Spent (PLN)
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,110993
178362315106,European Parliament,European Parliament,91081
103979907641570,Edison Energia,These ads ran without a disclaimer,68155
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,62077
176114889652,Kancelaria Premiera,Kancelaria Premiera,52454
57544755889,Amnesty International Polska,Amnesty International Polska,38145
107898832590939,European Commission,European Commission,34624
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,27612
104884392877324,Alivia - Fundacja Onkologiczna,Alivia - Fundacja Onkologiczna,27241
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,24660
178362315106,European Parliament,These ads ran without a disclaimer,22896
109683628097,Reserved,These ads ran without a disclaimer,19832
166983320096,Pomorskie w Unii,Pomorskie w Unii,18809
1227194230675141,Pratia,Monika Charuza,18782
1467418970166506,Anna Fotyga - Biuro Poselskie,KW Prawo i Sprawiedliwość,16770
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,15104
1227194230675141,Pratia,These ads ran without a disclaimer,14197
115883558423028,Volvo Car Poland,Volvo Car Poland,14151
528572717569139,Facebook app,Facebook,13696
832320483579139,Vestra,Vestra,13256
112772436876166,Gdańskie Forum Zmian Klimatu,Urząd Miejski w Gdańsku - Wydział Środowiska,13100
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,11707
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,11462
137877409609952,Lewica,KW Sojusz Lewicy Demokratycznej,11416
282592881929497,Huel,These ads ran without a disclaimer,11235
362682677158537,Michał Kowalski - Profil Publiczny,Michał Kowalski - materiał nie stanowi elementu kampanii wyborczej,10959
102931488739,Platforma Obywatelska,Platforma Obywatelska,10302
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,9912
83002766357,Siepomaga.pl,Siepomaga.pl,9876
907296122772398,MIŚ Gdańsk - Miejski Informator Środowiskowy,Urząd Miejski w Gdańsku - Wydział Środowiska,9491
350958838905984,Praca w Komisji Wyborczej,KW Kandydata na Prezydenta RP Stanisława Żółtka,9312
102931488739,Platforma Obywatelska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,9243
91021863613,Szlachetna PACZKA,Szlachetna PACZKA,9214
1647982582133585,Małgorzata Kidawa-Błońska,KKW Koalicja Obywatelska PO .N iPL Zieloni,9193
153829669753,INVICTA,These ads ran without a disclaimer,9168
250926873365,Komisja Europejska w Polsce,Komisja Europejska w Polsce,8792
487587700423,Miasto Gdańsk,Miasto Gdańsk,8280
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,8145
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,8047
385532321805330,Pomorskie,Pomorskie,7920
270168456330285,Sławomir Rybicki - Senator RP,Medium: agencja reklamowa,7906
63563473556,Gazeta Wyborcza,These ads ran without a disclaimer,7789
103140061377835,Do Domu Wszystko,PMC,7755
75571183641,Janusz Lewandowski,KKW Koalicja Europejska PO PSL SLD N Zieloni,7362
223507664353257,Robert Biedroń,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Roberta Biedronia,7192
1647982582133585,Małgorzata Kidawa-Błońska,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,7134
142614625077,WWF Polska,WWF Polska,7053
149902472546,Wyborcza.pl Trójmiasto,Wyborcza.pl Trójmiasto,6536
1683534065241470,OKO.press,OKO.press,6520
450454309024632,Ekopatrioci,WWF Polska,6492
433052760111334,Jarosław Wałęsa,KKW Koalicja Europejska PO PSL SLD N Zieloni,6131
219298606466,MamPrawoWiedziec.pl,MamPrawoWiedziec.pl,6062
110421853692163,Synea Medical Day SPA,Synea Sp. z o.o.,5934
