Page ID,Page Name,Disclaimer,Amount Spent (PLN)
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,166857
178362315106,European Parliament,European Parliament,152428
103979907641570,Edison Energia,These ads ran without a disclaimer,121549
176114889652,Kancelaria Premiera,Kancelaria Premiera,102047
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,95641
107898832590939,European Commission,European Commission,62776
57544755889,Amnesty International Polska,Amnesty International Polska,57247
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,50851
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,48768
104884392877324,Alivia - Fundacja Onkologiczna,Alivia - Fundacja Onkologiczna,48543
178362315106,European Parliament,These ads ran without a disclaimer,37062
1227194230675141,Pratia,Monika Charuza,35262
109683628097,Reserved,These ads ran without a disclaimer,32713
111465470197991,Mateusz Morawiecki,Komitet Wyborczy Prawo i Sprawiedliwość,27814
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,27417
115883558423028,Volvo Car Poland,Volvo Car Poland,25563
105625444279726,Icon Live Entertainment,Visual Production,23229
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,22885
1227194230675141,Pratia,These ads ran without a disclaimer,22426
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,21837
777991742238185,Semper Power,Janusz Parkitny,21301
528572717569139,Facebook app,Facebook,21066
69153026654,Jerzy Buzek,Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni,20405
350958838905984,Praca w Komisji Wyborczej,KW Kandydata na Prezydenta RP Stanisława Żółtka,18894
1465965073732774,Łukasz Kohut,Łukasz Kohut,18136
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,17969
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,17500
112427465462177,Śląskie. Pozytywna energia,JU Agencja,17460
83002766357,Siepomaga.pl,Siepomaga.pl,17018
137877409609952,Lewica,KW Sojusz Lewicy Demokratycznej,16601
102931488739,Platforma Obywatelska,Platforma Obywatelska,16520
282592881929497,Huel,These ads ran without a disclaimer,15234
2246647628925721,Wiosna Biedronia,KW Wiosna Roberta Biedronia,15089
250926873365,Komisja Europejska w Polsce,Komisja Europejska w Polsce,14483
355335447987852,Katarzyna Stachowicz - Osoba Publiczna,Katarzyna Karolina Stachowicz,13989
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,13945
1576591379231457,Paweł Kobyliński - Poseł na Sejm RP VIII kadencji,"Paweł Kobyliński, kandydat Koalicji Europejskiej do Europarlamentu",13744
91021863613,Szlachetna PACZKA,Szlachetna PACZKA,13716
364911490222284,Włodzimierz Czarzasty,KW Sojusz Lewicy Demokratycznej,13456
1647982582133585,Małgorzata Kidawa-Błońska,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,13383
398824790221548,Marek Balt,KKW Koalicja Europejska PO PSL SLD  .N Zieloni,12941
103733677761265,N Energia,N ENERGIA,12665
63563473556,Gazeta Wyborcza,These ads ran without a disclaimer,12450
832320483579139,Vestra,Vestra,11779
686125628235251,Szkolenia dofinansowane,Perfect English,11211
107758219306090,OLX Polska,OLX Polska,11109
65335771090,Rafał Trzaskowski,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,11006
109549034124187,Dostępne Mieszkanie,HRE Think Tank Fundacja,10870
1647982582133585,Małgorzata Kidawa-Błońska,KKW Koalicja Obywatelska PO .N iPL Zieloni,10794
102931488739,Platforma Obywatelska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,10780
103140061377835,Do Domu Wszystko,PMC,10646
469702339755768,Paweł Tanajno,Paweł Jan Tanajno,10590
133482470024453,Newsweek Polska,Newsweek Polska,10572
1571353656411671,Wojciech Ahnert,Komitet Wyborczy Prawo i Sprawiedliwość,10501
430323810469014,Razem,"KKW Lewica Razem - Razem, Unia Pracy, RSS",10499
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,10380
223507664353257,Robert Biedroń,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Roberta Biedronia,10272
1465965073732774,Łukasz Kohut,KW Wiosna Roberta Biedronia,10234
219298606466,MamPrawoWiedziec.pl,MamPrawoWiedziec.pl,9981
142614625077,WWF Polska,WWF Polska,9810
450454309024632,Ekopatrioci,WWF Polska,9710
475584852475176,Pozytron,Pozytron,9656
109793703689436,Prawdziwa Polska,Prawdziwa Polska,9653
1683534065241470,OKO.press,OKO.press,9469
373903230004337,30. ROK WOLNOŚCI,These ads ran without a disclaimer,9326
481798668902322,Fundacja Dobroczynna Serce Anioła,Fundacja Dobroczynna Serce Anioła,9224
111888203889045,Nie Głosuj Wybory 2020,Echo24,9188
8340223883,Avaaz,Avaaz,9154
830561370356753,Czerkawski Odszkodowania Sp z oo,Czerkawski Odszkodowania Sp z oo,8987
174590316460026,CONVERSE,CONVERSE,8837
32104614789,Greenpeace Polska,Greenpeace Polska,8690
262228993842853,Lidl Polska,Lidl Polska,8368
305950706802,Uniwersytet SWPS,Uniwersytet SWPS,8318
171128483067743,Izabela Kloc - Poseł do Parlamentu Europejskiego,Komitet Wyborczy Prawo i Sprawidliwość,8172
101992604850790,Bezpieczny Bytom,Katowice Dziś,8129
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,8102
102931488739,Platforma Obywatelska,Platforma Obywatelska RP,7945
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zielon,7890
2317884735196672,Wojciech Konieczny - Senator Rzeczpospolitej Polskiej,KW Sojusz Lewicy Demokratycznej,7670
153098244704447,Jan Olbrycht,Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni,7599
1576591379231457,Paweł Kobyliński - Poseł na Sejm RP VIII kadencji,"Paweł Kobyliński, KKW Koalicja Europejska PO PSL SLD .N Zieloni",7334
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,7282
104330734389743,Wolnorynkowy.pl,Willa Anielin,7234
110109212411292,VELUX,VELUX,7053
230754547069436,Michał Woś,These ads ran without a disclaimer,6988
1633295256959238,Wojciech Nitwinko,KW Sojusz Lewicy Demokratycznej,6638
15087023444,Nike,These ads ran without a disclaimer,6407
425196744741236,Lepiej bez smogu,Isover,6363
146655395680362,Grzegorz Tobiszowski,KW Prawo i Sprawiedliwość,6299
314225156073572,Zdzisław Wolski,KW Sojusz Lewicy Demokratycznej,6237
257593184447834,Władysław Kosiniak-Kamysz,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Władysława Kosiniaka-Kamysza,6229
267695190536620,Jerzy Polaczek,Komitet Wyborczy Prawo i Sprawiedliwość,6178
103189994608689,20stopnidlaklimatu.pl,Konceptlab,6099
250387950908,Tygodnik Solidarność,Tygodnik Solidarność,6096
1613320612064848,Dedoles.pl,These ads ran without a disclaimer,6065
173086948664,Infor.pl,Infor.pl,5899
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,5795
261234447384286,Nabici we Franki,These ads ran without a disclaimer,5745
732473396814232,Columbus Energy,These ads ran without a disclaimer,5664
176114889652,Kancelaria Premiera,These ads ran without a disclaimer,5628
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,5612
