Page ID,Page Name,Disclaimer,Amount Spent (PLN)
103979907641570,Edison Energia,These ads ran without a disclaimer,57404
178362315106,European Parliament,European Parliament,45842
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,33565
176114889652,Kancelaria Premiera,Kancelaria Premiera,31426
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,25223
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,20774
107898832590939,European Commission,European Commission,19427
57544755889,Amnesty International Polska,Amnesty International Polska,14504
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,14431
104884392877324,Alivia - Fundacja Onkologiczna,Alivia - Fundacja Onkologiczna,13750
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,11699
178362315106,European Parliament,These ads ran without a disclaimer,11199
1402012100098838,Twój Kurier Olsztyński - TKO.pl,Twój Kurier Olsztyński - TKO.pl,10819
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,10131
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,10088
109683628097,Reserved,These ads ran without a disclaimer,9551
350958838905984,Praca w Komisji Wyborczej,KW Kandydata na Prezydenta RP Stanisława Żółtka,9409
65335771090,Rafał Trzaskowski,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,9021
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,8799
115883558423028,Volvo Car Poland,Volvo Car Poland,8602
572379039576297,Marcin Kulasek,KW Sojusz Lewicy Demokratycznej,8113
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,6360
325361857925335,OZE Projekt - fotowoltaika i pompy ciepła,These ads ran without a disclaimer,6292
83002766357,Siepomaga.pl,Siepomaga.pl,6244
528572717569139,Facebook app,Facebook,5834
465990636788016,Krzysztof Jurgiel,Overs sp. z o.o.,5447
102931488739,Platforma Obywatelska,Platforma Obywatelska,5240
250926873365,Komisja Europejska w Polsce,Komisja Europejska w Polsce,5150
91021863613,Szlachetna PACZKA,Szlachetna PACZKA,4952
102931488739,Platforma Obywatelska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,4952
832320483579139,Vestra,Vestra,4854
137877409609952,Lewica,KW Sojusz Lewicy Demokratycznej,4703
1647982582133585,Małgorzata Kidawa-Błońska,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,4311
109793703689436,Prawdziwa Polska,Prawdziwa Polska,4069
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,4018
103733677761265,N Energia,N ENERGIA,3982
511908632322302,Artur Chojecki wojewoda warmińsko-mazurski,KW Prawo i Sprawiedliwość,3928
1231484993545202,Foton Technik,These ads ran without a disclaimer,3618
830561370356753,Czerkawski Odszkodowania Sp z oo,Czerkawski Odszkodowania Sp z oo,3543
103140061377835,Do Domu Wszystko,PMC,3531
114265080356649,EuroKlima - Energy,EuroKlima Energy,3430
851165271665300,Stanisław Tołwiński - Niezależny kandydat do Senatu RP,Komitet Wyborczy Wyborców "Porozumienie Dla Mazur",3321
223507664353257,Robert Biedroń,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Roberta Biedronia,3244
1449893835254108,Paweł Szakiewicz -  Rolnik,Komitet Wyborczy PSL,3238
107758219306090,OLX Polska,OLX Polska,3217
469702339755768,Paweł Tanajno,Paweł Jan Tanajno,3082
884226404997653,Łukasz Michnik,KW Sojusz Lewicy Demokratycznej,3059
262228993842853,Lidl Polska,Lidl Polska,3048
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,3040
282592881929497,Huel,These ads ran without a disclaimer,3008
111888203889045,Nie Głosuj Wybory 2020,Echo24,3003
1647982582133585,Małgorzata Kidawa-Błońska,KKW Koalicja Obywatelska PO .N iPL Zieloni,2970
174590316460026,CONVERSE,CONVERSE,2945
475584852475176,Pozytron,Pozytron,2943
63563473556,Gazeta Wyborcza,These ads ran without a disclaimer,2936
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,2924
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,2757
115366599841154,Radionet,RADIONET,2731
224590780918572,Paweł Papke - Poseł na Sejm RP,KKW Koalicja Obywatelska PO .N IPL Zieloni,2731
1683534065241470,OKO.press,OKO.press,2686
133482470024453,Newsweek Polska,Newsweek Polska,2582
176114889652,Kancelaria Premiera,These ads ran without a disclaimer,2577
257593184447834,Władysław Kosiniak-Kamysz,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Władysława Kosiniaka-Kamysza,2537
102931488739,Platforma Obywatelska,Platforma Obywatelska RP,2534
219298606466,MamPrawoWiedziec.pl,MamPrawoWiedziec.pl,2528
498165240284656,Piotr Cezary Lisiecki,KW Konfederacja WiN,2488
111994128873082,Sun Pro,Dominik Krause,2434
142614625077,WWF Polska,WWF Polska,2404
109549034124187,Dostępne Mieszkanie,HRE Think Tank Fundacja,2356
548488178922480,Justyna Żalek,Komitet Wyborczy KW Prawo i Sprawiedliwość,2330
1496105257172584,"Ministerstwo Rozwoju, Pracy i Technologii","Ministerstwo Rozwoju, Pracy i Technologii",2242
380485532115847,Ministerstwo Rodziny i Polityki Społecznej,Ministerstwo Rodziny i Polityki Społecznej,2224
130955346972893,Jacek Protas,KKW Koalicja Europejska PO PSL SLD .N Zieloni,2161
15087023444,Nike,These ads ran without a disclaimer,2121
196722357090264,Polskie Stowarzyszenie Energetyki Wiatrowej - PSEW,Polskie Stowarzyszenie Energetyki Wiatrowej,2090
110109212411292,VELUX,VELUX,2059
2246647628925721,Wiosna Biedronia,KW Wiosna Roberta Biedronia,2050
481798668902322,Fundacja Dobroczynna Serce Anioła,Fundacja Dobroczynna Serce Anioła,2049
32104614789,Greenpeace Polska,Greenpeace Polska,2022
130955346972893,Jacek Protas,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,1985
141833139301,Krzysztof Bosak,KW Kandydata na Prezydenta Rzeczypospolitej Polskiej Krzysztofa Bosaka,1946
511908632322302,Artur Chojecki wojewoda warmińsko-mazurski,These ads ran without a disclaimer,1909
450454309024632,Ekopatrioci,WWF Polska,1887
572379039576297,Marcin Kulasek,Marcin Kulasek,1886
2273340699395517,Tomasz Frankowski,KWW Koalicja Europejska PO PSL SLD .N Zieloni,1879
305950706802,Uniwersytet SWPS,Uniwersytet SWPS,1871
149179815186721,Urszula Pasławska,KW Polskie Stronnictwo Ludowe,1863
425196744741236,Lepiej bez smogu,Isover,1844
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,1832
261234447384286,Nabici we Franki,These ads ran without a disclaimer,1792
173086948664,Infor.pl,Infor.pl,1777
975407059183853,Robert Gontarz - Poseł na Sejm RP,Robert Gontarz (PiS),1773
103189994608689,20stopnidlaklimatu.pl,Konceptlab,1756
104330734389743,Wolnorynkowy.pl,Willa Anielin,1722
250387950908,Tygodnik Solidarność,Tygodnik Solidarność,1719
118890385502947,"Sprawdź, kto oferuje Ci prąd i gaz",Clickad Interactive,1711
