Page ID,Page Name,Disclaimer,Amount Spent (PLN)
103979907641570,Edison Energia,These ads ran without a disclaimer,129931
178362315106,European Parliament,European Parliament,83081
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,82719
176114889652,Kancelaria Premiera,Kancelaria Premiera,61369
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,55991
107898832590939,European Commission,European Commission,32060
57544755889,Amnesty International Polska,Amnesty International Polska,31426
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,30714
104884392877324,Alivia - Fundacja Onkologiczna,Alivia - Fundacja Onkologiczna,25328
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,24610
178362315106,European Parliament,These ads ran without a disclaimer,19504
109683628097,Reserved,These ads ran without a disclaimer,18135
65335771090,Rafał Trzaskowski,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,17272
350958838905984,Praca w Komisji Wyborczej,KW Kandydata na Prezydenta RP Stanisława Żółtka,17121
1260589107386608,Zbigniew Rau,Mateusz Sebastian Pali,16137
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,15813
115883558423028,Volvo Car Poland,Volvo Car Poland,14637
274904002573727,Joanna Skrzydlewska,Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni,14529
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,12643
528572717569139,Facebook app,Facebook,11933
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,11435
83002766357,Siepomaga.pl,Siepomaga.pl,10641
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,10322
1642676212638790,Alicja Kaczorowska,Alicja Kaczorowska,10291
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,9532
137877409609952,Lewica,KW Sojusz Lewicy Demokratycznej,9506
102931488739,Platforma Obywatelska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,9084
102931488739,Platforma Obywatelska,Platforma Obywatelska,9010
2154641531417913,Paulina Matysiak,KW Sojusz Lewicy Demokratycznej,7884
1647982582133585,Małgorzata Kidawa-Błońska,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,7802
450454309024632,Ekopatrioci,WWF Polska,7730
250926873365,Komisja Europejska w Polsce,Komisja Europejska w Polsce,7667
1224502281011628,Patryk Marjan,Komitet Wyborczy Konfederacja Wolność i Niepodległość,7560
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,7438
282592881929497,Huel,These ads ran without a disclaimer,7431
348228659139967,Music & More,Music & More,7397
91021863613,Szlachetna PACZKA,Szlachetna PACZKA,7251
587380481330698,Paweł Bejda,Komitet Wyborczy Polskie Stronnictwo Ludowe,7045
1647982582133585,Małgorzata Kidawa-Błońska,KKW Koalicja Obywatelska PO .N iPL Zieloni,6958
223507664353257,Robert Biedroń,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Roberta Biedronia,6790
157416141112329,"FlexiPower Group - instalacje fotowoltaiczne, pompy ciepła",Marta Sobczak,6703
63563473556,Gazeta Wyborcza,These ads ran without a disclaimer,6678
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,6613
475584852475176,Pozytron,Pozytron,6485
103733677761265,N Energia,N ENERGIA,6238
286672948180163,Tomasz Trela,KW Sojusz Lewicy Demokratycznej,6226
2246647628925721,Wiosna Biedronia,KW Wiosna Roberta Biedronia,6157
1500359650261089,Marcin Gołaszewski,Marcin Łukasz Gołaszewski,6139
107758219306090,OLX Polska,OLX Polska,6042
832320483579139,Vestra,Vestra,5939
346027522166890,Krzysztof Piątkowski  Poseł na Sejm RP,Krzysztof Piątkowski,5858
1683534065241470,OKO.press,OKO.press,5767
214628051909386,Krzysztof Kwiatkowski,Komitet Wyborczy Wyborców Krzysztofa Kwiatkowskiego,5714
111888203889045,Nie Głosuj Wybory 2020,Echo24,5707
219298606466,MamPrawoWiedziec.pl,MamPrawoWiedziec.pl,5633
469702339755768,Paweł Tanajno,Paweł Jan Tanajno,5627
1227194230675141,Pratia,Monika Charuza,5609
103140061377835,Do Domu Wszystko,PMC,5485
133482470024453,Newsweek Polska,Newsweek Polska,5459
174590316460026,CONVERSE,CONVERSE,5376
106401144038377,Małgorzata Grabarczyk,KWW Koalicja Obywatelska PO .N iPL Zieloni,5321
830561370356753,Czerkawski Odszkodowania Sp z oo,Czerkawski Odszkodowania Sp z oo,5268
142614625077,WWF Polska,WWF Polska,5266
109549034124187,Dostępne Mieszkanie,HRE Think Tank Fundacja,5227
481798668902322,Fundacja Dobroczynna Serce Anioła,Fundacja Dobroczynna Serce Anioła,5087
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,4835
286672948180163,Tomasz Trela,These ads ran without a disclaimer,4795
288949918697908,Łódzkie.pl,Województwo Łódzkie,4772
262228993842853,Lidl Polska,Lidl Polska,4726
1782125158778273,WASTA - Odnawialne Źródła Energii,Piotr Tadeusz Wardęga,4707
102931488739,Platforma Obywatelska,Platforma Obywatelska RP,4592
169112936501251,Beata Mateusiak-Pielucha - Poseł na Sejm RP,Komitet Wyborczy Prawo i Sprawiedliwość,4526
32104614789,Greenpeace Polska,Greenpeace Polska,4429
1495475640675068,Dariusz Klimczak,Komitet Wyborczy PSL,4274
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,4196
257593184447834,Władysław Kosiniak-Kamysz,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Władysława Kosiniaka-Kamysza,4112
305950706802,Uniwersytet SWPS,Uniwersytet SWPS,4094
