Page ID,Page Name,Disclaimer,Amount Spent (PLN)
103979907641570,Edison Energia,These ads ran without a disclaimer,44047
178362315106,European Parliament,European Parliament,34695
176114889652,Kancelaria Premiera,Kancelaria Premiera,25137
102931488739,Platforma Obywatelska,KKW Koalicja Obywatelska PO .N iPL Zieloni,22591
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,20391
160906857259563,Andrzej Duda,Komitet Wyborczy Kandydata na Prezydenta RP Andrzeja Dudy,16553
107898832590939,European Commission,European Commission,14867
381003278691136,Szymon Hołownia,KW Kandydata na Prezydenta RP Szymona Hołowni,10155
312204349288060,Mariusz Gosek,"Mariusz Gosek, Poseł na Sejm RP",8905
104884392877324,Alivia - Fundacja Onkologiczna,Alivia - Fundacja Onkologiczna,8843
57544755889,Amnesty International Polska,Amnesty International Polska,8478
109683628097,Reserved,These ads ran without a disclaimer,8207
178362315106,European Parliament,These ads ran without a disclaimer,8078
350958838905984,Praca w Komisji Wyborczej,KW Kandydata na Prezydenta RP Stanisława Żółtka,8001
157458232131,Prawo i Sprawiedliwość,Komitet Wyborczy Prawo i Sprawiedliwość,7593
176114889652,Kancelaria Premiera,KPRM z Facebook Ad Credits,7130
115883558423028,Volvo Car Poland,Volvo Car Poland,6424
180236399249047,Regionalny Program Operacyjny Województwa Świętokrzyskiego,Regionalny Program Operacyjny Województwa Świętokrzyskiego,5376
223507664353257,Robert Biedroń,Komitet Wyborczy Roberta Biedronia kandydata na Prezydenta RP,5194
1971966879776579,Konfederacja,KWW Konfederacja KORWiN Braun Liroy Narodowcy,5176
834495839904474,Michał Cieślak,These ads ran without a disclaimer,5130
367783890027065,Sylwester Chruszcz,Sylwester Arkadiusz Chruszcz,5089
483998452409690,Waytosale,www.waytosale.pl,4931
141833139301,Krzysztof Bosak,Konfederacja Wolność i Niepodległość,4928
108900084161121,Trzaskowski2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Rafała Trzaskowskiego,4380
103733677761265,N Energia,N ENERGIA,4212
102931488739,Platforma Obywatelska,KKW Koalicja Europejska PO PSL SLD .N Zieloni,4138
102931488739,Platforma Obywatelska,Platforma Obywatelska,3886
