Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
178362315106,European Parliament,European Parliament,242089,879
107898832590939,European Commission,European Commission,80034,299
193697864002162,UNICEF Portugal,UNICEF Portugal,63576,194
163880252839,Deco Proteste,DECO PROTESTE,29678,753
732674633538452,Mudei os Móveis 967982069,Nuno Miguel Carcau Mateus,19774,29
116426248469551,esquerda.net,Esquerda Net,19092,74
413640292147336,Webmóveis    968590830,Nuno Miguel Carcau Mateus,18017,30
170400489279,Representação da Comissão Europeia em Portugal,Representação da Comissão Europeia em Portugal,16948,27
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,16376,145
69209479569,MEO,MEO,15535,36
2279635848950120,Easyshop,These ads ran without a disclaimer,15505,54
2167612913269887,Loja da Fábrica 924336359,Nuno Miguel Carcau Mateus,14873,26
863284277093093,Pingo Doce,Pingo Doce,14848,122
393328747756195,myplanet.pt,THE NAVIGATOR COMPANY,12285,375
518709395329913,Tengo Mueble Portugal,Nuno Miguel Carcau Mateus,11040,18
1601186910118928,Banco BPI,Banco BPI,10290,3
1454591728166392,iad Portugal,iad Portugal,10070,18
310292928990664,Câmara Municipal de Lisboa,Câmara Municipal de Lisboa,9837,60
113387386723680,Pensa Positivo,Movimento Pensa Positivo,9741,232
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,9576,122
1188912861123865,Findigno,Best Lead Prestige Unipessoal lda,9438,13
147547541961576,Council of the European Union,Council of the European Union,9327,254
193697864002162,UNICEF Portugal,These ads ran without a disclaimer,8248,70
282717852317261,Iniciativa Liberal,Iniciativa Liberal,7947,145
901697383231864,Contas Connosco,Contas Connosco,7769,65
113309632023126,Sindicato Independente dos Médicos,Sindicato Independente dos Médicos,7182,38
170555122972051,Parlamento Europeu - Gabinete em Portugal,Parlamento Europeu - Gabinete em Portugal,6872,10
105438294590801,João Noronha Lopes,Noronha Lopes 2020,6737,21
240271283335987,Iniciativa Liberal Madeira,These ads ran without a disclaimer,6576,34
533541776798558,SEAL - Sindicato dos Estivadores e da Actividade Logística,SEAL - Sindicato dos Estivadores e da Actividade Logística,6509,46
122118287806643,Vodafone Portugal,These ads ran without a disclaimer,6406,9
729627343834501,Kialo,These ads ran without a disclaimer,5922,329
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,5860,16
833033333450772,BPI Solidariedade,Banco BPI,5747,5
178362315106,European Parliament,These ads ran without a disclaimer,5588,22
28312410177,World Food Programme,These ads ran without a disclaimer,5348,27
604331369992722,Deputados do PCP no PE,Sandra Maria De Brito Pereira,5299,79
424502231678340,Webmóveis Porto 938043017,Nuno Miguel Carcau Mateus,5040,11
259211337438,Continente,Continente,4907,12
130311871001726,Movimiento83,These ads ran without a disclaimer,4892,17
610637186067086,FutureProofing Healthcare,These ads ran without a disclaimer,4684,10
188500147828984,Partido Socialista,Partido Socialista,4567,59
126509981274614,Partido Socialista Europeu,Partido Socialista Europeu,4552,79
680837358631507,Huawei Mobile,These ads ran without a disclaimer,4518,32
307804969714954,Avani Profissional,These ads ran without a disclaimer,4180,50
141358023084,Partido Socialista dos Açores,Partido Socialista dos Açores,4132,34
748172598653051,Nuno Carvalho,Nuno Miguel Oliveira De Carvalho,3822,156
163880252839,Deco Proteste,These ads ran without a disclaimer,3529,36
507767089417720,Tonic App,These ads ran without a disclaimer,3501,23
142396325817735,Marisa Matias,Marisa Matias 2021,3425,9
363935834232367,Mudei os Móveis - Baixa da Banheira 968911275,Nuno Miguel Carcau Mateus,3347,5
261612214425915,Lídia Pereira,Lídia Pereira,3253,94
101920814806371,Casa dos livros,Manuel Augusto Monteiro,2924,280
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,2703,67
162224703842642,Cristóvão Norte,Cristóvão Duarte Nunes Guerreiro Norte,2591,277
107420174018142,Be The Story,These ads ran without a disclaimer,2582,13
245392595981419,Comissão Nacional de Eleições,Comissão Nacional de Eleições,2561,61
118652946661442,Unidos Contra o Desperdício,Unidos Contra o Desperdício,2512,123
107898832590939,European Commission,These ads ran without a disclaimer,2499,9
123061614692,Nestlé,Nestlé,2489,8
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,2459,35
408582579294175,UK government,These ads ran without a disclaimer,2393,4
254599574585324,Saúde Viável,These ads ran without a disclaimer,2384,1
211315352267434,Proteste Investe,Proteste Investe,2315,18
3128349493857064,Mudei os Móveis Gaia,Nuno Miguel Carcau Mateus,2242,6
2069391766628988,Portugal a Cores,António Pita de Meireles Pistacchini Moita,2210,90
180704148611351,APAV | Associação Portuguesa de Apoio à Vítima,APAV | Associação Portuguesa de Apoio à Vítima,2131,49
247568251981744,Lidl Portugal,Lidl Portugal,2071,18
426727031230580,Phenix Portugal,Eurico Estêvão,2061,60
117508703445626,Não Espere. Defenda a sua vida.,JTINN,1896,88
798351403875776,Sara Cerdas,Gabinete da Europa,1835,39
103500668039871,Armor Mask,Tetribérica,1821,17
527351247377965,European Committee of the Regions,European Committee of the Regions,1788,109
194459527248761,GEOTA,GEOTA,1788,36
587528135018441,Casa do Impacto,Santa Casa da Misericórdia de Lisboa,1743,36
440341036369937,Goldenergy,These ads ran without a disclaimer,1536,17
202599130354565,Naturalar,These ads ran without a disclaimer,1516,30
123051634390412,Partido Social Democrata,Partido Social Democrata,1501,48
693661534311068,CouraVeg,Associação Animais de Rua,1477,36
551079148278123,Paulo Cafôfo,Paulo Cafôfo,1468,30
106176850920049,Forum da Energia e Clima,Forum da Energia e Clima,1434,32
246677075667575,Ana Catarina Mendes,Ana Catarina Mendes,1399,10
101624308205257,Globo Outlet,These ads ran without a disclaimer,1361,1
605673866574816,Market Móveis,Nuno Miguel Carcau Mateus,1361,4
814851935239574,CDS PP,CDS PP,1347,172
169752853064691,Visit Madeira,These ads ran without a disclaimer,1322,4
551079148278123,Paulo Cafôfo,These ads ran without a disclaimer,1303,39
374858770353,CASA - Centro de Apoio ao Sem Abrigo,João Maria de Lemos Fernandes,1255,5
130777160275134,The Body Shop,The Body Shop,1254,15
590590741007357,My Spot Vip,My Spot Vip,1235,21
133430846754438,Electrão,Electrão,1212,4
373164443850,Cerveja Sagres,These ads ran without a disclaimer,1186,2
129586383695,Município de Oeiras,Município de Oeiras,1161,44
199454533421031,PSD Madeira,These ads ran without a disclaimer,1143,12
1290852744400133,Seventh Generation Portugal,Unilever,1139,2
223731004466825,LIVRE,LIVRE,1109,30
140328800146764,Terceira Dentição,These ads ran without a disclaimer,1101,5
282717852317261,Iniciativa Liberal,These ads ran without a disclaimer,1073,36
365442670757132,Webmóveis Palmela 963540145,Nuno Miguel Carcau Mateus,1069,3
152559446094,SPEA - Sociedade Portuguesa para o Estudo das Aves,SPEA - Sociedade Portuguesa para o Estudo das Aves,1031,12
152648794759642,Husse Portugal,Husse Portugal,1025,20
106139878027830,Mais Penedono,José Ângelo da Costa Pinto,1005,113
172773356247523,Nestlé. Saboreia a Vida,Nestlé,1000,3
528791957301736,LIVRE Açores,LIVRE Açores,1000,2
231372214102277,Pedro Guedes,These ads ran without a disclaimer,990,3
171163557007554,João Morgado - Covilhã,João Morgado,984,40
602603206861409,ABANCA Portugal,ABANCA Portugal,980,20
255056481315205,José Manuel Fernandes,José Manuel Fernandes,977,27
160109307362587,ACP - Automóvel Club de Portugal,These ads ran without a disclaimer,972,6
106764417557606,Coutinho Duarte,Joaquim Duarte,961,35
113118913576126,PSD no Parlamento Europeu,PSD no Parlamento Europeu,956,86
1695889637360770,Hempire,These ads ran without a disclaimer,951,22
346668692583,Câmara Municipal de Cascais,Câmara Municipal de Cascais,950,7
1462957374004775,António Costa,Partido Socialista,948,3
925706094242469,MEDICARE Portugal,These ads ran without a disclaimer,942,44
1536746203302018,Fumaça,Fumaça,916,18
861679720578257,Caminhando.pt,José António Barão Machado Rodrigues,911,196
141358023084,Partido Socialista dos Açores,These ads ran without a disclaimer,909,13
100807458093258,Decio david tarologo e vidente  produtos esotericos,These ads ran without a disclaimer,885,2
116542855068782,Ordem dos Psicólogos Portugueses,Ordem dos Psicólogos Portugueses,874,147
203197030603239,8 Billion Trees,These ads ran without a disclaimer,842,29
146140662062673,British Embassy Lisbon,WhiteKube,841,10
73970658023,International Rescue Committee,These ads ran without a disclaimer,838,26
309229989512544,DS CRÉDITO,DS CRÉDITO,826,18
22437985072,Alibaba.com,These ads ran without a disclaimer,823,1
412959639132319,Paulo Lopes - Setúbal,Paulo Alexandre Da Cruz Lopes,807,31
45312409115,Super Bock,These ads ran without a disclaimer,800,1
732285496890083,Francisco Mota,Francisco José Peres Filipe Mota,790,71
188500147828984,Partido Socialista,These ads ran without a disclaimer,789,12
936580059750730,autodoc.de,These ads ran without a disclaimer,784,1
365098104256957,HBO Portugal,These ads ran without a disclaimer,774,10
108821454323634,AnaGomes2021,Candidatura à Presidência - Ana Gomes,769,4
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,765,24
194651341130667,Página Miguel Viegas,Miguel Lopes Batista Viegas,761,5
101241151734056,João Ferreira 2021,João Ferreira 2021,745,1
0,Instagram User 3802388967,These ads ran without a disclaimer,736,4
150527751674751,Greens/EFA in the European Parliament,Greens/EFA in the European Parliament,735,36
114559831961352,DECISÕES E SOLUÇÕES PORTUGAL,DECISÕES E SOLUÇÕES PORTUGAL,732,6
180068709327689,Ordem dos Médicos,Ordem dos Médicos,720,34
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,716,70
457390787653245,Gustavo Henriques,These ads ran without a disclaimer,709,39
220432571695992,Alesco Property Investments,These ads ran without a disclaimer,697,3
691904841233379,Francisco Guerreiro,Francisco Guerreiro,696,7
355087424564148,VoteWatch Europe,These ads ran without a disclaimer,692,13
1622906634634790,José Henrique Pinto,José Henrique Ribeiro Pinto,673,71
166405943417778,CDU - Coligação Democrática Unitária,These ads ran without a disclaimer,672,35
820121931350889,José Manuel Bolieiro,José Manuel Bolieiro,672,11
197936253581591,Fundação Francisco Manuel dos Santos,These ads ran without a disclaimer,653,12
560013724042990,Ricardo Rio,Ricardo Rio,650,7
1040487469355385,TripActions,These ads ran without a disclaimer,650,1
1798882800328461,CGTNEurope,These ads ran without a disclaimer,648,26
877334578992643,Pestana Collection Hotels,These ads ran without a disclaimer,644,1
116372875154801,Movimento Alternativa Socialista,Movimento Alternativa Socialista,632,43
537679590070992,Varela de Matos,These ads ran without a disclaimer,626,28
726612704081415,Clube de Lisboa,Clube de Lisboa,614,45
