Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,7207
141358023084,Partido Socialista dos Açores,Partido Socialista dos Açores,4062
107898832590939,European Commission,European Commission,2765
193697864002162,UNICEF Portugal,UNICEF Portugal,1410
528791957301736,LIVRE Açores,LIVRE Açores,1000
141358023084,Partido Socialista dos Açores,These ads ran without a disclaimer,909
820121931350889,José Manuel Bolieiro,José Manuel Bolieiro,672
163880252839,Deco Proteste,DECO PROTESTE,570
69209479569,MEO,MEO,552
170400489279,Representação da Comissão Europeia em Portugal,Representação da Comissão Europeia em Portugal,484
101429031461126,Iniciativa Liberal - Açores,Iniciativa Liberal,481
533541776798558,SEAL - Sindicato dos Estivadores e da Actividade Logística,SEAL - Sindicato dos Estivadores e da Actividade Logística,437
116426248469551,esquerda.net,Esquerda Net,411
2279635848950120,Easyshop,These ads ran without a disclaimer,379
113387386723680,Pensa Positivo,Movimento Pensa Positivo,334
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,306
1188912861123865,Findigno,Best Lead Prestige Unipessoal lda,302
306468759553325,PS Terceira,Partido Socialista dos Açores,291
147547541961576,Council of the European Union,Council of the European Union,282
101429031461126,Iniciativa Liberal - Açores,Iniciativa Liberal - Açores,273
245392595981419,Comissão Nacional de Eleições,Comissão Nacional de Eleições,271
1454591728166392,iad Portugal,iad Portugal,263
393328747756195,myplanet.pt,THE NAVIGATOR COMPANY,261
1601186910118928,Banco BPI,Banco BPI,243
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,223
220390255093806,Ordem dos Enfermeiros - Açores,Ordem dos Enfermeiros - Açores,210
833033333450772,BPI Solidariedade,Banco BPI,201
193697864002162,UNICEF Portugal,These ads ran without a disclaimer,196
122118287806643,Vodafone Portugal,These ads ran without a disclaimer,187
729627343834501,Kialo,These ads ran without a disclaimer,175
113309632023126,Sindicato Independente dos Médicos,Sindicato Independente dos Médicos,164
126509981274614,Partido Socialista Europeu,Partido Socialista Europeu,157
188500147828984,Partido Socialista,Partido Socialista,155
282717852317261,Iniciativa Liberal,Iniciativa Liberal,154
105438294590801,João Noronha Lopes,Noronha Lopes 2020,147
604331369992722,Deputados do PCP no PE,Sandra Maria De Brito Pereira,147
901697383231864,Contas Connosco,Contas Connosco,141
178362315106,European Parliament,These ads ran without a disclaimer,140
610637186067086,FutureProofing Healthcare,These ads ran without a disclaimer,130
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,125
259211337438,Continente,Continente,120
142396325817735,Marisa Matias,Marisa Matias 2021,115
261612214425915,Lídia Pereira,Lídia Pereira,110
130311871001726,Movimiento83,These ads ran without a disclaimer,109
680837358631507,Huawei Mobile,These ads ran without a disclaimer,109
123061614692,Nestlé,Nestlé,108
107898832590939,European Commission,These ads ran without a disclaimer,103
152648794759642,Husse Portugal,Husse Portugal,102
814851935239574,CDS PP,CDS PP,101
170555122972051,Parlamento Europeu - Gabinete em Portugal,Parlamento Europeu - Gabinete em Portugal,≤100
748416605352963,Volt Portugal,Volt Portugal,≤100
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
117508703445626,Não Espere. Defenda a sua vida.,JTINN,≤100
