Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,2568
107898832590939,European Commission,European Commission,945
193697864002162,UNICEF Portugal,UNICEF Portugal,601
163880252839,Deco Proteste,DECO PROTESTE,296
454138845348552,"Nós, Cidadãos Distrito de Bragança",José Manuel Macedo Barros,226
170400489279,Representação da Comissão Europeia em Portugal,Representação da Comissão Europeia em Portugal,197
2279635848950120,Easyshop,These ads ran without a disclaimer,191
69209479569,MEO,MEO,167
116426248469551,esquerda.net,Esquerda Net,146
863284277093093,Pingo Doce,Pingo Doce,138
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,118
1601186910118928,Banco BPI,Banco BPI,113
1188912861123865,Findigno,Best Lead Prestige Unipessoal lda,105
113387386723680,Pensa Positivo,Movimento Pensa Positivo,102
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,≤100
1018519621869889,Nuno Moreira- Candidato pelo Cds-pp ao Distrito de Bragança,These ads ran without a disclaimer,≤100
393328747756195,myplanet.pt,THE NAVIGATOR COMPANY,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
193697864002162,UNICEF Portugal,These ads ran without a disclaimer,≤100
1454591728166392,iad Portugal,iad Portugal,≤100
901697383231864,Contas Connosco,Contas Connosco,≤100
188500147828984,Partido Socialista,Partido Socialista,≤100
833033333450772,BPI Solidariedade,Banco BPI,≤100
113309632023126,Sindicato Independente dos Médicos,Sindicato Independente dos Médicos,≤100
105438294590801,João Noronha Lopes,Noronha Lopes 2020,≤100
122118287806643,Vodafone Portugal,These ads ran without a disclaimer,≤100
126509981274614,Partido Socialista Europeu,Partido Socialista Europeu,≤100
178362315106,European Parliament,These ads ran without a disclaimer,≤100
604331369992722,Deputados do PCP no PE,Sandra Maria De Brito Pereira,≤100
610637186067086,FutureProofing Healthcare,These ads ran without a disclaimer,≤100
282717852317261,Iniciativa Liberal,Iniciativa Liberal,≤100
259211337438,Continente,Continente,≤100
130311871001726,Movimiento83,These ads ran without a disclaimer,≤100
261612214425915,Lídia Pereira,Lídia Pereira,≤100
680837358631507,Huawei Mobile,These ads ran without a disclaimer,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
170555122972051,Parlamento Europeu - Gabinete em Portugal,Parlamento Europeu - Gabinete em Portugal,≤100
142396325817735,Marisa Matias,Marisa Matias 2021,≤100
123061614692,Nestlé,Nestlé,≤100
334192340106005,É Tempo de Mudar - Vinhais,Carlos Abel Almendra Frias Vieira,≤100
245392595981419,Comissão Nacional de Eleições,Comissão Nacional de Eleições,≤100
107898832590939,European Commission,These ads ran without a disclaimer,≤100
106139878027830,Mais Penedono,José Ângelo da Costa Pinto,≤100
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,≤100
163880252839,Deco Proteste,These ads ran without a disclaimer,≤100
180704148611351,APAV | Associação Portuguesa de Apoio à Vítima,APAV | Associação Portuguesa de Apoio à Vítima,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
118652946661442,Unidos Contra o Desperdício,Unidos Contra o Desperdício,≤100
211315352267434,Proteste Investe,Proteste Investe,≤100
254599574585324,Saúde Viável,These ads ran without a disclaimer,≤100
408582579294175,UK government,These ads ran without a disclaimer,≤100
107420174018142,Be The Story,These ads ran without a disclaimer,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
100390458259530,PS Miranda do Douro,Partido Socialista,≤100
