Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,3783
107898832590939,European Commission,European Commission,1276
171163557007554,João Morgado - Covilhã,João Morgado,946
193697864002162,UNICEF Portugal,UNICEF Portugal,877
163880252839,Deco Proteste,DECO PROTESTE,517
170400489279,Representação da Comissão Europeia em Portugal,Representação da Comissão Europeia em Portugal,302
69209479569,MEO,MEO,294
2279635848950120,Easyshop,These ads ran without a disclaimer,289
116426248469551,esquerda.net,Esquerda Net,251
863284277093093,Pingo Doce,Pingo Doce,213
1601186910118928,Banco BPI,Banco BPI,209
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,196
393328747756195,myplanet.pt,THE NAVIGATOR COMPANY,175
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,173
1188912861123865,Findigno,Best Lead Prestige Unipessoal lda,161
113387386723680,Pensa Positivo,Movimento Pensa Positivo,148
188500147828984,Partido Socialista,Partido Socialista,139
901697383231864,Contas Connosco,Contas Connosco,136
147547541961576,Council of the European Union,Council of the European Union,127
193697864002162,UNICEF Portugal,These ads ran without a disclaimer,123
1454591728166392,iad Portugal,iad Portugal,118
113309632023126,Sindicato Independente dos Médicos,Sindicato Independente dos Médicos,118
105438294590801,João Noronha Lopes,Noronha Lopes 2020,117
122118287806643,Vodafone Portugal,These ads ran without a disclaimer,113
833033333450772,BPI Solidariedade,Banco BPI,112
610637186067086,FutureProofing Healthcare,These ads ran without a disclaimer,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
126509981274614,Partido Socialista Europeu,Partido Socialista Europeu,≤100
680837358631507,Huawei Mobile,These ads ran without a disclaimer,≤100
130311871001726,Movimiento83,These ads ran without a disclaimer,≤100
604331369992722,Deputados do PCP no PE,Sandra Maria De Brito Pereira,≤100
259211337438,Continente,Continente,≤100
178362315106,European Parliament,These ads ran without a disclaimer,≤100
282717852317261,Iniciativa Liberal,Iniciativa Liberal,≤100
724645504218493,Alternativa,These ads ran without a disclaimer,≤100
1921241571307731,Fitness UP Castelo Branco,These ads ran without a disclaimer,≤100
261612214425915,Lídia Pereira,Lídia Pereira,≤100
170555122972051,Parlamento Europeu - Gabinete em Portugal,Parlamento Europeu - Gabinete em Portugal,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
163880252839,Deco Proteste,These ads ran without a disclaimer,≤100
142396325817735,Marisa Matias,Marisa Matias 2021,≤100
123061614692,Nestlé,Nestlé,≤100
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,≤100
245392595981419,Comissão Nacional de Eleições,Comissão Nacional de Eleições,≤100
118652946661442,Unidos Contra o Desperdício,Unidos Contra o Desperdício,≤100
107420174018142,Be The Story,These ads ran without a disclaimer,≤100
211315352267434,Proteste Investe,Proteste Investe,≤100
107898832590939,European Commission,These ads ran without a disclaimer,≤100
117508703445626,Não Espere. Defenda a sua vida.,JTINN,≤100
171163557007554,João Morgado - Covilhã,These ads ran without a disclaimer,≤100
180704148611351,APAV | Associação Portuguesa de Apoio à Vítima,APAV | Associação Portuguesa de Apoio à Vítima,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
408582579294175,UK government,These ads ran without a disclaimer,≤100
247568251981744,Lidl Portugal,Lidl Portugal,≤100
194459527248761,GEOTA,GEOTA,≤100
106176850920049,Forum da Energia e Clima,Forum da Energia e Clima,≤100
440341036369937,Goldenergy,These ads ran without a disclaimer,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
307804969714954,Avani Profissional,These ads ran without a disclaimer,≤100
133430846754438,Electrão,Electrão,≤100
254599574585324,Saúde Viável,These ads ran without a disclaimer,≤100
103500668039871,Armor Mask,Tetribérica,≤100
311215249042615,Gerador,Associação Cultural Gerador,≤100
246677075667575,Ana Catarina Mendes,Ana Catarina Mendes,≤100
413640292147336,Webmóveis    968590830,Nuno Miguel Carcau Mateus,≤100
373164443850,Cerveja Sagres,These ads ran without a disclaimer,≤100
169752853064691,Visit Madeira,These ads ran without a disclaimer,≤100
590590741007357,My Spot Vip,My Spot Vip,≤100
172773356247523,Nestlé. Saboreia a Vida,Nestlé,≤100
337184692977018,João Morgado,These ads ran without a disclaimer,≤100
798351403875776,Sara Cerdas,Gabinete da Europa,≤100
374858770353,CASA - Centro de Apoio ao Sem Abrigo,João Maria de Lemos Fernandes,≤100
110526710282071,Cláudia André,Cláudia Sofia Farinha André,≤100
101624308205257,Globo Outlet,These ads ran without a disclaimer,≤100
693661534311068,CouraVeg,Associação Animais de Rua,≤100
106764417557606,Coutinho Duarte,Joaquim Duarte,≤100
113118913576126,PSD no Parlamento Europeu,PSD no Parlamento Europeu,≤100
116542855068782,Ordem dos Psicólogos Portugueses,Ordem dos Psicólogos Portugueses,≤100
255056481315205,José Manuel Fernandes,José Manuel Fernandes,≤100
911147125587267,"Irricampo-Sistemas de Rega, Lda",These ads ran without a disclaimer,≤100
198475783500587,Jornal O Interior,These ads ran without a disclaimer,≤100
146140662062673,British Embassy Lisbon,WhiteKube,≤100
166405943417778,CDU - Coligação Democrática Unitária,These ads ran without a disclaimer,≤100
188500147828984,Partido Socialista,These ads ran without a disclaimer,≤100
1462957374004775,António Costa,Partido Socialista,≤100
1241606822611843,Grupo do PS na Assembleia de Freguesia da Guarda,Grupo do PS na Assembleia de Freguesia da Guarda,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
123051634390412,Partido Social Democrata,Partido Social Democrata,≤100
117745288271605,Altice Portugal,These ads ran without a disclaimer,≤100
309229989512544,DS CRÉDITO,DS CRÉDITO,≤100
1290852744400133,Seventh Generation Portugal,Unilever,≤100
282717852317261,Iniciativa Liberal,These ads ran without a disclaimer,≤100
45312409115,Super Bock,These ads ran without a disclaimer,≤100
150527751674751,Greens/EFA in the European Parliament,Greens/EFA in the European Parliament,≤100
160109307362587,ACP - Automóvel Club de Portugal,These ads ran without a disclaimer,≤100
101241151734056,João Ferreira 2021,João Ferreira 2021,≤100
197936253581591,Fundação Francisco Manuel dos Santos,These ads ran without a disclaimer,≤100
194554360589030,BOLD by Devoteam,These ads ran without a disclaimer,≤100
355087424564148,VoteWatch Europe,These ads ran without a disclaimer,≤100
100807458093258,Decio david tarologo e vidente  produtos esotericos,These ads ran without a disclaimer,≤100
