Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,63952
107898832590939,European Commission,European Commission,20824
193697864002162,UNICEF Portugal,UNICEF Portugal,19092
2167612913269887,Loja da Fábrica 924336359,Nuno Miguel Carcau Mateus,14568
732674633538452,Mudei os Móveis 967982069,Nuno Miguel Carcau Mateus,13496
413640292147336,Webmóveis    968590830,Nuno Miguel Carcau Mateus,11011
518709395329913,Tengo Mueble Portugal,Nuno Miguel Carcau Mateus,9775
310292928990664,Câmara Municipal de Lisboa,Câmara Municipal de Lisboa,9744
163880252839,Deco Proteste,DECO PROTESTE,7856
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,5874
116426248469551,esquerda.net,Esquerda Net,5767
863284277093093,Pingo Doce,Pingo Doce,4347
170400489279,Representação da Comissão Europeia em Portugal,Representação da Comissão Europeia em Portugal,3963
2279635848950120,Easyshop,These ads ran without a disclaimer,3701
69209479569,MEO,MEO,3674
393328747756195,myplanet.pt,THE NAVIGATOR COMPANY,3640
1454591728166392,iad Portugal,iad Portugal,3347
533541776798558,SEAL - Sindicato dos Estivadores e da Actividade Logística,SEAL - Sindicato dos Estivadores e da Actividade Logística,3274
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,3038
147547541961576,Council of the European Union,Council of the European Union,2977
113387386723680,Pensa Positivo,Movimento Pensa Positivo,2832
282717852317261,Iniciativa Liberal,Iniciativa Liberal,2635
28312410177,World Food Programme,These ads ran without a disclaimer,2624
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,2536
307804969714954,Avani Profissional,These ads ran without a disclaimer,2394
193697864002162,UNICEF Portugal,These ads ran without a disclaimer,2388
1601186910118928,Banco BPI,Banco BPI,2216
113309632023126,Sindicato Independente dos Médicos,Sindicato Independente dos Médicos,1940
1188912861123865,Findigno,Best Lead Prestige Unipessoal lda,1934
729627343834501,Kialo,These ads ran without a disclaimer,1928
105438294590801,João Noronha Lopes,Noronha Lopes 2020,1877
170555122972051,Parlamento Europeu - Gabinete em Portugal,Parlamento Europeu - Gabinete em Portugal,1876
901697383231864,Contas Connosco,Contas Connosco,1862
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,1694
178362315106,European Parliament,These ads ran without a disclaimer,1526
122118287806643,Vodafone Portugal,These ads ran without a disclaimer,1483
202599130354565,Naturalar,These ads ran without a disclaimer,1253
604331369992722,Deputados do PCP no PE,Sandra Maria De Brito Pereira,1251
259211337438,Continente,Continente,1218
130311871001726,Movimiento83,These ads ran without a disclaimer,1161
101920814806371,Casa dos livros,Manuel Augusto Monteiro,1146
680837358631507,Huawei Mobile,These ads ran without a disclaimer,1142
833033333450772,BPI Solidariedade,Banco BPI,1115
610637186067086,FutureProofing Healthcare,These ads ran without a disclaimer,1095
163880252839,Deco Proteste,These ads ran without a disclaimer,1010
