Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,7157
240271283335987,Iniciativa Liberal Madeira,These ads ran without a disclaimer,6576
107898832590939,European Commission,European Commission,2298
193697864002162,UNICEF Portugal,UNICEF Portugal,1744
551079148278123,Paulo Cafôfo,These ads ran without a disclaimer,1303
551079148278123,Paulo Cafôfo,Paulo Cafôfo,1177
199454533421031,PSD Madeira,These ads ran without a disclaimer,1143
163880252839,Deco Proteste,DECO PROTESTE,845
798351403875776,Sara Cerdas,Gabinete da Europa,816
69209479569,MEO,MEO,525
170400489279,Representação da Comissão Europeia em Portugal,Representação da Comissão Europeia em Portugal,489
2279635848950120,Easyshop,These ads ran without a disclaimer,462
533541776798558,SEAL - Sindicato dos Estivadores e da Actividade Logística,SEAL - Sindicato dos Estivadores e da Actividade Logística,454
1454591728166392,iad Portugal,iad Portugal,429
245392595981419,Comissão Nacional de Eleições,These ads ran without a disclaimer,416
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,331
116426248469551,esquerda.net,Esquerda Net,323
2206961386052191,Pedro Pereira,Pedro Filipe Silva Pereira,293
393328747756195,myplanet.pt,THE NAVIGATOR COMPANY,288
1188912861123865,Findigno,Best Lead Prestige Unipessoal lda,273
113387386723680,Pensa Positivo,Movimento Pensa Positivo,268
169752853064691,Visit Madeira,These ads ran without a disclaimer,263
147547541961576,Council of the European Union,Council of the European Union,261
901697383231864,Contas Connosco,Contas Connosco,243
1601186910118928,Banco BPI,Banco BPI,243
193697864002162,UNICEF Portugal,These ads ran without a disclaimer,227
135692143134483,Bloco de Esquerda Madeira,Bloco de Esquerda Madeira,226
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,225
729627343834501,Kialo,These ads ran without a disclaimer,213
113309632023126,Sindicato Independente dos Médicos,Sindicato Independente dos Médicos,193
295289410577125,JS Madeira,JS Madeira,191
122118287806643,Vodafone Portugal,These ads ran without a disclaimer,189
109981627042279,Porto Santo - Miguel Brito,Miguel Brito,180
89992519363,PS Madeira,PS Madeira,175
863284277093093,Pingo Doce,Pingo Doce,173
170555122972051,Parlamento Europeu - Gabinete em Portugal,Parlamento Europeu - Gabinete em Portugal,172
833033333450772,BPI Solidariedade,Banco BPI,170
680837358631507,Huawei Mobile,These ads ran without a disclaimer,162
188500147828984,Partido Socialista,Partido Socialista,156
92553748748,CDS - PP Madeira,These ads ran without a disclaimer,136
259211337438,Continente,Continente,135
158876427491205,JP - Juventude Popular Madeira,These ads ran without a disclaimer,135
610637186067086,FutureProofing Healthcare,These ads ran without a disclaimer,125
105438294590801,João Noronha Lopes,Noronha Lopes 2020,125
798351403875776,Sara Cerdas,These ads ran without a disclaimer,125
178362315106,European Parliament,These ads ran without a disclaimer,122
604331369992722,Deputados do PCP no PE,Sandra Maria De Brito Pereira,122
126509981274614,Partido Socialista Europeu,Partido Socialista Europeu,113
282717852317261,Iniciativa Liberal,Iniciativa Liberal,111
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,108
152648794759642,Husse Portugal,Husse Portugal,102
110085780411828,João Pedro Vieira,João Pedro Mendonça Vieira,102
513481418987886,Madeira Pride,Madeira Pride,≤100
142396325817735,Marisa Matias,Marisa Matias 2021,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
163880252839,Deco Proteste,These ads ran without a disclaimer,≤100
261612214425915,Lídia Pereira,Lídia Pereira,≤100
130311871001726,Movimiento83,These ads ran without a disclaimer,≤100
1466704876929119,Orquestras De Sopro Do Conservatório Escola Das Artes Da Madeira,Jorge Garcia Mendoza,≤100
245392595981419,Comissão Nacional de Eleições,Comissão Nacional de Eleições,≤100
408582579294175,UK government,These ads ran without a disclaimer,≤100
107898832590939,European Commission,These ads ran without a disclaimer,≤100
180704148611351,APAV | Associação Portuguesa de Apoio à Vítima,APAV | Associação Portuguesa de Apoio à Vítima,≤100
123061614692,Nestlé,Nestlé,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,≤100
2228125544110672,Luís Bettencourt,Luís Eduardo Guiance de Bettencourt,≤100
117508703445626,Não Espere. Defenda a sua vida.,JTINN,≤100
118652946661442,Unidos Contra o Desperdício,Unidos Contra o Desperdício,≤100
211315352267434,Proteste Investe,Proteste Investe,≤100
109296823902458,Lista A - Por Todos os Médicos,First Five Consulting,≤100
440341036369937,Goldenergy,These ads ran without a disclaimer,≤100
247568251981744,Lidl Portugal,Lidl Portugal,≤100
103500668039871,Armor Mask,Tetribérica,≤100
175339799194,Café do Teatro,These ads ran without a disclaimer,≤100
128362563891037,Erasmus+ Juventude em Ação,Erasmus+ Juventude em Ação,≤100
107420174018142,Be The Story,These ads ran without a disclaimer,≤100
307804969714954,Avani Profissional,These ads ran without a disclaimer,≤100
374858770353,CASA - Centro de Apoio ao Sem Abrigo,João Maria de Lemos Fernandes,≤100
113999843626062,Garajau Online,Edgar Leonardo Moya Cuartas,≤100
814851935239574,CDS PP,CDS PP,≤100
909219232566443,Il Vivaldi,Il Vivaldi,≤100
602603206861409,ABANCA Portugal,ABANCA Portugal,≤100
671762523237599,Madeira 2019,These ads ran without a disclaimer,≤100
240271283335987,Iniciativa Liberal Madeira,Duarte Paulo Brazão Gouveia,≤100
309229989512544,DS CRÉDITO,DS CRÉDITO,≤100
89992519363,PS Madeira,These ads ran without a disclaimer,≤100
106176850920049,Forum da Energia e Clima,Forum da Energia e Clima,≤100
693661534311068,CouraVeg,Associação Animais de Rua,≤100
2069391766628988,Portugal a Cores,António Pita de Meireles Pistacchini Moita,≤100
166405943417778,CDU - Coligação Democrática Unitária,These ads ran without a disclaimer,≤100
172203233688530,Rodolfo Olim Diretor Comercial DS Crédito Funchal,These ads ran without a disclaimer,≤100
373164443850,Cerveja Sagres,These ads ran without a disclaimer,≤100
1462957374004775,António Costa,Partido Socialista,≤100
101624308205257,Globo Outlet,These ads ran without a disclaimer,≤100
113118913576126,PSD no Parlamento Europeu,PSD no Parlamento Europeu,≤100
290646447627482,Venda Velha,These ads ran without a disclaimer,≤100
302387273183743,23 Vintage Bar,These ads ran without a disclaimer,≤100
1290852744400133,Seventh Generation Portugal,Unilever,≤100
106764417557606,Coutinho Duarte,Joaquim Duarte,≤100
105253717748817,Purple Tech Life,These ads ran without a disclaimer,≤100
246677075667575,Ana Catarina Mendes,Ana Catarina Mendes,≤100
159004371468969,LOJA NOIR,Rodrigo De Gouveia Barata,≤100
146140662062673,British Embassy Lisbon,WhiteKube,≤100
194459527248761,GEOTA,GEOTA,≤100
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,≤100
135692143134483,Bloco de Esquerda Madeira,These ads ran without a disclaimer,≤100
936580059750730,autodoc.de,These ads ran without a disclaimer,≤100
590590741007357,My Spot Vip,My Spot Vip,≤100
107612720707383,Keratin Straightening,These ads ran without a disclaimer,≤100
133430846754438,Electrão,Electrão,≤100
105651407855052,Dr. Nuno Nóbrega,These ads ran without a disclaimer,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
2228125544110672,Luís Bettencourt,These ads ran without a disclaimer,≤100
105282744697498,Psis pelos Psis,Psis pelos Psis,≤100
117745288271605,Altice Portugal,These ads ran without a disclaimer,≤100
129586383695,Município de Oeiras,Município de Oeiras,≤100
505932586281326,Mobilizar os Psicólogos,Mobilizar os Psicólogos,≤100
1040487469355385,TripActions,These ads ran without a disclaimer,≤100
925706094242469,MEDICARE Portugal,These ads ran without a disclaimer,≤100
355087424564148,VoteWatch Europe,These ads ran without a disclaimer,≤100
1798882800328461,CGTNEurope,These ads ran without a disclaimer,≤100
100807458093258,Decio david tarologo e vidente  produtos esotericos,These ads ran without a disclaimer,≤100
150527751674751,Greens/EFA in the European Parliament,Greens/EFA in the European Parliament,≤100
107962550922034,Artur Lima - Candidato a Bastonário OMD 2020,JTINN,≤100
255056481315205,José Manuel Fernandes,José Manuel Fernandes,≤100
188500147828984,Partido Socialista,These ads ran without a disclaimer,≤100
106971900737894,The United Arab Emirates Nation Brand,These ads ran without a disclaimer,≤100
413640292147336,Webmóveis    968590830,Nuno Miguel Carcau Mateus,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
116542855068782,Ordem dos Psicólogos Portugueses,Ordem dos Psicólogos Portugueses,≤100
100104591365355,Bicho de Pêssego,These ads ran without a disclaimer,≤100
231372214102277,Pedro Guedes,These ads ran without a disclaimer,≤100
101364463349798,Na linha da frente - José Paulo do Carmo,José Paulo Almeida de Magalhães Menitra do Carmo,≤100
45312409115,Super Bock,These ads ran without a disclaimer,≤100
157252641338,OANDA,These ads ran without a disclaimer,≤100
108821454323634,AnaGomes2021,Candidatura à Presidência - Ana Gomes,≤100
607391652607909,Vaccines Today,These ads ran without a disclaimer,≤100
456047437882926,Mega Outlet Bar,These ads ran without a disclaimer,≤100
1220981994590364,FT Partner Content,These ads ran without a disclaimer,≤100
691904841233379,Francisco Guerreiro,Francisco Guerreiro,≤100
315392619296243,Relógios de Luxo,These ads ran without a disclaimer,≤100
172773356247523,Nestlé. Saboreia a Vida,Nestlé,≤100
282717852317261,Iniciativa Liberal,These ads ran without a disclaimer,≤100
141312444953,Académica da Madeira,These ads ran without a disclaimer,≤100
100662434659810,Out And Style,These ads ran without a disclaimer,≤100
278879187404,Oriflame,These ads ran without a disclaimer,≤100
537679590070992,Varela de Matos,These ads ran without a disclaimer,≤100
316646359043168,Planetiers World Gathering,PWG,≤100
627523897320055,Conceitos de Beleza by Sandra,These ads ran without a disclaimer,≤100
1738830316175372,Élvio Sousa,These ads ran without a disclaimer,≤100
160109307362587,ACP - Automóvel Club de Portugal,These ads ran without a disclaimer,≤100
0,Instagram User 3802388967,These ads ran without a disclaimer,≤100
