Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,14487
413640292147336,Webmóveis    968590830,Nuno Miguel Carcau Mateus,4496
732674633538452,Mudei os Móveis 967982069,Nuno Miguel Carcau Mateus,4463
193697864002162,UNICEF Portugal,UNICEF Portugal,3692
107898832590939,European Commission,European Commission,3584
748172598653051,Nuno Carvalho,Nuno Miguel Oliveira De Carvalho,3535
363935834232367,Mudei os Móveis - Baixa da Banheira 968911275,Nuno Miguel Carcau Mateus,3156
163880252839,Deco Proteste,DECO PROTESTE,2093
116426248469551,esquerda.net,Esquerda Net,1268
518709395329913,Tengo Mueble Portugal,Nuno Miguel Carcau Mateus,1254
2279635848950120,Easyshop,These ads ran without a disclaimer,1242
863284277093093,Pingo Doce,Pingo Doce,1206
170400489279,Representação da Comissão Europeia em Portugal,Representação da Comissão Europeia em Portugal,1055
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,1037
533541776798558,SEAL - Sindicato dos Estivadores e da Actividade Logística,SEAL - Sindicato dos Estivadores e da Actividade Logística,1035
393328747756195,myplanet.pt,THE NAVIGATOR COMPANY,997
69209479569,MEO,MEO,946
605673866574816,Market Móveis,Nuno Miguel Carcau Mateus,938
1188912861123865,Findigno,Best Lead Prestige Unipessoal lda,830
1601186910118928,Banco BPI,Banco BPI,719
365442670757132,Webmóveis Palmela 963540145,Nuno Miguel Carcau Mateus,660
282717852317261,Iniciativa Liberal,Iniciativa Liberal,654
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,611
307804969714954,Avani Profissional,These ads ran without a disclaimer,562
113309632023126,Sindicato Independente dos Médicos,Sindicato Independente dos Médicos,538
113387386723680,Pensa Positivo,Movimento Pensa Positivo,536
412959639132319,Paulo Lopes - Setúbal,Paulo Alexandre Da Cruz Lopes,531
123845841129709,Dar Futuro Ao Barreiro,Tânia Sofia Correia Salsinha Dias,522
193697864002162,UNICEF Portugal,These ads ran without a disclaimer,514
901697383231864,Contas Connosco,Contas Connosco,513
170555122972051,Parlamento Europeu - Gabinete em Portugal,Parlamento Europeu - Gabinete em Portugal,510
1454591728166392,iad Portugal,iad Portugal,509
604331369992722,Deputados do PCP no PE,Sandra Maria De Brito Pereira,441
122118287806643,Vodafone Portugal,These ads ran without a disclaimer,430
105438294590801,João Noronha Lopes,Noronha Lopes 2020,423
833033333450772,BPI Solidariedade,Banco BPI,405
130311871001726,Movimiento83,These ads ran without a disclaimer,398
146427908881902,PS Moita,PS Moita,387
147547541961576,Council of the European Union,Council of the European Union,382
135192429904666,PSD Almada,PSD Almada,353
188500147828984,Partido Socialista,Partido Socialista,342
178362315106,European Parliament,These ads ran without a disclaimer,311
322515741881663,Psicoefeito - Nelson Pereira,NÉLSON FERNANDO PAIXÃO PEREIRA,287
680837358631507,Huawei Mobile,These ads ran without a disclaimer,286
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,281
610637186067086,FutureProofing Healthcare,These ads ran without a disclaimer,276
202599130354565,Naturalar,These ads ran without a disclaimer,258
126509981274614,Partido Socialista Europeu,Partido Socialista Europeu,250
259211337438,Continente,Continente,238
28312410177,World Food Programme,These ads ran without a disclaimer,235
163880252839,Deco Proteste,These ads ran without a disclaimer,219
729627343834501,Kialo,These ads ran without a disclaimer,219
861679720578257,Caminhando.pt,José António Barão Machado Rodrigues,200
246677075667575,Ana Catarina Mendes,Ana Catarina Mendes,198
247568251981744,Lidl Portugal,Lidl Portugal,197
932278403491701,PS Almada,PS Almada,197
107420174018142,Be The Story,These ads ran without a disclaimer,193
101920814806371,Casa dos livros,Manuel Augusto Monteiro,179
