Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,5359
107898832590939,European Commission,European Commission,1796
193697864002162,UNICEF Portugal,UNICEF Portugal,1201
163880252839,Deco Proteste,DECO PROTESTE,607
170400489279,Representação da Comissão Europeia em Portugal,Representação da Comissão Europeia em Portugal,389
116426248469551,esquerda.net,Esquerda Net,364
69209479569,MEO,MEO,342
2279635848950120,Easyshop,These ads ran without a disclaimer,315
863284277093093,Pingo Doce,Pingo Doce,269
122344957784863,Amnistia Internacional Portugal,Amnistia Internacional Portugal,267
1601186910118928,Banco BPI,Banco BPI,241
1454591728166392,iad Portugal,iad Portugal,210
393328747756195,myplanet.pt,THE NAVIGATOR COMPANY,202
188500147828984,Partido Socialista,Partido Socialista,194
147547541961576,Council of the European Union,Council of the European Union,188
901697383231864,Contas Connosco,Contas Connosco,187
113387386723680,Pensa Positivo,Movimento Pensa Positivo,186
1188912861123865,Findigno,Best Lead Prestige Unipessoal lda,185
197936253581591,Fundação Francisco Manuel dos Santos,Fundação Francisco Manuel dos Santos,185
193697864002162,UNICEF Portugal,These ads ran without a disclaimer,160
122118287806643,Vodafone Portugal,These ads ran without a disclaimer,155
833033333450772,BPI Solidariedade,Banco BPI,152
105438294590801,João Noronha Lopes,Noronha Lopes 2020,150
113309632023126,Sindicato Independente dos Médicos,Sindicato Independente dos Médicos,147
533541776798558,SEAL - Sindicato dos Estivadores e da Actividade Logística,SEAL - Sindicato dos Estivadores e da Actividade Logística,133
126509981274614,Partido Socialista Europeu,Partido Socialista Europeu,127
170555122972051,Parlamento Europeu - Gabinete em Portugal,Parlamento Europeu - Gabinete em Portugal,122
259211337438,Continente,Continente,117
610637186067086,FutureProofing Healthcare,These ads ran without a disclaimer,116
282717852317261,Iniciativa Liberal,Iniciativa Liberal,112
604331369992722,Deputados do PCP no PE,Sandra Maria De Brito Pereira,111
178362315106,European Parliament,These ads ran without a disclaimer,110
424502231678340,Webmóveis Porto 938043017,Nuno Miguel Carcau Mateus,101
130311871001726,Movimiento83,These ads ran without a disclaimer,≤100
142396325817735,Marisa Matias,Marisa Matias 2021,≤100
680837358631507,Huawei Mobile,These ads ran without a disclaimer,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
261612214425915,Lídia Pereira,Lídia Pereira,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
245392595981419,Comissão Nacional de Eleições,Comissão Nacional de Eleições,≤100
163880252839,Deco Proteste,These ads ran without a disclaimer,≤100
123061614692,Nestlé,Nestlé,≤100
152648794759642,Husse Portugal,Husse Portugal,≤100
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,≤100
180704148611351,APAV | Associação Portuguesa de Apoio à Vítima,APAV | Associação Portuguesa de Apoio à Vítima,≤100
107898832590939,European Commission,These ads ran without a disclaimer,≤100
211315352267434,Proteste Investe,Proteste Investe,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
107420174018142,Be The Story,These ads ran without a disclaimer,≤100
254599574585324,Saúde Viável,These ads ran without a disclaimer,≤100
440341036369937,Goldenergy,These ads ran without a disclaimer,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
118652946661442,Unidos Contra o Desperdício,Unidos Contra o Desperdício,≤100
560013724042990,Ricardo Rio,Ricardo Rio,≤100
408582579294175,UK government,These ads ran without a disclaimer,≤100
307804969714954,Avani Profissional,These ads ran without a disclaimer,≤100
123051634390412,Partido Social Democrata,Partido Social Democrata,≤100
117508703445626,Não Espere. Defenda a sua vida.,JTINN,≤100
247568251981744,Lidl Portugal,Lidl Portugal,≤100
732285496890083,Francisco Mota,Francisco José Peres Filipe Mota,≤100
1900337713585696,Zet gallery,Zet gallery,≤100
373164443850,Cerveja Sagres,These ads ran without a disclaimer,≤100
103500668039871,Armor Mask,Tetribérica,≤100
169752853064691,Visit Madeira,These ads ran without a disclaimer,≤100
101624308205257,Globo Outlet,These ads ran without a disclaimer,≤100
194459527248761,GEOTA,GEOTA,≤100
814851935239574,CDS PP,CDS PP,≤100
693661534311068,CouraVeg,Associação Animais de Rua,≤100
246677075667575,Ana Catarina Mendes,Ana Catarina Mendes,≤100
146140662062673,British Embassy Lisbon,WhiteKube,≤100
590590741007357,My Spot Vip,My Spot Vip,≤100
106176850920049,Forum da Energia e Clima,Forum da Energia e Clima,≤100
1626040974155214,Continuar a Cumprir o Futuro,These ads ran without a disclaimer,≤100
1462957374004775,António Costa,Partido Socialista,≤100
133430846754438,Electrão,Electrão,≤100
374858770353,CASA - Centro de Apoio ao Sem Abrigo,João Maria de Lemos Fernandes,≤100
100553131302287,Iniciativa Liberal - Viana do Castelo,Iniciativa Liberal - Viana do Castelo,≤100
798351403875776,Sara Cerdas,Gabinete da Europa,≤100
309229989512544,DS CRÉDITO,DS CRÉDITO,≤100
1290852744400133,Seventh Generation Portugal,Unilever,≤100
113118913576126,PSD no Parlamento Europeu,PSD no Parlamento Europeu,≤100
426727031230580,Phenix Portugal,Eurico Estêvão,≤100
255056481315205,José Manuel Fernandes,José Manuel Fernandes,≤100
45312409115,Super Bock,These ads ran without a disclaimer,≤100
108821454323634,AnaGomes2021,Candidatura à Presidência - Ana Gomes,≤100
129586383695,Município de Oeiras,Município de Oeiras,≤100
413640292147336,Webmóveis    968590830,Nuno Miguel Carcau Mateus,≤100
180068709327689,Ordem dos Médicos,Ordem dos Médicos,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
231372214102277,Pedro Guedes,These ads ran without a disclaimer,≤100
188500147828984,Partido Socialista,These ads ran without a disclaimer,≤100
106764417557606,Coutinho Duarte,Joaquim Duarte,≤100
936580059750730,autodoc.de,These ads ran without a disclaimer,≤100
602603206861409,ABANCA Portugal,ABANCA Portugal,≤100
172773356247523,Nestlé. Saboreia a Vida,Nestlé,≤100
160109307362587,ACP - Automóvel Club de Portugal,These ads ran without a disclaimer,≤100
316002512431444,Tech@Facebook,These ads ran without a disclaimer,≤100
560013724042990,Ricardo Rio,These ads ran without a disclaimer,≤100
221292842061953,Love my country,These ads ran without a disclaimer,≤100
355087424564148,VoteWatch Europe,These ads ran without a disclaimer,≤100
1536746203302018,Fumaça,Fumaça,≤100
691904841233379,Francisco Guerreiro,Francisco Guerreiro,≤100
166405943417778,CDU - Coligação Democrática Unitária,These ads ran without a disclaimer,≤100
1989920374407828,CHEGA,Partido CHEGA,≤100
282717852317261,Iniciativa Liberal,These ads ran without a disclaimer,≤100
365098104256957,HBO Portugal,These ads ran without a disclaimer,≤100
114559831961352,DECISÕES E SOLUÇÕES PORTUGAL,DECISÕES E SOLUÇÕES PORTUGAL,≤100
0,Instagram User 3802388967,These ads ran without a disclaimer,≤100
925706094242469,MEDICARE Portugal,These ads ran without a disclaimer,≤100
100807458093258,Decio david tarologo e vidente  produtos esotericos,These ads ran without a disclaimer,≤100
101241151734056,João Ferreira 2021,João Ferreira 2021,≤100
150527751674751,Greens/EFA in the European Parliament,Greens/EFA in the European Parliament,≤100
537679590070992,Varela de Matos,These ads ran without a disclaimer,≤100
106789824523204,O futuro do planeta não é reciclável,These ads ran without a disclaimer,≤100
147616658620749,OMB Grupo Óptico,These ads ran without a disclaimer,≤100
22437985072,Alibaba.com,These ads ran without a disclaimer,≤100
286741261181,A Igreja de Jesus Cristo dos Santos dos Últimos Dias - Portugal,These ads ran without a disclaimer,≤100
197936253581591,Fundação Francisco Manuel dos Santos,These ads ran without a disclaimer,≤100
278879187404,Oriflame,These ads ran without a disclaimer,≤100
587528135018441,Casa do Impacto,Santa Casa da Misericórdia de Lisboa,≤100
488897117904299,Plataforma TROCA - Por um Comércio Internacional Justo,TROCA - Plataforma por um Comercio Internacional Justo,≤100
247517791943794,Rios Livres,These ads ran without a disclaimer,≤100
247517791943794,Rios Livres,GEOTA,≤100
194554360589030,BOLD by Devoteam,These ads ran without a disclaimer,≤100
1746034952111565,Fundação "la Caixa",These ads ran without a disclaimer,≤100
194732796798,Conselho Nacional de Juventude - Portugal,Conselho Nacional de Juventude - Portugal,≤100
677285495716199,MEO Desporto,MEO,≤100
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,≤100
360400434803026,Orta Finança P.,These ads ran without a disclaimer,≤100
113258873649863,República Portuguesa - XXII Governo,These ads ran without a disclaimer,≤100
105253717748817,Purple Tech Life,These ads ran without a disclaimer,≤100
184102261790707,Plataforma Salvar o Tua,GEOTA,≤100
250956600769,SAPO,These ads ran without a disclaimer,≤100
335839580440114,Ask Europe,These ads ran without a disclaimer,≤100
1929123383764343,Overcube,These ads ran without a disclaimer,≤100
106352567786301,Diogo Moura,João Diogo Santos Moura,≤100
100124571718536,oxygiene,Oxygiene,≤100
283515732163292,Syngenta Portugal,These ads ran without a disclaimer,≤100
123061614692,Nestlé,These ads ran without a disclaimer,≤100
576998768997609,Josefinas,These ads ran without a disclaimer,≤100
1396488823780658,DJ JIXY,These ads ran without a disclaimer,≤100
117745288271605,Altice Portugal,These ads ran without a disclaimer,≤100
1040487469355385,TripActions,These ads ran without a disclaimer,≤100
166405943417778,CDU - Coligação Democrática Unitária,CDU - Coligação Democrática Unitária,≤100
100423195023922,ADK Trading,These ads ran without a disclaimer,≤100
838455932919608,"Vipele, vestuário de pele e acessórios.",These ads ran without a disclaimer,≤100
307809909238358,ANIVEC/APIV,César Augusto Guimarães Fontes Araújo,≤100
315392619296243,Relógios de Luxo,These ads ran without a disclaimer,≤100
218494195178334,PSD Ponte da Barca,These ads ran without a disclaimer,≤100
273558099350873,Miguel Pinto Luz,Miguel Martinez De Castro Pinto Luz,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
594934343975746,360 Recruitment Limited,These ads ran without a disclaimer,≤100
423368564418205,MUDAR Bancários,These ads ran without a disclaimer,≤100
325947881481785,Mais Cofidis,These ads ran without a disclaimer,≤100
316646359043168,Planetiers World Gathering,PWG,≤100
1798882800328461,CGTNEurope,These ads ran without a disclaimer,≤100
170555122972051,Parlamento Europeu - Gabinete em Portugal,These ads ran without a disclaimer,≤100
328740871022261,Divina store,Daniela Flavia Da Costa Vieira,≤100
877334578992643,Pestana Collection Hotels,These ads ran without a disclaimer,≤100
273558099350873,Miguel Pinto Luz,These ads ran without a disclaimer,≤100
75019832667,AMI - Assistência Médica Internacional,AMI - Assistência Médica Internacional,≤100
100662434659810,Out And Style,These ads ran without a disclaimer,≤100
955254164866936,Critical Thinking Portugal,These ads ran without a disclaimer,≤100
223731004466825,LIVRE,LIVRE,≤100
1052421281451125,PO SEUR,PO SEUR,≤100
593097881194571,Viralz techz,These ads ran without a disclaimer,≤100
102374567835236,Retacrific,These ads ran without a disclaimer,≤100
409067719249447,Termoplast películas de segurança e controle solar automoveis e arquitetura,Carlos Miguel De Sousa Leal,≤100
37173152981,FOX Life Portugal,Live Content,≤100
262681199589,ALDE Party – Liberals and Democrats for Europe,ALDE Party – Liberals and Democrats for Europe,≤100
230530994542764,"Votedhr - Eleições, Democracia e Direitos Humanos",These ads ran without a disclaimer,≤100
127088410681230,Editora Objectiva,Marta Paredes Heitor Da Cunha Serra,≤100
106971900737894,The United Arab Emirates Nation Brand,These ads ran without a disclaimer,≤100
1906079842968170,AMAlentejo,José Batista Mestre Soeiro,≤100
519356588125641,NESCAFÉ,Nestlé,≤100
615010042297059,James Trading Jar,These ads ran without a disclaimer,≤100
178541745625238,Ni&Tita,These ads ran without a disclaimer,≤100
104451194840470,Masky.pt,Masky.pt,≤100
1025905067453122,A Bijuteria,Carlos Manuel Oliveira Fernandes,≤100
1401934649824231,FeverSave,These ads ran without a disclaimer,≤100
366508799762,ACN - Ajuda à Igreja que Sofre,ACN - Ajuda à Igreja que Sofre,≤100
102727731471857,AnaLoureiro,These ads ran without a disclaimer,≤100
270355703385772,José Morais,José Augusto Marçal Morais,≤100
402677536461567,OrganiCup,These ads ran without a disclaimer,≤100
109246582456134,Licor Beirão,These ads ran without a disclaimer,≤100
141538925920133,Michelin,These ads ran without a disclaimer,≤100
507767089417720,Tonic App,These ads ran without a disclaimer,≤100
1709939012603940,Ricardo Baptista Leite,Ricardo Baptista Leite,≤100
122344957784863,Amnistia Internacional Portugal,These ads ran without a disclaimer,≤100
360424321432255,Doha Debates,These ads ran without a disclaimer,≤100
220432571695992,Alesco Property Investments,These ads ran without a disclaimer,≤100
122074554119,EU Social,These ads ran without a disclaimer,≤100
104664291378743,Ivanom,These ads ran without a disclaimer,≤100
245094455536925,FOUR PAWS International,These ads ran without a disclaimer,≤100
379802893248,ERTEC,These ads ran without a disclaimer,≤100
945767585525760,cH2ange,These ads ran without a disclaimer,≤100
486757298036054,Vista Alegre,These ads ran without a disclaimer,≤100
149738001724366,Chips Ahoy! Spain,These ads ran without a disclaimer,≤100
708331355851744,Ekonomista,These ads ran without a disclaimer,≤100
551079148278123,Paulo Cafôfo,Paulo Cafôfo,≤100
136308069779422,Sociedade Portuguesa de Gestão de Saúde,Sociedade Portuguesa de Gestão de Saúde,≤100
204475619649483,Alerta Emprego,Alerta Emprego,≤100
117745288271605,Altice Portugal,Altice Portugal,≤100
546614152178992,Mayor Pelekas Monastery,These ads ran without a disclaimer,≤100
1125033141034664,Novo Verde,These ads ran without a disclaimer,≤100
188081254442,Portal da Construção Sustentável,Portal da Construção Sustentável,≤100
369258023236774,Pmp - Consultores de Engenharia,These ads ran without a disclaimer,≤100
146724991050,Centro Cultural de Belém,Centro Cultural de Belém,≤100
128142261270017,Fundación Repsol,These ads ran without a disclaimer,≤100
814731628658471,Nuno Tavares Pereira,These ads ran without a disclaimer,≤100
53498842922,RFM,These ads ran without a disclaimer,≤100
199342902500,FCB Lisboa,FCB Lisboa,≤100
220541638063355,Filhos do Coração,Filhos do Coração,≤100
48034275355,EPP - European People's Party,EPP - European People's Party,≤100
157252641338,OANDA,These ads ran without a disclaimer,≤100
413110028708018,Uniarea,Uniarea,≤100
370865516421520,Centro2020,These ads ran without a disclaimer,≤100
118422464857481,Siemens Portugal,These ads ran without a disclaimer,≤100
1098001547034272,A Solution to Plastic Pollution - First International Online Summit,These ads ran without a disclaimer,≤100
1449052665318446,European Asylum Support Office - EASO,These ads ran without a disclaimer,≤100
114447609964140,Ana Catarina Varela,Ana Catarina Cruz Varela,≤100
37173152981,FOX Life Portugal,These ads ran without a disclaimer,≤100
459150304252322,APDP Diabetes,These ads ran without a disclaimer,≤100
1574012606065743,Orta Finança Portugal,These ads ran without a disclaimer,≤100
413308402187213,Portugal Space and UAV,These ads ran without a disclaimer,≤100
441557036361091,Addictivez Tourist,These ads ran without a disclaimer,≤100
1502272203334447,"Nós, Cidadãos",These ads ran without a disclaimer,≤100
939700526375563,A Herdade - Filme,These ads ran without a disclaimer,≤100
726612704081415,Clube de Lisboa,Clube de Lisboa,≤100
129139007729,Eastpak,These ads ran without a disclaimer,≤100
212487532117072,Fernando Mendes,These ads ran without a disclaimer,≤100
183747514998067,"Consulstaff Consultores de Gestão, Lda",These ads ran without a disclaimer,≤100
401661266599855,Juventude Comunista Portuguesa,These ads ran without a disclaimer,≤100
393037280875657,Europe in my region,These ads ran without a disclaimer,≤100
1424579967840864,European Court of Auditors,These ads ran without a disclaimer,≤100
1571630403132845,António Barbosa,These ads ran without a disclaimer,≤100
110752262946048,Crypterium,These ads ran without a disclaimer,≤100
152253895465834,Rede Douro Vivo,GEOTA,≤100
111205146955400,Wdalx,These ads ran without a disclaimer,≤100
123051634390412,Partido Social Democrata,These ads ran without a disclaimer,≤100
166220000072022,Carlos Eduardo Reis,Carlos Eduardo Reis,≤100
183125116821,EURES,These ads ran without a disclaimer,≤100
116397711763575,Iglo Portugal,These ads ran without a disclaimer,≤100
372406122817224,ACTUAR,ACTUAR – Associação para a Cooperação e o Desenvolvimento,≤100
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100
101143504980192,Sossns,These ads ran without a disclaimer,≤100
154957731213118,KFC,These ads ran without a disclaimer,≤100
1945297102438944,Nanban,These ads ran without a disclaimer,≤100
424787127729842,Mercure Hotels,Tinkle,≤100
178790549292112,Madheshi Yuva Party Revolutionary- Nepal,These ads ran without a disclaimer,≤100
260783067293307,"EU Internal Market, Industry, Entrepreneurship & SMEs",These ads ran without a disclaimer,≤100
1401328173286828,CEiiA,These ads ran without a disclaimer,≤100
901697383231864,Contas Connosco,These ads ran without a disclaimer,≤100
288219998434888,Núcleo PSD - Santa Marta de Portuzelo,These ads ran without a disclaimer,≤100
358545524222289,Mundos de Vida,These ads ran without a disclaimer,≤100
126060760828576,24Bottles,These ads ran without a disclaimer,≤100
105473327983012,Manuel Machado 2021,Manuel Maria De Araujo Lopes Machado,≤100
133268580031199,Glassdrive Portugal,These ads ran without a disclaimer,≤100
255056481315205,José Manuel Fernandes,These ads ran without a disclaimer,≤100
104636251646503,IPEC,Instituto Português de Estudos Contemporâneos - IPEC Associação,≤100
380750132410197,Alexandre Poço,Alexandre Damasceno da Silva Poço,≤100
146140662062673,British Embassy Lisbon,These ads ran without a disclaimer,≤100
108590043933053,Fly Forward,These ads ran without a disclaimer,≤100
100910854909887,7GR studio,These ads ran without a disclaimer,≤100
152963294757514,Millennium bcp,These ads ran without a disclaimer,≤100
1052421281451125,PO SEUR,André Leal Gomes Alves,≤100
751419408311238,Crédito Agrícola,These ads ran without a disclaimer,≤100
307268589921990,Movimento - pela nossa terra,These ads ran without a disclaimer,≤100
1412890678971219,myGwork - LGBT+ professionals,These ads ran without a disclaimer,≤100
107612720707383,Keratin Straightening,These ads ran without a disclaimer,≤100
125499461104,Fnac Portugal,These ads ran without a disclaimer,≤100
101628744812439,Quarentena do PMM,Paulo Alexandre Moreira Mesquita,≤100
1430986783820694,Infinitebook,These ads ran without a disclaimer,≤100
105190798057107,Moda peeess,These ads ran without a disclaimer,≤100
185152995446581,Desafio D Elencos,These ads ran without a disclaimer,≤100
69209479569,MEO,These ads ran without a disclaimer,≤100
73970658023,International Rescue Committee,These ads ran without a disclaimer,≤100
152271568736652,Pedro Antunes,Pedro Antunes,≤100
634708719997391,Workview,These ads ran without a disclaimer,≤100
137410079645823,Instituto Europeo de Psicología Positiva - IEPP,These ads ran without a disclaimer,≤100
767286956636065,LeYa Educação,These ads ran without a disclaimer,≤100
214113345277383,Durex,These ads ran without a disclaimer,≤100
