Page ID,Page Name,Disclaimer,Amount Spent (RON),Number of Ads in Library
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,2210256,740
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,2152184,3823
291177524360702,Partidul Social Democrat,Partidul Social Democrat,2106884,2211
178362315106,European Parliament,European Parliament,1436223,873
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,627028,749
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,605724,649
107898832590939,European Commission,European Commission,596588,328
207255636351408,Dan Barna,Uniunea Salvați România - USR,512232,249
149371012371397,Newsweek Romania,Newsweek Romania,438126,4145
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,413774,110
176989973158138,Guvernare.net,Guvernare.net,406341,298
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,391256,476
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,357473,113
2546711162025064,Politice.net,politice.net,349756,426
1504323906337545,Litere.net,litere.net,326966,359
112664490103704,Salvăm România,Salvăm România,262780,205
123526378261795,Stiri Locale,Stiri Locale,258889,297
181375448581167,Partidul Naţional Liberal,Future Innovation,252947,114
167669676772029,Vasile Cristian Lungu - Senator PMP,Partidul Mișcarea Populară,242614,213
291132089193,Greenpeace Romania,Greenpeace Romania,241613,737
770704223323599,Dezvoltăm România,Future Innovation,237451,181
445242878916307,Readlog,Readlog News,221694,230
1449284915381234,Ionel Bogdan,PNL Maramureş,217109,802
102601499822802,RMDSZ,RMDSZ,215549,1326
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,212767,41
686190454826244,Declic,Declic,200887,1684
1100459663338217,News.ro,News.ro,196474,1161
252950101538687,PNL Cluj,TMK Research Services,189634,213
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,178210,149
1585170161775563,PSD Galati,Partidul Social Democrat Galati,163409,245
1537065229900944,Daniel Florea,Daniel Florea,159698,130
178362315106,European Parliament,These ads ran without a disclaimer,155988,50
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,152784,249
230785173665770,Nicușor Dan,Nicușor Dan,148562,273
148993498505135,PNL Prahova,PNL Prahova,141371,751
115223543730170,Ludovic Orban,Partidul Naţional Liberal,137127,103
795022763862618,Viorel Cataramă,Dreapta Liberala,134879,55
772823779394341,Mugur Cozmanciuc,Partidul Național Liberal,132832,108
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,127896,248
175293925828191,Kelemen Hunor,RMDSZ,126069,783
336513669713770,PSD Brasov,PSD Brasov,125516,171
1055101664610946,PSD Bucuresti,PSD București,122848,60
1424043861019646,Partidul Mișcarea Populară Cluj,Partidul Mișcarea Populară,122280,205
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,120592,77
678840505584990,PNL Bucuresti,PNL Filiala București,119786,429
1210260295704425,USR Arad,Uniunea Salvați Romania,118891,205
1769713886444816,Râsu Plânsu,Râsu Plânsu,116704,144
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,116088,79
1592660281028385,USR Bihor,Uniunea Salvati Romania,115261,150
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,112412,220
2177244962290894,PRO România,Networld IT&C SRL,111807,81
1792449434342411,USR Iași,Uniunea Salvați România - USR,111479,163
102025778125741,Robert Cazanciuc,Partidul Social Democrat,103217,158
111755087129437,Știri din Cluj,Știri din Cluj,103004,31
427656597297153,Gabriela Firea,PSD București,100040,79
109556372802910,USR Dolj,Uniunea Salvați România,97259,205
180167272027251,B1.ro,B1.ro,96112,661
227922987222524,Calin Popescu Tariceanu,ALDE,94464,251
168243139877442,BZI,BZI,93608,544
100121064913116,Alianța USR PLUS Cluj,"Partidul Libertate, Unitate și Solidaritate",93500,103
678840505584990,PNL Bucuresti,Partidul Naţional Liberal,92465,448
112571523480822,Un Om Presedinte,Deep Knowledge,90952,196
1465792233677604,PNL Maramureş,PNL Maramureş,88339,454
949310328493328,E5 News,E5News,87047,107
1469610256621123,PNL Dambovita,PNL Dambovita,86221,838
164390367008767,PNL Sibiu,PNL Sibiu,85971,1241
329619180721358,Cosette Chichirău,Uniunea Salvați România - USR,85225,56
230785173665770,Nicușor Dan,Partidul Național Liberal,84785,24
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,83713,83
100281298230215,Alianța USR PLUS Ilfov,Partidul "Uniunea Salvați România",83266,22
505785196105852,Florian Bodog,Partidul Social Democrat,82315,103
188485217832992,NewsFalcon,NewsFalcon,81629,56
150967671609795,Victor Ponta,Partidul PRO România București,81489,16
298765223557508,Ionel Arsene,Media PR Grup,80693,169
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,80504,49
670691623386469,Cristian Moș,Cristian Alin Mos,79900,388
291871461655780,PLUS Bucureşti,PLUS Bucureşti,78203,99
932511363436611,Cristian Dima,OPYUM ADVERTISING CA SRLD,77179,154
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,76880,37
108331397335412,Eduard Ciceu,Eduard Ciceu,76682,396
143378845861681,PNL Mures,PNL Mures,75599,1170
104339127576831,Ziareazi.ro,ziareazi.ro,75404,1401
1933828876850844,Sondaje România,Sondaje.net,75280,144
1362765070466111,PMP Prahova - Oficial,PMP Prahova,73143,476
1587678041519354,PNL Neamt,Partidul National Liberal,73001,131
196347590385196,NewsGroup.biz,News-Group.biz,72657,52
1723480164579572,USR Brașov,Uniunea Salvați România,72488,61
182546041796641,Costel Alexe,Costel Alexe,72061,260
