Page ID,Page Name,Disclaimer,Amount Spent (RON)
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,43734
100714001787080,PSD Alba,PSD Alba,43445
291177524360702,Partidul Social Democrat,Partidul Social Democrat,43161
187133884725560,PNL Alba,PNL Alba,30389
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,29247
101067171241323,Mihail David,PLUS Alba,27704
178362315106,European Parliament,European Parliament,26436
331180117476294,"Partidul Libertate, Unitate și Solidaritate - PLUS Alba",PLUS,22719
374121893460424,Beniamin Todosiu,Partidul Uniunea Salvați România,13932
1024698440918384,Gheorghe Valentin Rotar - Primar,Gheorghe Valentin Rotar,12058
115390359901053,Voicu Paul,PNL Alba,11873
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,11651
148387219090644,Florin Roman,PNL Alba,11378
107898832590939,European Commission,European Commission,10760
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,10635
363615250703159,Lazar I. Bogdan,Lazar Bogdan,9190
207255636351408,Dan Barna,Uniunea Salvați România - USR,8987
1024698440918384,Gheorghe Valentin Rotar - Primar,PNL Alba,8935
105241491300154,Informatia de Alba Iulia,TSM New Project,7231
108888137674861,Sorin Ioan BUMB,PNL Alba,7084
770704223323599,Dezvoltăm România,Future Innovation,7013
827831393930594,Alin Ignat,PNL Alba,6868
176989973158138,Guvernare.net,Guvernare.net,6490
149371012371397,Newsweek Romania,Newsweek Romania,6468
181375448581167,Partidul Naţional Liberal,Future Innovation,6439
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,6178
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,6014
2546711162025064,Politice.net,politice.net,5897
1504323906337545,Litere.net,litere.net,5857
215615605537784,Corneliu Olar,PNL Alba,5397
103412558241611,Tuhut Radu Marcel,PSD Alba,5055
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,4982
599063447137971,USR Sebeș,Partidul Uniunea Salvați România,4272
103107244538450,Cristian Dan Pasca,PNL Alba,4271
591719818179401,Ioan Călin Andreș,Ioan Călin Andreș,4168
112664490103704,Salvăm România,Salvăm România,4012
148387219090644,Florin Roman,Partidul Naţional Liberal,3970
101067171241323,Mihail David,David Mihail,3927
109574630541273,Gabriel Pleșa,Gabriel Pleșa,3916
1100459663338217,News.ro,News.ro,3706
164390367008767,PNL Sibiu,PNL Sibiu,3503
291132089193,Greenpeace Romania,Greenpeace Romania,3445
104784701341532,Alin F. Tudose,Anca Alexandra Scutaru,3438
445242878916307,Readlog,Readlog News,3385
106370347371466,PLUS Câmpeni,"Partidul Libertate, Unitate și Solidaritate",3356
187133884725560,PNL Alba,Partidul Naţional Liberal,3208
354925477881893,Dorin Nistor - Primar,PNL Alba,3197
608664803141828,Paul Victor Florea,Paul-Victor Florea,3042
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,2996
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,2990
1696832980590397,Ion Dumitrel,PNL Alba,2765
105241491300154,Informatia de Alba Iulia,Lazar Ioan,2671
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,2662
123526378261795,Stiri Locale,Stiri Locale,2582
110032353756768,Fehér Megyei RMDSZ,RMDSZ Fehér Megyei Szervezet,2537
115223543730170,Ludovic Orban,Partidul Naţional Liberal,2530
178362315106,European Parliament,These ads ran without a disclaimer,2491
102130631160828,Horațiu Florea,LU Agency Creative Ideas SRL,2469
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,2392
806061756114998,PNL Cugir,PNL Alba,2385
107543802616247,Dacian Cioloş,PLUS,2304
827831393930594,Alin Ignat,IGNAT ION-ALIN-DAN,2296
795022763862618,Viorel Cataramă,Dreapta Liberala,2215
102601499822802,RMDSZ,RMDSZ,2103
2177244962290894,PRO România,Networld IT&C SRL,2073
102025778125741,Robert Cazanciuc,Partidul Social Democrat,2064
123925474679117,Tică Darie,Tica Darie,1979
686190454826244,Declic,Declic,1946
112571523480822,Un Om Presedinte,Deep Knowledge,1888
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,1870
1790820761151203,USR Alba,USR Alba,1813
1790820761151203,USR Alba,Partidul Uniunea Salvați România,1802
105300564644272,PSD ALBA,PSD ALBA,1772
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,1769
505785196105852,Florian Bodog,Partidul Social Democrat,1746
433987290143686,Clement Negruț,Partidul Mișcarea Populară Alba,1742
591719818179401,Ioan Călin Andreș,PSD Alba,1736
2254647624747931,PSD Câmpeni,Psd Alba,1722
578220312854953,Magyarlapádi RMDSZ jelöltek,RMDSZ Fehér Megyei Szervezet / UDMR Organizația Județeană Alba,1674
1028428697211383,USR Sibiu,Uniunea Salvați România,1635
101227908159921,USR Alba Iulia,Partidul Uniunea Salvati Romania,1606
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,1604
415094208593205,Adrian Simion,Partidul Uniunea Salvați România,1488
331180117476294,"Partidul Libertate, Unitate și Solidaritate - PLUS Alba",PLUS Alba,1470
1769713886444816,Râsu Plânsu,Râsu Plânsu,1430
111278697346811,"Torockó község, RMDSZ Szervezete",RMDSZ Fehér Megyei Szervezet - UDMR Organizația Județeană Alba,1392
227922987222524,Calin Popescu Tariceanu,ALDE,1391
105746054578927,Altomi Gabriel,Gabriel Toma Octavian Altomi,1377
1933828876850844,Sondaje România,Sondaje.net,1373
101254968456255,Matieș Călin Gheorghe,Cosmin-Ioan-Nicolae Maties,1364
180167272027251,B1.ro,B1.ro,1358
433987290143686,Clement Negruț,PMP Alba,1352
584809194913970,Partidul Miscarea Populara Alba,PMP Alba,1340
293215748279337,România fără PSD,Future Innovation,1334
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,1334
282831099105585,Ponoran Silviu,PNL Alba,1333
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,1312
175293925828191,Kelemen Hunor,RMDSZ,1298
115390359901053,Voicu Paul,Voicu Paul,1289
140397916733218,PRO România Alba,LU Agency,1277
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,1239
949310328493328,E5 News,E5News,1211
104361401406241,Lőrincz Helga,RMDSZ Fehér Megyei Szervezet,1180
367879460459589,Claudiu Vasile Răcuci,PNL Alba,1167
365952417189290,"Brutaria Santimbru , pita de Santimbru",These ads ran without a disclaimer,1162
105974137853470,Adrian Echert,Uniunea Salvați România - USR,1156
220579784732993,Daniel Buda,Buda Daniel,1112
164276903939889,PSD Sibiu,PlusView Studio,1108
654183651296677,Mircea Diaconu,Alianta UN OM,1103
2182488478635633,Virgil V. Hantiu,PSD Alba,1095
150967671609795,Victor Ponta,PRO România,1080
304735519648377,Guvernul României,Crucea Rosie Romana,1029
103222331039748,Cătălin Cacovean,Catalin Cacovean,1016
243027859216579,Alfred Simonis,Partidul Social Democrat,997
108723169291363,Daniel Suciu,Partidul Social Democrat,989
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,988
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,953
731035500293728,Siegfried Muresan,Siegfried Muresan,935
100543744893048,Gheorghe Beleiu,LU Agency,932
101067171241323,Mihail David,These ads ran without a disclaimer,922
2196866860543559,Alianţa pentru Unirea Românilor Organizaţia Teiuş,Cristian Crişan,913
104339127576831,Ziareazi.ro,ziareazi.ro,899
110215804074928,Claudiu Nemeș,Gheorghe-Claudiu Nemes,861
2182488478635633,Virgil V. Hantiu,Hantiu Virgil-Valentin,828
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,825
252950101538687,PNL Cluj,TMK Research Services,820
584809194913970,Partidul Miscarea Populara Alba,Partidul Miscarea Populara Alba,812
103340221509875,Csegezi Zsuzsa,RMDSZ Fehér Megyei Szervezet - UDMR Organizația Județeană Alba,807
195471437772879,USR Cugir,PARTIDUL UNIUNEA SALVAȚI ROMÂNIA,806
182546041796641,Costel Alexe,Partidul Naţional Liberal,798
491846097539946,RADU CĂLIN,PSD Alba,775
