Page ID,Page Name,Disclaimer,Amount Spent (RON)
1210260295704425,USR Arad,Uniunea Salvați Romania,115735
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,53441
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,52521
1210260295704425,USR Arad,Uniunea Salvați România filiala Arad,46936
291177524360702,Partidul Social Democrat,Partidul Social Democrat,45313
1653726584879481,Mihai Fifor,PSD Arad-CMF21200019,44257
1653726584879481,Mihai Fifor,Psd Arad CMF 11200020,38599
1653726584879481,Mihai Fifor,Fifor Mihai,33652
178362315106,European Parliament,European Parliament,32666
241910409500962,Ruben Budău,PSD Arad CMF21200019,28720
1415002928807791,PNL Arad,Vesmart SRL,27258
372155856222044,PSD ARAD,Psd Arad CMF 11200020,25742
1415002928807791,PNL Arad,Gonzo Media,25621
486358554821325,Sergiu Bîlcea,Sergiu Bîlcea,23773
1224068470955946,Cristian Galea,Isidor's Software Solutions SRL,23404
137259469989828,Florin Remeţan,Isidor's Software Solutions SRL,17042
1415002928807791,PNL Arad,PNL Arad,16518
101233561273597,Adrian Alda,PSD Arad CMF 11200020,16303
2213828782003986,Calin Bibart,Gonzo Media,15879
215405775174990,Falca Gheorghe,Falca Gheorghe,15636
110565513987171,Lazăr Faur,Vesmart SRL,15353
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,14870
372155856222044,PSD ARAD,Psd Arad CMF21200019,13519
107898832590939,European Commission,European Commission,13407
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,13331
112271313983641,Mihai Pașca,Vesmart SRL,11645
241910409500962,Ruben Budău,Budău Ruben,11437
207255636351408,Dan Barna,Uniunea Salvați România - USR,11191
186289514871483,Eusebiu Pistru,Psd Arad CMF 11200020,10808
150909498384134,Varga Glad,Vesmart SRL,10387
176989973158138,Guvernare.net,Guvernare.net,9145
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,9079
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,9035
1224068470955946,Cristian Galea,Isidor's Software Solutions SRL-D,8494
149371012371397,Newsweek Romania,Newsweek Romania,8471
2213828782003986,Calin Bibart,Calin Bibart,8453
486358554821325,Sergiu Bîlcea,Vesmart SRL,8239
712323618907367,Cristian Gavra,Isidor's Software Solutions SRL,7970
2546711162025064,Politice.net,politice.net,7386
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,7370
372155856222044,PSD ARAD,PSD Arad,6979
1504323906337545,Litere.net,litere.net,6740
105911444655832,Samuel Dragoș,Psd Arad CMF 11200020,6665
1224068470955946,Cristian Galea,Cristian Galea,6476
181375448581167,Partidul Naţional Liberal,Future Innovation,6334
372155856222044,PSD ARAD,Psd Arad,5950
101438301779515,Ovidiu Palcu Deputat,XBG Media Grup,5760
112664490103704,Salvăm România,Salvăm România,5751
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,5707
227948837316185,Ioan Cristina,Vesmart SRL,5462
1650055165260140,Marin Lupaș,Marin Lupaș,5364
119498488489321,Florin Tripa,Florin Tripa CMF 21200019,5178
1100459663338217,News.ro,News.ro,4843
1740094046204271,Patricia Dinga,Vesmart,4788
486358554821325,Sergiu Bîlcea,Gonzo Media Design SRL,4597
445242878916307,Readlog,Readlog News,4397
291132089193,Greenpeace Romania,Greenpeace Romania,4369
102601499822802,RMDSZ,RMDSZ,4198
404345336963581,Vlad Botoș,Vlad Botoș,4063
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,4043
770704223323599,Dezvoltăm România,Future Innovation,4006
505785196105852,Florian Bodog,Partidul Social Democrat,3599
404345336963581,Vlad Botoș,Uniunea Salvați România,3588
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,3511
110565513987171,Lazăr Faur,Gonzo Media Design SRL,3505
372155856222044,PSD ARAD,Partidul Social Democrat,3497
