Page ID,Page Name,Disclaimer,Amount Spent (RON)
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,64591
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,62967
291177524360702,Partidul Social Democrat,Partidul Social Democrat,56771
178362315106,European Parliament,European Parliament,36761
117472339887099,Cristian Gentea,PSD Argeș,28806
987000488084806,USR Argeș,Uniunea Salvați România - USR,24862
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,23176
808223545858756,PSD Arges,PSD Arges,22475
719780158165645,Claudiu Daniel Catana,PRO ROMANIA ARGES,22429
107898832590939,European Commission,European Commission,17614
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,17006
207255636351408,Dan Barna,Uniunea Salvați România - USR,15593
110095017509547,Ivan Bogdan,PRO ROMANIA ARGES,15335
915077928622845,Ionuț Moșteanu,Alianța USR PLUS,14915
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,14206
915077928622845,Ionuț Moșteanu,Uniunea Salvați România - USR,13951
915077928622845,Ionuț Moșteanu,USR Argeș,13890
149371012371397,Newsweek Romania,Newsweek Romania,13690
511381328886504,Bulf Cornel Catalin,Partidul Miscarea Populara,13017
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,12219
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,12176
987000488084806,USR Argeș,Uniunea Salvati Romania,12100
176989973158138,Guvernare.net,Guvernare.net,12002
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,11554
236081623781107,Sorin Apostoliceanu,PNL,11205
2546711162025064,Politice.net,politice.net,9872
101911698030098,Nicolae Zaharia,Partidul Naţional Liberal,9544
772662992868343,PNL Arges,PNL Arges,8873
115167513673779,Virgil Baciu,Virgil Baciu,8847
1504323906337545,Litere.net,litere.net,8465
1663041843841847,PLUS Argeș,"Partidul Libertate, Unitate și Solidaritate",8413
181375448581167,Partidul Naţional Liberal,Future Innovation,7249
238927237446714,Dan Grecu,PRO ROMANIA ARGES,7219
112664490103704,Salvăm România,Salvăm România,7202
772662992868343,PNL Arges,Partidul Naţional Liberal,6420
1100459663338217,News.ro,News.ro,6366
557284874779877,Mihai Coteț,Alex Nitu,6109
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,5590
