Page ID,Page Name,Disclaimer,Amount Spent (RON)
291177524360702,Partidul Social Democrat,Partidul Social Democrat,61276
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,58506
984794278331401,Ionel Palăr,Branding Digital Strategy,56481
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,55377
1602563209957356,PNL Bacău,Branding Digital Strategy,43505
178362315106,European Parliament,European Parliament,42220
447787405313835,Dragos Benea,Dragos Benea,40328
101141368473321,Alianța Fripturiștilor,Partidul Social Democrat - Organizatia Judeteana Bacau,38545
110661800329158,Valentin Ivancea,Partidul Social Democrat - Organizatia Judeteana Bacau,35912
363974753693918,Cosmin Necula,PRO România - Organizația Județeană Bacău,32894
363974753693918,Cosmin Necula,Cosmin Necula,25819
1498409580204044,Laurentiu Neghina,Partidul Mișcarea Populară Bacău,24657
1069433399775121,Bacăul Furat,PSD - Organizatia Judeteana Bacau,24572
254690471320373,Vocea Bacăului,Partidul Social Democrat - Organizatia Judeteana Bacau,24416
125414364282605,Daniel Fenechiu,Branding Digital Strategy,23987
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,23277
103063104870491,Ionel Șomer,Ionel Somer,18476
107898832590939,European Commission,European Commission,17863
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,15931
705733042862650,USR Bacău,USR Bacău,15600
207255636351408,Dan Barna,Uniunea Salvați România - USR,14774
123526378261795,Stiri Locale,Stiri Locale,13466
1498409580204044,Laurentiu Neghina,Victor Laurentiu Neghina,13249
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,12279
254690471320373,Vocea Bacăului,Vocea Bacăului,11981
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,11835
1602563209957356,PNL Bacău,Partidul Național Liberal,11799
149371012371397,Newsweek Romania,Newsweek Romania,11520
112953853591210,Sergiu Sechelariu,Sergiu Sechelariu,11331
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,11070
176989973158138,Guvernare.net,Guvernare.net,10951
114237203329659,Lucian Sova,Lucian Sova,10920
1027173667393990,Lucian Daniel Stanciu Viziteu,STANCIU-VIZITEU LUCIAN-DANIEL,10688
1027173667393990,Lucian Daniel Stanciu Viziteu,Lucian Daniel Stanciu Viziteu,10567
246505526584749,Ion Pascaru,Ion Pascaru,10123
110508400795493,Teodor Lazăr,USR Bacău,10085
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,9686
2546711162025064,Politice.net,politice.net,8979
187632491860732,Sebastian Cernic,USR Bacău,8591
110661800329158,Valentin Ivancea,Valentin Ivancea,8141
1602563209957356,PNL Bacău,PNL Bacău,8080
363974753693918,Cosmin Necula,Pro România - Organizația Județeană Bacău,7449
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,7389
181375448581167,Partidul Naţional Liberal,Future Innovation,7360
1504323906337545,Litere.net,litere.net,7323
638373433454317,Sorin Ștefan Umbrărescu,Ștefan Sorin Umbrărescu,7213
112664490103704,Salvăm România,Salvăm România,6604
305973616415758,Bacaul Online,Bacaul Online,6580
523106417867452,Mircea Fechet,Branding Digital Strategy,6049
638373433454317,Sorin Ștefan Umbrărescu,Partidul Puterii Umaniste (Social-Liberal) - Organizatia Judeteana Bacau,5564
872508899534866,Gelu Panfil,Gelu Panfil,5521
100722448454439,Andreea Negru,USR Bacău,5495
291132089193,Greenpeace Romania,Greenpeace Romania,5457
1100459663338217,News.ro,News.ro,5271
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,5138
705733042862650,USR Bacău,Lazar Teodor,4963
872508899534866,Gelu Panfil,Partidul Social Democrat - Organizatia Judeteana Bacau,4794
110786843993342,Cristian Paul Ichim,PLUS Bacău,4624
112953853591210,Sergiu Sechelariu,Box Solutions SRL,4618
535445976897124,ALDE BACĂU - Partidul Alianța Liberalilor și Democraților,Partidul Alianța Liberalilor și Democraților - ALDE,4595
949310328493328,E5 News,E5News,4536
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,4421
770704223323599,Dezvoltăm România,Future Innovation,4386
101141368473321,Alianța Fripturiștilor,Alianța Fripturiștilor,4361
445242878916307,Readlog,Readlog News,4305
178362315106,European Parliament,These ads ran without a disclaimer,4266
795022763862618,Viorel Cataramă,Dreapta Liberala,4096
217534908589084,Nicolae Gnatiuc,Partidul Social Democrat - Organizatia Judeteana Bacau,4060
103230374920343,Dr. Bianca Purcărin,Partidul Social Democrat - Organizatia Judeteana Bacau,3988
223282381188172,Lucian Beruşcă,PMP BACĂU,3951
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,3877
115223543730170,Ludovic Orban,Partidul Naţional Liberal,3856
109985990828077,Cosa Maricica,BOX SOLUTIONS SRL,3786
1602563209957356,PNL Bacău,Partidul Naţional Liberal,3421
352476732097797,Viorel Tamba,Viorel Tamba,3399
218787515222823,Ion Melinte,BOX SOLUTIONS SRL,3379
2177244962290894,PRO România,Networld IT&C SRL,3296
112571523480822,Un Om Presedinte,Deep Knowledge,3237
2274198459531349,PLUS Bacău,PLUS Bacău,3122
1480652828829030,Cristi Manolache,Partidul Ecologist Român -Filiala Județeană Bacău,3086
759140927510953,PER Bacau,Partidul Ecologist Român -Filiala Județeană Bacău,3051
1078911992170230,Dragos Luchian,Branding Digital Strategy,2997
686190454826244,Declic,Declic,2877
102025778125741,Robert Cazanciuc,Partidul Social Democrat,2861
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,2808
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,2804
1602563209957356,PNL Bacău,ETIS Design,2785
187632491860732,Sebastian Cernic,Sebastian Cernic,2680
1769713886444816,Râsu Plânsu,Râsu Plânsu,2583
246505526584749,Ion Pascaru,Partidul Ecologist Român -Filiala Județeană Bacău,2549
1498409580204044,Laurentiu Neghina,BOX Solutions SRL,2514
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,2466
1421891964711270,Valerian Vreme,Partidul Miscarea Populara Bacau,2457
125414364282605,Daniel Fenechiu,Daniel Fenechiu,2441
222868072473002,Vasile Budacă,Partidul Social Democrat - Organizatia Judeteana Bacau,2419
466961280060412,Claudiu Ilisanu,Claudiu Ilisanu,2329
116189263518089,Mihai Rusu,Mihai Rusu,2282
180167272027251,B1.ro,B1.ro,2254
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,2252
